# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "6" "-a" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/readcounts_3.txt" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_no_rtt109/SRR10916165.sorted.bam
NCU10129	CM002236.1;CM002236.1	1151;1528	1449;2878	-;-	1650	1203	877	1134	891	874	930	3546	3872	4038	907	910	1441	632	401	379	1269	1328	993	721	987	580	2040	2354	2347	1996	557	758	1015
NCU09901	CM002236.1;CM002236.1;CM002236.1	3178;3895;5114	3821;4860;6443	+;+;+	2940	1125	1022	1136	1061	911	880	1359	1926	2052	636	680	957	439	326	281	974	929	739	310	344	371	1670	2124	2030	1715	357	333	422
NCU09903	CM002236.1;CM002236.1	9177;12245	12188;13334	+;+	4102	3314	2581	3394	2495	1904	1534	3727	5239	4768	1078	1034	1387	1215	1047	801	2190	2263	1529	227	314	320	3586	4548	4436	3538	799	939	1167
NCU11134	CM002236.1;CM002236.1;CM002236.1	15930;16065;16491	16015;16295;16647	+;+;+	474	26	16	11	13	14	7	12	24	15	0	8	9	3	7	4	11	0	2	4	1	0	4	5	4	5	0	0	6
NCU09904	CM002236.1;CM002236.1	17441;18438	18362;19615	+;+	2100	1450	280	2022	692	684	890	672	609	870	5710	5166	6613	2393	349	895	1927	2809	1274	679	778	461	6023	7450	7259	6026	800	1628	2972
NCU14001	CM002236.1;CM002236.1	34691;34982	34875;35418	+;+	622	54	32	56	42	41	34	118	149	140	28	32	40	38	47	35	98	99	101	58	56	50	67	86	113	51	10	28	11
NCU09906	CM002236.1;CM002236.1;CM002236.1;CM002236.1	34981;35950;36557;38669	35866;36503;38605;39245	+;+;+;+	4066	8042	1346	12219	3543	3213	3810	3809	4241	4817	20050	20877	26050	10993	831	2630	9854	13347	6642	2908	3287	1871	37785	45339	45607	37794	3555	6613	10666
NCU09907	CM002236.1	40950	42632	-	1683	120	133	37	161	110	104	434	456	520	2	0	0	4	4	0	7	0	0	0	6	0	4	2	6	2	10	23	46
NCU09908	CM002236.1	43709	44551	-	843	2	8	4	7	1	4	15	5	7	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
NCU09909	CM002236.1;CM002236.1;CM002236.1	45332;45973;47713	45913;47636;48154	-;-;-	2688	9494	7733	7914	8141	7272	8606	4955	6080	6265	2775	3028	4113	1813	4624	2103	3634	2273	3188	2402	3498	3104	1274	1591	1812	1264	1072	1910	1897
NCU09910	CM002236.1;CM002236.1;CM002236.1;CM002236.1	49237;51019;52048;52764	50967;51996;52689;52949	-;-;-;-	3537	1374	1322	1106	1215	985	1157	1305	1663	1449	948	944	1134	311	245	213	1027	995	702	385	461	367	1790	2128	2090	1729	316	304	324
NCU09911	CM002236.1	53114	54518	+	1405	9256	12342	8654	9882	8083	9461	13713	17476	17310	5351	5506	7011	2266	2499	3488	5588	5199	4641	3145	4088	3660	5426	6264	6442	5321	2972	2749	2264
NCU09912	CM002236.1;CM002236.1	54882;56904	56845;57945	+;+	3006	2143	1789	2006	1867	1755	1697	2829	3692	3690	813	791	1040	641	492	427	1615	1467	1226	827	948	831	2122	2606	2766	2169	405	463	530
NCU09913	CM002236.1	59146	61150	+	2005	664	663	496	680	778	908	742	875	772	379	416	492	325	204	196	522	461	454	415	572	347	536	663	583	541	235	285	484
NCU09914	CM002236.1;CM002236.1	62094;62635	62565;62950	+;+	788	100	151	97	114	101	121	85	156	148	179	192	271	121	56	78	86	54	51	64	97	35	134	197	137	114	168	111	170
NCU10501	CM002236.1;CM002236.1;CM002236.1	91324;91593;92461	91514;92315;92593	+;+;+	1047	23	3	15	7	5	39	106	150	124	6	6	6	0	1	7	7	7	6	6	8	4	17	24	14	11	20	28	32
NCU08049	CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1;CM002236.1	93474;93689;95218;95218;95407;95407;95742;95742;96320;96320;97486;97486;98796	95046;95046;95266;95266;95467;95467;95997;95997;97262;97262;98605;98699;98954	-;-;-;-;-;-;-;-;-;-;-;-;-	4255	867	1024	619	1188	1039	1114	1701	2074	1766	378	369	467	219	173	144	490	474	375	538	559	459	805	995	977	887	293	215	326
NCU08050	CM002236.1;CM002236.1	99983;101166	101042;102134	+;+	2029	443	590	294	913	890	1088	705	805	919	234	253	344	65	93	78	302	258	252	312	398	264	474	578	505	420	142	91	119
NCU08051	CM002236.1	102314	105940	-	3627	1300	1406	1319	1038	969	956	953	1210	1250	999	1021	1382	498	374	417	1115	1402	826	421	505	420	1999	2782	2667	2107	553	357	396
NCU16303	CM002236.1	102849	103781	+	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU08052	CM002236.1;CM002236.1;CM002236.1	109911;110973;111335	110908;111273;112060	+;+;+	2025	843	369	975	2346	2064	1747	5115	4279	5719	1087	1173	1350	551	88	80	29922	52202	22699	8970	8837	4797	61739	74459	73187	61999	3869	957	1446
