"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.0312288290547346,0.91982399703159,0.985100611263761,-0.240225577303822,0.440572363565058,0.668280118679495,0.0768589787442136,0.804062041373941,0.958109880282332,-0.0709537082737423,0.818981547662578,0.900879702428836
"CM002236.1",2677,3477,".","+",0.0467759737371321,0.87881175375224,0.985100611263761,-0.144233863534537,0.639184079228435,0.785497285317636,0.265084789869284,0.386693585071948,0.776860465818195,-0.0306631084688981,0.920308743718396,0.956300370156389
"CM002236.1",15429,16229,".","+",-0.223550949352101,0.470447863859778,0.985100611263761,-0.24622287247049,0.427165893381314,0.65590003308664,-0.104180501557116,0.736065069812137,0.941426144172094,0.142027595409898,0.645485737616492,0.815081953468564
"CM002236.1",16940,17740,".","+",-0.154020854268295,0.595039418890886,0.985100611263761,-0.0225321275600183,0.938003188546827,0.95653516643605,-0.392108784610719,0.176822459514892,0.576742271051882,0.242601037973158,0.400515954102124,0.650523077624615
"CM002236.1",34480,35280,".","+",-0.199830440765526,0.508049014000787,0.985100611263761,-0.150500598791198,0.618395083024386,0.779968234416095,-0.232392993868025,0.440841571936351,0.791196950611762,-0.266000110008062,0.377768943544345,0.632127085082932
"CM002236.1",42332,43132,".","-",0.922156779266304,0.00252748946025178,0.11306302852193,0.6835411241737,0.0248682902009561,0.1738189867171,1.17902244571133,0.000120364625497158,0.0044869257615885,0.683050113186629,0.0246936034635484,0.375601186139229
"CM002236.1",44251,45051,".","-",0.40780568397752,0.17756073731384,0.939097616397599,0.641115217375159,0.0343306210865947,0.211338043569771,0.811099500391463,0.00736838806336101,0.0969448704022596,0.547950728796195,0.0696338615740913,0.45837451339945
"CM002236.1",47854,48654,".","-",0.0889475842359226,0.754979466916095,0.985100611263761,0.137267221990964,0.630422972202962,0.782774472089695,0.11097815747261,0.696455276507322,0.930780562727232,0.222814367817901,0.433145284559221,0.666489876302487
"CM002236.1",58645,59445,".","+",0.355640226091929,0.227489420966125,0.966110135875125,0.269205689645149,0.361563647039614,0.613352927523318,0.00618778633514779,0.983247197023325,0.998046929131975,-0.0565488401714506,0.84787697274713,0.914918142355691
"CM002236.1",90823,91623,".","+",0.17682688498536,0.56891549292773,0.985100611263761,0.220648144968082,0.477666509456818,0.689969263502791,0.430691300672514,0.164450118404073,0.558695627030093,0.511968579658155,0.0984337169881981,0.465133972528739
"CM002236.1",180722,181522,".","+",0.616338498831107,0.0299319203430334,0.379515069874486,0.650409991564858,0.0221116149066806,0.172522018632356,0.737505449497101,0.0093925555950443,0.114589178259541,0.172190150188314,0.543231529309293,0.735382500332656
"CM002236.1",184751,185551,".","-",-0.0344105951263827,0.911594757983026,0.985100611263761,0.266347487333156,0.389639326267761,0.633045975606944,0.0205796067277736,0.946928464036474,0.992922707035082,0.281756765540645,0.361323659859246,0.618490244299883
"CM002236.1",185539,186339,".","+",0.133240645245965,0.653692119790465,0.985100611263761,0.138929419415865,0.640338323500368,0.785497285317636,-0.42312011587797,0.156512286105377,0.555631826972718,0.374073529295854,0.206855082745259,0.544962859653747
"CM002236.1",189295,190095,".","-",0.623567196950058,0.0417358010077107,0.451689072196352,0.675336607985765,0.027654693686409,0.191302056325571,0.404226100137432,0.185971025217887,0.585002948552241,0.315714391121037,0.301554257234494,0.585972127865094
"CM002236.1",189906,190706,".","+",0.492628551442074,0.106603409455875,0.76914933059024,0.829217893987395,0.00676520650434469,0.0965841183918146,0.167331146252226,0.583278061788898,0.871136076079434,0.352733485787004,0.24706280482173,0.569113052904297
"CM002236.1",193764,194564,".","-",-0.108650544203764,0.702137399261367,0.985100611263761,0.127635555249641,0.652901121655292,0.796539368419456,-0.312473762236868,0.271942795938538,0.67258903447386,-0.0435404813474098,0.877844486511828,0.934974048332439
"CM002236.1",195035,195835,".","-",-0.121303168917754,0.684201994539909,0.985100611263761,0.410455853875823,0.167788620899545,0.464094016956127,0.145503205795236,0.624137642794542,0.883536620918013,0.273595339940564,0.356567196830679,0.618490244299883
"CM002236.1",195990,196790,".","-",0.0658028331234263,0.82986530661707,0.985100611263761,0.436957107685842,0.15294073815623,0.443440636251853,0.0043734876179757,0.988584325046574,0.998046929131975,0.579969032487048,0.0568106199537957,0.45837451339945
