,level1,level2,level3,info1,info2
1,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02542 emp-1; embden-meyerhof pathway-1,K00844 HK; hexokinase [EC:2.7.1.1]
2,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU04728 hexokinase-1,K00844 HK; hexokinase [EC:2.7.1.1]
3,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU00575 glucokinase,K00844 HK; hexokinase [EC:2.7.1.1]
4,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07281 gpi-1; glucose-6-phosphate isomerase,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]
5,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU00629 emp-3; embden-meyerhof pathway-3,K00850 pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
6,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU04797 fbp-1; fructose-bisphosphatase-1,"K03841 FBP; fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
7,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07807 fba; fructose bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
8,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU04401 fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
9,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07550 triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
10,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU10106 mitochondrial triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]
11,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU01528 gpd-1; glyceraldehyde-3-phosphate dehydrogenase-1,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]
12,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU07914 pgk; phosphoglycerate kinase,K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3]
13,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU02252 emp-6; embden-meyerhof pathway-6,"K15633 gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
14,A09100 Metabolism,B  09101 Carbohydrate metabolism,C    00010 Glycolysis / Gluconeogenesis [PATH:ncr00010],D      NCU10042 emp-7; embden-meyerhof pathway-7,K01689 ENO1_2_3; enolase 1/2/3 [EC:4.2.1.11]
