"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.718137018264976,0.000672239766612953,0.00206276311946988,0.426097289262105,0.0413650216426503,0.0850659752168462,-3.17854516959521,8.89804149580644e-32,5.53655915294623e-31,-4.50294278425483,5.03035750598755e-47,2.41457160287402e-45
"CM002236.1",2177,6443,".","+",0.619079409699868,0.00461448404668132,0.0123543158540631,0.416683036995981,0.055095797952615,0.109864617875838,-3.58167794788355,5.49379323533161e-34,4.14812253274476e-33,-3.24519282813087,3.32437936917666e-31,6.22279369383487e-31
"CM002236.1",14929,16647,".","+",0.866402909046023,0.000112335223788969,0.000397311949400986,0.281655272609877,0.201009837376612,0.315052447835155,-3.67472527995908,1.16232225861123e-32,7.81080557786747e-32,-3.08631269575682,5.01668832190866e-28,7.73214346862986e-28
"CM002236.1",16440,19615,".","+",0.442072680489901,0.0430996006003643,0.0902272012568374,-0.515855380595712,0.019273890448164,0.0451291093420425,-3.03978383156153,2.31777620657956e-26,9.85788361279406e-26,-2.1947017079276,3.72363606108885e-18,4.27740757786616e-18
"CM002236.1",33980,39245,".","+",0.200656428834334,0.363096962217464,0.504134625227553,-0.481976528495287,0.0301925532566278,0.0671834297630924,-3.99940450785211,1.16312097607838e-37,1.42112235622668e-36,-3.16190189843663,1.67385270803194e-29,2.75693387205261e-29
"CM002236.1",40949,43632,".","-",-1.01308699285152,8.47638151933738e-06,3.41085531796091e-05,-1.13216747578697,8.38175973431604e-07,3.094803594209e-06,-4.41915308253265,7.38545688480171e-41,1.45971383134904e-39,-3.44719109503287,1.70832413776832e-32,3.62143161066344e-32
"CM002236.1",43708,45551,".","-",-0.434395292571343,0.039355935642104,0.0842267157690888,-0.541527828500604,0.0107002872993011,0.0271955460594519,-3.79623047301653,1.41027914548872e-36,1.31626053578948e-35,-3.46129931031843,1.25605567580772e-34,3.66986701801211e-34
"CM002236.1",45331,49154,".","-",-0.161389781735182,0.446382895489049,0.581335863892715,-0.531896830893502,0.0131863080936586,0.0326172813922542,-3.06696197973949,2.58522470003367e-28,1.29647089434524e-27,-2.25945032021477,7.7456945635914e-20,9.18008244573795e-20
"CM002236.1",58145,61150,".","+",0.419197036663595,0.0473806768568989,0.0979686610702648,0.172972881798076,0.412724575967459,0.528673528042598,-2.3909710381953,4.30522220455751e-20,1.38426283323572e-19,-1.82982264685179,1.22634046867256e-14,1.34218370512697e-14
"CM002236.1",90323,92593,".","+",0.128761570430731,0.551546474467124,0.67388951062165,-0.0915266241409575,0.672678477090484,0.748454578297245,-3.69522848514556,3.357574704236e-34,2.56396613778022e-33,-3.14068485270897,1.13309458660194e-29,1.89885177605113e-29
"CM002236.1",180222,181975,".","+",-1.30250376947769,4.07258000859648e-09,1.98316939549046e-08,-1.07031135590853,1.04914620772481e-06,3.83166441082105e-06,-1.73744423704688,7.12460492470097e-13,1.62848112564594e-12,-1.58865239184489,6.19265123362101e-12,6.52266713008357e-12
"CM002236.1",182427,186051,".","-",-1.4778011968926,4.1656836047073e-10,2.1700305289638e-09,-0.961882758182135,2.54953117256384e-05,8.65295428264093e-05,-2.14556753436037,4.52691050599847e-17,1.20717613493293e-16,-3.13357885324557,7.38021667775063e-29,1.17802983549844e-28
"CM002236.1",185039,188208,".","+",-1.670398140117,6.87613535322898e-13,4.71506424221416e-12,-1.19784146202044,9.02418357226467e-08,3.60967342890587e-07,-2.65186369952508,5.45253111162664e-24,2.09377194686463e-23,-3.28836816705503,3.52900126105832e-32,7.18632984070057e-32
"CM002236.1",188530,190595,".","-",-1.91870093784527,1.55537103023608e-15,1.34001196451108e-14,-1.55749616892684,2.47439789205431e-11,1.3196788757623e-10,-3.02176381390974,1.22739890344377e-27,5.84973094407245e-27,-3.69087979127638,4.65240133232757e-36,1.78652211161379e-35
"CM002236.1",189406,191138,".","+",-1.80482450338924,1.58600533371641e-14,1.22505239569819e-13,-1.4872676070279,8.21821899207335e-11,4.0908467871654e-10,-2.98542783172649,1.52819959931887e-27,7.13159813015473e-27,-3.54900237949465,4.72597734995685e-35,1.50514539297204e-34
