# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-s" "2" "-p" "-B" "-C" "-t" "exon" "-g" "gene_name" "-a" "/scratch/evt82290/MappingOutputs/RNAseq_split/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.flipped.gtf" "-o" "/scratch/evt82290/MappingOutputs/RNAseq_split/counts/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140.antisense.txt" "/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam
NCU10129	CM002236.1;CM002236.1	1151;1528	1449;2878	+;+	1650	0
NCU09901	CM002236.1;CM002236.1;CM002236.1	3178;3895;5114	3821;4860;6443	-;-;-	2940	138
NCU09903	CM002236.1;CM002236.1	9177;12245	12188;13334	-;-	4102	0
NCU11134	CM002236.1;CM002236.1;CM002236.1	15930;16065;16491	16015;16295;16647	-;-;-	474	21
NCU09904	CM002236.1;CM002236.1	17441;18438	18362;19615	-;-	2100	19
NCU14001	CM002236.1;CM002236.1	34691;34982	34875;35418	-;-	622	0
NCU09906	CM002236.1;CM002236.1;CM002236.1;CM002236.1	34981;35950;36557;38669	35866;36503;38605;39245	-;-;-;-	4066	4
NCU09907	CM002236.1	40950	42632	+	1683	2
NCU09908	CM002236.1	43709	44551	+	843	0
NCU09909	CM002236.1;CM002236.1;CM002236.1	45332;45973;47713	45913;47636;48154	+;+;+	2688	0
NCU09910	CM002236.1;CM002236.1;CM002236.1;CM002236.1	49237;51019;52048;52764	50967;51996;52689;52949	+;+;+;+	3537	10
NCU09911	CM002236.1	53114	54518	-	1405	12
NCU09912	CM002236.1;CM002236.1	54882;56904	56845;57945	-;-	3006	0
NCU09913	CM002236.1	59146	61150	-	2005	133
