"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",2.18743365673682,5.40757800494657e-17,6.19061740941073e-17,2.97805331465534,2.91062920666611e-29,5.71913107274745e-29,2.3341916127391,6.02350484875138e-19,9.36989643139103e-19,-1.28166313968535,8.75835318315373e-05,0.000145683498492062,-0.0117362233026626,0.968400633455496,0.977124963486627
"CM002236.1",2177,3177,".","+",3.85444128714629,1.83181337444497e-38,3.76446051262085e-38,4.37425420501937,5.96783016890953e-47,1.2936715720991e-45,3.88571461323721,7.09830448210021e-39,2.39701538290017e-38,-0.618938067832478,0.0653980423858407,0.0850048055769535,-0.370305221905767,0.257924069550379,0.681751541753662
"CM002236.1",14929,15929,".","+",3.30470084693485,5.73082505512748e-32,9.08281706850393e-32,4.08986694476129,2.71303298575751e-45,3.87905992857244e-44,3.36974360635854,6.91978221281245e-33,1.61461584965624e-32,-0.467354911836769,0.145878616747474,0.17599718214417,-0.189529818666735,0.545427401803782,0.778189414038516
"CM002236.1",16440,17440,".","+",1.23020187894509,1.17157966259248e-06,1.19288111100325e-06,2.39699291537562,5.22570979174001e-21,8.09142161301679e-21,1.26380187191853,7.83587606260293e-07,9.78756266555608e-07,-1.02549054501279,0.000801177905458697,0.00126382993537147,-0.901100273423813,0.00194832522841689,0.654280094547088
"CM002236.1",33980,34980,".","+",1.87689149005219,2.01502114860955e-13,2.23079771312293e-13,2.95187285857523,1.08084189458332e-29,2.16813657659699e-29,1.04409491115626,5.56276052853306e-05,6.6992384859753e-05,-1.06188100850711,0.000700760370894122,0.00111590277071292,-0.628973209190441,0.0319539437347727,0.654280094547088
"CM002236.1",42632,43632,".","-",3.68686979516961,2.59757624958224e-42,7.12478057028272e-42,3.02634388495696,1.3863366842746e-29,2.75626701725601e-29,3.18297645970593,1.57386628349519e-32,3.63449533508168e-32,-0.121728874318758,0.682716638144868,0.722496977690317,-0.0162241927029602,0.957221648236495,0.970215607262329
"CM002236.1",44551,45551,".","-",3.15895594982107,6.47612400543589e-33,1.04614310857041e-32,2.643565866184,8.78324682753699e-24,1.46097570992694e-23,2.64390355039097,6.13144874122662e-24,1.08145237640533e-23,-0.571276167741301,0.061913026454264,0.081102444010264,0.133860771317703,0.652794976962789,0.838772895829817
"CM002236.1",48154,49154,".","-",1.20788936831474,1.28673458698973e-06,1.3081477192997e-06,1.5247638512481,8.67592398233847e-10,1.09385007807344e-09,0.863789294036816,0.000648800605500672,0.000762227284784006,-0.975022158654849,0.000930088055433163,0.0014637451364194,-0.245424115944464,0.382538866312295,0.702516140734597
"CM002236.1",58145,59145,".","+",2.43573058501941,1.74933862330624e-21,2.15303215176153e-21,2.53259523881733,9.24578567932445e-23,1.47005293896358e-22,2.26421944591469,1.092363682765e-18,1.69140183137806e-18,-0.349881484231765,0.24063909190106,0.278329552078334,0.3960485376321,0.173165383716202,0.654280094547088
"CM002236.1",90323,91323,".","+",3.29879555756005,1.00562129344619e-34,1.72833122556481e-34,3.40692025035542,4.04358161864812e-36,1.21851428149396e-35,2.93984655670734,3.32799897889946e-28,6.6362472220191e-28,-0.382622741406213,0.215166865611348,0.252783450508436,0.440219646108172,0.142969429525749,0.654280094547088
"CM002236.1",180222,181222,".","+",1.95695668156283,3.37515395291745e-15,3.80554271201431e-15,0.709608548825381,0.00523912263524511,0.00578110083889116,0.511460894580019,0.0469238056361691,0.0521203262603399,0.0544475010205701,0.845043394745305,0.870129566516976,0.350240242992394,0.216613148736277,0.675337215030834
"CM002236.1",185051,186051,".","-",3.37354499271913,4.31932225661402e-37,8.17629452519611e-37,1.80316728796248,4.92824299783248e-12,6.48097709303997e-12,2.35711347239195,1.74241130616822e-19,2.76808604667858e-19,0.893304710354747,0.00135570573701572,0.00211376857372289,0.11219000939325,0.70616115743922,0.856139107220302
"CM002236.1",185039,186039,".","+",3.36004849704821,7.60090945762056e-37,1.4227886227078e-36,1.80362201456829,4.88296423477598e-12,6.43402346229305e-12,2.38097202492168,7.84605524713294e-20,1.26440027004157e-19,0.901109701476931,0.00123520610456335,0.00193036860992225,0.0811492773258613,0.785355853655808,0.896025693814436
"CM002236.1",189595,190595,".","-",4.0024405640101,3.47837869639237e-49,2.46049524629018e-48,1.77103114751901,1.37429595286371e-11,1.7897807758225e-11,2.19715596685045,5.52315458458208e-17,8.28473187687312e-17,0.415161403679453,0.1483090731706,0.178608776291476,0.543747843768896,0.0680736940571078,0.654280094547088
"CM002236.1",189406,190406,".","+",4.11471133426235,2.19256468329792e-51,2.58491836346702e-50,1.87213511325704,1.02989591646775e-12,1.37592456434658e-12,2.26856586364368,6.72131682485608e-18,1.02420065902569e-17,0.697413564720411,0.0139886446243847,0.0198320025054569,0.594486799154786,0.0467144308868602,0.654280094547088
"CM002236.1",194064,195064,".","-",2.3807917136198,4.73045209957191e-22,5.90866879351733e-22,0.870588373219496,0.000472706860581628,0.000531202358379354,1.02775774606877,4.33544991878113e-05,5.23056076377185e-05,0.0430062611986339,0.87707952047428,0.897658750605743,0.22936355328769,0.411514410867895,0.715375031922885
"CM002236.1",195335,196335,".","-",4.05872836869836,5.43703331013426e-51,5.62105597601573e-50,1.59210880897704,8.65482266022855e-10,1.0932407570815e-09,1.74310057102717,2.52655231180935e-11,3.3821576763663e-11,0.191290400767897,0.508513622032942,0.552053560591497,0.452262594302924,0.127850619546782,0.654280094547088
"CM002236.1",196290,197290,".","-",3.56563051846102,6.16688030050578e-42,1.63800140788138e-41,1.52625487158993,2.63121371627595e-09,3.26231663715394e-09,1.57910750882587,8.06663201228422e-10,1.04648199078282e-09,-0.0655802837906294,0.821710620969202,0.850831336350236,0.216407707452545,0.457252472995153,0.731453977672039
"CM002236.1",197194,198194,".","+",4.07958806566477,3.58248976665736e-50,3.08645272204327e-49,2.512067396325,2.124944409411e-21,3.31313838311878e-21,2.63596390596668,2.00220127705903e-23,3.48569756006132e-23,0.0386528307161937,0.895822208348361,0.913493966631409,0.529834777903379,0.0759005553030273,0.654280094547088
