"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","*",4.38541604347642,4.03811665506032e-78,4.15615391113132e-77,5.12056599218434,7.83571337962008e-98,8.73682041827639e-96,4.81435279885709,8.89532180472848e-90,4.95914190613613e-88,1.09905384171919,3.54354212256287e-07,5.55182594846501e-07,-0.2193836418766,0.357859136724223,0.456885042878827
"CM002236.1",2177,6443,".","*",3.1446032141083,1.71319532449445e-43,2.32480258029774e-43,3.73220771781505,3.96070200178191e-57,1.11802094480679e-56,3.55327392999631,5.35634916754587e-53,1.33708865413738e-52,-0.515057620483312,0.0230714350514785,0.0278606318581933,-0.227290948617864,0.344323004184702,0.445555299418889
"CM002236.1",14929,16647,".","*",2.89345451386038,1.27405238929442e-43,1.73240050495522e-43,3.88153757680098,7.27978195701609e-70,5.23674637553093e-69,3.16123165093379,2.50350608099213e-50,5.63921066728529e-50,-0.715754629983562,0.00145402464333225,0.00191862423350941,-0.359344018776283,0.118314505437307,0.211073077700156
"CM002236.1",16440,19615,".","*",1.94979305071774,3.69240324165785e-23,3.95234842987056e-23,2.3931020856419,7.83765368751721e-33,1.14986629757654e-32,1.46429061154685,6.63063746000629e-14,8.35385397503617e-14,-1.13044666500069,1.5413179972425e-07,2.43193806640386e-07,-0.464207623235715,0.0333684156304543,0.106887307763609
"CM002236.1",33980,39245,".","*",3.22716453314611,1.42535190203576e-45,2.00749562623563e-45,3.34498359347758,4.30063713680818e-48,8.48709806644447e-48,2.67193582886055,3.81998625012102e-33,5.99899249138724e-33,-0.810713477621403,0.000336237294626089,0.000467656445124435,-0.0824333076848002,0.729275299866237,0.79330922863498
"CM002236.1",40949,43632,".","*",3.76924628994883,2.3951230467361e-67,7.45273171286723e-67,2.656742770137,4.42515132677448e-37,6.96570879438147e-37,2.53595292539911,1.89387930270486e-34,3.07525546968338e-34,-0.840409399813823,0.000143024767424051,0.000204016139459893,0.297386781454572,0.19463513457781,0.293929808199898
"CM002236.1",43708,45551,".","*",3.51702407447384,7.57452359542148e-63,1.75949871018645e-62,3.02464778092793,4.00113548091933e-48,7.94290693393184e-48,2.92490589761146,8.078426588693e-46,1.61810400833402e-45,-0.284692156706434,0.189475927751922,0.208143506840781,0.176146349809857,0.440579322265054,0.539830708050039
"CM002236.1",45331,49154,".","*",2.30836316018486,2.44744020158927e-30,2.784587576298e-30,2.08653469998273,3.05950189133704e-25,4.15173786065818e-25,1.68636865097249,1.95208342225414e-17,2.55566303226618e-17,-0.849732883877296,6.43279896428214e-05,9.33523320413178e-05,-0.0124374774532565,0.955244320426085,0.971213450402812
"CM002236.1",58145,61150,".","*",1.85885721996922,5.27987533524658e-22,5.57135110296524e-22,2.24162221202349,2.63519409905233e-30,3.79945011264226e-30,2.03539766385348,1.25701171276698e-25,1.76668242823762e-25,-0.512227027422003,0.013754111993027,0.0168525657936539,0.113802915975542,0.600515533169954,0.685571487526791
"CM002236.1",90323,92593,".","*",3.44747602211095,1.96886550187331e-56,3.5695691619329e-56,3.50586561350254,2.64245443943115e-57,7.58713313295898e-57,3.26300965977482,2.73048315712437e-51,6.29894217971104e-51,-0.319689762127371,0.151013147316159,0.167541949509968,0.515551738527492,0.0287553180195425,0.105982723543178
"CM002236.1",180222,181975,".","*",2.00818012245647,1.11142799508134e-28,1.24965601463768e-28,0.68384082593875,0.000142291424670052,0.00015708409753179,0.811574193438426,6.17366494128643e-06,7.27144691147997e-06,0.187837383796447,0.327602028685668,0.350105043435642,0.478775393942735,0.0205456258664079,0.0883698441880502
"CM002236.1",182427,186051,".","*",3.32237761283903,3.18049523067567e-51,5.03014493929556e-51,1.83803388281023,1.9672448876967e-18,2.5260783682708e-18,2.35805888933034,1.58891591725127e-28,2.31105347666851e-28,1.13428363160847,8.27822293003518e-08,1.31235335075676e-07,0.40329781054084,0.0864996083013111,0.171715839624858
"CM002236.1",185039,188208,".","*",3.49334723065934,2.26950530409579e-59,4.5322359654928e-59,1.76565799445813,3.27422252225506e-18,4.18025738051266e-18,2.28853386849906,8.92765090528653e-29,1.30978036307822e-28,0.834687498533612,5.57487341628089e-05,8.14321029583388e-05,0.361387307779937,0.11424775244133,0.206015488903639
