"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",4.44071357793136,7.66245798329035e-41,1.03325383146712e-39,4.97401919084462,1.13945763786379e-46,1.26013656041937e-44,4.9601149741127,3.32572595844087e-47,4.2586796088877e-45,1.25500702400953,0.00019860126308233,0.000380769797540827,0.10060995718548,0.778591884020537,0.927517104415367
"CM002236.1",1501,1800,".","*",5.22079718351657,1.06259939361912e-53,1.29731996462007e-50,6.52751036627297,4.26976265523157e-66,1.03883325401784e-62,5.31681292122601,2.4227563351047e-54,1.47364154082743e-51,1.84828528596379,7.21765924944882e-09,1.61384494130509e-08,0.241696395796059,0.511912363267628,0.828113550418975
"CM002236.1",1801,2100,".","*",5.25848685237907,2.01942197637133e-47,2.30398556071371e-45,5.755457980482,2.45189151720472e-51,6.90765394756732e-49,5.33658569200118,5.62836484543158e-48,8.8954940832102e-46,0.911048520862968,0.0109549831076022,0.0184580844188339,0.168180411238934,0.654586503132801,0.891582183741967
"CM002236.1",2101,2400,".","*",4.09930016013239,7.75161063463194e-34,2.36336700176184e-33,4.62381612298963,6.16598571829781e-39,1.57914139501248e-37,4.44896475737657,1.05120511661533e-37,1.16253729487504e-36,-0.595123126472756,0.15944116248704,0.215751027992752,-0.0499018218124844,0.895648665101651,0.966225313785695
"CM002236.1",2401,2700,".","*",4.32110700156834,3.50915840767136e-38,2.33593607031956e-37,4.64331437132473,1.99271369041596e-41,7.6956704901302e-40,4.38513333111661,1.63453127738696e-38,2.18506296586949e-37,-0.368731249442557,0.365812751174425,0.444344694761546,-0.225754628434816,0.537039138380784,0.837574502359261
"CM002236.1",3301,3600,".","*",1.77002996072601,1.63828130676591e-08,1.71364506421387e-08,2.78008694539306,1.09188511888041e-17,1.80841150050105e-17,1.8010544443821,1.77648728896772e-08,2.32251132405076e-08,-1.72733164185821,0.000540264112104115,0.00102133844968867,0.574048635483911,0.126222570137456,0.571202185955163
"CM002236.1",3601,3900,".","*",1.2339648073989,0.00011974440262915,0.000120736896641824,1.8523656656648,2.24704951583164e-09,2.98095500110054e-09,1.83496955847936,1.30120056332308e-08,1.70664203264963e-08,-0.542904569676317,0.233823691947358,0.30228110653981,0.285673348890702,0.437539150921871,0.796805953737209
"CM002236.1",3901,4200,".","*",1.92806136678057,1.01381038953138e-09,1.07243507727384e-09,2.38754944822061,7.809987509377e-14,1.1537158233342e-13,2.36424308453268,1.72520303934316e-13,2.54081052949268e-13,-0.634859644322291,0.20997660636775,0.274367928728644,0.706096056677471,0.059357834484597,0.477046707600176
"CM002236.1",4201,4500,".","*",1.90942678550313,1.15339154830587e-09,1.2184983226349e-09,2.23474045220049,2.02416582483987e-12,2.85992767237828e-12,2.19968176465527,3.98624878107503e-12,5.62887015923132e-12,-0.422706286307265,0.337243080694842,0.415870458859884,0.30354439853469,0.45271997644823,0.80399102386755
"CM002236.1",4501,4800,".","*",1.71217174491813,1.51900287786621e-08,1.5902469887472e-08,2.23800183605819,1.77827125059353e-13,2.58918848156437e-13,2.52999569454631,1.35481167248965e-16,2.13211953374342e-16,-1.28635433108179,0.00315437595757249,0.00565556131523497,-0.354499645556737,0.31937249624308,0.740497292643943
"CM002236.1",4801,5100,".","*",1.22505261350889,0.000117600951928024,0.000118624840812969,1.91130728504144,3.09889048664744e-09,4.09315990988775e-09,2.0144848935818,6.53476878527074e-10,8.78888471783511e-10,-1.29036699266351,0.00579056921713001,0.0100847923445077,-0.36811230065602,0.325745882254697,0.742214544635144
"CM002236.1",5101,5400,".","*",1.98983864771974,7.20847695718301e-08,7.49496770804542e-08,2.96616852515578,1.68492654308788e-13,2.45916393481272e-13,2.11631516528987,1.74567352094765e-08,2.28345358949765e-08,-1.26631988259334,0.0137337362232708,0.0227927559558103,-1.0854789371588,0.0139635209367071,0.35943358313111
"CM002236.1",5401,5700,".","*",2.70887093527117,1.04680001027321e-14,1.18956769032916e-14,3.36691770084288,1.63925843736039e-19,2.87549803756153e-19,2.87861338853699,6.32678712884887e-16,9.77337973618369e-16,-1.70788841784382,0.00217402572533195,0.00393264281764508,-0.31618073607342,0.436073302919266,0.794731345320281
"CM002236.1",5701,6000,".","*",3.40655177803153,1.89101756345976e-25,2.8954346959708e-25,3.15081245231979,1.99187660850528e-22,4.04527194365054e-22,3.31951993996285,6.22212337471785e-25,1.29943572280588e-24,-1.00142387647162,0.0304857229374538,0.0483203673660098,-0.0608904400208391,0.86870461235539,0.957661224223228
"CM002236.1",6001,6300,".","*",3.62730567026304,5.61834602052988e-28,9.86962878552288e-28,4.1588121050579,9.33132703045041e-33,6.61898503355272e-32,4.04022685983483,4.0722195056846e-32,1.6485374471432e-31,-0.790230305105281,0.0849308669092509,0.123734610293537,-0.0271379300666047,0.944735992706252,0.985726523772057
"CM002236.1",16201,16500,".","*",2.02755566214038,3.23008313795394e-11,3.48814570556677e-11,3.3377703073885,2.26898198454556e-24,5.26256736739691e-24,2.4190413939543,1.13681399150939e-14,1.71473554949928e-14,-0.913927141389314,0.0453163457271506,0.0700029645423222,-0.815500191262283,0.030560710064255,0.395501104182619
