"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2701,3000,".","*",3.09564000624138,1.13524671965024e-21,1.8661358148647e-21,3.46317774204639,2.43511698365137e-25,9.19840422249132e-25,3.42374387628607,2.61881758704089e-25,6.84491895380592e-25,-0.799477256581484,0.064909118521045,0.0891591005338887,-0.919531273550993,0.0145174396810423,0.291588086360084
"CM002236.1",3001,3300,".","*",0.240170807924128,0.477238017625202,0.483373308944534,1.173825166118,0.000221930717410329,0.000275353859734075,0.886183833240532,0.0057690205228197,0.00698488434321639,-1.57281449970788,0.000766048835660487,0.00133063285942286,-0.393735200941039,0.278514720623892,0.694767550036643
"CM002236.1",15601,15900,".","*",3.33460275930692,2.60651883073357e-24,4.86461974669904e-24,4.02788134728917,6.2382838093649e-31,6.88082704172948e-30,2.92803474225334,8.23253115228444e-20,1.63907614818948e-19,-1.3987867642493,0.0049096674567226,0.0079637694187721,-0.931503338535881,0.015924317653775,0.302836592622652
"CM002236.1",15901,16200,".","*",2.78253669336502,5.78648173542321e-18,8.33223153286136e-18,3.77199983014508,1.33038320641749e-27,6.95456244871324e-27,2.92199674252621,7.5866544827298e-19,1.45531824251321e-18,0.145353304655586,0.71343426328588,0.766229788124952,0.126869685883657,0.731720217509953,0.906769736167092
"CM002236.1",17401,17700,".","*",1.93188716622977,2.77993887951854e-10,3.32567525391426e-10,2.17416302274793,2.80911316451643e-12,4.49050988472699e-12,1.58199356863394,4.01868878202914e-07,5.43212466492419e-07,-0.829622024482528,0.050296399374239,0.0703129638907295,-0.733652440820048,0.0403659368345125,0.449847603043455
"CM002236.1",34501,34800,".","*",1.3462725986408,1.77202064501326e-05,1.92755302904303e-05,2.35255922065476,3.17826534789941e-13,5.27161906576399e-13,0.927949644061717,0.0041646932307107,0.00507586368339658,-2.57100310356335,3.7787962126661e-06,7.32515329098542e-06,-0.752436090548168,0.0473628536421159,0.467066229564792
"CM002236.1",34801,35100,".","*",2.47195935514992,8.09577714789209e-15,1.06431968940703e-14,3.01881558111409,1.05084320473239e-19,2.30433410500959e-19,1.54268017970169,1.44644689722697e-06,1.91989281304615e-06,-0.100511836614275,0.798958625722698,0.840888706271122,-0.521831134322492,0.165731085590175,0.617572254749876
"CM002236.1",42601,42900,".","*",3.49802750998938,3.89037668803699e-25,7.63538342865623e-25,2.66697792893094,1.12745691582596e-15,2.02208939537566e-15,2.83514336286941,1.17115325392202e-17,2.17471723750167e-17,-0.297237469129323,0.457151829113493,0.516637774090351,0.001345831758726,0.997406803894993,0.997406803894993
"CM002236.1",44401,44700,".","*",3.10410519068663,4.6212801008535e-22,7.77023163298995e-22,2.80660983296839,1.88128405519209e-17,3.62710105958226e-17,2.76920108422205,2.7419132186655e-18,5.13468638402045e-18,-0.660909718346145,0.153661952200865,0.196623124451919,-0.0522564486496304,0.89319417854588,0.968724856377685
"CM002236.1",44701,45000,".","*",2.83612379667735,2.08061411517695e-20,3.24599344984467e-20,2.07500598721074,4.67523798686228e-12,7.41983812879006e-12,2.48633555940522,2.70238807553841e-16,4.73884586219216e-16,-0.58297886205045,0.142446601159757,0.183549767615902,-0.302048680683677,0.400751679344582,0.750473857923726
