"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",0.617590221377187,0.00673013852633587,0.104853741354994,0.557457445069196,0.0151238388199417,0.100476196516643,0.521372407460005,0.0219811403112036,0.12394407688082,0.495817195384247,0.0291708233518685,0.123104543830841,0.581774411389376,0.0212748697570126,0.116060468349232
"CM002236.1",3177,6443,".","+",0.334103784392211,0.187692420174193,0.524756724737015,0.19607029851988,0.441629511169779,0.693989231838223,0.182297382767361,0.472787323388427,0.695702399108847,0.304094389216677,0.230629192926084,0.432280731607729,0.139987678163252,0.616233630407706,0.745032010817244
"CM002236.1",15929,16647,".","+",0.311575854421033,0.279622829554995,0.613625981611744,0.49893834309742,0.0893105144836326,0.289127959143175,0.367929384014275,0.202347536432264,0.440828561513147,0.369061158056635,0.202059982238004,0.402862405271268,-0.0216876620471399,0.945439051763071,0.961196369292456
"CM002236.1",17440,19615,".","+",0.57842247319421,0.0350511743376653,0.236865509741411,0.354504227144974,0.197902181263776,0.453650697786383,0.480911815869435,0.0797155023388417,0.260964861366606,0.200924217116364,0.464050136055806,0.666892531267756,0.653032823549412,0.0322883862071549,0.146388561790547
"CM002236.1",34980,39245,".","+",-0.00589382407668884,0.980926406484804,0.992889504614143,0.00855726687451376,0.972346755115958,0.987095913777891,0.0282903230693189,0.908553771490984,0.964411605479614,0.115162501260995,0.639556547441455,0.786433694968376,0.16201925702511,0.548668467015458,0.707993348783408
"CM002236.1",40949,42632,".","-",-0.0213917119370379,0.937834412931218,0.978670381391203,0.481111833852841,0.0792861047450784,0.278539142847893,0.438755240321263,0.106532985718619,0.307453871440687,0.715768934791672,0.00881815515203117,0.0608952777552271,0.689164836901521,0.0237310418306107,0.126806367489854
"CM002236.1",43708,44551,".","-",-0.0363904943044881,0.892678580830867,0.965439438076859,0.801208194488715,0.00330378496800631,0.0388919247988111,0.891720455825055,0.0009520154847176,0.0187883055954562,1.22286664960274,8.3687666593925e-06,0.000369801844205986,0.721334803015902,0.0163673590853472,0.0989414229393508
"CM002236.1",45331,48154,".","-",0.218583574767763,0.407418691267056,0.713656728947621,0.418369995492533,0.114116608792923,0.329858742236907,0.463724317310055,0.0787779305112144,0.260964861366606,0.612381180651802,0.0206495619059304,0.100074011878145,0.365125390190722,0.210908045658334,0.399772030047294
"CM002236.1",59145,61150,".","+",0.468936256163547,0.0702713650774927,0.339060481894856,0.595209036604144,0.0226188658037332,0.129720162002607,0.475430517963158,0.066752418679639,0.249441888188613,0.401051075137837,0.122079251489068,0.297873373633326,0.524182349870556,0.0690089797631673,0.22683868691933
"CM002236.1",91323,92593,".","+",-0.383116725377254,0.170696508361832,0.495832714765322,-0.369072880448078,0.188143516783693,0.444522182260063,-0.212732040056136,0.441533978336811,0.662794853387026,-0.0731841239736068,0.790231686991727,0.87661027920467,0.267873773082033,0.379015453696961,0.55771174600911
"CM002236.1",181222,181975,".","+",0.166453614243672,0.569224287993706,0.820979895807994,0.916438070996116,0.00213206094114622,0.0304385721597683,0.552722204780076,0.05676762728558,0.225355957796068,0.861522321495023,0.003474388582098,0.0284306675437532,0.162742629946675,0.614419470649591,0.745032010817244
"CM002236.1",182427,185051,".","-",-0.10128918307706,0.710499452095014,0.863668718035787,0.0707952975695691,0.795115291979309,0.916705087488172,0.264199741427812,0.329368074152724,0.572045871347457,0.156722951767174,0.563137067042385,0.738017523409063,0.254335907490092,0.396743086347864,0.56917685268238
"CM002236.1",186039,188208,".","+",-0.191608917504545,0.45761349693563,0.752594746185803,0.0454139922924524,0.859690948988476,0.941447548267,0.0308418988795761,0.904041270538302,0.964406506408904,-0.297260670782884,0.251171390584686,0.454274940922707,0.04897406579889,0.862099719648277,0.922597945588507
"CM002236.1",188530,189595,".","-",0.00100551763380477,0.997115156767717,0.997215252410224,0.0922320026495458,0.741208773647275,0.88480546001906,0.419306825931174,0.128603523147429,0.3437966694499,0.281692568987487,0.310098521498368,0.522804291269862,0.420005598369103,0.174292230749071,0.359835444063605
"CM002236.1",190406,191138,".","+",-0.112255795328334,0.690478400026204,0.856023500699985,0.134433509983238,0.632358030390449,0.81037946554828,0.355791049925876,0.198396382052687,0.435045661298538,-0.165498904567637,0.554857455776562,0.73186610297839,0.497883076699696,0.111050763471822,0.287685157609094
"CM002236.1",193143,194064,".","-",-0.180231831906051,0.52827165041679,0.796231705463862,0.0225521638979121,0.937470265022119,0.972268677394066,0.0203201236410639,0.942836224748761,0.980842026056463,-0.0746743030929297,0.793927372838622,0.87715490581188,0.409787539468514,0.193410767925544,0.380402378686601
"CM002236.1",195020,195335,".","-",0.0310197178049682,0.928700683867127,0.976676352694894,-0.121498086233008,0.733353781575027,0.88028691849167,0.192284514047364,0.574165839851109,0.761839661401429,0.00554596264409441,0.987225518971546,0.991659166511837,0.236994989732592,0.53923952325983,0.698512973180205
"CM002236.1",195780,196290,".","-",-0.668712775864622,0.041972841141565,0.260775707462871,-0.92352201060884,0.00599145196210725,0.0559454744743786,-0.225472355008714,0.477766587467605,0.701490985100138,-0.514820214025623,0.112469007508034,0.290794767157951,0.139844052409958,0.690408027471829,0.808488283479227
"CM002236.1",198194,198497,".","+",-0.455705329595943,0.203712193643258,0.555653991604172,-0.893298771969166,0.0176321556152055,0.110571742222457,-0.473801571867892,0.18593650841192,0.42149796332567,-1.18303796710319,0.00161349056244036,0.0161589875730968,-0.464919656971496,0.239491916719413,0.430828622302215
"CM002236.1",208394,209343,".","-",-0.715461949164691,0.00788438834234574,0.104853741354994,-0.661637516370572,0.0142518528296739,0.100476196516643,-0.274981524707082,0.29170285520923,0.527132003992224,-0.888041475953217,0.00117665865434654,0.0129432451978119,0.0260809394088059,0.92723669724059,0.953393450232063
"CM002236.1",210486,212487,".","+",-0.0453401521080737,0.864921140306817,0.952700392781524,0.140312958546103,0.598198988399165,0.788788906739478,0.28426154677743,0.282502665622497,0.516510323249852,0.0245752751403778,0.92618471084401,0.954638926230923,0.365326136869079,0.213882885224728,0.402611609065309
"CM002236.1",214619,215734,".","+",-0.389029015826804,0.169511347421276,0.494530930955114,-0.152494506031466,0.588323484465319,0.787954207736984,0.153395907341062,0.580253284422699,0.766436917022896,-0.229183527332934,0.414443652693163,0.629166721622426,0.308961116397576,0.315051135476411,0.497823090620236
"CM002236.1",216104,216521,".","-",-0.00850762073031926,0.977583420677796,0.992889504614143,0.140403746961048,0.647085426713873,0.822337729782214,0.364280109602929,0.226412974209771,0.467455709830019,0.118034714542926,0.698363667234388,0.829384107458892,0.568562820534644,0.0935498630963077,0.267051749143383
"CM002236.1",219395,220979,".","-",-0.114762390367291,0.672460205735893,0.844588320538762,0.306681055266299,0.258757044114833,0.522367987661748,0.268200055653754,0.318664542583011,0.559748450453404,0.064014377289785,0.812567526405206,0.883336311852342,0.63783052809181,0.034950118276509,0.151300189442178
"CM002236.1",224661,224874,".","+",0.181651641040949,0.610986405916122,0.825901871056997,0.794952934922863,0.0307254461349191,0.15229545723337,1.322891477558,0.000259677686102313,0.00726015530727716,0.929255898910108,0.0104932107224538,0.0645886792381746,1.32233314521779,0.00143536884415276,0.0248550179210366
"CM002236.1",243323,246248,".","-",-0.561699630275123,0.0328859090465849,0.232791032189486,-0.10554867465431,0.682280083270762,0.843112220763686,0.00414960169768359,0.987061423720656,0.991494334306228,0.0482143768354041,0.850579228580233,0.903067503761608,0.207540982723672,0.462711735311684,0.636228636053565
"CM002236.1",246886,247478,".","-",-0.144677082981767,0.607336203571519,0.825901871056997,0.0773548801227996,0.783433076076929,0.909487186933597,0.423434170885159,0.124146212991345,0.338029530782425,-0.0498436430120952,0.859204237141582,0.909347071170349,0.121892615857654,0.694023697957353,0.809402811648753
"CM002236.1",249096,251944,".","-",-0.512637708716216,0.0538305930603696,0.291570703355407,-0.13640577463093,0.601877675485265,0.788788906739478,0.0504189815832932,0.845697117299497,0.929070867605749,-0.455494125155409,0.0849720422954968,0.236154576868673,-0.0929126131421596,0.745430879929812,0.842060808809603
"CM002236.1",254974,255694,".","-",-0.441112550784445,0.14988994064158,0.464598204018195,-0.295870421279324,0.331520455304343,0.594786699222498,0.0470296405962864,0.874850712363769,0.945289578093541,-0.440415970999632,0.150083238143725,0.334570939516411,-0.0183120012814878,0.956083331803858,0.967619782263029
"CM002236.1",256165,256694,".","+",-0.359118519856701,0.25095018795313,0.588463265499354,-0.25442291238787,0.421712174049622,0.67842937136918,0.0729590671538475,0.813097025985228,0.922528010914964,0.162934875673916,0.59811975222255,0.76677438593545,0.0452545199783944,0.895212889599798,0.937428337005324
"CM002236.1",257492,259361,".","+",-0.460592614995396,0.0907101297160532,0.375702828455504,-0.33972367695231,0.211013925416356,0.465464884281849,-0.0129622050073719,0.961245556654623,0.982866561400471,-0.502112353292636,0.0657930695991801,0.197969281170627,0.0226825068129221,0.938465373443426,0.959727872196284
"CM002236.1",262019,263387,".","-",-0.0278237273950073,0.922067262050049,0.976676352694894,0.296520844107073,0.297602137786537,0.56499641117625,0.33213526901729,0.238867692340533,0.474774886027675,0.0221700767580095,0.937799020676736,0.960707088357389,0.613489518072943,0.0523206049885118,0.193076678033374
"CM002236.1",264035,265388,".","-",-0.260951648804257,0.362867648088478,0.672128814165027,-0.142121321606456,0.620177391726244,0.801809306066108,0.226616145546266,0.422513409889431,0.652896168501842,-0.180534073718955,0.527473323756526,0.712142052798046,0.421660770742782,0.179801214912084,0.366220456252524
"CM002236.1",291632,292877,".","+",-0.684220547039569,0.0187931940596381,0.167056331982061,-0.654326511385837,0.0252759591186646,0.139017775152655,-0.296068828347379,0.296170429716315,0.529332861817922,-0.732227667008201,0.0121454498273443,0.070866059427374,0.0622878776477624,0.84128391457214,0.909020139577948
"CM002236.1",293166,294573,".","+",-0.711600662323206,0.0146711178893123,0.154650008625259,-0.561777575060836,0.0527250660100165,0.215722678614153,-0.209435391823729,0.458600692820256,0.679642027685576,-0.607049492395772,0.0365004856379583,0.13975646642307,0.0494752502030215,0.873484213606781,0.930330011635159
"CM002236.1",296498,297770,".","-",-0.284732751372665,0.313702569171698,0.639485902401582,0.16632348037293,0.551670687960407,0.767989692160649,0.423148107552904,0.126194858025624,0.340216394133509,-0.0767954298972313,0.783433497337011,0.87661027920467,0.0427271403804548,0.890346272121745,0.937428337005324
"CM002236.1",302352,303729,".","+",-0.290113665401916,0.32196705778034,0.639485902401582,0.0119325382568728,0.967355133309252,0.987095913777891,0.0905619173841636,0.753491010948798,0.881497269925409,-0.172404558419417,0.555171157102832,0.73186610297839,0.447162398783965,0.166637061920052,0.349417089213608
"CM002236.1",8866489,8867649,".","-",-0.462124096918223,0.137365946869439,0.460862751746967,-0.56426803211327,0.0725948448927252,0.266181097939992,-0.457812350659034,0.138822432613894,0.361045939084972,-0.59802266087949,0.0573023713491372,0.182226972394649,-0.214135387021081,0.528412585765734,0.691159542005472
"CM002236.1",9649954,9651509,".","-",-0.507664619734995,0.321087602157917,0.639485902401582,-0.258423021368685,0.610820620989359,0.795845896473514,-0.0854633848570712,0.8646422237501,0.940315935391113,0.289886232989838,0.560426574322987,0.735902605422161,-0.254218601038453,0.644061353093546,0.768977167127703
