"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",4.32099401341346,4.64344995729703,4.38512636948285,-0.368337444481832,-0.225929557302287
"CM002236.1.2701.3000",3.09574031012562,3.46309053881514,3.42393482132058,-0.79896849247468,-0.919568279241485
"CM002236.1.3001.3300",0.239626863589344,1.17369010572421,0.887074959473226,-1.5721574518362,-0.393422600452537
"CM002236.1.3301.3600",1.76974522239895,2.78021663782617,1.80091681670311,-1.72825997422107,0.573794221956663
"CM002236.1.15001.15300",3.44288314773704,3.64037142872416,3.53503923348433,-0.166925775035083,-0.0233433124063067
"CM002236.1.15301.15600",3.03251189132829,3.96587399451641,3.39717595050234,-0.872235747704901,-0.458224444644528
"CM002236.1.15601.15900",3.33546879125905,4.02790580186157,2.92839002576322,-1.39858467854582,-0.931518581935975
"CM002236.1.16501.16800",1.11922632119424,2.36375032607173,1.44019684929869,-1.18896390555848,-0.806712904509968
"CM002236.1.16801.17100",0.0210559232452459,1.47364233210987,0.517552144471514,-0.374739335799035,-1.40207736784265
"CM002236.1.17101.17400",-0.446011938813748,0.622489571922704,0.139699021316126,-2.29573244153679,-0.62804821240198
"CM002236.1.34201.34500",0.496020522459921,2.14047132255319,0.326675959962983,-2.11260388058838,-1.17830317599376
"CM002236.1.34501.34800",1.3469286490786,2.3522718785852,0.927998230280252,-2.57166629618787,-0.752540637047207
"CM002236.1.42901.43200",3.68082847874606,2.95590072313653,3.17391430548577,-0.204610322204637,-0.0536709208754943
"CM002236.1.43201.43500",3.02884710323715,2.30861748356662,3.12239862194248,-0.40266601824075,-0.571226943768836
"CM002236.1.44701.45000",2.83639922117931,2.07494243008009,2.48694766879283,-0.582609227188393,-0.302249081339994
"CM002236.1.45001.45300",2.84145530224572,2.28264362234534,2.30137241582712,-0.760546117622561,0.0142970574606845
"CM002236.1.48301.48600",0.154864262003729,0.414949666280221,-0.0208909049002877,-1.58239832360911,-0.385458162206447
"CM002236.1.48601.48900",0.605226142218808,1.03986183437265,0.739494085231371,-2.07911846251295,-0.179829407404288
"CM002236.1.58201.58500",1.81849289641923,2.11476463494068,1.68393705338174,-0.3934786803079,0.0603880105974625
"CM002236.1.58501.58800",2.15656612341725,1.90671740269527,2.34957405661254,-0.327419569969612,0.530361583817407
"CM002236.1.58801.59100",2.55782897284347,2.5312414448549,2.55879910810614,-0.197163201594019,0.275487769893205
"CM002236.1.90601.90900",3.26110014409015,3.50730672231729,2.75774695643797,-0.0975596616941374,0.782266133084704
"CM002236.1.90901.91200",3.25573089219225,2.98831415309322,3.35524574039938,-0.446820501546839,0.28630692333153
"CM002236.1.180301.180600",1.58723987723037,0.560505387064771,0.389227244914161,-0.114876999228143,0.257062837481099
"CM002236.1.180601.180900",1.94999604469177,0.400366073407711,0.811177269542666,-0.83594447447661,0.395480801951861
"CM002236.1.180901.181200",1.88891700150862,0.415769750462401,0.632202436853141,0.235414179561112,0.254679953168334
"CM002236.1.185101.185400",3.62767743910223,1.93280475362959,2.55713408240796,0.987164850037287,0.392461820485916
"CM002236.1.185401.185700",3.76122165418143,2.01337110753734,2.56301913384989,0.786341379387793,0.204601422483027
"CM002236.1.185701.186000",1.84346054389806,0.875904398355175,1.61965537658907,0.332257234274571,-0.91432786603191
"CM002236.1.189601.189900",3.6431337799995,1.07798833330827,2.06825770664815,0.725890048837252,0.467124820986021
"CM002236.1.189901.190200",3.02596177481782,0.870583881528133,1.58769322704027,0.150886056222715,0.213286716164902
"CM002236.1.190201.190500",3.90455755064162,1.53488804811547,2.27930157799351,0.456226998642629,0.666472168115895
"CM002236.1.194101.194400",1.80715575397512,0.395352972008475,0.703854330174624,-0.0383655500907219,0.420761500083422
"CM002236.1.194401.194700",0.966377215178908,-0.0447745649080732,0.357894079205054,-0.260137617563682,-0.189382779451719
"CM002236.1.194701.195000",1.40907548211815,0.464460847739756,0.636511725072939,-0.766956755749381,-0.115271645977783
"CM002236.1.195601.195900",3.72778483671366,1.07466642349007,1.27101789784382,-0.0781854370162641,0.0132233571484585
"CM002236.1.195901.196200",4.23152864258547,1.59365528622105,1.6084068481257,0.209941174969385,0.0283526629354145
"CM002236.1.196501.196800",3.31725391464997,1.1804028161857,1.15072413448481,-0.12165359880792,-0.180195457349093
"CM002236.1.196801.197100",2.10955456260167,0.514113464935376,0.568325534129975,-0.591759377715389,-0.232749452575436
"CM002236.1.197401.197700",4.00968867796763,2.29023321690055,2.77093377005539,0.223913424638572,0.533950889960938
"CM002236.1.197701.198000",4.38423244785573,2.80678846607698,2.87294704617924,-0.12712210349544,0.676605370515924
"CM002236.1.209401.209700",3.75422865898559,2.55626308083631,2.52917649921547,-0.295308082880783,-0.0398571787302641
"CM002236.1.209701.210000",2.68533934949844,1.55665105056113,1.88427791668086,-0.630942563105531,0.325139417158815
"CM002236.1.210001.210300",2.52875627600555,1.17242035445582,1.60310554918555,-0.137677709732935,-0.675114562886884
"CM002236.1.213901.214200",3.58274940648006,2.18226357660519,2.70977566871011,1.77198712850661,0.163269858165825
"CM002236.1.214201.214500",4.21986285765645,2.36183001519648,2.84715987615499,1.96760017010133,0.469000214607298
"CM002236.1.216601.216900",4.40443224357197,2.96355533774355,3.20284464675239,2.85398203143513,-0.00398462527745696
"CM002236.1.216901.217200",4.32033305876046,2.85151573977367,3.50687031516295,3.15463741203921,0.537817642533298
"CM002236.1.217201.217500",4.09616886901469,3.01165662933601,3.57548092988369,2.83546409288564,0.1180766048544
"CM002236.1.221101.221400",3.47843369376015,2.50958158036146,3.05952062274423,2.84133513079565,-0.0231227736860491
"CM002236.1.221401.221700",3.29018865313857,2.24087006378923,2.667830840565,2.724641244637,0.777885799101242
"CM002236.1.223801.224100",2.30573791424108,1.04663663825596,2.06040716465776,2.15207334657402,-0.0881099499195557
"CM002236.1.224101.224400",2.25611082058658,1.19245417264416,2.22936275960132,2.18843001320565,-0.575152663736038
"CM002236.1.246301.246600",3.0663717217147,1.09091343191874,1.7424607793647,2.53283602186563,-0.513027739924919
"CM002236.1.246601.246900",3.15709209531111,1.04871911548835,1.69522922686029,2.57888572569313,0.101351604888123
"CM002236.1.246901.247200",3.86670399563978,1.86306012719986,2.21728052620574,3.57175914291319,0.4522821501773
"CM002236.1.247501.247800",3.52022612225034,1.65155155945288,1.73308693087931,3.16867073403148,0.361398820073079
"CM002236.1.247801.248100",4.07219283840147,2.15709877903981,2.27146558575132,3.69007119578327,0.332449550125472
"CM002236.1.248101.248400",3.55064154591188,1.67515210247788,2.22823402317916,3.29119324129782,0.152775294290621
"CM002236.1.252001.252300",1.67476739888127,0.799347179407829,0.620573139748434,1.80164961533087,0.583172976627567
"CM002236.1.252301.252600",1.4966788932685,0.764672743379751,0.716337725808833,1.86043548602579,0.346496770595732
"CM002236.1.252601.252900",0.661700716450252,0.00529397799680706,0.578791315548298,1.0703238405822,-0.854173720940446
"CM002236.1.255301.255600",2.90536580670818,1.90611837263426,2.51288504423399,3.19269889148603,0.45433712836747
"CM002236.1.255601.255900",2.62110150053963,1.484853550339,2.1372948913589,2.80233044380617,-0.195000944836772
"CM002236.1.255901.256200",3.28496816579591,2.22877530311186,2.50273413615227,3.49907781431083,0.390872943633182
"CM002236.1.256201.256500",3.55002208067705,2.72130792888911,2.70411166834797,3.71332880411731,-0.0275578067499087
"CM002236.1.256501.256800",3.84007407581513,3.2250496887107,3.37444256396758,4.55944049666303,-0.138558205569522
"CM002236.1.256801.257100",4.19450028396674,2.92682008095921,3.38818394480289,4.6304962170766,0.356159236412223
"CM002236.1.257101.257400",4.05588853725256,3.00783223177965,3.15107375777721,3.80128174521751,0.173483480675854
"CM002236.1.263401.263700",3.85018072594936,2.86723681738181,3.63139084166314,3.22442442384226,0.0117380092870222
"CM002236.1.263701.264000",3.75985161957471,2.5444994305544,3.49882359700121,3.32394305005792,0.0593401597442411
