"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1201,1500,".","*",-0.14052704823311,0.68842018311284,0.710512005883804,-0.591547142515982,0.0616575519708773,0.0931572132368281,-0.190715767922429,0.538677498251491,0.59710475857882,-0.718651874066046,0.0273117012160306,0.0507051702542097,-0.134334402847025,0.715035033946676,0.739844544047154,-0.106738522845324,0.748695415424516,0.782507466443688
"CM002236.1",1501,1800,".","*",0.201074010310956,0.530601216099235,0.557494527796795,1.35523719628237,9.40779117028453e-06,6.75692587501224e-05,0.980125253672906,0.00065997467276323,0.00211947813411628,0.223104350061974,0.46001031244961,0.536685343510449,1.12858079842473,0.00181258083990936,0.00342916461667973,-0.0936481754410961,0.773441688311332,0.803952933620191
"CM002236.1",1801,2100,".","*",-0.761097091732453,0.0586030202935676,0.0715804553934836,0.079387124091795,0.80738897671771,0.840437740162605,0.365205259553498,0.248634394183639,0.307999424543659,-0.568350557994581,0.092974524095433,0.142591363391804,-0.406040676455337,0.325704285894937,0.358849004157294,-0.500425215951779,0.177551633221805,0.233848492536035
"CM002236.1",2101,2400,".","*",-1.51451049758647,0.000516155198005943,0.00109977341900399,-1.65119095972752,7.00913517061423e-06,5.34110753245064e-05,-1.16059317884799,0.00104905955881639,0.00307735644540461,-2.2160490034922,7.37376837229649e-08,1.08231083424244e-06,-1.68562052522908,0.000384249777700525,0.000923466223990162,-0.711708253761546,0.0479727267491321,0.0818699597349605
"CM002236.1",2401,2700,".","*",-2.62933140343472,1.50269251035231e-07,2.77332364568819e-06,-1.54401226209224,7.4135827114216e-06,5.55257033899967e-05,-0.771102043903552,0.0197143046391044,0.0349252201261411,-2.42294523503247,1.21355555172529e-09,3.27659998965829e-08,-4.55979216697568,1.79788098070094e-12,3.93196570479295e-10,-1.15218855217246,0.00135850010004328,0.00615244859105371
"CM002236.1",2701,3000,".","*",-1.75140805469266,6.13696971817128e-05,0.000200950191236697,-2.49906044051662,2.16896190086746e-10,1.4823498991241e-08,-1.77708037982036,1.37510822560206e-06,1.58699825297715e-05,-2.22421286032868,3.21833345559279e-08,5.31207189991052e-07,-2.80058087511739,1.58552191998373e-08,3.55644762974813e-07,-2.26083066792226,5.35068707937975e-08,6.88350155447266e-06
"CM002236.1",3001,3300,".","*",-3.45041855057276,5.70146037585384e-10,6.69892690864504e-08,-2.53730252672823,8.67183511168856e-11,6.87647181733763e-09,-2.46972599759766,3.80013741588001e-10,2.72488541919003e-08,-2.69653177807627,5.24124132292788e-11,2.4650741447835e-09,-4.26681362156281,3.14578042614018e-12,5.29217060920659e-10,-1.56547805920529,2.93387567951665e-05,0.000471793096404626
"CM002236.1",3301,3600,".","*",-1.32821495769737,0.0017159582135316,0.00304240017267419,0.190671549627668,0.552552085223763,0.61232906530751,-0.74355370766324,0.0254251788071643,0.0433397241241375,-0.563749609354689,0.0839982574212257,0.130343217915235,-1.45427856333567,0.0024351120910183,0.00439042880713688,-0.197272116350837,0.575134966380537,0.628752897512738
"CM002236.1",3601,3900,".","*",-0.720675059429494,0.0634066371473361,0.0769962884182254,-0.022497880828927,0.941229336031402,0.951892974751758,0.386454264902719,0.205875799807026,0.262460142336325,0.408012725555558,0.191433294505471,0.25811628550152,-0.0463436015622169,0.904426583806894,0.912352831543209,-0.136856023860803,0.691180761925127,0.733258465355446
"CM002236.1",3901,4200,".","*",1.31362810310672,4.56489267080943e-05,0.000159225203685171,1.53744586011436,4.19326926858857e-07,5.73167493150201e-06,1.71854771350904,9.604501082979e-09,3.55203684879534e-07,1.97955768998958,1.84545763731196e-10,6.87035148886145e-09,1.5961285620895,9.46014690982308e-06,4.89119119868897e-05,1.08352774604038,0.00105777126773012,0.00516063376672645
