"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1150,3878,".","-",0.465934625914997,0.166850825839505,0.723379064284821,0.668592121605607,0.047577565356836,0.322465729102973,0.0537069610680374,0.873528207677856,0.933854642539343,0.0897888660074684,0.80239167682015,0.999751162541197,0.124881141419059,0.722996207234896,0.737258651383688
"CM002236.1",2177,6443,".","+",0.286499508128199,0.400496059548169,0.891570454476544,0.402684571324152,0.237415293468006,0.684645220505704,0.331399952243336,0.331042728470791,0.509019501954618,-0.015055040295716,0.966638610886322,0.999751162541197,0.580307733605985,0.105376717997063,0.11666088055029
"CM002236.1",14929,16647,".","+",0.22004661764363,0.542623107264169,0.914257456863516,0.213464720279106,0.554118603659836,0.888739326318574,-0.453364874478093,0.215878352414905,0.376805851487834,-1.65294121872287,6.89671168299897e-05,0.0336258295546352,-0.234992309095962,0.534188456861388,0.55828093780848
"CM002236.1",16440,19615,".","+",0.108755099355739,0.755123454733276,0.945113195179797,0.193644736657436,0.578849971090626,0.888739326318574,-0.0595624068868576,0.864833424824162,0.928383484795267,0.148408002478012,0.688058519943176,0.999751162541197,-0.287048322864686,0.432408706857014,0.454739672938832
"CM002236.1",33980,39245,".","+",-0.282237684441104,0.411287324779801,0.891570454476544,-0.212961790838166,0.534897840343299,0.888739326318574,-0.325275083552186,0.344165175958756,0.518562776332476,-0.0346178473039788,0.923608003684961,0.999751162541197,-1.05615413423097,0.00361362605266383,0.0046431294596369
"CM002236.1",40949,43632,".","-",-1.12328203587529,0.00168748267764438,0.0809991685269304,-1.21931190274813,0.000672404177722216,0.0215169336871109,-1.03425444522653,0.00376978072200711,0.0217202257940674,-0.323481980156559,0.38512579502816,0.999751162541197,-1.4842731259813,8.15002273694233e-05,0.000124756612283035
"CM002236.1",43708,45551,".","-",-0.596499929822334,0.0763790375767323,0.55468052776218,-0.622595094211224,0.0641720651490257,0.35639361801773,-0.600362664344172,0.0749851445419502,0.188777179881314,-0.0899036659760195,0.800044964933746,0.999751162541197,-1.85486218769073,3.56467654720799e-07,8.06994986893435e-07
"CM002236.1",45331,49154,".","-",-0.222032232119293,0.506832824329519,0.903426148406994,-0.197663266745066,0.554157722023435,0.888739326318574,-0.122970855849672,0.713058570762456,0.831901665889532,-0.182539028061389,0.604939092427269,0.999751162541197,-0.79560174430901,0.0238649506252772,0.0282843859262545
"CM002236.1",58145,61150,".","+",-0.238987204676768,0.472753975725032,0.901370443120862,-0.169547538620152,0.61018521273559,0.898138577565794,-0.118147310219328,0.722825718552303,0.836039385313507,-0.0499890120671343,0.887243268109784,0.999751162541197,-0.605364777766006,0.0831854407109132,0.09270417273256
"CM002236.1",90323,92593,".","+",-0.272983300282165,0.42812089525242,0.891570454476544,-0.38698833649912,0.261021653709096,0.709172837464385,-0.831763916573586,0.0168099138393988,0.0652963127172023,-0.234640598530963,0.520246560125609,0.999751162541197,-2.23794989843328,3.66719387966283e-09,2.16099351218139e-08
"CM002236.1",180222,181975,".","+",-0.350052124668278,0.292550618533159,0.836570279379926,-0.467055271075043,0.159845104344091,0.574416631653633,-0.640613428267025,0.0554671442293005,0.157273927941308,0.0431401043332362,0.902322991063113,0.999751162541197,-1.75596368201603,1.09178171282586e-06,2.23002222194219e-06
"CM002236.1",182427,186051,".","-",-0.371594592884738,0.292029321894679,0.836570279379926,-0.357058930653148,0.310872188766104,0.74609325303865,-0.529144195952419,0.134466711535787,0.283848184984649,0.224535262192257,0.545975768845354,0.999751162541197,-1.75724130961549,3.68072725723387e-06,6.92842777832257e-06
"CM002236.1",185039,188208,".","+",-0.509432049048096,0.136366358404397,0.678801428501886,-0.505783214645954,0.139002978666494,0.533771438079336,-0.9124607255812,0.00826794835896716,0.0396861521230423,0.0794177349906949,0.825514008377774,0.999751162541197,-1.33249748400143,0.000244999165680253,0.00035254697930863
"CM002236.1",188530,190595,".","-",-0.699050369199347,0.0441374817912558,0.417751940334139,-0.777738506955148,0.0252873954660239,0.246277242799538,-1.12287590808134,0.00142904705372194,0.00986143227700688,0.264455344371775,0.469603073139777,0.999751162541197,-1.96857125224809,1.6786322253892e-07,4.25675794513789e-07
"CM002236.1",189406,191138,".","+",-0.967944276614731,0.00496267811651014,0.123515544233141,-1.05602641389113,0.00222352715734025,0.0482003306365371,-1.66727114183083,2.62745609806177e-06,5.88550165965835e-05,0.00884755639619049,0.980389085349169,0.999751162541197,-1.9405544022862,1.72857730587489e-07,4.35057659006715e-07
"CM002236.1",193143,195064,".","-",-0.733911951486822,0.0348217121257238,0.372813649884339,-0.72915116170311,0.036351088343378,0.284045713566861,-1.01436059255007,0.0041954640715835,0.0233004285628439,-0.544760693324197,0.147581983540862,0.999751162541197,-0.398735505410258,0.26910299048634,0.288877331640288
"CM002236.1",195020,196335,".","-",-1.53271670921389,2.98594884590978e-05,0.00411924381154735,-1.79653490624238,1.44360043219292e-06,0.000161683248405607,-2.02541833249901,1.04480464356997e-07,4.68072480319346e-06,-0.433069280531087,0.258857904940065,0.999751162541197,-1.41066224748567,0.000212944755537431,0.0003077395176799
"CM002236.1",195780,197290,".","-",-1.48016050411612,3.06491355025845e-05,0.00411924381154735,-1.48971756378464,2.91029493044239e-05,0.00196380739850084,-1.75350519184,1.60079782624154e-06,3.84191478297969e-05,-0.398452104575479,0.28328897806757,0.999751162541197,-1.12417875707248,0.00210963940431115,0.00276890171815838
"CM002236.1",197194,198497,".","+",-0.835895781815841,0.0195827185059384,0.292435263022013,-0.995355645430324,0.00583830656792072,0.0928976637096701,-1.39145956106202,0.000170793848668069,0.00172256637325632,-0.484566590854062,0.21116249546877,0.999751162541197,-0.670722494861641,0.0720166312261589,0.0810639467068321
"CM002236.1",208394,210343,".","-",-0.802985836843271,0.0166542996949987,0.25435657715998,-0.699050454932881,0.0372145130507792,0.287450031840501,-1.34572415565401,0.000105400666351993,0.00120049572522948,-0.31220339104638,0.383557475430982,0.999751162541197,-0.644509801975678,0.0646700668038967,0.0732854719936232
"CM002236.1",209486,212487,".","+",-1.06925741380182,0.00221291313953039,0.0898417634296215,-1.13580209407544,0.00119664005974649,0.0311725296986256,-1.94349963109643,9.13129747610027e-08,4.62832973086372e-06,-0.0361837549389592,0.920981907738293,0.999751162541197,-1.24812001871738,0.000651786093916563,0.000893878071657001
"CM002236.1",213619,215734,".","+",-0.720689436737763,0.0423965773560819,0.407007142618386,-0.72207144396337,0.0419407140946907,0.303055482490668,-1.23445538256273,0.000628219995674357,0.00514833947674595,-0.0941438842849489,0.801192598954856,0.999751162541197,-1.57134314956361,3.36201983257676e-05,5.59227061260292e-05
"CM002236.1",216104,217521,".","-",-0.323105186297905,0.363971710657171,0.885490849753436,-0.38076032832758,0.284079772932928,0.718734215342676,-0.946707129678751,0.00864644470011655,0.0412085875069384,0.180301292251546,0.632687320571912,0.999751162541197,-2.17606828293032,2.62007535911456e-08,9.67412440288454e-08
"CM002236.1",219395,221979,".","-",0.00146607284053912,0.996684341994012,0.998169713591619,-0.293943708425714,0.407547290475489,0.815706848847537,-0.784005184311887,0.028791399163835,0.09514667143611,0.39283562709216,0.296820866043047,0.999751162541197,-1.43868633713706,0.00014766237430372,0.000217607709500219
"CM002236.1",223661,224874,".","+",-0.0520426275267604,0.879452618197761,0.976401370263789,0.113231421290907,0.740865817635958,0.959613645871744,-0.187381715446829,0.585889257150084,0.737298840458532,0.0969198607810224,0.790039873332884,0.999751162541197,-1.53337132737523,3.32169038395667e-05,5.53889810922799e-05
"CM002236.1",243323,247248,".","-",-0.202204804634281,0.558036787856831,0.914257456863516,-0.275878873937537,0.423898552009724,0.8210323740875,-0.274434014545903,0.426981897695047,0.607906430616677,0.22077083154606,0.54426803384372,0.999751162541197,-1.51106929513436,4.21616195828728e-05,6.92728810750379e-05
"CM002236.1",246886,248478,".","-",-0.408207117339076,0.226871604297215,0.763237349227286,-0.717734169795411,0.0338811135416713,0.275389444940118,-0.728388074358677,0.0319048252645395,0.103077127777743,0.0755883068320858,0.831909108289039,0.999751162541197,-2.25282066862295,1.44215507564791e-09,1.14015083627693e-08
"CM002236.1",249096,252944,".","-",-0.0162897834072406,0.960911352866462,0.986842447074803,-0.156060105203879,0.63861183533579,0.913079049671597,-0.234101473039202,0.481831064504803,0.656775812063342,0.258495927235596,0.461771805343467,0.999751162541197,-1.27808301684729,0.000304522862737772,0.000433557974067337
"CM002236.1",254974,256694,".","-",-0.0440651041327797,0.899620323976693,0.97731370969052,-0.0351088592258583,0.91983001051124,0.993011713102388,0.00198563982220408,0.99543255619349,0.99543255619349,0.173823916833368,0.638464735666804,0.999751162541197,-0.857986500279116,0.0197401557243456,0.0235619620723983
"CM002236.1",255165,256694,".","+",0.0159843694881304,0.963669877080871,0.986842447074803,0.0266719637761588,0.939253961801386,0.993011713102388,0.0767231305020989,0.826946227973327,0.905061669703706,0.206145379726614,0.578960294672416,0.999751162541197,-0.809440481711912,0.0283318819771871,0.0331690325586581
"CM002236.1",256492,259361,".","+",-0.110032508856617,0.758439941308407,0.945113195179797,-0.161386792109109,0.651587061276271,0.91668006127724,-0.486811497581424,0.175033289764616,0.330399917757926,0.0319872257061569,0.932410814800802,0.999751162541197,-1.55521334508863,4.78168663429918e-05,7.79925586953653e-05
"CM002236.1",262019,264387,".","-",-0.356343084238675,0.334670410631727,0.861680137718468,-0.336794813258141,0.361351939005829,0.783317751651345,-1.15711691197635,0.00207670943799575,0.0131655541729542,0.0355350824743597,0.927329626301752,0.999751162541197,-1.81404578744479,5.19278487408873e-06,9.40579901721733e-06
"CM002236.1",264035,266388,".","-",-0.0152313527010114,0.96601475683199,0.986842447074803,-0.0484580004931103,0.892089641806532,0.991129986316942,-0.626784316118333,0.0821767441048322,0.200082507385678,-0.042745601460005,0.910326370301503,0.999751162541197,-1.48762742080315,0.000102814860469389,0.000154913870483026
"CM002236.1",290632,292877,".","+",-0.429183248829225,0.225610918017678,0.763237349227286,-0.609552555220812,0.0855358969176396,0.41057230520467,-1.7166567109261,3.03573492884632e-06,6.37504335057727e-05,0.123102624660087,0.741810916174116,0.999751162541197,-2.01378031107459,1.64980660890685e-07,4.2154754417696e-07
"CM002236.1",292166,294573,".","+",-0.654147939003406,0.0727732858216378,0.543373867468229,-0.797314731868862,0.0290554469414526,0.256911320324423,-1.39932788829911,0.000178266819855313,0.00173616381076479,0.191266918101173,0.618651157469112,0.999751162541197,-1.78426848539375,5.13643756213387e-06,9.35416271478038e-06
"CM002236.1",296498,298770,".","-",-0.688622283391023,0.0577381422534317,0.491139640434255,-0.786567545825983,0.0303894855954365,0.258502966077637,-1.58562417215484,2.1949376754769e-05,0.000327777359537883,0.225792319160572,0.554440875157254,0.999751162541197,-1.8509561085953,2.17726391117604e-06,4.21648803547636e-06
"CM002236.1",301352,303729,".","+",-0.283724478330307,0.441803867758729,0.892362774646923,-0.422428607218564,0.251803052092564,0.70048506417426,-0.691234050987484,0.0624872479164877,0.169124701671507,0.303397627075703,0.437461193637747,0.999751162541197,-2.22607795140322,3.57239001831744e-08,1.21860207731438e-07
"CM002236.1",8866489,8868649,".","-",-0.468185524582069,0.184406302841038,0.741213345091582,-0.725225458227465,0.0403267947852005,0.294560935822334,-0.73607369882755,0.0382134768623759,0.115673227259084,0.219661089663989,0.555022525720176,0.999751162541197,-2.18398418200431,1.65818431634601e-08,6.71264976255732e-08
"CM002236.1",9649954,9652509,".","-",-0.294193677190936,0.679057127391876,0.923035958373269,-0.297872670513024,0.674863210598614,0.93150140602559,-0.46049968328125,0.518380668712781,0.688096528471966,-0.00558090723623966,0.994056840175641,0.999751162541197,-2.0462848703991,0.00849678508606033,0.0104960286357216
"CM002236.1",9687687,9689732,".","-",-0.0349362603972196,0.947170489785077,0.986842447074803,-0.135445490680842,0.79699422959634,0.96382476322139,-0.781430707845522,0.144533732302503,0.295963116738391,-0.297860204094207,0.592859028636764,0.999751162541197,-1.53215563086412,0.00773746068732803,0.00959330919166871
"CM002236.1",9689584,9691543,".","-",-0.398408658881121,0.514108859785347,0.909160930988824,-0.320913161916268,0.598456090579092,0.895684839352226,-0.889213429724786,0.151981198382328,0.30578253087702,-0.237340997781005,0.714233749748927,0.999751162541197,-1.46385085989516,0.0264091087348348,0.0310260857863794
"CM002236.1",9688977,9690773,".","+",-0.225349361881679,0.68266201088023,0.923035958373269,-0.156299583553031,0.776289184091451,0.96382476322139,-0.922109646021577,0.101433037503773,0.229505054553992,-0.209252314129959,0.72045404713946,0.999751162541197,-1.71738265757281,0.00469642733797436,0.00598861322792935
"CM002236.1",9692169,9694340,".","-",-0.546563973669739,0.343893295243632,0.865529192523299,-0.607963268096796,0.293120238912492,0.724179413783804,-1.09973060104443,0.0628055913708209,0.169124701671507,-0.0878060855615448,0.885038685539082,0.999751162541197,-1.6284398893747,0.00939772770849759,0.0115664341027663
"CM002236.1",9693631,9697675,".","+",-0.0434975460225829,0.898855353212047,0.97731370969052,-0.0128083411469185,0.970129692357326,0.995642403165831,-0.214925194192962,0.530803356725937,0.695321356179005,-0.0536778539757603,0.882203822787283,0.999751162541197,-0.0597344888528373,0.867559828921937,0.875375683236549
"CM002236.1",9758596,9762612,".","+",0.126008770822974,0.905026645814705,0.97731370969052,0.187365917863526,0.859059833509819,0.980115803257383,-0.236722745721206,0.822641492769917,0.903292619512066,-0.109555701432602,0.921519955899422,0.999751162541197,-1.59858345734972,0.153797988398725,0.168052436103973
"CM002236.1",9770840,9773169,".","-",-0.400526452302522,0.391157482073085,0.891570454476544,-0.437040900438663,0.349537710139951,0.77012898758704,-0.648150300999306,0.169697457836476,0.325819119046034,-0.429937818207106,0.388213549163784,0.999751162541197,-0.769697152204778,0.11767615447601,0.129849549766632
"CM002237.1",8926,12029,".","-",-0.550742294315856,0.0967972706064781,0.615965411796123,-0.412321934250675,0.212739431949559,0.655783937018825,0.011344644832451,0.972593222195081,0.985795845120807,0.188447752598111,0.589171841389616,0.999751162541197,0.100825584297511,0.770448422233689,0.780906998101114
"CM002237.1",10641,12594,".","+",-0.435582419493906,0.228260023469213,0.763237349227286,-0.36221647725303,0.31576325453166,0.755134900516995,-0.111375928356558,0.757041567970295,0.863689176854005,0.129297101473357,0.73475735317827,0.999751162541197,-0.377410363083873,0.317441328962316,0.339682441182605
"CM002237.1",12520,14311,".","-",-0.194836441717227,0.603845814564951,0.914257456863516,0.0147080699212902,0.968654015775964,0.995642403165831,0.468463866106045,0.212191449157275,0.375243825878128,0.109320482767241,0.784261807316575,0.999751162541197,0.097797530330654,0.802414304908075,0.812081947135883
"CM002237.1",15942,19173,".","-",-0.0731544603342977,0.832318873757537,0.960010779029237,0.0445169073642347,0.897470289616989,0.991129986316942,-0.402294254389796,0.247216789884963,0.413321807639979,-0.195418866073675,0.595739528731213,0.999751162541197,-0.507043125621373,0.162219140954681,0.176108663524306
"CM002237.1",18041,19908,".","+",0.010828552396596,0.975062591016501,0.987438836135548,-0.0818696570883101,0.813227143968048,0.96382476322139,-0.80739501278816,0.0220592997853667,0.0780202602935076,-0.662160936754775,0.078036357695971,0.999751162541197,-0.192545915247768,0.595243285916177,0.614444682236054
