"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2701,3000,".","*",3.33862596108579,7.83360737255706e-27,1.49489081867309e-26,3.88085184846245,3.99045994197547e-32,2.21179764623063e-31,3.69189119650121,1.43220863040781e-30,5.87258780423721e-30,-0.286198197011312,0.40969150621894,0.455993674429355,-0.944707491987997,0.00779465551948575,0.0859750503799279,2.77251668198726,1.17851551063656e-14,2.73088783242043e-14
"CM002236.1",3001,3300,".","*",0.407949055329411,0.152221309056703,0.156915984943499,1.21597595239669,2.10448016226228e-05,2.75028627840675e-05,0.759753462871002,0.00857825262368613,0.0106312501617144,-2.5705239873072,6.42301350337247e-09,1.26060211640922e-08,-1.75518066184477,8.67928854413233e-06,0.00136760789488257,0.0692813545040957,0.845883904032407,0.861505028760614
"CM002236.1",15601,15900,".","*",3.31521854823738,2.92723516830974e-26,5.43558988324183e-26,4.32979116100506,2.05475283353631e-36,2.79801527825994e-35,3.21471044490318,3.9270881631621e-25,1.03378955703289e-24,-0.700409261049461,0.0550395998831615,0.0702646743878787,-0.578278197801632,0.0991629257862287,0.308248850505301,2.61002548149315,4.22597687220208e-13,8.81144138003572e-13
"CM002236.1",15901,16200,".","*",2.64531722020851,1.88399635166597e-18,2.66758405120355e-18,3.81488553880736,4.03516916208047e-30,1.64235851873607e-29,3.26526235209982,1.33913634628798e-24,3.42707051033791e-24,-0.495876704471115,0.157777823123174,0.18875156063434,-0.322103643376533,0.370576878245601,0.583890586822634,1.86234087941208,1.06431175377179e-07,1.72131358417931e-07
"CM002236.1",17101,17400,".","*",-0.682111441312696,0.0841786361862031,0.0871004087367561,0.108471191489873,0.76862453696234,0.78644978132603,-0.924330141723733,0.0271831226731834,0.032912167188278,-2.66101367881425,8.67779892021565e-06,1.53123302866333e-05,-1.86912857973863,0.000409795860488914,0.0208360178969156,0.575366286808684,0.196161018878612,0.228958310923925
"CM002236.1",17401,17700,".","*",1.27609173696998,3.42879987817144e-06,3.79715488516376e-06,2.07333479716905,6.42787388163246e-13,9.81986827069335e-13,1.11534741452278,8.48995820253771e-05,0.000112014639921042,-1.29963833811321,0.000345923250808094,0.00055539060500921,-0.882079291732389,0.00924930189569373,0.096245094254247,2.00243204607823,3.50193190658424e-09,5.96085014346052e-09
"CM002236.1",34501,34800,".","*",1.2301126184238,1.3528710580891e-05,1.48331687581738e-05,2.39784201300928,2.37734757537001e-15,3.90792008291076e-15,0.46234737935769,0.113305823276802,0.131139898294137,-1.5842973055202,4.95029588941851e-05,8.38736768975211e-05,-0.875140933498612,0.0152411752163266,0.126484270998766,1.12735154125182,0.000968111324681482,0.00137784102080474
"CM002236.1",34801,35100,".","*",2.4825855976792,1.13105644708491e-16,1.50853115010237e-16,3.09787187838707,1.99369618457628e-22,4.3631882769596e-22,1.31156542400792,6.4562927102282e-06,8.87941503663554e-06,-0.449545520277535,0.192577052221222,0.227666118542345,-0.440411135994546,0.209639761261085,0.452510091332636,2.60813757915482,6.07584285766146e-13,1.26208185913382e-12
"CM002236.1",42601,42900,".","*",3.51229020983216,1.85005992265567e-27,3.67017283217483e-27,2.56434234769262,1.82692489473125e-16,3.07648573876117e-16,2.61359999718366,2.84072488305603e-17,5.23091743908315e-17,-1.37206085132565,0.000347416867650766,0.000556977914271504,0.660299164226204,0.0758029490927393,0.272299689362704,2.65868142356062,2.86011190634137e-13,6.03193772981745e-13
"CM002236.1",44401,44700,".","*",3.33131759158682,1.97171434886091e-27,3.89749270034693e-27,3.03932151706189,3.57147840480262e-22,7.70908156653091e-22,2.57477924614258,3.26337650629505e-18,6.23830898863681e-18,0.0468988214037068,0.892511771032085,0.90232858244582,-0.0696091653554882,0.850739904275668,0.91235635518463,3.07829296619452,8.69462518979397e-18,2.83732887110732e-17
"CM002236.1",44701,45000,".","*",2.94988607981945,3.90048388324007e-24,6.57833902632078e-24,2.22096205167831,3.07942463137348e-15,5.01714234624069e-15,2.27801686414317,7.90060516928561e-16,1.40554314543904e-15,-0.65748443749868,0.0490420382673927,0.0631931871599698,-0.203029313558633,0.546093178825341,0.708636207346296,2.65854387590839,6.74441914271652e-15,1.59295381465018e-14
"CM002236.1",48001,48300,".","*",0.870760101841467,0.00235885607668614,0.00250656864410868,0.690353423883508,0.0161390401928411,0.0186401689347684,0.409616667265542,0.172614397656344,0.19668768658569,-1.70939660933782,9.89119880915957e-06,1.73449797877631e-05,-0.938530039157428,0.00801895303973088,0.0875733188398332,0.552989862426163,0.120305969727585,0.145981831253604
"CM002236.1",48301,48600,".","*",-0.684605370591054,0.0259951243251569,0.027126416396072,-0.426249725942287,0.159610285001842,0.175174272992071,-0.795179924716191,0.0107035479565638,0.0132354410270066,-1.72265143577904,1.05539382326952e-05,1.84484847395607e-05,-1.78715974869411,7.32124604296756e-06,0.0013458890642322,-0.578267347741667,0.119875448463369,0.145780176025464
"CM002236.1",58801,59100,".","*",2.2653155236121,4.16289872811938e-15,5.36410899195756e-15,2.52294088114451,4.06332111540107e-17,7.00287998482404e-17,2.32329940716475,3.70258658166491e-15,6.46195094869682e-15,-0.1375991932292,0.687750041876771,0.717680507275381,0.0137131431356626,0.969333284580606,0.977307690029623,2.74505475175951,9.45387824655335e-15,2.2092431580399e-14
"CM002236.1",59101,59400,".","*",2.56894680141801,6.49358271560891e-18,8.9980172554229e-18,3.14968135607879,3.31519994086228e-23,7.53951656653834e-23,2.67818581089096,1.71484252078291e-18,3.31255919513756e-18,-0.205725101812316,0.571844129384577,0.610003940726488,0.0793073042752276,0.829772482635825,0.899772411785303,2.99728793950523,1.66084451713674e-16,4.66135242341431e-16
"CM002236.1",90901,91200,".","*",3.2094568423694,3.74298822390916e-26,6.9038729280465e-26,3.33284842048287,1.20619143761465e-26,3.48279883688208e-26,3.52325606379823,8.46831169749205e-29,2.90743253247956e-28,-0.248436559815361,0.466133139104227,0.512607031337949,0.321495032636338,0.359472781348968,0.573896879941463,2.71381609790138,9.64381216185932e-15,2.24886359715239e-14
"CM002236.1",91201,91500,".","*",3.21664414481182,1.77643557103047e-25,3.20688778207301e-25,3.3564352496021,3.59691764151673e-26,9.84466540593785e-26,3.14218013061998,2.58506639209806e-24,6.48029143291856e-24,-0.488554358605986,0.168653054353203,0.20110737183955,0.448091128370985,0.199002851771648,0.439000291008256,2.95432582330329,2.56293877572148e-16,7.03214295925571e-16
"CM002236.1",180901,181200,".","*",1.55633174550814,2.27826402197101e-08,2.6230952152756e-08,0.496724360147812,0.07657749440051,0.0855774836107016,0.971872816287695,0.000607071371069143,0.000784993812765844,-0.232756916890916,0.475244945250403,0.520551315403371,0.68710897325443,0.039950614110032,0.214953792016416,1.55586999294599,3.91901169300142e-06,5.97053853229359e-06
"CM002236.1",181201,181500,".","*",2.39938880399343,5.83835283322902e-17,7.88213362919414e-17,0.862842356704385,0.00246230057320729,0.00294887897095293,1.06719003136484,0.000137409384852259,0.000181078317194794,0.607526011406877,0.0530405799564268,0.0679486175283842,-0.300752060674227,0.382942779632355,0.588281178181738,2.40697763706812,2.79995325063245e-12,5.59483412218768e-12
