# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-42_ChIP_set-7_K27me3_AbC_Rep_1
#
# total peaks = 432
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 156
# genome size = 41233973
# Total tags = 4858963.0
# Total tags in peaks = 18263.5
# Approximate IP efficiency = 0.38%
# tags per bp = 0.117514
# expected tags per peak = 17.627
# maximum tags considered per bp = 11.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 33.0
# number of putative peaks = 31019
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 29
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 4
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-42_ChIP_set-7_K27me3_AbC_Rep_1 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-42_ChIP_set-7_K27me3_AbC_Rep_1_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
KI440765.1-178	KI440765.1	98111	98523	+	1674.2	412.000	486.500000	813.5	136.0	5.98	0.00e+00	0.91
KI440765.1-466	KI440765.1	99167	99558	+	823.2	391.000	34.000000	400.0	81.0	4.94	2.70e-141	0.99
CM002240.1-26	CM002240.1	695574	695811	+	215.1	237.000	61.500000	104.5	23.3	4.48	1.68e-34	1.22
KI440765.1-208	KI440765.1	90560	90710	+	178.0	150.000	54.500000	86.5	18.5	4.69	3.88e-30	1.10
CM002239.1-2603	CM002239.1	1598989	1599314	+	165.7	325.000	34.500000	80.5	17.9	4.49	5.71e-27	1.27
pBARSK_1_assembled-3	pBARSK_1_assembled	1825	2109	+	158.5	284.000	38.000000	77.0	0.2	442.28	2.01e-172	1.34
CM002240.1-1570	CM002240.1	5678631	5678918	+	150.2	287.000	37.500000	73.0	11.1	6.55	1.02e-34	1.34
CM002236.1-846	CM002236.1	1971797	1972083	+	149.2	286.000	42.500000	72.5	12.0	6.04	6.43e-32	1.22
CM002236.1-624	CM002236.1	9494360	9494600	+	148.2	240.000	44.500000	72.0	16.5	4.35	7.49e-24	1.38
CM002241.1-42	CM002241.1	1886101	1886301	+	142.0	200.000	62.000000	69.0	15.0	4.61	2.91e-24	1.28
KI440767.1-12	KI440767.1	78621	78832	+	137.9	211.000	49.000000	67.0	12.7	5.27	9.64e-27	1.59
KI440766.1-214	KI440766.1	63007	63237	+	136.9	230.000	34.500000	66.5	14.1	4.72	1.24e-23	1.37
