"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.591956021469029,0.060528850153342,0.406753873030459,0.627892863727289,0.0475900954875032,0.247911195097691,0.479255363943681,0.133045670387192,0.219112925184928,0.164236382859852,0.628225877287582,0.997977739965785
"CM002236.1",2177,3177,".","+",0.310543432903696,0.415849595053965,0.826734367132487,0.839600364035634,0.0270287577391298,0.18210203855438,-0.0402552377216525,0.91895883507684,0.935667177532783,-0.222826346837174,0.608420373095927,0.997977739965785
"CM002236.1",14929,15929,".","+",0.00365085047236758,0.990952072045695,0.996885916788483,0.168717055765244,0.600977742681982,0.850261909703525,-0.580066712025847,0.0785815034832367,0.15008404712209,-1.51534012341733,4.07783088400844e-05,0.00274030235405367
"CM002236.1",16440,17440,".","+",0.570919007916073,0.105835718176508,0.494892600120675,0.486486779387388,0.173571470336378,0.519596311705498,0.0042809927716443,0.990632471161199,0.994042573069983,-0.539855056733561,0.198282143308027,0.870886276490159
"CM002236.1",33980,34980,".","+",-0.234074828002411,0.481274330845675,0.842230078979931,-0.00376271597208725,0.990986790055698,0.995398426891972,-0.354570614613788,0.299169374946162,0.412816878775813,-1.68695495847202,5.46179226709704e-05,0.00305860366957434
"CM002236.1",42632,43632,".","-",-0.809419250803154,0.00657702816916773,0.107219807135124,-1.08638335889655,0.000318639992459841,0.00738365775631079,-1.36840512395588,8.05930995569142e-06,8.0833675973502e-05,-0.227626150468658,0.454366948055481,0.997977739965785
"CM002236.1",44551,45551,".","-",-0.442206199931032,0.12839976285715,0.55310667076926,-0.357485620713288,0.21983688722479,0.580553058952434,-0.482066643399156,0.0995990560026622,0.177185318614143,-0.187869299119056,0.527219482887003,0.997977739965785
"CM002236.1",48154,49154,".","-",0.0691626947771747,0.818396523511502,0.965835674061318,0.143235621391582,0.63628894487177,0.87394688286973,-0.214944668230298,0.486080999451641,0.572060300580565,-0.508344122916703,0.122943138432596,0.712512649108925
"CM002236.1",58145,59145,".","+",-0.420997753261822,0.144008760623616,0.582975223729339,-0.377418015898289,0.191617854839468,0.543983758852362,-0.417381307691828,0.150390868341398,0.241776706998611,-0.266388315188124,0.369047845257521,0.997977739965785
"CM002236.1",90323,91323,".","+",-0.382463463861732,0.194084721456882,0.680670322594452,-0.46586159065024,0.115358268861656,0.435778403450625,-1.45976579971804,1.83157586989557e-06,2.15933155187688e-05,-0.833657946000563,0.00678537375463104,0.126660310086446
"CM002236.1",180222,181222,".","+",-0.203166183492358,0.465591128102901,0.84183520345308,-0.281668190832161,0.313787553218796,0.658832929252282,-0.578551558790611,0.0402077128914412,0.0927592667905327,-0.00231664768429836,0.99352248219808,0.997977739965785
"CM002236.1",185051,186051,".","-",-0.607177538877841,0.0417488035560152,0.322717412459487,-0.440586807158921,0.140102307878913,0.480975772164226,-0.934154626816034,0.00212324816318666,0.00938699187935155,-0.259483088722878,0.39974356072404,0.997977739965785
"CM002236.1",185039,186039,".","+",-0.588712929685531,0.0483436390804809,0.353118755022643,-0.44363400675545,0.137525150344753,0.480975772164226,-0.89813261118034,0.00311243346756666,0.012115501776447,-0.228101886187417,0.458896907560836,0.997977739965785
"CM002236.1",189595,190595,".","-",-0.759971166822919,0.00991909792061846,0.130698702012855,-0.870988470950229,0.00334174363987039,0.0499033716887312,-1.5862548829793,2.16737066372624e-07,3.38714671168379e-06,0.0193998207798771,0.948119384589531,0.997977739965785
"CM002236.1",189406,190406,".","+",-0.591307025145258,0.0443023044155518,0.334507287272481,-0.803259784315186,0.00676120008145351,0.0795543403913634,-1.38974240933541,4.77083453273698e-06,5.08889016825278e-05,0.0765173923252154,0.797598599898962,0.997977739965785
"CM002236.1",194064,195064,".","-",-0.53639375835351,0.0802653638700408,0.461011320689465,-0.449501207973538,0.145793670961899,0.486873082683226,-0.598044187555945,0.0559993723438706,0.118695873837897,-0.268145283069888,0.415965446797183,0.997977739965785
"CM002236.1",195335,196335,".","-",-1.5531298389059,2.73016768953206e-07,3.66934537473109e-05,-1.7913910487007,5.84185165637384e-09,7.85144862616644e-07,-2.11245572856489,2.25454293776738e-11,9.99502243400231e-10,-0.66053057382742,0.0314223431606024,0.37417680186118
"CM002236.1",196290,197290,".","-",-0.883323330336572,0.0052725016781922,0.0984200313262543,-0.72119409209776,0.0234822517882504,0.170801500952531,-1.0775271652277,0.000979055174851804,0.00463327519366487,-0.312171786459125,0.351089744090827,0.997977739965785
"CM002236.1",197194,198194,".","+",-0.543152853378332,0.0822315737934254,0.464366534362873,-0.686460814766799,0.0301038034795654,0.195128832920262,-1.19339668471263,0.000248498053558182,0.00150442064856845,-0.462211632343071,0.166101739605545,0.797288350106615
"CM002236.1",209343,210343,".","-",-0.363471570936625,0.256429640340566,0.728029086182042,-0.432138012633448,0.182619555453646,0.538247110810747,-1.09831834305729,0.00113375894785281,0.00525438629625577,-0.0419614798634169,0.90146226697588,0.997977739965785
"CM002236.1",209486,210486,".","+",-0.503094490031229,0.110371020478918,0.501144092985359,-0.65685417379922,0.0399524889417547,0.226914625737791,-1.27739014533714,0.000119134860861658,0.000762463109514611,-0.115858958599022,0.726266666379198,0.997977739965785
"CM002236.1",213619,214619,".","+",-0.705138838053509,0.0196652366667063,0.213145790968171,-0.83433294145142,0.00620458291628038,0.0780370265478459,-1.60044967644577,3.87471402133413e-07,5.7862396051923e-06,-0.557051002848833,0.0754929649909939,0.583118074413195
"CM002236.1",216521,217521,".","-",-0.219168128812083,0.478048008608064,0.84183520345308,-0.319831942330572,0.302240518297727,0.653072759794445,-0.926441987054572,0.00322693158069503,0.0123914172698689,-0.00439145678777569,0.988852810509501,0.997977739965785
"CM002236.1",220979,221979,".","-",-0.237650415139918,0.428303665456688,0.826734367132487,-0.322404973418133,0.284576336640939,0.638165614868263,-0.778075319381996,0.0107826259192615,0.0315040200771466,0.0113898691288135,0.970412278879841,0.997977739965785
"CM002236.1",223661,224661,".","+",-0.0287565597032164,0.919672122144145,0.986794004123888,0.015559066953229,0.956562755918953,0.989832362879927,-0.293124301255386,0.307052753557347,0.417691195122545,0.00351306570355305,0.990345599304957,0.997977739965785
"CM002236.1",246248,247248,".","-",-0.462025051404903,0.108563524630169,0.499689647612832,-0.567690884812832,0.049535466230747,0.250284460955353,-0.586512639633466,0.0429355121025295,0.096175547109666,-0.221502775544277,0.448259584593755,0.997977739965785
"CM002236.1",247478,248478,".","-",-0.231513923038271,0.427824277322159,0.826734367132487,-0.439867405168741,0.133670121264605,0.473189458661896,-0.572356476387018,0.0519562780304252,0.111548302991839,0.129603706076189,0.661140141856065,0.997977739965785
"CM002236.1",251944,252944,".","-",-0.0902944490195207,0.750336321030161,0.944243460172787,-0.228320727431685,0.424343855130977,0.744540654433464,-0.252696734234469,0.378778717735492,0.481170696253782,-0.497847651875187,0.0984196553968265,0.645264774605675
"CM002236.1",255694,256694,".","-",0.0655861031592035,0.824902200671889,0.965835674061318,-0.00412663461517749,0.988915906911647,0.995398426891972,-0.0470753725787929,0.874263136702086,0.901081024330985,0.0703711614236131,0.815255017127418,0.997977739965785
"CM002236.1",255165,256165,".","+",0.0744221368736419,0.795396629240287,0.96232100310519,0.047095700770832,0.869917661466507,0.960603376540733,-0.0515467261431334,0.858062961065579,0.890876798212192,0.166998791537807,0.567200591786789,0.997977739965785
"CM002236.1",256492,257492,".","+",-0.0641611361148348,0.835660178610052,0.965835674061318,-0.194861224417102,0.529724085056259,0.83963275616231,-0.33091240561373,0.287178633125206,0.401214223409851,-0.0937347432045855,0.765445999699618,0.997977739965785
"CM002236.1",263387,264387,".","-",-0.118250270874731,0.707373962322854,0.929907379484679,-0.128492270443053,0.68416365507616,0.896214378579298,-0.934564235366079,0.00368936397948237,0.0137736255234009,0.0636060223846106,0.843296217827467,0.997977739965785
"CM002236.1",265388,266388,".","-",-0.0118178721500588,0.969750710959768,0.996870758785583,0.248104551170677,0.426649304683205,0.746636283195609,-0.358328383072317,0.26089439458854,0.376225393054719,-0.279431000840241,0.401681284027916,0.997977739965785
"CM002236.1",290632,291632,".","+",-0.299799092100764,0.352178894527544,0.765637352233299,-0.347990075660638,0.281583951075312,0.637119242837071,-1.82293264814376,6.89971498863885e-08,1.28794679787925e-06,-0.0384948029374595,0.906501365709118,0.997977739965785
"CM002236.1",292166,293166,".","+",-0.54524722422699,0.0936246895101832,0.487719312797233,-0.772710315997482,0.0183968340108935,0.150764298235615,-1.56132007962075,3.73010620346794e-06,4.17771894788409e-05,-0.178222402036433,0.590944922080773,0.997977739965785
