SequenceID,Source,FeatureType,FeatureStart,FeatureEnd,Score,Strand,Phase,Attributes,VALUE
CM002237.1,Genbank,gene,3521919,3524139,.,-,.,ID=gene3353;Name=ypt-1;description=ypt-like-1;gbkey=Gene;gene=ypt-1;gene_biotype=protein_coding;locus_tag=NCU08477,NCU08477
CM002241.1,Genbank,gene,2441355,2444495,.,-,.,ID=gene8856;Name=ylo-1;description=yellow-1;gbkey=Gene;gene=ylo-1;gene_biotype=protein_coding;locus_tag=NCU04013,NCU04013
CM002236.1,Genbank,gene,7794129,7795971,.,+,.,ID=gene1953;Name=yif1;description=yif1-like;gbkey=Gene;gene=yif1;gene_biotype=protein_coding;locus_tag=NCU00624,NCU00624
CM002238.1,Genbank,gene,1247224,1249624,.,+,.,ID=gene3825;Name=xyk-1;gbkey=Gene;gene=xyk-1;gene_biotype=protein_coding;locus_tag=NCU11353,NCU11353
CM002236.1,Genbank,gene,5518643,5521403,.,-,.,ID=gene1349;Name=xr;gbkey=Gene;gene=xr;gene_biotype=protein_coding;gene_synonym=xyr-1;locus_tag=NCU08384,NCU08384
CM002240.1,Genbank,gene,2646428,2648870,.,+,.,ID=gene7118;Name=X-Pro dipeptidyl-peptidase protein;description=X-Pro dipeptidyl-peptidase protein;gbkey=Gene;gene=X-Pro dipeptidyl-peptidase protein;gene_biotype=protein_coding;locus_tag=NCU01000,NCU01000
CM002239.1,Genbank,gene,4706112,4709560,.,-,.,"ID=gene6164;Name=xlr-1;description=xylan degradation regulator-1;end_range=4709560,.;gbkey=Gene;gene=xlr-1;gene_biotype=protein_coding;locus_tag=NCU06971;partial=true",NCU06971
CM002237.1,Genbank,gene,1011165,1015822,.,-,.,ID=gene2752;Name=xdh-1;description=xanthine dehydrogenase-1;gbkey=Gene;gene=xdh-1;gene_biotype=protein_coding;locus_tag=NCU03350,NCU03350
CM002242.1,Genbank,gene,739939,743321,.,+,.,ID=gene9453;Name=wsc-1;gbkey=Gene;gene=wsc-1;gene_biotype=protein_coding;locus_tag=NCU06910,NCU06910
CM002238.1,Genbank,gene,1066817,1069356,.,+,.,ID=gene3774;Name=wsc;description=Woronin sorting complex;gbkey=Gene;gene=wsc;gene_biotype=protein_coding;locus_tag=NCU07842,NCU07842
CM002236.1,Genbank,gene,6815517,6819124,.,-,.,ID=gene1658;Name=wc-2;description=white collar-2;gbkey=Gene;gene=wc-2;gene_biotype=protein_coding;locus_tag=NCU00902,NCU00902
CM002242.1,Genbank,gene,2767393,2773846,.,+,.,ID=gene9961;Name=wc-1;description=white collar-1;gbkey=Gene;gene=wc-1;gene_biotype=protein_coding;locus_tag=NCU02356,NCU02356
CM002241.1,Genbank,gene,2268533,2271812,.,-,.,ID=gene8808;Name=vvd;description=vivid;gbkey=Gene;gene=vvd;gene_biotype=protein_coding;locus_tag=NCU03967,NCU03967
CM002237.1,Genbank,gene,622593,625741,.,-,.,ID=gene2640;Name=vph-1;description=vacuolar pH-sensitive ATPase-1;gbkey=Gene;gene=vph-1;gene_biotype=protein_coding;locus_tag=NCU03463,NCU03463
CM002239.1,Genbank,gene,2258787,2259851,.,+,.,ID=gene5472;Name=vma-9;description=vacuolar membrane ATPase-9;gbkey=Gene;gene=vma-9;gene_biotype=protein_coding;locus_tag=NCU07681,NCU07681
CM002239.1,Genbank,gene,3976674,3978357,.,-,.,ID=gene5964;Name=vma-8;gbkey=Gene;gene=vma-8;gene_biotype=protein_coding;locus_tag=NCU08035,NCU08035
CM002239.1,Genbank,gene,3534475,3535626,.,-,.,ID=gene5840;Name=vma-7;description=vacuolar membrane ATPase-7;gbkey=Gene;gene=vma-7;gene_biotype=protein_coding;locus_tag=NCU04387,NCU04387
CM002237.1,Genbank,gene,860133,861904,.,+,.,ID=gene2708;Name=vma-6;description=vacuolar membrane ATPase-6;gbkey=Gene;gene=vma-6;gene_biotype=protein_coding;locus_tag=NCU03395,NCU03395
CM002236.1,Genbank,gene,3993967,3996177,.,-,.,ID=gene962;Name=vma-5;description=vacuolar membrane ATPase-5;gbkey=Gene;gene=vma-5;gene_biotype=protein_coding;locus_tag=NCU09897,NCU09897
CM002236.1,Genbank,gene,597623,600826,.,+,.,ID=gene160;Name=vma-4;description=vacuolar membrane ATPase-4;gbkey=Gene;gene=vma-4;gene_biotype=protein_coding;locus_tag=NCU07446,NCU07446
CM002240.1,Genbank,gene,3684275,3686333,.,+,.,ID=gene7449;Name=vma-3;description=vacuolar membrane ATPase-3;gbkey=Gene;gene=vma-3;gene_biotype=protein_coding;locus_tag=NCU01332,NCU01332
CM002237.1,Genbank,gene,3398179,3400651,.,-,.,ID=gene3319;Name=vma-2;description=vacuolar membrane ATPase-2;gbkey=Gene;gene=vma-2;gene_biotype=protein_coding;locus_tag=NCU08515,NCU08515
CM002239.1,Genbank,gene,1935594,1937371,.,+,.,ID=gene5386;Name=vma-16;description=vacuolar membrane ATPase-16;gbkey=Gene;gene=vma-16;gene_biotype=protein_coding;locus_tag=NCU09747,NCU09747
CM002236.1,Genbank,gene,3405419,3407805,.,+,.,ID=gene901;Name=vma-13;description=vacuolar membrane ATPase-13;gbkey=Gene;gene=vma-13;gene_biotype=protein_coding;locus_tag=NCU02746,NCU02746
CM002236.1,Genbank,gene,7633013,7634733,.,+,.,ID=gene1908;Name=vma-11;description=vacuolar membrane ATPase-11;gbkey=Gene;gene=vma-11;gene_biotype=protein_coding;locus_tag=NCU00667,NCU00667
CM002241.1,Genbank,gene,3692136,3694162,.,+,.,ID=gene9119;Name=vma-10;description=vacuolar membrane ATPase-10;gbkey=Gene;gene=vma-10;gene_biotype=protein_coding;locus_tag=NCU05118,NCU05118
CM002240.1,Genbank,gene,3236709,3239751,.,+,.,ID=gene7319;Name=vma-1;description=vacuolar membrane ATPase-1;gbkey=Gene;gene=vma-1;gene_biotype=protein_coding;locus_tag=NCU01207,NCU01207
CM002240.1,Genbank,gene,2215819,2219221,.,+,.,ID=gene6998;Name=vib-1;description=vegetative incompatibility blocked-1;gbkey=Gene;gene=vib-1;gene_biotype=protein_coding;locus_tag=NCU03725,NCU03725
CM002238.1,Genbank,gene,3747790,3751837,.,+,.,ID=gene4482;Name=vel;description=velvet;gbkey=Gene;gene=vel;gene_biotype=protein_coding;locus_tag=NCU00406,NCU00406
CM002237.1,Genbank,gene,2607929,2611456,.,+,.,ID=gene3112;Name=ve-1;description=velvetA-like-1;gbkey=Gene;gene=ve-1;gene_biotype=protein_coding;locus_tag=NCU01731,NCU01731
CM002236.1,Genbank,gene,5826154,5830642,.,+,.,ID=gene1424;Name=vad-6;description=vegetative asexual development-6;gbkey=Gene;gene=vad-6;gene_biotype=protein_coding;locus_tag=NCU09205,NCU09205
CM002237.1,Genbank,gene,1903580,1908974,.,-,.,ID=gene2929;Name=vad-5;description=vegetative asexual development-5;gbkey=Gene;gene=vad-5;gene_biotype=protein_coding;locus_tag=NCU06799,NCU06799
CM002238.1,Genbank,gene,1306483,1311141,.,+,.,ID=gene3834;Name=vad-4;description=vegetative asexual development-4;gbkey=Gene;gene=vad-4;gene_biotype=protein_coding;locus_tag=NCU06411,NCU06411
CM002238.1,Genbank,gene,1291163,1295655,.,-,.,ID=gene3831;Name=vad-3;description=vegetative asexual development-3;gbkey=Gene;gene=vad-3;gene_biotype=protein_coding;locus_tag=NCU06407,NCU06407
