"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1501,1800,".","*",-1.31465995284829,4.78279330385005e-05,5.48893212654112e-05,-0.625983977375463,0.0609659099283545,0.0628783632283538,-0.335901208153228,0.251428181759854,0.257676818122041,2.38629338387045,1.1635851166042e-16,6.90488436267808e-15,3.05881319056386,1.38734360733594e-18,2.81283916387361e-16
"CM002236.1",1801,2100,".","*",-1.25174455750284,0.000391586157057013,0.000424946083907097,-1.2631419543972,0.000620174901802445,0.000683681710958473,-0.862096406676131,0.00853827603250112,0.00924504921543179,1.98370786615288,3.97619950944172e-11,3.1307745652012e-10,1.9736149484722,1.32985613356355e-08,1.49639031474696e-07
"CM002236.1",3301,3600,".","*",1.79229084057279,1.28858251404145e-09,6.2702425133257e-09,1.78121084888907,1.27258493213852e-08,3.49064164587713e-08,1.5901546084194,7.34637274437195e-08,2.91103011189853e-07,0.478872930455604,0.105306600208711,0.111736135328301,2.2921333531259,5.32498626216395e-11,1.43952128620499e-09
"CM002236.1",3601,3900,".","*",2.2517256643964,3.33193722262014e-14,2.61503331052735e-12,1.59757613680871,1.03709252823514e-07,2.04642832213795e-07,2.08043866616259,2.62711440579774e-12,1.45267485211498e-10,1.19156588204749,6.37206790730609e-05,8.08302461860048e-05,2.40822891940895,2.48015800287910e-12,1.0184444982714e-10
"CM002236.1",3901,4200,".","*",3.15156073503208,1.8103623423085e-24,4.40461157883658e-21,2.67284908611918,1.42791780077232e-17,4.96303429897006e-15,3.08291692292565,2.21689100663925e-23,1.79789860638444e-20,2.89108192373427,3.0404968604252e-20,4.93168590760967e-18,3.46309476630412,2.26819480826838e-21,1.10370359370339e-18
"CM002236.1",4201,4500,".","*",2.81520138188975,8.85138860469166e-20,4.30708569504296e-17,2.44720269436841,4.88898328223602e-15,5.81541497290144e-13,2.54092656833474,9.12341849982434e-17,2.46636413445251e-14,3.28525974698528,1.20118167661326e-24,5.84495003840013e-22,3.91332569650456,6.22291346020709e-24,1.03655843427013e-20
"CM002236.1",4501,4800,".","*",1.38937657997332,1.35844266022233e-06,1.96380926459948e-06,0.657732034015616,0.0272554613074052,0.0283265858013314,0.826031509127481,0.00420197462648586,0.00462597478110411,1.7595932688968,7.87018482097888e-10,3.42543106787864e-09,1.07225590016424,0.000810819418936038,0.0011862439243965
"CM002236.1",17701,18000,".","*",-1.71419623942186,1.41746541633532e-06,2.04394862634229e-06,-2.49241427830417,4.78151143617267e-10,2.59797125150489e-09,0.31177337320115,0.300900598936587,0.307730625141957,1.49022992378633,4.33352707722694e-07,7.52567550242194e-07,1.1881419184542,0.000308145835405041,0.00051385799694343
"CM002236.1",18001,18300,".","*",-1.3701793783624,4.98591163483776e-05,5.71126318623365e-05,-2.02293522664041,1.61907165833466e-07,2.99331409173877e-07,0.485287451608186,0.106572932690632,0.110713896343428,1.56491450315687,1.42000661933798e-07,2.79520720457064e-07,1.56486230786284,3.48028052213101e-06,1.2410758842616e-05
"CM002236.1",18301,18600,".","*",-1.07352166644757,0.00417807514683571,0.00435716109397826,-1.86383216263014,1.01008398023364e-05,1.29822204115607e-05,-0.196409698066824,0.55588440588091,0.562824286104142,1.11698536299952,0.000549610822521032,0.000653569467836594,1.28978475704195,0.000430163485059062,0.000683597491279359
