"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2701.3000",-1.75116741497362,-2.49908941470104,-1.7770692342371,-2.22435205282007,-2.79980150417344,-2.26082629033177
"CM002236.1.3001.3300",-3.45028959684309,-2.53737708160527,-2.46961823411431,-2.69656304631293,-4.26657401946522,-1.56546246776576
"CM002236.1.15601.15900",-0.630527803368173,-0.517928753660534,-0.464739619777179,-1.16128719166003,-2.69006694510323,-0.360203431824854
"CM002236.1.15901.16200",-1.18710705379387,-1.115374095299,-0.836418946278854,-1.18480625312217,-2.77702767015109,-1.23855436770703
"CM002236.1.17101.17400",-4.80205511666766,-3.41652082494027,-3.28940538696398,-3.70655722971034,-4.61967386861119,-1.49827654926684
"CM002236.1.17401.17700",-2.01892340481045,-1.88833124777481,-1.80715678729065,-1.61474534031609,-3.02183309431724,-1.35392338357295
"CM002236.1.34501.34800",-2.0636066351162,-2.31711471060591,-2.88482147364913,-2.83242858884087,-3.64385470564152,-1.59670803554696
"CM002236.1.34801.35100",-1.80707449433898,-2.06616571849589,-2.00195673176678,-1.76198266644636,-5.32657686556353,-0.786139094705518
"CM002236.1.42601.42900",0.44314084967629,-0.546687540360684,-0.714406352164399,-1.09801976156232,0.756864565222774,-1.2422887098397
"CM002236.1.44401.44700",0.671733308688084,-0.0574687084851694,-0.541031247345813,-0.202475176330932,0.507047299195409,-1.21511812803084
"CM002236.1.48001.48300",-1.80911344425485,-1.96617579472802,-1.55513218193664,-2.6813103062207,-4.50634222563862,-1.37700162104162
"CM002236.1.48301.48600",-3.39076864714893,-2.41361660297057,-3.21670944214655,-3.43877579107549,-3.19394262599599,-1.45335509416884
"CM002236.1.59101.59400",0.725319407307112,0.831556485996714,0.600845531660317,0.601981320939601,1.22369141975039,0.397224120760334
"CM002236.1.90901.91200",1.01106480465427,0.460534282643183,0.985450148900954,-0.556181863843689,0.516174923301962,-1.37066563988383
"CM002236.1.91201.91500",1.32017651246816,0.779072380346323,0.607981559546873,-0.328566784105871,0.299610901634034,-1.40643194294044
"CM002236.1.180901.181200",0.355809597610177,-0.244524126429959,-0.501690586164576,-1.0020946121322,0.339386664203655,-1.38111287469844
"CM002236.1.181201.181500",0.95080356237196,0.83392072756023,0.633553111365393,0.676390686581429,0.784800481966515,-1.19467031101993
"CM002236.1.184801.185100",1.03214446025485,0.409842930919118,0.559974430418804,0.358055144157405,1.33034082019253,-0.732610937190889
"CM002236.1.185101.185400",0.702197631610267,-0.15685346450112,-0.663512830661349,-0.533244792930398,0.328729327238543,-1.1640906348479
"CM002236.1.185701.186000",-1.72165165588745,-1.93228912029501,-1.986714032071,-2.21779208310881,-1.64319663465888,-1.54970622664203
"CM002236.1.186001.186300",-0.632172636353516,-1.08359986590041,-0.889478213252165,-1.93905023821644,-1.48240585540197,-1.29756259737055
"CM002236.1.189301.189600",1.06381618055453,0.702306305608108,0.331419601754068,0.274540540294173,1.63227789842397,-0.416511810572397
"CM002236.1.189601.189900",0.376385201592699,-0.710983867424613,-0.33777503692897,-1.28918925478943,0.489688147600588,-1.35384506518838
"CM002236.1.190201.190500",0.562929041979464,-0.488859110343114,-0.512063916612406,-1.2881764983327,0.890583831033442,-1.42133538818143
