"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",0.67974454870022,0.00246942022177835,0.00517806552754148,0.010453909069101,0.962918006214537,0.967242488278375,0.667266205142974,0.00297568768611665,0.0104538556931114,0.958243367998185,2.56499364574371e-05,0.000160851470681685,0.874062636039181,0.000535853621325591,0.005064194083232
"CM002236.1",3177,6443,".","+",0.487539081235422,0.0494774680646337,0.0674784168117261,-0.330100956237079,0.191647430219688,0.22171625116795,0.657455285881921,0.00835572805113712,0.0223374243916853,0.248936116118561,0.315487000589071,0.37204178804089,0.837019700782962,0.00273652560159414,0.014634034047293
"CM002236.1",15929,16647,".","+",0.563853520181282,0.0481691554838613,0.0658279090217331,-0.104619678434898,0.721197459183034,0.752602636254768,0.323061601837615,0.259826679682977,0.3529224738204,0.635522077904178,0.0265209028701436,0.0410982120689755,1.03577330485515,0.00127947800810369,0.00889969173193976
"CM002236.1",17440,19615,".","+",-0.0716364433988727,0.793058526694339,0.818680417556772,-0.0113747208371319,0.966660050973377,0.969549916596616,0.100377213634257,0.711682463363128,0.77022408534945,-0.358316628942425,0.193781574605857,0.242588501045765,-0.0727917272701486,0.80741301858768,0.875240929680668
"CM002236.1",34980,39245,".","+",-0.118349821504488,0.624126022283724,0.658047818134801,-0.633828548745713,0.0107424481705596,0.0157041017918202,0.0669693285727499,0.780313232051185,0.82977841316378,-0.298440868001457,0.219785188986204,0.270597911577509,0.371915570795551,0.160239624919915,0.266021567819139
"CM002236.1",40949,42632,".","-",-0.358472220818832,0.195332789029599,0.229541683780842,-0.200353001530396,0.462983021036241,0.505140824577753,-0.047284167702879,0.861302459694362,0.900208645568407,-0.552780593272741,0.0464582549734214,0.066185751777422,-0.0880417495778815,0.76919187101536,0.846758393415864
"CM002236.1",43708,44551,".","-",-0.464298073473558,0.0972264933778112,0.123092409540587,-0.632284417353943,0.0249212436793136,0.0343370729133869,-0.19932579891119,0.466805734627618,0.559333299884164,-0.626353033884443,0.0258048218441987,0.0402672768644708,-0.240780029056346,0.429183353952472,0.55381159711944
"CM002236.1",45331,48154,".","-",-0.135916414645725,0.604785522032512,0.643123748468804,-0.429452553109419,0.106041355378643,0.128901720034546,0.0300610942704385,0.908097710139402,0.931702696488591,-0.196751401685449,0.453178591166094,0.511131579700948,0.0395312424729733,0.890385430353126,0.930605332970323
"CM002236.1",59145,61150,".","+",-0.000172667374505736,0.999462844056342,0.999462844056342,-0.240089898116762,0.354439060941778,0.393105140317244,0.264977550266803,0.299846252215995,0.391957864740966,-0.20086132814109,0.437654651937834,0.496897244416729,0.298003505044681,0.293126589607173,0.418460925966509
"CM002236.1",91323,92593,".","+",-0.481722377423417,0.0851154761714199,0.10899329105157,-0.976804462290468,0.000711012275242064,0.0014199084425221,-0.330095686759068,0.230260321425465,0.318566341601004,-0.998588814444499,0.000568975299474463,0.00161772214384477,0.109074912489319,0.718852611358713,0.809312252049826
