"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0,0,0,1.59321814032283
"CM002236.1.1801.2100",0,0,0,1.28572915264566
"CM002236.1.2101.2400",0,0,1.14527335196531,1.11009284878887
"CM002236.1.2401.2700",-1.18831941781627,0.0792846340091615,0.321489510841169,-0.0720686071865013
"CM002236.1.2701.3000",-1.03335837973594,-0.134768302820257,0.546471712863477,-1.03335837973594
"CM002236.1.3001.3300",-0.0577297852318193,0.0311582180149261,0.29407294452555,0.115425041226487
"CM002236.1.3301.3600",-0.936372260862831,0.204254280468714,-0.936372260862831,0.658371650266874
"CM002236.1.3601.3900",-1.10396881662919,-0.13242975051581,-0.377089383693346,-0.0270766762144508
"CM002236.1.3901.4200",-0.922678548678528,0.093068958543666,0.17198841493356,0.305180508763792
"CM002236.1.4201.4500",0,0.801904229965061,0,1.73192000898894
"CM002236.1.8701.9000",1.05347258152879,0,1.35859028112934,0
"CM002236.1.9001.9300",0.560746090394273,-0.0159020450344018,0.752679406651551,0.189990108285709
"CM002236.1.10201.10500",0,0.99961466508966,0,1.45772597727897
"CM002236.1.10501.10800",0,0,0,0.977323003010907
"CM002236.1.16501.16800",-1.2274097435649,-1.2274097435649,-0.20481358917644,0.279889538756712
"CM002236.1.16801.17100",-0.11385929313966,0.0592973681723099,0.444449805392026,0.1771906742127
"CM002236.1.17101.17400",-0.155593812768698,0.187348321158875,0.158039970643145,0.445225099835401
"CM002236.1.19801.20100",0.0299064215032893,-0.940637398314653,0.0246732975474492,-0.940637398314653
"CM002236.1.20101.20400",-0.819648445365062,0.0272591543273611,0.200226529755412,0.556837760564825
"CM002236.1.20401.20700",0,0,0,1.35052490326822
"CM002236.1.34501.34800",0,0.951712706869364,0.97095370172236,1.33157802159287
"CM002236.1.34801.35100",-0.911057032037254,0.161761823997705,0.18749272163186,0.58688963677509
"CM002236.1.35101.35400",0,1.38484312671314,0,1.80192939376387
"CM002236.1.39301.39600",0,0,0.818770487396858,1.07135835246481
"CM002236.1.48001.48300",-0.0351902421765689,0.412722848380523,0.178945513020917,-0.808982292144991
"CM002236.1.48301.48600",0.423287651763809,-0.283380549008642,0.472719419161801,0.110801912489963
"CM002236.1.48601.48900",-0.123400743028196,-0.799393578183934,0.24543693743988,0.0582598028415072
"CM002236.1.52201.52500",0.830670874853585,0,1.0742541798975,0
"CM002236.1.52501.52800",0.925290391266747,0,1.34732984433494,0
"CM002236.1.52801.53100",1.01451125768099,0,1.13998154013748,0.974145701697373
