"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.38401.38700",-0.594609321335156,-0.205720840914757,-0.497658942779255,0.581212868316196,-1.41722606776099
"CM002236.1.38701.39000",-0.962073157129741,-0.59998527615619,-1.1162091093199,-0.208469282764624,-1.83929887831395
"CM002236.1.41701.42000",-1.58358418056366,-1.80934273038327,-1.13411454183068,-0.285358325072894,-2.03971107355296
"CM002236.1.42301.42600",-1.5254316161277,-1.72611209997689,-2.20922858756628,-0.315713951981388,-1.71721268395669
"CM002236.1.43801.44100",-0.895737979113299,-1.16504987299822,-1.28055962740412,-0.472106348237293,-2.41890552543693
"CM002236.1.44101.44400",-0.629151788053404,-0.958768407956794,-0.718781218358986,0.353260412142975,-2.05066881121069
"CM002236.1.46501.46800",-0.466871152368104,-0.39719859973099,-0.0179358102675335,-0.512142620654067,-2.02069296093042
"CM002236.1.46801.47100",-0.340970985961929,-0.256615558030044,-0.0491457843488415,-0.227926660226501,-1.35948298096219
"CM002236.1.91501.91800",-0.33283724235494,-0.457511874882532,-0.650686524150691,0.0593815711418747,-2.16234056550621
"CM002236.1.91801.92100",-0.0573416733099173,-0.360384665712382,-0.421745894844053,0.281295394583205,-2.63717142287123
"CM002236.1.92101.92400",-0.669016325942916,-0.534586871701093,-0.668137250396824,-0.300961294668862,-1.93757059940048
"CM002236.1.129301.129600",0.827564588674192,1.06921666711123,1.82410204214205,0.64350295581977,-0.452232361738571
"CM002236.1.131401.131700",0.420802368804561,0.379639566408313,0.543304077810968,0.95681977846742,1.5053921256768
"CM002236.1.135601.135900",-0.135473310405962,-0.545658424429624,-0.898384604750004,0.516252552834175,-1.72626968655318
"CM002236.1.159601.159900",0.466915517409196,0.702986605069266,0.731441696300149,0.660891402126315,1.5810240666228
"CM002236.1.170401.170700",0.666651208608067,0.371632579780014,-0.0511244871694674,-1.13633418056642,2.8027208602148
"CM002236.1.181501.181800",-0.432984028668174,-0.514384680200076,-0.0589637314522935,0.0494026613094486,-1.85395421401214
"CM002236.1.182701.183000",-0.166261891575406,-0.338556834328363,-0.620489105474005,0.180731368868053,-1.72758591752847
