"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",0.666144156867348,0.0350414707505584,0.0992102399730999,0.310041385115888,0.321057947433571,0.579112587978297,-3.74329205550377,1.20468680193225e-20,2.44952983059557e-19,-4.52058203746987,2.20576920960935e-25,3.70017784911969e-23
"CM002236.1",3177,6443,".","+",0.531287952762624,0.131993340704896,0.287556920821382,0.366928589402665,0.29635998573583,0.560769948712,-3.67704263043253,1.06251302040187e-16,9.024635907464e-16,-2.57033862409174,2.41666926650842e-10,3.1693943570509e-10
"CM002236.1",15929,16647,".","+",1.17759885673154,0.00415038672718114,0.0165768422258247,-0.0793183380764511,0.843740975604581,0.925124557053412,-2.91513821777351,2.40490992494391e-09,7.61176679074227e-09,-2.93301274252945,5.67087535472968e-10,7.27563549335299e-10
"CM002236.1",17440,19615,".","+",0.153506832991872,0.688159785755072,0.837188211995385,-0.58086808476195,0.131641134457186,0.32715259711397,-3.36506269310394,6.05876547060538e-13,2.84295918236098e-12,-2.62494285457783,2.20975060918341e-09,2.73064946365021e-09
"CM002236.1",34980,39245,".","+",-0.20575266344831,0.543211349591367,0.737843756226331,-0.548656658805597,0.10671565614288,0.278623366816624,-3.96412498047935,6.12530889441045e-20,1.14168951893039e-18,-3.53608341354616,4.79818782430073e-17,2.2673126972576e-16
"CM002236.1",40949,42632,".","-",-1.21243483231698,0.00173116074552603,0.00739878254935009,-1.25245049367342,0.00119933231336761,0.00487728474102828,-4.6954005028749,2.76346119318121e-20,5.29794988749883e-19,-4.20950120463149,4.77197819492723e-18,3.55697375840386e-17
"CM002236.1",43708,44551,".","-",-0.490806111372739,0.189892055734545,0.373658561284105,-0.382568414977334,0.303124302021124,0.564990018489373,-4.06192338830041,1.34590490050111e-16,1.1288777352953e-15,-3.54751584646932,1.61640734317839e-14,3.58597760033955e-14
"CM002236.1",45331,48154,".","-",-0.392426632368794,0.285870563777665,0.4918439699867,-0.438430843620655,0.233203024476025,0.487474234963903,-3.60919920098852,2.26858273087027e-15,1.58564480459787e-14,-2.70640855353338,2.028910175325e-10,2.69051131945272e-10
"CM002236.1",59145,61150,".","+",0.23743719021505,0.511191691377513,0.712204730973876,-0.267595982984335,0.45964834194588,0.70492826642222,-3.05009779362308,3.5473408704096e-12,1.4784259155558e-11,-2.10464704617572,2.28998379866803e-07,2.56096521484375e-07
"CM002236.1",91323,92593,".","+",-0.458334969232157,0.225792340048935,0.421890907599257,-0.305439392154645,0.417032025389979,0.671868177492718,-4.1420380809071,3.13281322084118e-17,2.87961324819785e-16,-3.28184666813608,7.02263087577745e-13,1.18396616021273e-12
"CM002236.1",181222,181975,".","+",-1.36452931602183,0.00122423210338911,0.00544013073757679,-1.63012359344317,0.000128865712155447,0.000604677572421715,-1.89964463319699,2.81135050580486e-05,5.80435750583095e-05,-2.59042678515155,3.07430771866229e-08,3.58758344212591e-08
"CM002236.1",182427,185051,".","-",-1.81553118174165,4.78046241804283e-06,3.1340777389281e-05,-1.08796754859496,0.00453473417659642,0.0168110863673823,-2.34825733201369,1.60756973755949e-08,4.60974057223256e-08,-3.00995826618168,1.14330578194412e-11,1.68871517446434e-11
"CM002236.1",186039,188208,".","+",-2.23419444554244,8.03731459197279e-09,9.63042516288168e-08,-1.5209263813862,4.02075647506223e-05,0.000210633906063788,-2.97003724900794,1.11095657964335e-12,4.9042885851361e-12,-3.31856625813487,1.88918090636865e-14,4.12912178558099e-14
"CM002236.1",188530,189595,".","-",-2.39721350173744,9.30600266261129e-09,1.09549610291442e-07,-1.7452878226914,1.3331679539391e-05,7.51727476548853e-05,-3.20079122501637,1.76735841704493e-12,7.60190703741762e-12,-3.88026439896226,7.46534741214248e-16,2.41992662490222e-15
