"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",3.25416263524054,4.91869463162487e-28,7.2219783322107e-28,3.85836704988129,1.79172951052008e-36,8.46655282788008e-36,3.26068818707545,5.32664849736286e-28,1.13466067991444e-27,-0.928164586381779,0.00778984777345464,0.0113630170782349,-0.367619449330253,0.258792859265268,0.600158233023864
"CM002236.1",2677,3477,".","+",3.07665584999334,4.88234339909035e-26,6.78271722730771e-26,3.64062195681705,6.30794721918762e-34,2.03491951157447e-33,3.0456968588369,1.76050924802291e-25,3.40432768133536e-25,-1.18272625986713,0.000819491419207868,0.00129994974536284,-0.277962625150743,0.38671764086334,0.660232760279346
"CM002236.1",15429,16229,".","+",3.18114454297395,5.95243408436185e-27,8.48000694396348e-27,4.10372907954913,7.9315118935091e-40,8.18776073929939e-39,3.16281404844536,1.65779226013488e-26,3.36066044275077e-26,-0.543897731084884,0.111324845880224,0.136063700520274,-0.36481370036104,0.26458809900161,0.600158233023864
"CM002236.1",16940,17740,".","+",1.57174846231629,3.25116994237552e-09,3.39802964382239e-09,2.18592395536005,3.91392279096364e-16,5.58774934624809e-16,1.06931606234168,7.27933519458751e-05,8.80078182985265e-05,-0.752876258373633,0.0195018358873809,0.0276070292836131,-0.651822146688463,0.0315200780025388,0.570523955967889
"CM002236.1",34480,35280,".","+",2.312912203064,6.49721885209538e-17,7.43964820777474e-17,3.13398341910512,8.4254781070724e-28,1.72362677129438e-27,1.41287096415056,3.3539203400625e-07,4.23022659432695e-07,-0.99014825747235,0.00347706208428798,0.00523118533308797,-0.653753799573796,0.0386436926160628,0.570523955967889
"CM002236.1",42332,43132,".","-",3.92601893771069,4.28391593841728e-39,1.32703619963136e-38,3.22526670296958,5.36470437891706e-28,1.1110236537819e-27,3.20561849519758,5.47357158963995e-28,1.16226789134443e-27,-0.37347081918824,0.256512249412893,0.297270672462955,0.0475200282334376,0.883685233448914,0.945377476932882
"CM002236.1",44251,45051,".","-",3.36021078946842,1.25933535310755e-31,2.08645437514856e-31,2.93264855097799,7.21037751618293e-25,1.30058153584912e-24,2.94187041594994,3.2752633372607e-25,6.22578385071368e-25,-0.446387018868663,0.175697793778016,0.208660565708051,0.147629541773747,0.640891560435026,0.805869654423372
"CM002236.1",47854,48654,".","-",1.20800037446147,3.69538318337161e-06,3.75128913168283e-06,1.1609888968226,8.61015564220439e-06,9.99552670574247e-06,0.879291885253533,0.000888632826283719,0.00104061540390292,-1.00823852466296,0.00113082613562318,0.00177701249883643,-0.250557764635548,0.39440559750706,0.663273573752475
"CM002236.1",58645,59445,".","+",2.86111104581751,6.08459857145888e-25,8.18189507304391e-25,2.83477558578918,3.07730302348037e-24,5.44820667217765e-24,2.53239526330804,4.79590207470745e-20,7.82980606357348e-20,-0.114517163182921,0.716659507645573,0.754911349497927,0.411209732464701,0.183904289390186,0.586324042392106
"CM002236.1",90823,91623,".","+",3.66225623493087,1.68990313305435e-34,3.28673913704195e-34,3.4748213273619,3.25346428744636e-31,8.17630912687832e-31,3.29033772045231,8.23789824425734e-29,1.82430023824973e-28,-0.555792800031472,0.107876853671434,0.132331570043021,0.390925605414332,0.230420969262447,0.586324042392106
"CM002236.1",180722,181522,".","+",2.31499405544301,1.59518442872878e-18,1.88114016111953e-18,0.923364232030983,0.000507750123497316,0.000562211770407095,0.727530372066548,0.00657855150809108,0.00753277826267767,0.257673340534124,0.38097116760171,0.426052755767912,0.136969962701527,0.644183345392451,0.806431016340177
"CM002236.1",184751,185551,".","-",3.78507089697111,1.09937849501862e-36,2.50319489777704e-36,2.13525454607253,8.27090919473736e-14,1.12343726106655e-13,2.77379688388356,7.80314083713662e-22,1.35645272065251e-21,1.34881421912644,6.98402145364477e-06,1.22677444905645e-05,0.389362174292219,0.230102077645644,0.586324042392106
"CM002236.1",185539,186339,".","+",3.23435359999425,1.74588775572145e-30,2.78263820448715e-30,1.6573552993032,1.4054510409634e-09,1.77935405374801e-09,2.01762347644824,2.02099744753825e-13,2.8730705239368e-13,0.653117811110812,0.0262660534947916,0.0364143014359611,0.0127026366772087,0.967404361915277,0.984546086479177
"CM002236.1",189295,190095,".","-",4.1785418798062,8.69163971451064e-44,6.48010027604071e-43,1.82207020295899,8.94255624796596e-11,1.1583890429315e-10,2.32330209933425,2.0355845225107e-16,3.05565372394784e-16,0.931422574701675,0.001956068710338,0.00298300478326545,0.473763324412506,0.136282749904693,0.570523955967889
"CM002236.1",189906,190706,".","+",3.97089377342059,1.07644519562441e-40,4.0807611653332e-40,1.85122725474612,3.8370274168258e-11,4.98962286180255e-11,2.13815744650146,2.72586561150356e-14,3.97620831591062e-14,0.479153248164287,0.117885188608817,0.143819930102757,0.44433138125817,0.161159672925635,0.574559610449062
"CM002236.1",193764,194564,".","-",2.42204151686896,2.78715679529619e-20,3.40033129026135e-20,0.994990645241816,0.000146106687838593,0.000164217064555605,0.983762551974284,0.000209200792002486,0.000250220555140229,0.180752722796674,0.537868981624268,0.583996903996576,0.27960922920088,0.342089287004982,0.646596934029136
"CM002236.1",195035,195835,".","-",3.69134806424844,3.94092449158587e-37,9.34402944824776e-37,1.48268559699907,5.94135171687633e-08,7.24844909458912e-08,1.56685676218602,1.25821901810211e-08,1.62047017494533e-08,0.162784229745286,0.598004280382387,0.64304626944965,0.396556847070714,0.200947518294751,0.586324042392106
"CM002236.1",195990,196790,".","-",3.94718618507146,2.84800131723522e-41,1.21720311074193e-40,1.62666391646679,3.42117073604868e-09,4.28284620128482e-09,1.59740204248987,7.38301593988386e-09,9.52693018396553e-09,0.203220887420882,0.51049382610385,0.55607363200598,0.242226624918447,0.437427455806384,0.69388610601911
"CM002236.1",197694,198494,".","+",4.31954991383057,1.19248076814894e-44,1.11132582698325e-43,2.86619334590244,7.81255058324522e-23,1.30728714248318e-22,2.93407839155148,7.41323376894088e-24,1.37791685843749e-23,-0.0952910911055476,0.765879345574044,0.797989193913329,0.42275568417518,0.190878749501286,0.586324042392106
"CM002236.1",209043,209843,".","-",3.87898121002093,1.24562118579334e-38,3.54157549011581e-38,2.66331526333712,1.37537267606418e-20,2.15122392922859e-20,2.6638946054194,1.42352844738009e-20,2.35267878865035e-20,0.022992823726778,0.942443647619567,0.950946898575533,0.334216353432355,0.296012495603608,0.622623342205334
