"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",-0.574672883231938,0.0796605915962798,0.73763216614147,0.0507371905496997,0.876208763176825,0.983012115658789,0.175566575329661,0.589798605228017,0.992458748279913,0.187771614447432,0.583409919735561,0.83061751284385
"CM002236.1",2177,6443,".","+",-0.722695175637942,0.0330183376824649,0.55470807306541,0.125161451485333,0.709753349605477,0.983012115658789,0.0375232609616794,0.911147866335371,0.999133969759776,0.255062529080202,0.470623245921158,0.81300468189979
"CM002236.1",14929,16647,".","+",-0.78214741484043,0.0257878470666855,0.46836306023818,-0.193184666505235,0.57782199297318,0.983012115658789,-0.0387496356480523,0.910994481333567,0.999133969759776,0.66680512391133,0.0682780186771604,0.810181900816195
"CM002236.1",16440,19615,".","+",-0.191639794020015,0.573707601120139,0.900774551291432,0.0820488335654943,0.809432302328812,0.983012115658789,-0.0251252423219994,0.941112372223549,0.999133969759776,0.235926213105239,0.509159321528606,0.822105582624605
"CM002236.1",33980,39245,".","+",-0.509737501907818,0.137839781126162,0.817516627445785,0.170096373746472,0.619099008186675,0.983012115658789,-0.0568294898333524,0.868077047964402,0.999133969759776,0.545680823357866,0.130449292300693,0.810181900816195
"CM002236.1",40949,43632,".","-",0.0587113515787477,0.867606130730466,0.976601875797108,0.304456942673584,0.387274669166836,0.983012115658789,-0.275839219200551,0.434056433145292,0.992458748279913,0.250029736670387,0.500133761040915,0.822105582624605
"CM002236.1",43708,45551,".","-",-0.485531613689611,0.152897902798511,0.828607989359675,0.152294995998721,0.651895655326894,0.983012115658789,-0.387868584109222,0.253226224820096,0.95217933080309,0.226726064339386,0.52416666422648,0.822105582624605
"CM002236.1",45331,49154,".","-",-0.122269917494537,0.713142072130121,0.939823328749936,-0.000782497630785257,0.998116825007654,0.998116825007654,0.09091321087645,0.784349855478089,0.992458748279913,0.0710851620533186,0.838653918948073,0.917675212541882
"CM002236.1",58145,61150,".","+",-0.260272063717455,0.431557558092745,0.869359027560292,0.272278441541719,0.409975650659985,0.983012115658789,-0.18867955936913,0.568384106605135,0.992458748279913,0.305722409108293,0.379489964208206,0.810181900816195
"CM002236.1",90323,92593,".","+",-0.236149072470719,0.495731859327959,0.888212850695235,0.248494557994916,0.472381075304451,0.983012115658789,0.127929053240228,0.711281469272422,0.992458748279913,0.584671805072418,0.110103840447455,0.810181900816195
"CM002236.1",180222,181975,".","+",-0.265717301580107,0.426640651425149,0.869359027560292,0.0343112130637521,0.917890513757128,0.983012115658789,-0.331280869691543,0.321777923183251,0.985672257367752,0.206907790632638,0.55555414373405,0.824133299314088
"CM002236.1",182427,186051,".","-",0.0663962652548568,0.850971366513661,0.974933000557491,0.220940797071492,0.532043552182706,0.983012115658789,-0.134402558403838,0.703921613368876,0.992458748279913,0.356887910011461,0.338220611872748,0.810181900816195
"CM002236.1",185039,188208,".","+",0.147109492998599,0.666331112899313,0.935529664911277,0.197846929779318,0.562258135385099,0.983012115658789,0.0734777680145839,0.829500460713107,0.999133969759776,0.503000286878933,0.162694294594565,0.810181900816195
"CM002236.1",188530,190595,".","-",0.0497579548218576,0.886267778904676,0.985133829259066,0.199500269818277,0.566972009666357,0.983012115658789,0.222650190878856,0.522576156110865,0.992458748279913,0.316770173217916,0.389715066516888,0.810181900816195
"CM002236.1",189406,191138,".","+",0.160365603841277,0.639986420183886,0.923089949023955,0.108080309894162,0.752938465132392,0.983012115658789,0.0917933409217757,0.788870167457893,0.992458748279913,0.172204149262526,0.63516312117795,0.836807227765151
"CM002236.1",193143,195064,".","-",0.673034427848132,0.0452704541532817,0.60136842218337,0.29091225275004,0.385603018099882,0.983012115658789,0.801277644322379,0.0172915264883638,0.211271014548736,0.404733129633289,0.252210038982552,0.810181900816195
"CM002236.1",195020,196335,".","-",0.934351800789273,0.00884824656488349,0.258522682243553,0.625105346245564,0.0788935758978138,0.983012115658789,1.05063374640593,0.0032961196595348,0.0738330803735794,0.452345819602489,0.229551265983093,0.810181900816195
"CM002236.1",195780,197290,".","-",0.5582945978438,0.0972272642660952,0.790735543606433,0.249790569640014,0.457310147489607,0.983012115658789,0.973931395733816,0.00404042732254553,0.0848489737734562,0.170148229818983,0.631506689306559,0.836807227765151
"CM002236.1",197194,198497,".","+",0.171263460838694,0.619332484590632,0.919982051605761,0.184018296662656,0.594122430588718,0.983012115658789,0.553861727188562,0.10832860861126,0.655827252133034,-0.153837187419259,0.674274914997364,0.852945236025125
