"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.647179496997531,0.0521223133972256,0.131184249449197,0.307701504599814,0.353022511209358,0.617789394616376,-3.6750782988679,3.23435459807555e-21,2.93714363500915e-20,-3.98826092060624,2.67561631979558e-23,5.28827696147832e-22
"CM002236.1",2177,6443,".","+",0.518277736064651,0.132405134639784,0.275468267733544,0.223408986507206,0.515191837213374,0.748984104390218,-4.0668454039241,7.19669128286765e-23,9.4826991021315e-22,-3.24040815717966,2.59059584414884e-16,4.67978604104306e-16
"CM002236.1",14929,16647,".","+",0.891680597901204,0.0117709275185014,0.038585674597234,0.135254968342179,0.699501669756938,0.868881926204551,-3.48121729287444,3.6228838745552e-17,1.85845646084053e-16,-3.24883224091604,1.06987935224231e-15,1.74929178760787e-15
"CM002236.1",16440,19615,".","+",0.427083392305531,0.217027642368357,0.396311346933521,-0.420731271927266,0.224743081640719,0.467576937654995,-3.0393476751451,1.29771618193195e-14,5.45040796411421e-14,-2.50176309329893,7.23669880218098e-11,8.84193017284658e-11
"CM002236.1",33980,39245,".","+",-0.0356452019270712,0.918870367424926,0.961713139851741,-0.555805693424164,0.113526584598269,0.289920058558474,-3.79959503885109,1.79636408692749e-20,1.37176893910826e-19,-3.38853132267205,5.66320882170512e-17,1.10630125819356e-16
"CM002236.1",40949,43632,".","-",-1.04280431747457,0.00343107080596025,0.012880891517348,-0.957884532441069,0.00699948440108483,0.0242456366882938,-4.30844659074203,9.6011693122096e-24,1.74377993994726e-22,-3.98426076177338,3.70779141408384e-21,2.419063912878e-20
"CM002236.1",43708,45551,".","-",-0.552521166896747,0.101086873477749,0.224116684809477,-0.446199002591481,0.184051627967219,0.402474182792114,-3.85434263800517,2.11548088999447e-21,1.9744488306615e-20,-3.26349375054419,6.58343776139538e-17,1.27494817742297e-16
"CM002236.1",45331,49154,".","-",-0.261268270395944,0.438109141104486,0.645634523732927,-0.441579722851638,0.190734044510279,0.412132726401632,-3.3579498393231,7.94459159691699e-18,4.52437758739679e-17,-2.47756828851047,3.81346574038319e-11,4.71942721461787e-11
"CM002236.1",58145,61150,".","+",0.18677913634515,0.576589365724794,0.759942074344812,-0.126552452228068,0.705222420108084,0.874371709063898,-2.81273231587054,1.08660489342823e-13,3.99015567422825e-13,-1.93797314632795,1.0980461311645e-07,1.18631350505232e-07
"CM002236.1",90323,92593,".","+",-0.225955802192526,0.51372918520271,0.700255603359475,-0.270806653577312,0.433100989991797,0.682240540480405,-3.87970980089187,7.49223252333974e-21,6.45484648164655e-20,-3.02768571599485,1.95935660648476e-14,2.88115457233645e-14
"CM002236.1",180222,181975,".","+",-1.35749254435161,7.28532758624855e-05,0.000344770432250636,-1.46018337844821,2.19597314876812e-05,0.000107714887297239,-1.93197666028953,8.21449190691733e-08,1.97854428725751e-07,-1.93424844644786,1.08888931302872e-07,1.17831500540306e-07
"CM002236.1",182427,186051,".","-",-1.72587635778944,2.26418556771991e-06,1.35851134063195e-05,-1.04478656512883,0.00342919997151096,0.0127316153638418,-2.35290007536772,5.29309124584238e-10,1.47559065904406e-09,-2.99910276129087,6.98332965589459e-14,9.98467559310886e-14
"CM002236.1",185039,188208,".","+",-1.98828562335668,2.49791400270812e-08,2.04707098758519e-07,-1.29780955666676,0.000185887431201891,0.000800745857485071,-2.80208819639109,1.02539885606278e-13,3.80700569764745e-13,-3.34611798597823,2.72206632897731e-17,5.55996526769834e-17
"CM002236.1",188530,190595,".","-",-2.33377863595137,2.20731545943342e-10,2.39244514312783e-09,-1.74351389335913,1.12097257357837e-06,6.78642855355553e-06,-3.35748258192163,2.18276616030927e-17,1.17345508778227e-16,-3.67249328754125,2.81321815125089e-19,9.26707155706177e-19
"CM002236.1",189406,191138,".","+",-2.27884177657537,3.23105854151451e-10,3.44646244428214e-09,-1.82850717617072,2.56844337264575e-07,1.72599394641795e-06,-3.44688928482266,2.29615416640266e-18,1.36550053081645e-17,-3.4682879183653,4.47857105608508e-18,1.07485705346042e-17
"CM002236.1",193143,195064,".","-",-1.54724442046585,8.15398379583785e-06,4.5662309256692e-05,-1.45384617550885,2.69521340682468e-05,0.000130300964704042,-2.36381652641026,1.70802032814689e-10,4.96878640915458e-10,-2.31493045294874,5.09964839691888e-10,5.95993690909477e-10
"CM002236.1",195020,196335,".","-",-2.33335397863587,3.63324544449455e-10,3.81490771671927e-09,-2.21440066316399,2.34088630678373e-09,2.18482721966482e-08,-3.71544204641686,3.66171895803869e-19,2.43631201960594e-18,-3.39370774408296,1.00451884201761e-16,1.91228516100802e-16
"CM002236.1",195780,197290,".","-",-2.13975273151967,1.63825546254694e-09,1.57272524404507e-08,-2.08652340120517,3.89984649312161e-09,3.49426245783696e-08,-3.67699683616165,3.86662055989569e-20,2.76422235771266e-19,-3.4925457621925,1.10418578074513e-18,3.07889147162129e-18
"CM002236.1",197194,198497,".","+",-1.50716741023001,1.74231654585582e-05,8.93768487645125e-05,-1.33505546766887,0.000127438553780502,0.000559730118565344,-3.98591519197786,4.81552322549095e-22,5.13655810719035e-21,-3.54173982829869,1.47393639601279e-18,3.94615640685497e-18
"CM002236.1",208394,210343,".","-",-1.15449668121388,0.000468700723848125,0.00198092381399962,-1.07239944970505,0.00112831337178319,0.00440829410371109,-3.38104810383882,4.36569526563752e-19,2.84829827039652e-18,-3.31674945100021,2.62263369455833e-18,6.47944795126175e-18
"CM002236.1",209486,212487,".","+",-1.69995406318763,1.59189339271912e-06,9.9976856066098e-06,-1.43763555331223,4.16425627256812e-05,0.000197069029237026,-3.50656616339545,5.76619933120575e-19,3.69036757197168e-18,-3.93480848158501,1.01553490595744e-21,9.34848570963561e-21
"CM002236.1",213619,215734,".","+",-1.53872913003143,2.04193980999916e-05,0.000103171695663115,-1.03018746790834,0.00375093947203476,0.0138496226659745,-1.84464184692462,5.32989629770271e-07,1.16667436874796e-06,-3.94899783099324,7.13954469270497e-21,3.99814502791478e-20
"CM002236.1",216104,217521,".","-",-1.28741695784531,0.000379584444488528,0.00163513299164289,-0.850117104199866,0.0174212610862103,0.0568305216016181,-1.19973204498796,0.000949264409174138,0.00166555008607055,-4.05895422999902,3.28444402286369e-21,2.2071463833644e-20
"CM002236.1",219395,221979,".","-",-1.13807844542208,0.00166156121290941,0.00668604272500074,-0.788982559795245,0.0276732798321855,0.0868992712487322,-0.644217041797294,0.0727175632565986,0.100755056718421,-3.41599511603241,1.45693745311912e-16,2.72719211280237e-16
"CM002236.1",223661,224874,".","+",-0.987794686165075,0.00478912163654209,0.017210105560194,-0.367854670015101,0.287818633826601,0.545424931724859,0.235626410672004,0.498164436297383,0.548797542937445,-2.39298628189724,5.52849426997246e-10,6.44990998163453e-10
"CM002236.1",243323,247248,".","-",-1.75659815760455,1.04981651229033e-06,6.84928831319514e-06,-1.48890176799342,2.93402322258589e-05,0.000139834298267923,-0.261030013209581,0.453276419261484,0.504218483005252,-2.87363729741058,2.46247076739635e-13,3.38400890734223e-13
"CM002236.1",246886,248478,".","-",-1.99230397408975,2.2969439273403e-08,1.90561273971936e-07,-1.74112532739501,7.56233223718882e-07,4.74942734896344e-06,-0.298990374130078,0.380184489099502,0.43010770483984,-3.546168046223,9.68732731238479e-19,2.74678647844834e-18
"CM002236.1",249096,252944,".","-",-1.46320191972847,2.10529048211924e-05,0.00010557874656598,-1.26440932364558,0.000218760534795233,0.00092457282630438,0.0219803754143593,0.947758598805969,0.952008637365637,-2.29323101996408,5.66530943288553e-10,6.59807268440048e-10
"CM002236.1",254974,256694,".","-",-0.945514700490634,0.00794144710049072,0.0272278186302539,-0.739666421268939,0.0369078321470729,0.112226530329561,0.332664319373388,0.346912818890114,0.398110712886621,-3.12792904245931,1.23166761146197e-14,1.8311518471293e-14
