"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.477038049240132,0.0372482107776162,0.131051296557896,0.422737521102128,0.0662434634709946,0.206304157395622,0.361870147499567,0.114370077566848,0.353064172838278,0.441251817587002,0.0540460656542234,0.155875348152953,0.305805331652695,0.226631557477931,0.556894547296165
"CM002236.1",2177,6443,".","+",0.375438857494472,0.112316950309289,0.257600650538711,0.20333055933903,0.391795617548925,0.595671165142257,0.204427442078737,0.388080833267733,0.651975799889791,0.202903684967221,0.391539332055326,0.55862936548021,0.162632647717458,0.532540232467743,0.764673154312657
"CM002236.1",14929,16647,".","+",0.235839479748343,0.33108311058126,0.490061344296491,0.248332565087286,0.309894136002836,0.519323838887546,0.1854126775149,0.445565645598824,0.689996868366057,0.326323971361988,0.17908073093329,0.350852044277466,0.25983522479684,0.33066314412829,0.633064481066127
"CM002236.1",16440,19615,".","+",0.281794152155513,0.238562942594387,0.408581498409605,0.175752446197432,0.464445616305367,0.661689392520752,0.291446045178772,0.223157278899091,0.486888608507107,-0.0614086444143361,0.798665056038043,0.866372690596522,0.224737334196825,0.393298897790531,0.675750751853797
"CM002236.1",33980,39245,".","+",-0.155009289776136,0.522728336213312,0.660288424690499,-0.142226988985085,0.558003660303606,0.744004880404808,-0.18123769291206,0.455167506418671,0.689996868366057,-0.0711261367885513,0.768686214080315,0.846814976822904,-0.0145001262723229,0.95626215295124,0.990006880859519
"CM002236.1",40949,43632,".","-",-0.065783664370755,0.790155381660296,0.849622132063247,0.493918083498258,0.0447152401156337,0.160891329194172,0.498664915517476,0.0417257966553838,0.203237844356747,0.715413375635912,0.00353892085755935,0.0241855020409697,0.572613153131386,0.0355670808721209,0.220240825849654
"CM002236.1",43708,45551,".","-",-0.391144464975549,0.100759795341907,0.246042819160101,0.127124794132224,0.588375505233284,0.768790288198598,0.287968060368367,0.216692770196626,0.481953571949058,0.558110558597625,0.0167373752077014,0.0752128923065854,0.247111946220405,0.33836128065256,0.640811787953573
"CM002236.1",45331,49154,".","-",-0.00283322450580815,0.990360677098544,0.996290980554224,0.235679773653262,0.313986765057349,0.522275015144898,0.213000521257659,0.36147751801783,0.625730492727987,0.347675733298072,0.135996483676591,0.293208657420534,0.104178484312433,0.685361667549188,0.856615239059721
"CM002236.1",58145,61150,".","+",0.159551195714688,0.490068310692251,0.632103464079065,0.352278320940595,0.128089894601521,0.293776140519529,0.368923274506366,0.109928865627285,0.346817829584675,0.239223985478762,0.300643346718003,0.478749594773692,0.329288734463994,0.19714509521298,0.530870794781878
"CM002236.1",90323,92593,".","+",-0.426480757458158,0.083051102012757,0.218864080598324,-0.298376596015246,0.22396598988496,0.423958155500544,-0.188551259727394,0.438053295576383,0.689395350415291,-0.127700212448955,0.598685874152665,0.732817682022934,0.200911153077944,0.450688504479594,0.714298761816716
"CM002236.1",180222,181975,".","+",0.0648803443955026,0.779371868383361,0.847498941891563,0.630787178998542,0.00657433548390935,0.0455459118060524,0.518798108504282,0.0241901839902818,0.147780033104267,0.504498439678996,0.0286667651048508,0.108175590779014,0.287126036178821,0.260736517998114,0.570732703891636
"CM002236.1",182427,186051,".","-",-0.273551551869483,0.273501772943127,0.436644931450433,-0.110130082797109,0.658254166546993,0.822485516922402,0.0660390618564705,0.789304514182842,0.898894363388846,-0.0979806294912123,0.692980326539806,0.793326711132453,0.0979198268442492,0.718925987083042,0.88269799592075
"CM002236.1",185039,188208,".","+",-0.334215953929273,0.167260307786174,0.325793990818287,-0.155810461070224,0.517748386778941,0.710818076461225,-0.0918271521400273,0.701673479350826,0.865948090397496,-0.418933237380604,0.0845971590520132,0.212124219712511,-0.0181894595442688,0.944823564565067,0.988974198423247
"CM002236.1",188530,190595,".","-",-0.275026681375472,0.260658744385103,0.42827060202149,-0.0898151202070874,0.712071214950009,0.849932249460756,0.231353242676702,0.336320711358613,0.603933591415714,-0.100156195646385,0.679921511740088,0.785064013555566,0.180810448667009,0.497967556087879,0.755553261917248
"CM002236.1",189406,191138,".","+",-0.369975825904147,0.125712738036799,0.277891315660294,-0.0222644867727096,0.925715960469224,0.972124591222799,0.197717305173287,0.403061622760201,0.668783729616925,-0.192038796213683,0.421738294499718,0.58075437275371,0.152649101049653,0.560459021334223,0.786280714690183
"CM002236.1",193143,195064,".","-",-0.466094285403085,0.0502234747812063,0.162260456985436,-0.46409099742692,0.0519855672655038,0.179793719789005,-0.177112070155524,0.450270253590663,0.689996868366057,-0.416802649454418,0.0790869503987498,0.20421207707157,-0.108549417287327,0.672657285215624,0.850117190775113
"CM002236.1",195020,196335,".","-",-0.444116140032593,0.0761777845078016,0.205588237707802,-0.7622806528056,0.00282975542026229,0.027165652034518,-0.214211954617641,0.385169838330178,0.648707096135037,-0.492091735144898,0.0492019437603038,0.146360593075442,0.00967667031772887,0.971506425966133,0.99644700844887
"CM002236.1",195780,197290,".","-",-1.33935480742459,1.7716177353425e-07,1.9842118635836e-05,-1.48204968507204,1.05611847867073e-08,1.77427904416683e-06,-1.09459104209282,1.13256128210727e-05,0.00108725883082298,-1.22785043951742,1.1657383821474e-06,6.02597071386965e-05,-0.631227930995854,0.0159188468657012,0.146540617722619
"CM002236.1",197194,198497,".","+",-1.22922424479626,2.05551934836515e-06,0.000115109083508448,-1.56095505962376,4.37998329928635e-09,9.81116259040142e-07,-1.18682646004779,3.61000408971434e-06,0.000998215359589586,-1.51787129377634,8.52475875193398e-09,1.84115587781937e-06,-0.82462651949854,0.00221736680468926,0.0382069357115687
"CM002236.1",208394,210343,".","-",-0.760886442042564,0.0011984799081093,0.0169008638566942,-0.755557348162678,0.00131888275712815,0.0168083679530274,-0.392805133676536,0.0870780107958146,0.318024039428192,-0.977557366380671,4.18784610078654e-05,0.00113299410108314,-0.202901723856942,0.415620896259333,0.686926313616201
"CM002236.1",209486,212487,".","+",-0.290011499681098,0.231617326068414,0.402188225111045,-0.129202002421526,0.592467376502947,0.770259440812308,0.0910826573263702,0.703582823447966,0.865948090397496,-0.246972015926123,0.30683877213071,0.481765548765975,0.111430226290288,0.6726791503593,0.850117190775113
"CM002236.1",213619,215734,".","+",-0.461693400623728,0.0667462522528311,0.190057125058909,-0.240753176568366,0.3351946981497,0.543305783777142,0.0794427536630573,0.747211851074561,0.87631128084137,-0.371491011034855,0.137968540391544,0.293658829788206,0.1870631452495,0.491609084985579,0.754249555046368
"CM002236.1",216104,217521,".","-",-0.237578455792253,0.345106305151372,0.501344911187597,-0.154434491168405,0.54003544156014,0.728722523551033,0.153769317100216,0.535857440213876,0.750200416299426,-0.287736149330892,0.253431598388933,0.434792559892302,0.306877909639189,0.265521586260416,0.579319824568181
"CM002236.1",219395,221979,".","-",-0.296507408079002,0.238656226705504,0.408581498409605,0.100220927296455,0.688308536148693,0.831444260515903,0.095571731399477,0.700467804705153,0.865948090397496,-0.147113915290941,0.556640940730413,0.700491970357374,0.361439997771283,0.188804098220903,0.523128535438829
"CM002236.1",223661,224874,".","+",-0.319971932185155,0.188812029854657,0.354418111905949,0.0631260112541539,0.793873924130637,0.893400550431688,0.472454107440299,0.0481070839067516,0.214523012472674,0.123876998963617,0.605977979429708,0.73905118362389,0.24546769893861,0.353882871442172,0.647445231603464
"CM002236.1",243323,247248,".","-",-0.532745078638398,0.0322981135402921,0.117958327712371,-0.112077541453977,0.647160253348633,0.812881664019217,0.108356279325558,0.655401772406978,0.83731937463401,-0.0219838638693677,0.928136282314571,0.95660672042238,0.0577512098989942,0.829233057037737,0.933408064203281
"CM002236.1",246886,248478,".","-",-0.298104270932311,0.214989040169721,0.386290467898536,-0.00726259770314612,0.975775645990266,0.990515459373805,0.159685593627077,0.49888993543972,0.717888729369361,-0.240920537903403,0.314372659277318,0.490158763420783,-0.111376402893429,0.670949336886965,0.850117190775113
"CM002236.1",249096,252944,".","-",-0.283040307309535,0.230904943466233,0.401989953391991,0.0188427276798068,0.935959241846951,0.972124591222799,0.173071934968554,0.457944350135806,0.689996868366057,-0.298014552233436,0.207395365207807,0.381959429162345,0.0860587348558239,0.737924330281939,0.895400470019661
"CM002236.1",254974,256694,".","-",-0.543760558859292,0.0310693181779238,0.115992121197582,-0.395192368555203,0.115433499983739,0.27903349636357,-0.0804662024344575,0.744487910668678,0.87631128084137,-0.275557587763696,0.268472474174227,0.44656807585416,-0.181136158601444,0.505221307250929,0.755553261917248
"CM002236.1",255165,256694,".","+",-0.528215079049964,0.0367946936821245,0.130484684904807,-0.381094564763371,0.130412630924913,0.294084858998462,-0.0361401547714309,0.883926134585236,0.94435351739472,-0.193376909593721,0.438140756214504,0.592825320797586,-0.22590513847305,0.408203734073907,0.684072093011634
"CM002236.1",256492,259361,".","+",-0.500543567941505,0.0518572996672315,0.163159713113717,-0.394744102133018,0.12441050876731,0.288289178936663,-0.0555039127374764,0.826237822716022,0.918307679878981,-0.449138541729222,0.0802085923627866,0.205725855220582,-0.0546465772280722,0.843952828272532,0.938027237109408
"CM002236.1",262019,264387,".","-",-0.231386351880468,0.376135708668452,0.5254952104474,0.0210316963103383,0.935523308928127,0.972124591222799,0.253211045996059,0.326357213338338,0.597069374654851,-0.2022553796031,0.438443726839882,0.592825320797586,0.332351000233364,0.244470076566025,0.556894547296165
"CM002236.1",264035,266388,".","-",-0.620028666313197,0.0156477989642119,0.0751094350282173,-0.371343559125937,0.14387498040396,0.315960741279284,-0.0963109197329918,0.700613002935347,0.865948090397496,-0.520486925361928,0.0412322946608186,0.130700846450159,0.0144906590172094,0.95791165764775,0.990006880859519
"CM002236.1",290632,292877,".","+",-0.790184508147703,0.00220539543459555,0.0239036408394872,-0.730968477422529,0.00459161775907196,0.0363290684023552,-0.328903886746154,0.19045536098637,0.455352039998804,-0.757264429592858,0.00325398883088688,0.0230176894142735,-0.195956442852574,0.474749239778157,0.735095597075855
