"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1201,1500,".","*",4.44075862069896,8.45539312926567e-38,1.48529676897221e-36,4.97379983926064,8.32006930457433e-43,1.45567932552833e-40,4.96012096728728,2.9527153855308e-43,6.45758854815586e-41,1.25593295581545,0.0002074801891623,0.000387994163059384,0.100834856971166,0.778176569998732,0.929476875252445
"CM002236.1",1501,1800,".","*",5.22050722381352,7.57122517156267e-48,1.65582694502076e-44,6.52782492036488,5.05443532142738e-58,2.21081000959234e-54,5.31690996218428,2.17344098290818e-48,1.90132617184808e-45,1.84863223416142,1.48846063395827e-08,3.19613491062026e-08,0.240839726326417,0.518935049631893,0.840674780403666
"CM002236.1",1801,2100,".","*",5.25814434754716,9.4971919996129e-43,1.15390882795297e-40,5.75549625728907,4.44133683600754e-46,1.9426407320697e-43,5.33686004712391,3.14507453750639e-43,6.55074096526331e-41,0.911188278495172,0.0123963327078546,0.0200671943982812,0.167255371538858,0.66154727066015,0.896131236255032
"CM002236.1",2101,2400,".","*",4.09896613501853,1.45823029307254e-31,5.23669893423588e-31,4.62364329692176,4.98893251362631e-36,1.6284769264628e-34,4.44902620321564,5.94697890031355e-35,7.78804961376392e-34,-0.59705143172052,0.158764968143548,0.209545725182166,-0.0497085301520848,0.896307567436403,0.969322815131397
"CM002236.1",2401,2700,".","*",4.32092957667713,4.10567753659997e-36,4.23543243987931e-35,4.64352782116367,5.58827233059634e-39,3.76047741138899e-37,4.3851226735166,2.05304704878129e-36,4.31732105354297e-35,-0.36810899389179,0.360622907647882,0.430268575573332,-0.226029534636397,0.53193178026798,0.843852993872581
"CM002236.1",2701,3000,".","*",3.09569800751741,4.00269473324331e-21,5.92480093509517e-21,3.46312716976679,1.21268326122555e-24,3.75391124175551e-24,3.42385425070202,1.28743064972981e-24,3.07213402177752e-24,-0.799182113700066,0.0675460772040199,0.0968359690889489,-0.919552635023945,0.0153920025903028,0.354725880929554
"CM002236.1",3001,3300,".","*",0.2398555075859,0.476001877473601,0.478188381274583,1.17374687927593,0.000212756964567749,0.000255869937591239,0.886700168266912,0.00557333799826531,0.00660107782410302,-1.572433851942,0.000750108155280723,0.00135745679404133,-0.393554230433462,0.27684451966087,0.713538624448952
"CM002236.1",3301,3600,".","*",1.76958203678087,1.53009299686744e-08,1.67608984931083e-08,2.78029144312736,1.94289241088722e-17,3.52622879884677e-17,1.80083790379311,1.6285550702911e-08,2.21702454947192e-08,-1.7287959374663,0.000463792167520127,0.000850577333640685,0.573648314039448,0.122092136591051,0.58878831912818
"CM002236.1",3601,3900,".","*",1.23358628170756,9.96455919215532e-05,0.000103233022042841,1.85227997550474,1.81233871141638e-09,2.51816058568465e-09,1.83544355065177,1.01092771988118e-08,1.38354125367969e-08,-0.542898357869357,0.225220983343582,0.286287875950254,0.285143259543497,0.430682787010371,0.795219752095403
"CM002236.1",3901,4200,".","*",1.92707552183634,7.39294816819809e-10,8.25127718491922e-10,2.38689268384851,6.36872610945744e-14,1.00820875869587e-13,2.36421193968755,1.35746047760569e-13,2.12434065439974e-13,-0.634839737800812,0.199820157264402,0.257517197370211,0.706041779879751,0.0545507347778697,0.484969337232525
"CM002236.1",4201,4500,".","*",1.90823636596751,1.19864826898295e-09,1.33406807341767e-09,2.23451637630406,2.41838261272868e-12,3.63130983456067e-12,2.19956444566334,4.65477226763337e-12,6.94168902101205e-12,-0.423445734185772,0.330411451405415,0.399563087765354,0.303264674260946,0.44788662663964,0.805196000486682
"CM002236.1",4501,4800,".","*",1.71180882183851,1.17372380845074e-08,1.28700625173315e-08,2.23841889472117,1.57194910077638e-13,2.46249476442519e-13,2.52995375987614,1.51467465127365e-16,2.56194389971807e-16,-1.28704724075472,0.0026508980675982,0.00459755279447841,-0.354590493583964,0.310593591935297,0.737176267304101
"CM002236.1",4801,5100,".","*",1.22437731518327,0.000153025488015408,0.00015816008614825,1.9112220235952,6.83378355916085e-09,9.36140597800487e-09,2.01382625798703,1.59965286451036e-09,2.23613986237403e-09,-1.29038396450614,0.00636213955368451,0.0106498271748244,-0.368098051220854,0.331112227497953,0.748081034646719
"CM002236.1",5101,5400,".","*",1.98881658373414,2.09517871942345e-07,2.25833211403602e-07,2.96640642551207,1.68943806469747e-12,2.55077738867336e-12,2.11632467860846,5.63549243941442e-08,7.56820507522219e-08,-1.26786851481721,0.0161926857290609,0.0257739473722389,-1.08545105133033,0.0167440479199387,0.360429256129525
"CM002236.1",5401,5700,".","*",2.70777044549127,1.2995590101896e-13,1.55477875015572e-13,3.36708490206254,7.88734777975919e-18,1.45689439141329e-17,2.87817225351067,1.07612972497011e-14,1.73051155037472e-14,-1.70718711126652,0.00270206682521409,0.00468443927605487,-0.316148450992685,0.44507559181967,0.802439481168967
"CM002236.1",5701,6000,".","*",3.4057503484373,1.95544590002453e-24,3.38067998684082e-24,3.15080958537453,1.1445234308342e-21,2.66142769083933e-21,3.31934893447308,5.8084647293258e-24,1.3315631407794e-23,-1.00312355167577,0.0290620141969965,0.0447280964453422,-0.0611648697570428,0.867326045575007,0.958737998984697
"CM002236.1",6001,6300,".","*",3.62646515488785,8.6725702158734e-27,1.74168145657623e-26,4.15858762339206,4.07295431763131e-31,3.8560827240951e-30,4.04001132143552,1.5498229439291e-30,7.44936874367681e-30,-0.791579394603697,0.0816595765573639,0.115219028342551,-0.0272134252146788,0.94412898223806,0.984991516041427
"CM002236.1",15001,15300,".","*",3.44275002268569,1.67160645628174e-24,2.90028030137895e-24,3.64028210046049,2.99374092732383e-26,1.16500202990342e-25,3.53495006486087,2.66061098799541e-25,6.71524088949332e-25,-0.167060510144775,0.690317837751813,0.74591161618736,-0.0232861548790502,0.950258951072228,0.984991516041427
"CM002236.1",15301,15600,".","*",3.03221839230406,6.97238884057441e-19,9.57827537332678e-19,3.96590970956112,1.8005382344216e-26,7.27870077390027e-26,3.3971049365777,8.79417691321727e-22,1.78495265978712e-21,-0.872528712401841,0.0607711116016786,0.0880174973992524,-0.458091507594517,0.254442121121027,0.694279374786883
"CM002236.1",15601,15900,".","*",3.33510362292339,1.34234911982164e-23,2.21229655241139e-23,4.02789545493447,6.64967830786339e-30,4.83954957048161e-29,2.92824015823572,2.80295522523217e-19,5.18837332000232e-19,-1.39866971414617,0.00544085435827273,0.00917790087276704,-0.9315122739975,0.0170713577840181,0.360429256129525
"CM002236.1",15901,16200,".","*",2.78299169209118,1.36037919252867e-17,1.79876015360351e-17,3.77198000044404,6.23976873329224e-27,2.63189473861333e-26,2.9222212241361,1.91618458628071e-18,3.44913225530527e-18,0.145222846391384,0.716455863314735,0.771106778085298,0.126799485173366,0.734313681750512,0.922216967668316
"CM002236.1",16201,16500,".","*",2.0261726612966,5.54270129736946e-11,6.32501316845657e-11,3.33796221183055,2.7845984798722e-23,7.42220216390067e-23,2.41858909046756,2.80289639681719e-14,4.46625458640379e-14,-0.913538042000957,0.0450034427361811,0.0669541015401551,-0.815485128012701,0.0305734466249121,0.42831678348238
"CM002236.1",16501,16800,".","*",1.11884265154069,0.000359744600953705,0.000370240678722707,2.36376509368516,2.32773604458537e-13,3.6220268441894e-13,1.44015555567579,6.19008190308467e-06,7.8983133734225e-06,-1.18934968483486,0.00556846823432852,0.00938592680422078,-0.806727552693898,0.029649559150674,0.421062245860546
"CM002236.1",16801,17100,".","*",0.0205785067199888,0.949410376987064,0.949844690974707,1.47376128384054,2.02471822082028e-06,2.59634051535266e-06,0.51784704902078,0.119690697764423,0.131937276215118,-0.375009225409824,0.342243780258642,0.411030833292504,-1.40215681992962,0.000250274567502705,0.0604802190724059
"CM002236.1",17401,17700,".","*",1.93182730956353,3.28893083326864e-10,3.69434603613689e-10,2.17406326533165,3.59365304301596e-12,5.37022152721277e-12,1.58211359722253,4.36633811265297e-07,5.7386907766659e-07,-0.83037873772893,0.0506641887596334,0.0745894182546741,-0.733689172378201,0.0406850208697715,0.45202527829357
"CM002236.1",17701,18000,".","*",2.56890838357136,1.95663672239052e-16,2.5112467792653e-16,2.81447864411002,1.49234561560081e-18,2.84920110110779e-18,1.74650892661495,3.10207641070281e-08,4.19168434365588e-08,-1.18039463541269,0.00954033774636578,0.0156583254418776,0.17763054173885,0.611688949871946,0.875104995417808
"CM002236.1",18001,18300,".","*",2.60370113145555,7.4872566705653e-17,9.7092382677298e-17,3.01872172806569,2.1132313643528e-20,4.45244411737916e-20,2.37245927649954,8.44549081017548e-14,1.32546023694681e-13,-1.17768168962912,0.00748632352789618,0.0124270129453578,-0.0786355671479732,0.828348585407923,0.948488595307782
