"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.475321724321143,0.0965255678658998,0.376801071165213,0.614431403109104
"CM002236.1.1801.2100",-0.131057444558446,-0.40887782278749,-0.0098083742547978,0.175788648861558
"CM002236.1.2401.2700",-0.312145945740416,-0.336579519608371,-1.15880775624728,-0.617999455168063
"CM002236.1.3301.3600",0.455344049669712,-0.0761821233847812,0.582409758297106,-0.0223637723020788
"CM002236.1.3901.4200",-0.345747373700313,-0.364070574507149,-0.17065252896593,-0.55471070168806
"CM002236.1.4201.4500",-0.505677516043425,-0.439529165243061,-0.352329456699671,-0.00596974850537487
"CM002236.1.9301.9600",-1.00884324316592,-0.54899226625119,0.258523414346394,-0.533701847446821
"CM002236.1.9601.9900",-0.087037952870965,-0.194954474103223,0.394262614022637,-0.50398490606885
"CM002236.1.9901.10200",-0.119073339201456,0.150719365343331,0.217284223484668,-0.371589634489852
"CM002236.1.10201.10500",0.298864253809507,0.24814636385251,-0.30390251027022,-0.136792253381901
"CM002236.1.10501.10800",0.150710205604392,-0.344420877836604,0.0289008863273903,0.156670106696531
"CM002236.1.11701.12000",0.113953703790671,0.335674361492403,0.814219091552236,0.516888825925758
"CM002236.1.17701.18000",-0.63749476278306,-0.327946319569291,-0.726592100385986,0.275824826090351
"CM002236.1.18001.18300",-0.147095407949653,0.29102339635672,-0.0575272615533402,0.686128201061424
"CM002236.1.18301.18600",-0.452350115877624,-0.694236027012984,-1.05514898680227,-0.429684219002707
"CM002236.1.18601.18900",-0.159520627896388,-0.143600668807354,-0.64901782823536,-0.144222227373666
"CM002236.1.18901.19200",-0.384372861613599,-0.508729942404243,-0.452053928283884,-0.378119998775469
"CM002236.1.35701.36000",-0.792848055346738,-0.214197385602377,-0.280179277432774,0.311013353560968
"CM002236.1.36001.36300",0.114435382720672,0.66547911882888,0.104475365012724,0.978671173082132
"CM002236.1.41701.42000",0.485970118097907,0.496362855504084,1.11212065822148,0.968002543378291
"CM002236.1.42001.42300",0.21733209450378,0.268247845801004,0.839318282458959,0.78753101038405
"CM002236.1.42301.42600",0.77569911576481,0.36715381090878,0.706529075078087,0.418983117996693
"CM002236.1.42601.42900",1.12033909723045,0.927464055558066,0.971402464812295,1.27539647101158
"CM002236.1.42901.43200",0.839562518573282,0.641209186823557,0.922479083924055,0.203034137725807
"CM002236.1.43501.43800",0.790284630326564,0.963783830487307,1.31873086459645,0.776579090975642
"CM002236.1.43801.44100",0.573718252227941,0.653386669086871,1.01224825045287,0.380306943325961
