"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",-0.853279916631828,0.000822985903057978,0.0012317294584743,-0.387809657884623,0.106819082425462,0.14270859520857,-0.184840145017659,0.437470565394051,0.492429179137023,-0.799846701686685,0.00121831069618911,0.00389859422780515,-0.76343204542234,0.00511729235407838,0.00750834161995779
"CM002236.1",2177,6443,".","+",-0.247151194054266,0.322002480086831,0.350706104729904,0.0390886314752626,0.872673563814111,0.889888672053236,0.155546694846784,0.522197468874233,0.573393299156021,0.0840992139252367,0.730106578212091,0.785010592893641,-0.26222819388836,0.335015945886786,0.378370950648606
"CM002236.1",14929,16647,".","+",-0.954425689198133,0.000508497141411316,0.000780159997781746,-0.73461764186085,0.00481072283319736,0.00880873499702624,-0.741126162810404,0.00435298475777201,0.00835773073492225,-1.40786800799979,3.78842556069077e-07,4.80343769204566e-06,-2.60698114391942,4.34982838960397e-14,7.30771169453466e-12
"CM002236.1",16440,19615,".","+",-0.863640286554172,0.000982278595771144,0.00144124719728867,-0.755300274401383,0.0029344428315772,0.00563413023662822,-0.67007160767021,0.00803353571619238,0.014357808514046,-0.923331337330245,0.000345598282848215,0.00135024445391861,-0.715010861279312,0.0102715079018811,0.0143502147818381
"CM002236.1",33980,39245,".","+",0.496681990921427,0.0458321939529718,0.0552948551820414,0.214144223792403,0.386937909910565,0.442968101294548,0.283704170851336,0.250924002684023,0.312840315034626,0.171341476314556,0.489583943796019,0.567242086605042,0.462042750187108,0.0931495549850745,0.116134510111262
"CM002236.1",40949,43632,".","-",0.822139146923504,0.00115134223388936,0.00168196082863836,-0.30149763761528,0.235368743731096,0.288101631670849,-0.397168032762356,0.119338560256424,0.159434418473792,-0.212365079510471,0.402084317872991,0.480784095392616,0.498375120660253,0.0761817444186575,0.0965927023572412
"CM002236.1",43708,45551,".","-",0.860674315893801,0.000380944900270692,0.000603761728730908,0.263997382252103,0.269028049954411,0.323990769837571,0.238139271238686,0.317765564538997,0.381318677446796,0.260191172520685,0.277580837593497,0.350628426433891,0.770472176349024,0.00445989693431443,0.00664534532119578
"CM002236.1",45331,49154,".","-",0.431559703194067,0.0720096694747985,0.084304003287569,0.209265092568007,0.379276278399931,0.436427498432798,0.233896164562651,0.324771392721593,0.388591050123078,0.308490969557948,0.194718843255514,0.264880693659323,0.248848407472866,0.348345557548155,0.391451864000602
"CM002236.1",58145,61150,".","+",0.167283202716481,0.486427772496653,0.518034014449684,-0.0719149973825847,0.76257807099173,0.794499943730919,-0.00229804751693852,0.992277371043193,0.992277371043193,0.049030357164578,0.836806870554559,0.874547771403832,0.117086047904109,0.659486234053597,0.690303347794419
"CM002236.1",90323,92593,".","+",1.01760748116515,4.46482351177607e-05,8.4996073651941e-05,0.744376621607807,0.00246652154349428,0.00483236873827451,0.630638221926449,0.00997273285997542,0.0171837858510346,0.185754449392362,0.451353366757425,0.528413697667229,0.782551743896131,0.00499837131640708,0.007382209944232
