"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",-0.271330993270392,0.45363350032411,0.946139860750845,0.0279551308770613,0.938272669522989,0.998788703548455,0.253119341176878,0.482769531476078,0.930810932892954,0.0688803639314471,0.855966930527312,0.977486101249032
"CM002236.1",2177,3177,".","+",-0.445900295033643,0.265451900983849,0.926837801955688,-0.0293607732327964,0.941321643960702,0.998788703548455,0.494915356850557,0.214608449704614,0.717496906475126,0.0465243356136489,0.911670637364371,0.982861284696197
"CM002236.1",14929,15929,".","+",-0.826684905127096,0.0356450170567082,0.623247766846491,-0.110575167966726,0.777005078048876,0.998788703548455,-0.0968321621400954,0.804123556223861,0.99300006432377,0.888340793760542,0.0302053236133055,0.927529471609493
"CM002236.1",16440,17440,".","+",-0.22005722325701,0.531683773300683,0.946139860750845,0.0402998698938769,0.908511200488447,0.998788703548455,0.164887300611193,0.63815911048947,0.985378869208674,0.323771751197485,0.379224338850208,0.927529471609493
"CM002236.1",33980,34980,".","+",-0.209874385195441,0.558541684282964,0.946139860750845,0.117477027927521,0.742154708648046,0.998788703548455,0.329012222081919,0.356868053657715,0.872055752938126,0.593362486424819,0.114322644803643,0.927529471609493
"CM002236.1",42632,43632,".","-",0.0252267772832364,0.946233068961327,0.990984765164815,0.236378501811601,0.527317807271184,0.998788703548455,-0.268728631580116,0.472325578744984,0.929283745268407,0.173393144651628,0.660242262639594,0.932106723726486
"CM002236.1",44551,45551,".","-",-0.639869813055087,0.0891941010862614,0.907692318340341,0.0110324155761329,0.976332668349952,0.998788703548455,-0.448760962373947,0.233528002914589,0.738559771520501,0.188104989480424,0.633487811211778,0.927529471609493
"CM002236.1",48154,49154,".","-",0.104664464128803,0.762865588676673,0.96641288010318,-0.168539970274232,0.626572822109269,0.998788703548455,0.289462359278822,0.402676036255344,0.890125974880235,-0.203017640359496,0.576666600353592,0.927529471609493
"CM002236.1",58145,59145,".","+",-0.0871747375607266,0.812530832455258,0.96641288010318,0.291152997826934,0.427389244257053,0.998788703548455,-0.0591402041737116,0.872262429144779,0.99300006432377,0.355727041530814,0.358469795760793,0.927529471609493
"CM002236.1",90323,91323,".","+",0.172510923163706,0.647153056311128,0.960015129892005,0.441016742152157,0.240159682762036,0.998788703548455,0.807407894765301,0.0312709662649893,0.244349875931079,0.613329008284133,0.122208253148254,0.927529471609493
"CM002236.1",180222,181222,".","+",-0.408987971345445,0.250927177331929,0.926837801955688,0.0278886199544178,0.93729192487986,0.998788703548455,-0.378594902803681,0.287161668351328,0.80741690850248,0.219536222887264,0.557291085117797,0.927529471609493
"CM002236.1",185051,186051,".","-",0.442102149836441,0.232407303296248,0.926837801955688,0.175065327541264,0.637130689997161,0.998788703548455,0.307234241162227,0.40706397767896,0.89380472600585,0.424240451606141,0.278281247227341,0.927529471609493
"CM002236.1",185039,186039,".","+",0.452744795052868,0.221385313514838,0.926837801955688,0.192353357259796,0.604325379496037,0.998788703548455,0.327981401304694,0.37618661226505,0.877768761951783,0.448325453820785,0.252034197734236,0.927529471609493
"CM002236.1",189595,190595,".","-",0.02260782350966,0.951703009961758,0.990984765164815,-0.0144211442212364,0.969545311223578,0.998788703548455,0.0986974705666981,0.792171541235082,0.99300006432377,-0.0336796482941202,0.932453142686558,0.982861284696197
"CM002236.1",189406,190406,".","+",0.0945980823144334,0.801217332352054,0.96641288010318,0.0790857422631328,0.833875803810605,0.998788703548455,0.216404376617655,0.565189158133395,0.961536998140865,-0.0181520369854898,0.963635511425741,0.985636322188886
"CM002236.1",194064,195064,".","-",0.650942518545833,0.0633613878011078,0.834879462791067,0.368265512079574,0.294584154467314,0.998788703548455,0.817278906408823,0.0197226183017021,0.181556157517038,0.269515874285052,0.466852435966028,0.927529471609493
"CM002236.1",195335,196335,".","-",1.01699237659266,0.00591436287466325,0.18065690235335,0.708575968946583,0.0554839003594835,0.956180597373157,1.19524344903893,0.00122445985969826,0.0257136570536635,0.61735416874631,0.115892925504605,0.927529471609493
"CM002236.1",196290,197290,".","-",0.418039849859266,0.248631808568116,0.926837801955688,0.0355140855062728,0.921989318011596,0.998788703548455,0.945463827088142,0.00909894670829792,0.104446489955244,-0.00775422141642655,0.983869331797693,0.991914446382043
"CM002236.1",197194,198194,".","+",0.18764208912974,0.617893692484851,0.954539221493839,0.129033439097801,0.731972717139685,0.998788703548455,0.615147307897301,0.101403664861388,0.5482759080677,-0.11799406486498,0.767801526467805,0.965451529772866
"CM002236.1",209343,210343,".","-",0.708116551518835,0.0539623962928673,0.755473548100142,0.611906302371848,0.0963271567075311,0.998788703548455,1.42781270287716,0.000104196554760625,0.00333428975234,0.556873291401285,0.152465080081174,0.927529471609493
"CM002236.1",209486,210486,".","+",0.791815870842929,0.0316497367872627,0.616266413152924,0.708814657523493,0.0548663917201914,0.956180597373157,1.51780474824392,3.93664261030819e-05,0.00146967990784839,0.600758467977146,0.123827039229697,0.927529471609493
"CM002236.1",213619,214619,".","+",0.613116254430867,0.105821241579473,0.920053172410411,0.592714665611906,0.118283106935097,0.998788703548455,1.25274486302633,0.000950906179537238,0.022034791470656,0.345754668140208,0.390247495441639,0.927529471609493
"CM002236.1",216521,217521,".","-",0.0571259597558695,0.887992807996592,0.989442478635753,0.157176968924384,0.698958701119828,0.998788703548455,0.00979115966415822,0.980574359936029,0.996361512256027,0.349061834633948,0.417695677404031,0.927529471609493
"CM002236.1",220979,221979,".","-",0.0600014188610441,0.8774173832309,0.986585352418424,-0.230898979809991,0.554235909230335,0.998788703548455,0.0272835339558764,0.94409443499343,0.99300006432377,-0.171589946196537,0.677692724698904,0.944050433975611
"CM002236.1",223661,224661,".","+",-0.564587515660157,0.128816189601572,0.920053172410411,0.381606666712762,0.301659471872989,0.998788703548455,-0.222574687778609,0.548795866482614,0.961536998140865,0.0766559824551374,0.84400825729242,0.976202321687619
"CM002236.1",246248,247248,".","-",0.132711159640683,0.723906108636221,0.96641288010318,0.336970962889248,0.370600742044337,0.998788703548455,0.56000662025292,0.135782977894068,0.602803200243585,0.321595210947735,0.418573237616131,0.927529471609493
"CM002236.1",247478,248478,".","-",0.238742459574285,0.534437370525627,0.946139860750845,0.330173032295115,0.388931341840156,0.998788703548455,0.194968533736088,0.611208995390435,0.981070376658672,0.548892581344196,0.176355337047451,0.927529471609493
"CM002236.1",251944,252944,".","-",0.505753141871283,0.152609912059241,0.920053172410411,0.330577654679312,0.349687750771922,0.998788703548455,0.394819127682877,0.264196248508179,0.785461792823152,0.328517165666572,0.378699100486011,0.927529471609493
"CM002236.1",255694,256694,".","-",-0.0269774616602914,0.945442567785164,0.990984765164815,0.381802834676307,0.332232972982785,0.998788703548455,-0.0196861647299511,0.960198792358411,0.996361512256027,0.529938464672624,0.202277337024522,0.927529471609493
"CM002236.1",255165,256165,".","+",-0.154519693768907,0.680464253150316,0.96641288010318,0.341761225966538,0.361430186265138,0.998788703548455,-0.0476535952143901,0.899206642934482,0.99300006432377,0.567691984708477,0.150506477089881,0.927529471609493
"CM002236.1",256492,257492,".","+",-0.222653579840158,0.586984103568554,0.946139860750845,-0.0580769707831352,0.887524930367814,0.998788703548455,-0.145024816719341,0.723679215832207,0.99300006432377,0.231037748588582,0.593334236409239,0.927529471609493
"CM002236.1",263387,264387,".","-",-0.135678924900386,0.738966430929613,0.96641288010318,0.347321682573304,0.394114382675032,0.998788703548455,0.235517009859872,0.562364767242246,0.961536998140865,0.333535966063353,0.437468454691985,0.927529471609493
"CM002236.1",265388,266388,".","-",0.113571531359067,0.758341504165175,0.96641288010318,0.220753233235729,0.549240181870502,0.998788703548455,0.54839828989642,0.136229345677093,0.602803200243585,0.491649278973136,0.205569786066352,0.927529471609493
"CM002236.1",290632,291632,".","+",-0.303954586437399,0.474536756508311,0.946139860750845,-0.0698131645196678,0.869746322237449,0.998788703548455,0.450200037197395,0.286049144831239,0.80741690850248,0.217624413099007,0.627387538157638,0.927529471609493
"CM002236.1",292166,293166,".","+",0.11329273372477,0.789175717529616,0.96641288010318,0.242119044856399,0.568261476726712,0.998788703548455,0.892256601997013,0.0347258965256317,0.25928669405805,0.522878995677568,0.243171433799726,0.927529471609493
"CM002236.1",297770,298770,".","-",0.241497931405967,0.571563328197488,0.946139860750845,0.0981218894611092,0.819834067001549,0.998788703548455,0.221239851761014,0.605598457999428,0.980602296589653,0.205189129339838,0.652166386011167,0.927529471609493
"CM002236.1",301352,302352,".","+",-0.267763893836246,0.518413458355131,0.946139860750845,0.0388099518794287,0.925153837505683,0.998788703548455,-0.0630830042411753,0.87899589296532,0.99300006432377,0.149311995469837,0.73481130208169,0.965431792111204
"CM002236.1",8867649,8868649,".","-",0.0792825118391932,0.827507508156747,0.96641288010318,0.0990268014703937,0.786091215062039,0.998788703548455,-0.188932457508846,0.607393562378167,0.980602296589653,-0.0254851436926036,0.947440719757767,0.982861284696197
"CM002236.1",9651509,9652509,".","-",-0.050564235111576,0.947833194610211,0.990984765164815,-0.110292543248389,0.886428317099968,0.998788703548455,0.158218085460435,0.837805932832598,0.99300006432377,0.24737629394727,0.76116269667794,0.965451529772866
"CM002236.1",9688732,9689732,".","-",-0.120016853371018,0.75321619746923,0.96641288010318,0.233647296107335,0.539451000550585,0.998788703548455,0.121550466024039,0.749230423286955,0.99300006432377,0.152624179132108,0.702577472459119,0.96260277439669
"CM002236.1",9690543,9691543,".","-",-0.0351919590478525,0.958304544619498,0.990984765164815,0.133453568761235,0.84228496467124,0.998788703548455,-0.000783243852613404,0.999092717362984,0.999092717362984,0.389599435617511,0.583561780728703,0.927529471609493
"CM002236.1",9688977,9689977,".","+",-0.0672956972736801,0.889320323059516,0.989442478635753,0.255417778211469,0.596867221601508,0.998788703548455,-0.0523590248683073,0.913636285461738,0.99300006432377,0.16290658699789,0.74798654742973,0.965431792111204
"CM002236.1",9693340,9694340,".","-",0.135009601936771,0.718521995961664,0.96641288010318,0.163900635057865,0.661412104052681,0.998788703548455,0.504273358108661,0.177381399563129,0.669664609586645,0.0342821345159042,0.930547251502776,0.982861284696197
"CM002236.1",9693631,9694631,".","+",0.190557512898054,0.586667852532439,0.946139860750845,0.105938214742778,0.762170240809035,0.998788703548455,0.399878546724584,0.252145856277556,0.773707832961268,0.139253163168794,0.70526544602084,0.96272732478744
"CM002236.1",9758596,9759596,".","+",-0.870535632479924,0.579196149874189,0.946139860750845,-0.878347019242843,0.600383246279204,0.998788703548455,-0.398302771929619,0.789601988693154,0.99300006432377,-1.04291118172374,0.529221319310207,0.927529471609493
"CM002236.1",9772169,9773169,".","-",-0.353703843673241,0.607618208291316,0.954539221493839,-0.418485340145569,0.542746863636147,0.998788703548455,0.0937255254092045,0.891354459513761,0.99300006432377,0.153019748129926,0.832034287090338,0.976202321687619
"CM002237.1",11029,12029,".","-",-0.4447156187485,0.27959036802276,0.926837801955688,0.245358755497814,0.549398874494133,0.998788703548455,0.0255705082863167,0.950147382976465,0.99300006432377,0.431503648813092,0.317725234708741,0.927529471609493
