"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",4.90688299056812,1.18639137529758e-41,1.97613991050027e-39,5.67779910787563,4.68792542973379e-46,1.57279898167569e-43,5.35372117096322,2.41646996847957e-44,8.10725674424896e-42,1.61565459305663,9.06546092860815e-12,1.63960223264045e-11,-0.0182049210358413,0.938865593181609,0.947627896656389
"CM002236.1",3177,6443,".","+",2.39753132938402,1.20387209273826e-17,1.42468813796715e-17,2.93928752980363,2.24532037191527e-22,4.11642068184467e-22,2.79540858973698,3.48833652246993e-21,6.32614542318196e-21,-1.01361714781629,9.83566043840135e-05,0.000151369911792828,-0.143536609672746,0.582488382169839,0.635527974692621
"CM002236.1",15929,16647,".","+",2.3243916650439,2.48718645280143e-14,2.7630829632943e-14,3.5814088467618,9.42619869722174e-24,1.89370638498077e-23,2.65861688409752,6.59431464597018e-17,1.01253664243615e-16,-0.542968808161905,0.0779717957673398,0.0952988614934153,-0.548553827051018,0.0814226716135656,0.170494073368324
"CM002236.1",17440,19615,".","+",2.3359534194324,2.35463814161614e-15,2.65986901182564e-15,2.61309708024835,1.40776470503833e-17,2.14197305460481e-17,1.76681489027223,1.95141632623475e-10,2.56242730900884e-10,-1.0110624452018,0.000438339007854863,0.000652162914125528,-0.213176237085113,0.453295164531498,0.523513004131902
"CM002236.1",34980,39245,".","+",3.52626824722085,2.33162714841483e-28,5.79452524661611e-28,3.46588684433259,8.5113946939727e-28,2.82729992062162e-27,2.98748131255283,8.57706844469532e-24,1.80981538565741e-23,-0.73291115431576,0.00241986204655985,0.00343282755442211,0.0139897729105416,0.955539546963116,0.958396167432363
"CM002236.1",40949,42632,".","-",3.88750118321063,5.75137188139932e-28,1.32617544069379e-27,2.59085164867362,1.41321220905692e-17,2.14539681510677e-17,2.36890223678009,8.83682583217894e-16,1.30894263430289e-15,-0.672104277823491,0.0166254103971496,0.0220032551804485,0.281210999174761,0.329756324157517,0.405993566072832
"CM002236.1",43708,44551,".","-",3.9716820060108,1.00470321024911e-29,3.32096479840964e-29,3.50230366697286,1.08227344203209e-25,2.58436113737913e-25,3.47748519792079,9.33575246894991e-26,2.3549962055133e-25,-0.000766935030497437,0.997861387821389,0.997861387821389,0.319543766589666,0.278001995086782,0.358995910523902
"CM002236.1",45331,48154,".","-",2.67731601614599,3.41343281499594e-19,4.23366620861788e-19,2.38830441604286,1.46351592047012e-16,2.16303784721466e-16,2.0752130091352,8.14407466735158e-14,1.13847377120686e-13,-0.666665245010119,0.0115072961284002,0.0155048106469006,0.192813806092517,0.481704697243292,0.544147898737793
"CM002236.1",59145,61150,".","+",1.85690767449443,3.00007370277202e-12,3.20039658912564e-12,2.30764958934972,2.93864835632348e-16,4.29593256447288e-16,2.05672523358638,5.4473216519159e-14,7.67889249671338e-14,-0.461244096810425,0.0798274666175614,0.0970366487325791,0.12546119469748,0.644808360523399,0.694475861364144
"CM002236.1",91323,92593,".","+",3.67914897996891,1.68189080000541e-26,3.07506465069109e-26,3.54220478148405,2.98471793304843e-25,6.92991603140309e-25,3.45552997711346,9.77207280672932e-25,2.23029280725013e-24,-0.248511257602245,0.370766642864693,0.403870807406183,0.678416757192589,0.0220942811047413,0.105638243218983
