"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",3.25470504380344,3.85830225806,3.26099635458937,-0.927991968395287,0
"CM002236.1.2677.3477",3.07718325276724,3.64067823895199,3.04599859888545,-1.18171008635593,0
"CM002236.1.15429.16229",3.1821382136653,4.1037294475223,3.1632126808873,0,0
"CM002236.1.16940.17740",1.57295014325304,2.18603441216567,1.06966337405988,-0.757054672833813,0
"CM002236.1.34480.35280",2.31442917722176,3.13398280277695,1.41344482977199,-0.991188999724936,0
"CM002236.1.42332.43132",3.92684973753513,3.22532181580173,3.20581503829093,0,0
"CM002236.1.44251.45051",3.36090552148292,2.93295211360126,2.94241391930465,0,0
"CM002236.1.47854.48654",1.20932637110933,1.1614768540919,0.879205873358429,-1.00514554136058,0
"CM002236.1.58645.59445",2.86205816697275,2.83512179340474,2.53351524007431,0,0
"CM002236.1.90823.91623",3.66302243032187,3.4752717607947,3.29086088724444,0,0
"CM002236.1.180722.181522",2.31671595023752,0.923692626222665,0.728809958514291,0,0
"CM002236.1.184751.185551",3.78585986556703,2.13534833498849,2.77415381347561,1.34729546748098,0
"CM002236.1.185539.186339",3.23531837097324,1.6573702736175,2.0184141286003,0.653541867528014,0
"CM002236.1.189295.190095",4.17908749514913,1.82257135780183,2.32399089034268,0.931540604427768,0
"CM002236.1.189906.190706",3.97143601076631,1.85154677061675,2.13894049300654,0,0
"CM002236.1.193764.194564",2.4229080988916,0.995202558574021,0.983220109624326,0,0
"CM002236.1.195035.195835",3.69199729330452,1.48273049920071,1.56634226798276,0,0
"CM002236.1.195990.196790",3.94778352798397,1.62688861372126,1.59734515765909,0,0
"CM002236.1.197694.198494",4.32011704181806,2.86647040440793,2.93424884977263,0,0
"CM002236.1.209043.209843",3.87954033039493,2.66395049303142,2.66399894638435,0,0
"CM002236.1.209986.210786",3.90375449612055,2.10699762354043,2.52333722250863,0,0
"CM002236.1.214119.214919",4.13904840220292,2.59526726790115,3.12938606356342,2.19973788860672,0
"CM002236.1.216221.217021",4.42982185927963,3.0677345247662,3.50833056736325,3.33141183758947,0
"CM002236.1.220679.221479",3.79246973516058,2.6953710109393,2.96473382206315,3.09124353814523,0
"CM002236.1.224161.224961",2.34684033830986,1.50056448447485,2.03301403420399,2.59239890505266,0
"CM002236.1.245948.246748",3.41829563304307,1.36539961193106,1.82264035801954,2.99028501947276,0
"CM002236.1.247178.247978",3.95959480329392,2.04645081319611,1.9911743697511,3.74655528644512,0
"CM002236.1.251644.252444",2.03686889972899,1.11484500229834,0.983140595733132,2.06501236364801,0
"CM002236.1.255394.256194",3.21790335450737,2.32964307811171,2.52876750124415,3.58611965963728,0
"CM002236.1.255665.256465",3.50406407654773,2.60101292932716,2.6607978607211,3.80668373785154,0
"CM002236.1.256992.257792",4.40736051646662,3.52231453834518,3.51505270745178,4.47009183477412,0
"CM002236.1.263087.263887",4.35072929718495,3.49850040319665,3.80931572422658,4.07803973522014,0
"CM002236.1.265088.265888",3.51323894960094,3.41073818665861,3.0686765067992,3.2311065978864,0
"CM002236.1.291132.291932",4.78455418957457,4.35965521213495,4.46677313496941,4.27609000737903,0
"CM002236.1.292666.293466",4.54013465390926,3.97868136970682,4.09050193299111,4.50367534151197,0
"CM002236.1.297470.298270",4.85332049664389,4.12068530143244,4.21701071680147,4.69156987531137,0
"CM002236.1.301852.302652",4.23401846226006,3.38430722967136,3.66626444513056,4.30242004786617,0
"CM002236.1.8867349.8868149",1.62277537313131,-1.23198467811347,0,0,0
"CM002236.1.9651209.9652009",1.82867050455572,2.30656981923137,2.1515581087759,0,0
"CM002236.1.9688432.9689232",2.54569091128891,3.18687360710612,2.87155236650153,-0.969677013125406,0
"CM002236.1.9690243.9691043",3.3409893576551,3.34712097666907,3.03665666527425,0,0
"CM002236.1.9689477.9690277",3.20897990513265,3.43570496625376,3.20711415473049,0,0
"CM002236.1.9693040.9693840",2.21250267490603,2.57807199466222,2.50129495005251,0,0
"CM002236.1.9694131.9694931",1.24686105504981,1.97473076818173,1.69811883435919,-1.1008781194886,0
"CM002236.1.9759096.9759896",3.3976464812049,4.19268094975222,3.82011280575065,0,0
"CM002236.1.9771869.9772669",3.49073657122305,4.28286983776412,3.59464224467959,-1.42404428131956,0
"CM002237.1.10729.11529",4.96421905178996,4.7397061810067,4.8202868593815,0,0
"CM002237.1.11141.11941",4.86313449025515,4.82096468516649,4.7539931376716,0,0
"CM002237.1.13011.13811",3.59153861486689,4.34842534250583,4.12843528833769,0,0
"CM002237.1.17873.18673",3.06180608065073,3.48517917271508,3.09230287902616,-1.33221073452649,0
"CM002237.1.18541.19341",3.45094857105756,3.66925189832131,3.23969010310303,-1.06426991343943,0
"CM002237.1.35327.36127",3.78086448144905,3.92996707668288,3.74431705699703,0,0
"CM002237.1.37953.38753",0.56619182475444,1.43332806404516,1.19218770301482,-0.964847681891887,0
"CM002237.1.41101.41901",2.38749542562509,2.95958326294169,2.67317316449916,0,0
"CM002237.1.51442.52242",2.82223820679497,2.8493315589215,2.59810276105084,0,0
"CM002237.1.55703.56503",3.01648466821168,3.11149067295708,3.20240006571624,0,0
"CM002237.1.69944.70744",2.19934933761948,2.10809150166313,2.55248815714349,-1.0973047513722,0
"CM002237.1.74042.74842",3.16139710244954,3.43736605871162,3.2540987234711,-0.866812494477303,0
"CM002237.1.75100.75900",2.48330095990181,2.82630686429793,2.70579516930305,-0.946040524125654,0
"CM002237.1.75924.76724",2.41713957433919,2.78168240885691,2.80117199429572,-0.778738272832011,0
"CM002237.1.106519.107319",3.28300740518334,3.24846787904109,3.586595372225,-0.711880834856436,0
"CM002237.1.148034.148834",2.99080200899783,2.70002418113216,2.62637692047115,-0.759718111532938,0
