"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",1150,3878,".","-",4.38561400407599,8.3864439709954e-48,2.56167743114041e-46,5.12119299432212,3.92871597304912e-55,4.40016188981501e-53,4.81534011618588,3.0263111741566e-52,2.06170875736662e-50,1.09703327883331,6.55939113016525e-07,1.04700970058695e-06,-0.21815458150518,0.35691197130835,0.474940286572696,3.10394773185189,3.02055313473512e-24,1.56139362041692e-23
"CM002236.1",2177,6443,".","+",3.14480305526964,1.71154925366626e-31,2.59630044799938e-31,3.7326403575178,2.18090051564369e-38,8.99119721786846e-38,3.55423125076934,2.18353278545403e-36,6.95418972428963e-36,-0.521472107541861,0.0216926124731764,0.0266011598211215,-0.226725808611673,0.348002276325807,0.468652364110105,2.06684395286372,5.43975100800119e-13,8.56091961914941e-13
"CM002236.1",14929,16647,".","+",2.89404776830583,1.5564019111779e-27,2.05481745444312e-27,3.88253720277517,6.4056849271813e-39,2.90852721017962e-38,3.1621819116498,1.04389950023975e-30,2.19906101617904e-30,-0.732234720165753,0.00292734976988655,0.00391089273432159,-0.356885402672061,0.157760946366717,0.276802495975024,2.02801608854477,3.44594714760465e-12,5.25096708206423e-12
"CM002236.1",16440,19615,".","+",1.95027125127801,3.91992051243966e-16,4.20796578971158e-16,2.39364110582381,1.50112907771606e-21,2.21219021979209e-21,1.4662398151597,2.02512368241613e-10,2.5628683890464e-10,-1.13510602522919,3.34127953955375e-06,5.20960522176362e-06,-0.463657948900407,0.0587776490372931,0.1625455973377,2.19510653528948,5.73114013846315e-14,9.30272022475178e-14
"CM002236.1",33980,39245,".","+",3.22740188464833,9.13504254840767e-32,1.39834819875398e-31,3.34522649314715,4.40192412028095e-33,1.00274339282332e-32,2.67267717825561,6.31905576900209e-25,1.06426202425298e-24,-0.822305769144537,0.00041125550634218,0.000585516314114291,-0.0818233491032605,0.737646145581505,0.806013349318328,2.90361274230591,1.51038472137709e-20,3.7872333312142e-20
"CM002236.1",40949,43632,".","-",3.76924945423581,2.55394792422968e-37,5.57225001650112e-37,2.65647636675514,5.71980540600183e-24,8.87692663471878e-24,2.53744945191681,1.32650662170169e-22,2.11235177673824e-22,-0.859684160458014,0.000477023046204635,0.000676285837657204,0.295256261974911,0.247499836781785,0.363317007719824,3.10506795326688,6.47550244630984e-22,1.90023477900446e-21
"CM002236.1",43708,45551,".","-",3.51722435755676,4.40559220291555e-37,9.39859669955316e-37,3.02562549439352,1.14902429816055e-30,2.25114964537578e-30,2.92668453546681,1.57267557352643e-29,3.12673960180402e-29,-0.29142690050981,0.207632310822769,0.229111515390641,0.174851860550769,0.475508692570783,0.585241467779426,2.9601889873397,2.61800850982295e-22,8.29859301226896e-22
"CM002236.1",45331,49154,".","-",2.30877373761304,2.20972547623065e-21,2.56909259520242e-21,2.08686838413756,2.01128181086319e-18,2.7696339690575e-18,1.68759477602401,1.83621693321625e-13,2.43861221170221e-13,-0.859039587312112,0.000196814379369781,0.000285657155370395,-0.0125167510346091,0.958289567254146,0.972765240475508,2.09203042173177,1.6040972033816e-13,2.56655552541056e-13
"CM002236.1",58145,61150,".","+",1.85925047682436,6.74915061764683e-16,7.22202104308706e-16,2.24270218329027,8.96003413497519e-21,1.29766011609986e-20,2.03680721752825,4.1853044721117e-18,5.89627799844668e-18,-0.513926933807489,0.0239347934823161,0.0292439658547571,0.111469537299223,0.640857547498777,0.723844989041744,2.28742657649214,1.05682718113579e-15,1.84944756698762e-15
"CM002236.1",90323,92593,".","+",3.44794057942749,1.20246353034711e-34,2.09884543478768e-34,3.50599904627223,4.17652209936894e-35,1.15025526671145e-34,3.26411609242122,2.31707893534647e-32,5.31425612475369e-32,-0.324058095329518,0.170371532914723,0.188926848380683,0.51284229224249,0.0429375832394485,0.152195228351803,3.03468344156933,5.66938265057655e-22,1.6783370666024e-21
"CM002236.1",180222,181975,".","+",2.00858642743193,7.00104390108579e-18,7.68742075413341e-18,0.683726532803167,0.0014176420092349,0.00154903321984692,0.812330057730268,0.000159428777994195,0.000186323719673215,0.18152273501063,0.417238785815184,0.444349388380037,0.478402915327689,0.0494256534323292,0.159525538339755,1.92437198668898,3.30747853059818e-12,5.05142175582268e-12
"CM002236.1",182427,186051,".","-",3.32254436083744,7.25994422033708e-32,1.12671532948386e-31,1.83864711062042,4.88681818130616e-14,6.35191840974418e-14,2.35916524781737,3.04778952608861e-20,4.49147930160427e-20,1.13269906295994,1.49934738345917e-06,2.37073280396367e-06,0.40275740532375,0.115422002110573,0.226366916685005,3.24985290510563,4.88369863879655e-23,1.74566249216558e-22
"CM002236.1",185039,188208,".","+",3.49353768109902,1.35515912432347e-35,2.55805317849823e-35,1.7661191958216,5.83471697441799e-14,7.56936256140712e-14,2.28962961899885,1.75169308307181e-20,2.60428706155809e-20,0.832753502618609,0.000237919518320503,0.00034457309549866,0.361113692137179,0.144777549124689,0.259793650931438,3.40673359170523,7.61314515295231e-26,9.13577418354277e-25
"CM002236.1",188530,190595,".","-",4.08845241618417,5.68346691378031e-42,3.08007239198416e-41,1.99418693234555,1.93296718710553e-16,2.59790789946983e-16,2.42653128510949,6.84921527660664e-22,1.07038899206504e-21,1.03436687383407,9.74205924109235e-06,1.50152839679222e-05,0.615909129611848,0.0158693895848234,0.131394993011867,3.31193800939766,1.2184369196789e-24,7.58138527800206e-24
