"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2701,3000,".","*",-2.75858734785099,6.2211373690759e-12,3.77028270224764e-11,-2.53868006698538,2.25786158916808e-10,6.64228872891722e-10,-2.61792794858172,8.19236457860258e-12,7.85754620017274e-11,-1.83862662465324,1.99009483249358e-07,2.6606964851399e-07,-2.53339315142907,9.79509730551848e-11,7.34965464488903e-10
"CM002236.1",3001,3300,".","*",-0.425281424592602,0.173447896049957,0.17423773164217,-0.663762825750031,0.0456398052939889,0.0465256055815802,-0.683502187536476,0.0295748364743211,0.0303734121333112,-1.42871231054784,1.51896684032406e-05,1.76360044723941e-05,-0.563550409886519,0.0954894975483472,0.098250854287152
"CM002236.1",15601,15900,".","*",-2.19932471531771,2.33395171892156e-08,3.74723252688571e-08,-1.49457047622782,6.42390111113935e-05,6.84595451747507e-05,-1.89128593984897,1.04291647074173e-07,2.0252409634298e-07,0.0900783710996031,0.771988791350586,0.778339704624951,-1.40072386892481,0.000108820092113935,0.000141044138192327
"CM002236.1",15901,16200,".","*",-1.97140691798733,1.87170853983997e-07,2.49034320801386e-07,-1.24966509305051,0.000503824285395816,0.00052426244036942,-0.866569993337081,0.00901811734855262,0.00933112892631664,1.05179635931497,0.000576058339955252,0.000634124100769105,-0.385472024097994,0.275692444599923,0.279236700086056
"CM002236.1",17101,17400,".","*",-4.17114002514769,2.21674796970462e-10,6.86818261400054e-10,-3.75440105061865,3.57015756392807e-09,6.89646898951429e-09,-3.00527360284313,3.04925536820735e-08,7.03625245006842e-08,-2.91004172168778,3.04616320199323e-08,4.64077073452836e-08,-4.90147702730561,3.91951887913176e-11,3.60269110306861e-10
"CM002236.1",17401,17700,".","*",-2.21173156667534,2.1886818665631e-09,4.77950873505204e-09,-1.98389650706248,1.55617487489167e-07,2.03855212233434e-07,-1.2750517989604,9.92911249448795e-05,0.000109190539196612,0.68530362624497,0.0189491277693866,0.0198866678683476,-0.998744209122089,0.00288891743153832,0.00319286165028734
"CM002236.1",34501,34800,".","*",-2.59907700868073,4.22887499835833e-11,1.69001779825697e-10,-2.34167698869905,1.15147306759369e-08,1.95999196536396e-08,-2.47883747022841,4.39786292833779e-11,3.17048549670365e-10,-0.657885310792513,0.0356921760188154,0.0371751370620901,-1.59822946736917,1.26491468848302e-05,1.99671322910146e-05
"CM002236.1",34801,35100,".","*",-1.95439040681298,1.2302167303042e-07,1.70825619534307e-07,-1.70182111168103,5.57046805621107e-06,6.18753903927574e-06,-1.77821295514345,4.08051610172025e-07,6.69763282767475e-07,0.879143016565887,0.00386526633289967,0.00416346559100424,-0.0295513369437332,0.930874449273295,0.931719162929622
"CM002236.1",42601,42900,".","*",-1.7743915781869,2.42658752944867e-06,2.77936245584827e-06,-2.14022423157812,1.75567503413668e-07,2.27556940382227e-07,-1.4237721910849,5.97994380379173e-05,6.70312806461613e-05,0.18798597701265,0.538483893912842,0.547417267268078,-1.47953369385649,0.000349816145904272,0.000421230577437132
"CM002236.1",44401,44700,".","*",-2.47693009331325,1.33407307309743e-09,3.09785810447677e-09,-2.05295384334784,5.37112620599484e-07,6.51027714858495e-07,-2.43811047540642,1.76998161484406e-10,9.86004909683331e-10,-2.16969107549779,1.03428361090118e-08,1.7390469860122e-08,-2.18334008806058,1.40662214510045e-07,4.08144035815417e-07
