"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","*",0.367094051800178,0.0209526877506515,0.0210787189551667,0.113647277398787,0.489110151811654,0.48984235263772,0.304162139751246,0.0548011596370356,0.0560580669681603,0.80997378667405,2.19482409547326e-07,2.45541357838062e-07,1.2986143072311,1.57052309445925e-13,2.6136317168986e-13
"CM002236.1",2177,6443,".","*",0.754462825390395,7.53625045885313e-07,7.73274778676801e-07,0.475167680702628,0.00226298607173422,0.00233272370106348,0.594053583528277,9.75287257492673e-05,0.000103075383137851,0.992127773061925,6.23867352773021e-11,7.37397984108040e-11,1.07152227047671,3.27818121435741e-10,4.01667258682254e-10
"CM002236.1",14929,16647,".","*",-2.17723974800321,3.2469041515727e-26,7.46453222474961e-26,-1.51003078411747,5.99228572695658e-14,6.58265870498186e-14,-1.40489200396272,4.46215275786703e-14,5.25559893488212e-14,-0.0167422676932286,0.922421314483006,0.922421314483006,-1.4080757431442,1.935220751421e-12,2.76637325363387e-12
"CM002236.1",16440,19615,".","*",-1.9151740458484,2.81770287478745e-26,6.54528896955835e-26,-2.25827217404835,2.02862718124024e-32,2.25341476126635e-31,-0.710480326955974,1.45673570443954e-05,1.55431608655511e-05,0.418585437420765,0.00753496518932308,0.00791348777340211,-0.0376729218751974,0.828540948230649,0.828540948230649
"CM002236.1",33980,39245,".","*",-2.18172683365491,1.71336954511823e-35,3.95256629546241e-34,-2.46558271036744,5.63459677226682e-42,1.88477262032325e-39,-1.74313445743102,1.36357296065959e-25,1.15472191225476e-24,-0.537506285138569,0.000573380551815813,0.000611788818444623,-0.578543464889716,0.000664304317686458,0.000703195551475064
"CM002236.1",40949,43632,".","*",-1.92143164883542,1.86983309140352e-22,2.60607987114366e-22,-2.21167360006986,9.76741068561624e-27,2.36753541618741e-26,-1.70995636395062,8.11219011770119e-20,1.56399284978158e-19,-0.132234101424518,0.436307828634864,0.441588407498825,-1.6752020264933,3.20209946304272e-16,8.60323108745211e-16
"CM002236.1",43708,45551,".","*",-2.34046956777511,9.91948537952233e-28,3.14508801843623e-27,-2.37128077974186,4.86758051989921e-27,1.24290510221854e-26,-1.92208220252597,3.80373267323989e-22,1.19469350159506e-21,-1.58006026070182,3.06422380801852e-16,3.97280179760541e-16,-1.8507097311251,3.24302443312452e-17,1.06352124792172e-16
"CM002236.1",45331,49154,".","*",-1.88062757687937,4.89992154551725e-26,1.09268250465035e-25,-1.53251992339256,2.47181919454358e-18,2.92680892238877e-18,-0.81763014312367,4.55454024323087e-07,4.91449584309912e-07,1.02896893973722,1.87585240248869e-11,2.24498257113584e-11,-0.0899300527849896,0.604694864908564,0.605600096742259
"CM002236.1",58145,61150,".","*",-1.8917566018726,1.32038718568639e-22,1.85966110994567e-22,-2.09531531849928,8.89755507486168e-26,1.87774900475788e-25,-1.70835506973214,3.28039623799098e-20,6.85807838504989e-20,-1.40521377266129,8.68870220000793e-15,1.0967437305293e-14,-1.23678983658776,3.36773826870969e-10,4.11886088074366e-10
"CM002236.1",90323,92593,".","*",-2.03664576726787,5.34167814060243e-24,8.7160553074708e-24,-2.18277678643873,2.64303503620848e-25,5.3419650731827e-25,-1.75091783839832,2.95607174897361e-20,6.28691417389515e-20,-1.52462712176216,3.03768974405914e-16,3.94604745393314e-16,-1.57410512197804,7.18274981223814e-14,1.25463697764682e-13
