"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.38701.39000",-0.962073157129741,-0.59998527615619,-1.1162091093199,-0.208469282764624,-1.83929887831395
"CM002236.1.41701.42000",-1.58358418056366,-1.80934273038327,-1.13411454183068,-0.285358325072894,-2.03971107355296
"CM002236.1.43801.44100",-0.895737979113299,-1.16504987299822,-1.28055962740412,-0.472106348237293,-2.41890552543693
"CM002236.1.44101.44400",-0.629151788053404,-0.958768407956794,-0.718781218358986,0.353260412142975,-2.05066881121069
"CM002236.1.46501.46800",-0.466871152368104,-0.39719859973099,-0.0179358102675335,-0.512142620654067,-2.02069296093042
"CM002236.1.91501.91800",-0.33283724235494,-0.457511874882532,-0.650686524150691,0.0593815711418747,-2.16234056550621
"CM002236.1.91801.92100",-0.0573416733099173,-0.360384665712382,-0.421745894844053,0.281295394583205,-2.63717142287123
"CM002236.1.92101.92400",-0.669016325942916,-0.534586871701093,-0.668137250396824,-0.300961294668862,-1.93757059940048
"CM002236.1.159601.159900",0.466915517409196,0.702986605069266,0.731441696300149,0.660891402126315,1.5810240666228
"CM002236.1.170401.170700",0.666651208608067,0.371632579780014,-0.0511244871694674,-1.13633418056642,2.8027208602148
"CM002236.1.181501.181800",-0.432984028668174,-0.514384680200076,-0.0589637314522935,0.0494026613094486,-1.85395421401214
"CM002236.1.182701.183000",-0.166261891575406,-0.338556834328363,-0.620489105474005,0.180731368868053,-1.72758591752847
"CM002236.1.183001.183300",-0.388629908618614,-0.586531896614861,-0.49878066962257,0.162436788460512,-2.0998392652377
"CM002236.1.183301.183600",-0.606987581375627,-0.107710565317965,-0.370089214147555,0.302337299262639,-1.9623697133785
"CM002236.1.183901.184200",-0.238514964704337,-0.251216849347046,-0.410091234046912,0.412248973438165,-1.9370009615157
"CM002236.1.184201.184500",-0.419633250282921,-0.379476113268608,-0.207010524493438,0.410273651608129,-1.70156360242416
"CM002236.1.188701.189000",-0.575108032915044,-0.337626070384505,-0.80940279614528,0.445015556934046,-2.33503453630736
"CM002236.1.189001.189300",-0.427190541334441,-0.570880730586362,-0.6484421443549,0.35439386774134,-2.185695062169
"CM002236.1.190501.190800",-0.982436907887315,-1.17599138190125,-1.60464145260923,-0.182101730022034,-1.71204332759666
"CM002236.1.190801.191100",-1.39481777476626,-1.39830462550238,-2.66107069400174,-0.604438326478292,-2.01087088438315
"CM002236.1.193501.193800",-1.35449220994919,-1.33960634939288,-2.17071347205612,-1.55600457995645,-1.22036313965625
"CM002236.1.195901.196200",-1.64323184626095,-1.81529963000588,-2.26624533902429,-0.609923889232904,-1.870899125014
"CM002236.1.208801.209100",-1.12057733464379,-1.35472132946246,-2.06711959475162,-0.789663697634236,-2.13688995459798
"CM002236.1.210901.211200",-1.00270678211732,-1.07594379267315,-2.39436542474908,0.227378850094909,-0.993243971608018
"CM002236.1.211201.211500",-1.83208680425056,-2.20871962019681,-3.69606650306394,-0.757146456526602,-1.93079767339455
"CM002236.1.211501.211800",-1.25790758498051,-1.86857746751597,-2.90471149265518,-0.22259579633883,-1.51047669850741
"CM002236.1.211801.212100",-1.14453582201204,-1.57965484700601,-2.80476850149161,0.139583850566608,-2.01857290002263
"CM002236.1.212101.212400",-0.949612436967182,-1.28467723343348,-1.94160997474812,-0.0654757114979184,-1.59270507523113
"CM002236.1.214801.215100",-0.838183451285744,-0.752662784892033,-1.56867386193054,-0.450500896620835,-1.91497710222546
"CM002236.1.215401.215700",-0.426247582247799,-1.00951449491143,-1.36903961148175,-0.221059755294076,-1.99469886462937
"CM002236.1.220501.220800",-0.259743471618628,-0.46583356586003,-0.80062202554831,0.584029321427856,-1.9930773904373
"CM002236.1.240901.241200",-0.146869630147378,0.00982107394293723,-0.351421204273616,-0.0357598129499337,-1.78633094121897
"CM002236.1.241201.241500",-0.313099308462193,-0.327946897157892,-0.134292111670708,0.128088126203752,-1.67423044767656
"CM002236.1.243601.243900",-0.0821495721982768,-0.270209565231489,0.0290625413913153,0.572834647400415,-1.84047197033612
"CM002236.1.245701.246000",-0.181686505485442,-0.308647087804404,-0.707780218074518,0.245813868579721,-1.77197785541769
