Gene ID	source_id	Organism	Product Description	Gene Name or Symbol	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes
NCU00003	NCU00003-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00004	NCU00004-t26_1	Neurospora crassa OR74A	universal stress protein family domain-containing protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00005	NCU00005-t26_1	Neurospora crassa OR74A	hypothetical protein	gpr-12	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021;GO:0016020	integral component of membrane;membrane	N/A	N/A	N/A	N/A
NCU00006	NCU00006-t26_1	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	GO:0051286;GO:0015630	cell tip;microtubule cytoskeleton	GO:0030674	protein-macromolecule adaptor activity	GO:0034613;GO:0030950	cellular protein localization;establishment or maintenance of actin cytoskeleton polarity	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00006	NCU00006-t26_2	Neurospora crassa OR74A	hypothetical protein, variant 1, hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00007	NCU00007-t26_1	Neurospora crassa OR74A	pH-response regulator protein palH/rim-21	prr-4	GO:0005886	plasma membrane	N/A	N/A	GO:0071467;GO:0120166	cellular response to pH;protoperithecium formation	GO:0016021	integral component of membrane	N/A	N/A	GO:0007166;GO:0009268	cell surface receptor signaling pathway;response to pH
NCU00008	NCU00008-t26_1	Neurospora crassa OR74A	longevity-assurance protein 1	gsl-4	GO:0005783	endoplasmic reticulum	GO:0016410;GO:0050291	N-acyltransferase activity;sphingosine N-acyltransferase activity	GO:0034599;GO:0046513	cellular response to oxidative stress;ceramide biosynthetic process	GO:0005783;GO:0016021	endoplasmic reticulum;integral component of membrane	N/A	N/A	GO:0007569;GO:0006888;GO:0006629	cell aging;endoplasmic reticulum to Golgi vesicle-mediated transport;lipid metabolic process
NCU00009	NCU00009-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00010	NCU00010-t26_1	Neurospora crassa OR74A	transport of metals-59	trm-59	GO:0005774	vacuolar membrane	GO:0042626	ATPase-coupled transmembrane transporter activity	GO:0034599;GO:0055085	cellular response to oxidative stress;transmembrane transport	GO:0016021;GO:0005764	integral component of membrane;lysosome	GO:0005524;GO:0016887;GO:0042626	ATP binding;ATP hydrolysis activity;ATPase-coupled transmembrane transporter activity	GO:0006875;GO:0055085;GO:0007034	cellular metal ion homeostasis;transmembrane transport;vacuolar transport
NCU00011	NCU00011-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00013	NCU00013-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00014	NCU00014-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00015	NCU00015-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	GO:0055114	obsolete oxidation-reduction process
NCU00017	NCU00017-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0042025;GO:0005634	host cell nucleus;nucleus	GO:0000981;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific;zinc ion binding	GO:0006355	regulation of transcription, DNA-templated
NCU00018	NCU00018-t26_1	Neurospora crassa OR74A	cell division control protein Cdc48, variant 1, cell division control protein Cdc48	cdc48	GO:0034098;GO:0005737;GO:0005829;GO:0005789;GO:0005634	VCP-NPL4-UFD1 AAA ATPase complex;cytoplasm;cytosol;endoplasmic reticulum membrane;nucleus	GO:0016887;GO:0031593	ATP hydrolysis activity;polyubiquitin modification-dependent protein binding	GO:0071712;GO:0097352;GO:0016236;GO:0051228;GO:0015031;GO:0030970;GO:0030433;GO:0006511;GO:0006906	ER-associated misfolded protein catabolic process;autophagosome maturation;macroautophagy;mitotic spindle disassembly;protein transport;retrograde protein transport, ER to cytosol;ubiquitin-dependent ERAD pathway;ubiquitin-dependent protein catabolic process;vesicle fusion	GO:1990023;GO:0000790	mitotic spindle midzone;nuclear chromatin	GO:0005524;GO:0016787;GO:0030674	ATP binding;hydrolase activity;protein-macromolecule adaptor activity	GO:0051301;GO:0061166;GO:0051306;GO:0034067;GO:0035103	cell division;establishment of endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site;mitotic sister chromatid separation;protein localization to Golgi apparatus;sterol regulatory element binding protein cleavage
NCU00018	NCU00018-t26_2	Neurospora crassa OR74A	cell division control protein Cdc48, variant 1, cell division control protein Cdc48	cdc48	GO:0034098;GO:0005737;GO:0005829;GO:0005634	VCP-NPL4-UFD1 AAA ATPase complex;cytoplasm;cytosol;nucleus	GO:0016887;GO:0031593	ATP hydrolysis activity;polyubiquitin modification-dependent protein binding	GO:0071712;GO:0097352;GO:0016236;GO:0051228;GO:0030970;GO:0030433	ER-associated misfolded protein catabolic process;autophagosome maturation;macroautophagy;mitotic spindle disassembly;retrograde protein transport, ER to cytosol;ubiquitin-dependent ERAD pathway	GO:1990023;GO:0000790	mitotic spindle midzone;nuclear chromatin	GO:0005524;GO:0016787;GO:0030674	ATP binding;hydrolase activity;protein-macromolecule adaptor activity	GO:0051301;GO:0061166;GO:0051306;GO:0043161;GO:0034067;GO:0035103	cell division;establishment of endoplasmic reticulum localization involved in endoplasmic reticulum polarization at cell division site;mitotic sister chromatid separation;proteasome-mediated ubiquitin-dependent protein catabolic process;protein localization to Golgi apparatus;sterol regulatory eleme
NCU00019	NCU00019-t26_1	Neurospora crassa OR74A	FKH1	fkh-1	GO:0005634	nucleus	GO:0000976	transcription cis-regulatory region binding	N/A	N/A	GO:0005634	nucleus	GO:0003700;GO:0005515;GO:0043565	DNA-binding transcription factor activity;protein binding;sequence-specific DNA binding	GO:0006265;GO:0051726;GO:0006355	DNA topological change;regulation of cell cycle;regulation of transcription, DNA-templated
NCU00021	NCU00021-t26_1	Neurospora crassa OR74A	hypothetical protein	clu1	GO:0005737	cytoplasm	GO:0003729	mRNA binding	GO:0048312	intracellular distribution of mitochondria	N/A	N/A	GO:0005515	protein binding	GO:0000910;GO:0048312;GO:0007005;GO:0006413	cytokinesis;intracellular distribution of mitochondria;mitochondrion organization;translational initiation
NCU00022	NCU00022-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
NCU00023	NCU00023-t26_1	Neurospora crassa OR74A	ferric reductase-2	fer-2	GO:0005886	plasma membrane	GO:0000293	ferric-chelate reductase activity	GO:0006879;GO:0015677;GO:0006826	cellular iron ion homeostasis;copper ion import;iron ion transport	GO:0016021	integral component of membrane	GO:0016491	oxidoreductase activity	GO:0006875;GO:0055114	cellular metal ion homeostasis;obsolete oxidation-reduction process
NCU00024	NCU00024-t26_1	Neurospora crassa OR74A	yippee zinc-binding protein, variant 1, yippee zinc-binding protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A
NCU00024	NCU00024-t26_2	Neurospora crassa OR74A	yippee zinc-binding protein, variant 1, yippee zinc-binding protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A
NCU00025	NCU00025-t26_1	Neurospora crassa OR74A	Integral membrane protein	N/A	GO:0043231;GO:0016020	intracellular membrane-bounded organelle;membrane	N/A	N/A	GO:0034599	cellular response to oxidative stress	GO:0000139;GO:0016021	Golgi membrane;integral component of membrane	GO:0015165	pyrimidine nucleotide-sugar transmembrane transporter activity	GO:0090481	pyrimidine nucleotide-sugar transmembrane transport
NCU00026	NCU00026-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00027	NCU00027-t26_1	Neurospora crassa OR74A	hypothetical protein	tsp-1	GO:0000214	tRNA-intron endonuclease complex	N/A	N/A	GO:0000379	tRNA-type intron splice site recognition and cleavage	GO:0000214	tRNA-intron endonuclease complex	N/A	N/A	GO:0008033;GO:0006388;GO:0000379	tRNA processing;tRNA splicing, via endonucleolytic cleavage and ligation;tRNA-type intron splice site recognition and cleavage
NCU00028	NCU00028-t26_1	Neurospora crassa OR74A	hydroxymethylglutathione dehydrogenase-1	hgd-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016491;GO:0008270	oxidoreductase activity;zinc ion binding	GO:0005975;GO:0055114	carbohydrate metabolic process;obsolete oxidation-reduction process
NCU00028	NCU00028-t26_2	Neurospora crassa OR74A	hydroxymethylglutathione dehydrogenase-1	hgd-1	GO:0005575	cellular_component	N/A	N/A	GO:0008283;GO:0034599	cell population proliferation;cellular response to oxidative stress	N/A	N/A	GO:0016491;GO:0008270	oxidoreductase activity;zinc ion binding	GO:0055114	obsolete oxidation-reduction process
NCU00029	NCU00029-t26_1	Neurospora crassa OR74A	ZIP metal ion transporter	trm-33	GO:0000329;GO:0016020	fungal-type vacuole membrane;membrane	GO:0005385	zinc ion transmembrane transporter activity	GO:0071577	zinc ion transmembrane transport	GO:0016021;GO:0005764;GO:0016020	integral component of membrane;lysosome;membrane	GO:0046873	metal ion transmembrane transporter activity	GO:0006812;GO:0030003;GO:0030001;GO:0055085;GO:0007034	cation transport;cellular cation homeostasis;metal ion transport;transmembrane transport;vacuolar transport
NCU00030	NCU00030-t26_1	Neurospora crassa OR74A	mitochondrial nuclease-2	mnu-2	GO:0005743;GO:0005739;GO:0005634	mitochondrial inner membrane;mitochondrion;nucleus	GO:0004520;GO:0004519;GO:0004521;GO:0004529;GO:0004518;GO:0004540;GO:0000014	endodeoxyribonuclease activity;endonuclease activity;endoribonuclease activity;exodeoxyribonuclease activity;nuclease activity;ribonuclease activity;single-stranded DNA endodeoxyribonuclease activity	GO:0006308;GO:0000737;GO:0006401;GO:0006309;GO:0006915	DNA catabolic process;DNA catabolic process, endonucleolytic;RNA catabolic process;apoptotic DNA fragmentation;apoptotic process	GO:0005739	mitochondrion	GO:0016787;GO:0046872;GO:0003676	hydrolase activity;metal ion binding;nucleic acid binding	GO:0006308	DNA catabolic process
NCU00031	NCU00031-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00032	NCU00032-t26_1	Neurospora crassa OR74A	peroxin 8	pex8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00033	NCU00033-t26_1	Neurospora crassa OR74A	Integral membrane protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0016021	integral component of membrane	N/A	N/A	N/A	N/A
NCU00034	NCU00034-t26_1	Neurospora crassa OR74A	prenyl cysteine carboxyl methyltransferase Ste14, variant 1, prenyl cysteine carboxyl methyltransferase Ste14	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005783;GO:0005789;GO:0016021	endoplasmic reticulum;endoplasmic reticulum membrane;integral component of membrane	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	GO:0006481	C-terminal protein methylation
NCU00034	NCU00034-t26_2	Neurospora crassa OR74A	prenyl cysteine carboxyl methyltransferase Ste14, variant 1, prenyl cysteine carboxyl methyltransferase Ste14	N/A	GO:0005783	endoplasmic reticulum	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	GO:0006481	C-terminal protein methylation	GO:0005783;GO:0005789;GO:0016021	endoplasmic reticulum;endoplasmic reticulum membrane;integral component of membrane	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	GO:0006481;GO:0006629;GO:0006497	C-terminal protein methylation;lipid metabolic process;protein lipidation
NCU00035	NCU00035-t26_1	Neurospora crassa OR74A	diacylglycerol acyltransferase-2	dga-2	GO:0005789	endoplasmic reticulum membrane	GO:0008374;GO:0004144	O-acyltransferase activity;diacylglycerol O-acyltransferase activity	GO:0019432	triglyceride biosynthetic process	GO:0016021	integral component of membrane	GO:0008374;GO:0004144	O-acyltransferase activity;diacylglycerol O-acyltransferase activity	GO:0019432	triglyceride biosynthetic process
NCU00035	NCU00035-t26_2	Neurospora crassa OR74A	diacylglycerol acyltransferase-2	dga-2	GO:0005789	endoplasmic reticulum membrane	GO:0008374;GO:0004144	O-acyltransferase activity;diacylglycerol O-acyltransferase activity	GO:0019432	triglyceride biosynthetic process	GO:0016021	integral component of membrane	GO:0008374;GO:0004144	O-acyltransferase activity;diacylglycerol O-acyltransferase activity	GO:0006629;GO:0019432	lipid metabolic process;triglyceride biosynthetic process
NCU00037	NCU00037-t26_1	Neurospora crassa OR74A	polyadenylation factor subunit 2, polyadenylation factor subunit 2, variant 1	paa-1	GO:0005829;GO:0005847;GO:0005730;GO:0005634	cytosol;mRNA cleavage and polyadenylation specificity factor complex;nucleolus;nucleus	N/A	N/A	GO:0034599;GO:0031124;GO:0006378	cellular response to oxidative stress;mRNA 3'-end processing;mRNA polyadenylation	N/A	N/A	GO:0005515	protein binding	GO:0007059	chromosome segregation
NCU00037	NCU00037-t26_2	Neurospora crassa OR74A	polyadenylation factor subunit 2, polyadenylation factor subunit 2, variant 1	paa-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	GO:0005515	protein binding	N/A	N/A
NCU00038	NCU00038-t26_1	Neurospora crassa OR74A	zinc finger transcription factor-32	znf-32	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00039	NCU00039-t26_1	Neurospora crassa OR74A	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NCU00040	NCU00040-t26_1	Neurospora crassa OR74A	eukaryotic translation initiation factor 3 110 kDa subunit	eif3a	GO:0071540;GO:0071541;GO:0043614;GO:0000934	eukaryotic translation initiation factor 3 complex, eIF3e;eukaryotic translation initiation factor 3 complex, eIF3m;multi-eIF complex;porous cell septum	GO:0003729	mRNA binding	GO:0001732;GO:0002188	formation of cytoplasmic translation initiation complex;translation reinitiation	GO:0005737;GO:0016282;GO:0033290;GO:0005852	cytoplasm;eukaryotic 43S preinitiation complex;eukaryotic 48S preinitiation complex;eukaryotic translation initiation factor 3 complex	GO:0003743	translation initiation factor activity	GO:0006413	translational initiation
NCU00041	NCU00041-t26_1	Neurospora crassa OR74A	guanine nucleotide-binding protein subunit gamma	gng-1	GO:0031680;GO:0005737;GO:0005834	G-protein beta/gamma-subunit complex;cytoplasm;heterotrimeric G-protein complex	N/A	N/A	GO:0030814;GO:0000750;GO:0120166;GO:0019236;GO:0000909	obsolete regulation of cAMP metabolic process;pheromone-dependent signal transduction involved in conjugation with cellular fusion;protoperithecium formation;response to pheromone;sporocarp development involved in sexual reproduction	N/A	N/A	GO:0031681	G-protein beta-subunit binding	GO:0007186;GO:0000750;GO:0019236	G protein-coupled receptor signaling pathway;pheromone-dependent signal transduction involved in conjugation with cellular fusion;response to pheromone
NCU00042	NCU00042-t26_1	Neurospora crassa OR74A	selenoprotein domain-containing protein	N/A	N/A	N/A	N/A	N/A	GO:0034599	cellular response to oxidative stress	N/A	N/A	N/A	N/A	N/A	N/A
