# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-33_ChIP_WT_K27me3_AM_Rep_2
#
# total peaks = 501
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 170
# genome size = 41224647
# Total tags = 3743614.0
# Total tags in peaks = 835401.5
# Approximate IP efficiency = 22.32%
# tags per bp = 0.090594
# expected tags per peak = 13.589
# maximum tags considered per bp = 9.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 27.0
# number of putative peaks = 78919
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-43_ChIP_WT_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 104
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-33_ChIP_WT_K27me3_AM_Rep_2 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-33_ChIP_WT_K27me3_AM_Rep_2_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-43_ChIP_WT_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002238.1-6909	CM002238.1	4774989	4829174	+	84502.6	54185.000	59.500000	31634.5	3202.3	9.88	0.00e+00	0.91
CM002238.1-11192	CM002238.1	5243235	5274665	+	62613.3	31430.000	32.000000	23440.0	2422.1	9.68	0.00e+00	1.03
CM002240.1-3713	CM002240.1	6411482	6436145	+	55604.0	24663.000	50.500000	20816.0	1673.7	12.44	0.00e+00	0.84
CM002239.1-7753	CM002239.1	318104	344302	+	44899.1	26198.000	42.500000	16808.5	1758.9	9.56	0.00e+00	0.88
CM002239.1-34	CM002239.1	165	19150	+	44291.4	18985.000	272.500000	16581.0	1247.2	13.29	0.00e+00	0.90
CM002237.1-15	CM002237.1	287	18109	+	41884.7	17822.000	324.500000	15680.0	1679.1	9.34	0.00e+00	0.75
CM002238.1-2939	CM002238.1	224396	252364	+	41884.7	27968.000	90.500000	15680.0	1808.9	8.67	0.00e+00	0.97
CM002240.1-3993	CM002240.1	638527	664542	+	38134.3	26015.000	45.500000	14276.0	1796.1	7.95	0.00e+00	0.91
CM002238.1-8568	CM002238.1	4729847	4750334	+	34333.1	20487.000	44.000000	12853.0	1312.5	9.79	0.00e+00	1.01
CM002240.1-4166	CM002240.1	6211618	6234486	+	32478.0	22868.000	43.500000	12158.5	1538.0	7.91	0.00e+00	0.90
CM002238.1-6501	CM002238.1	4750903	4774076	+	32476.6	23173.000	63.000000	12158.0	1377.3	8.83	0.00e+00	0.88
