"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",-1.82479273576612,4.33401166152135e-11,2.12271666049695e-10,-1.81439572861372,8.92210944144046e-11,3.62832450618578e-10,-1.41408615258869,4.64649862536599e-08,1.47763060550738e-07,0.829539683161462,0.000320519242548366,0.000368899505574534,0.833719493233889,0.00116967388231014,0.00144274113057004
"CM002236.1",3177,6443,".","+",1.11030677523092,2.04209359691688e-05,2.20296592207592e-05,0.84997507411767,0.00101204567433457,0.00107449785993433,0.96018423247134,0.000201219430492437,0.00023159217471771,1.28229884986035,1.15156298640247e-06,1.59979040139971e-06,1.40654219293643,2.28393058093532e-06,6.10564709086694e-06
"CM002236.1",15929,16647,".","+",-1.99784471365307,2.27575222518135e-08,3.55123196068997e-08,-1.10137774639828,0.000836543361412588,0.000892401582683381,-0.949936011050549,0.00222278382891824,0.00240951203425547,0.665127725403915,0.0221057079914842,0.0238088765044718,-1.13704221236055,0.000781195453070446,0.000990892531210339
"CM002236.1",17440,19615,".","+",-1.59855365786575,3.97132371223936e-07,4.92561591665917e-07,-2.27348733539431,5.09783721581209e-11,2.4112651359146e-10,-0.364103247123328,0.194067647280572,0.198203030936474,0.776519922628208,0.00495305636589765,0.00544836200248741,0.527570469076748,0.0832017861087436,0.0876426977691789
"CM002236.1",34980,39245,".","+",-2.03723529227222,1.10040869082061e-11,8.20415812822918e-11,-2.40266694348141,2.80335166985921e-14,1.71004451861412e-12,-1.53690285564637,3.88345667056323e-08,1.27112167119411e-07,-0.339050807078713,0.175241675507516,0.18230568103185,-0.29740652581359,0.274055633682881,0.280871776837702
"CM002236.1",40949,42632,".","-",-1.8689101786856,1.16680058344118e-08,1.95730797872257e-08,-2.15525723269355,3.21804267684257e-10,9.72660646919534e-10,-1.64991336045748,1.41983856943007e-07,3.30802666697076e-07,0.182919213819036,0.50283379205758,0.508901168130673,-1.48711983111861,6.85414425770154e-06,1.50424690027273e-05
"CM002236.1",43708,44551,".","-",-2.03519114934282,2.15378588402978e-09,4.58353232390056e-09,-2.00771129167677,5.00913843516936e-09,1.0033229522384e-08,-1.68946470504541,9.26890875566663e-08,2.33813450189936e-07,-1.5808964084092,3.69115888209578e-07,5.41962277874458e-07,-1.49730024951315,7.67239806119716e-06,1.65005740354593e-05
"CM002236.1",45331,48154,".","-",-1.63443431686398,8.5257422347549e-08,1.18412149587946e-07,-1.27908242492615,1.38334540576982e-05,1.59215225947092e-05,-0.422004660996287,0.118201419397768,0.121273933357648,1.4980409537804,6.67605213986549e-08,1.14608662343992e-07,0.378730673683087,0.195920259404795,0.201939314993268
"CM002236.1",59145,61150,".","+",-1.86704640167952,2.23699368788669e-09,4.70540051589959e-09,-2.0744100044304,1.38001655195367e-10,5.00535733168061e-10,-1.71116056554567,1.49590784366331e-08,6.15800100060171e-08,-1.30559442936493,5.77220193084843e-06,7.34942598785445e-06,-1.16493101743605,0.000137976569588354,0.000202144712213505
"CM002236.1",91323,92593,".","+",-1.8377120964753,2.19182231979411e-08,3.44429221681932e-08,-2.11374941605674,8.76229918283794e-10,2.23555237706626e-09,-1.68543640722559,1.00070700303205e-07,2.49073592110071e-07,-1.22613953097176,4.59801995961501e-05,5.48980674893536e-05,-1.35660576572035,4.69928985243435e-05,7.72848894848884e-05
