"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",-0.669291566685003,0.0405341026987809,0.73565527116909,-0.0124562933648999,0.969156188152967,0.992314515989278,0.278341406999736,0.38770577648747,0.986038766397124,0.194355356407181,0.566292921555859,0.850322524021369
"CM002236.1",3177,6443,".","+",-0.8175286129804,0.0254940777109381,0.65918640668937,0.170102906001738,0.637118670961987,0.985569092888421,-0.238607344559422,0.508672931759618,0.986038766397124,0.349680267951297,0.357178325799829,0.823319492329575
"CM002236.1",15929,16647,".","+",-0.668259448290056,0.11026962238368,0.89225316359263,-0.240781088317432,0.559510836501322,0.985569092888421,0.0713147160085111,0.862365504287368,0.986038766397124,0.472582665217397,0.274888251041816,0.823319492329575
"CM002236.1",17440,19615,".","+",0.060177493118498,0.878035386701557,0.988532930884305,0.171974471728308,0.661105788581352,0.985569092888421,-0.287087920402962,0.465004674468177,0.986038766397124,-0.00122738731973365,0.997626181022726,0.99911517532276
"CM002236.1",34980,39245,".","+",-0.515447270299313,0.143145469242279,0.923994944440523,0.185405624258573,0.596306240463967,0.985569092888421,-0.180186232361194,0.6068942805147,0.986038766397124,0.490542788192231,0.18404151645339,0.823319492329575
"CM002236.1",40949,42632,".","-",0.157885827322173,0.687764508347264,0.984110501650156,0.310903563506611,0.428295821018531,0.985569092888421,-0.19507679751334,0.619848847505241,0.986038766397124,0.269862773889154,0.514922291091412,0.829830110718805
"CM002236.1",43708,44551,".","-",-0.168574444917487,0.668841881550638,0.984110501650156,0.264266569119207,0.500489998466738,0.985569092888421,-0.163221187753881,0.678333067119309,0.986038766397124,0.222775506967666,0.591574459439465,0.850322524021369
"CM002236.1",45331,48154,".","-",-0.293686367300062,0.437416868282662,0.969289428612737,0.165799298066011,0.660180492681109,0.985569092888421,-0.061266033711407,0.870959889500417,0.986038766397124,0.174958558042353,0.659228079863192,0.877662780928972
"CM002236.1",59145,61150,".","+",-0.239772576689209,0.518875733578177,0.969289428612737,0.265063553832788,0.474870035520153,0.985569092888421,-0.201118682769175,0.588261961794501,0.986038766397124,0.297868520913227,0.446066878523685,0.823319492329575
"CM002236.1",91323,92593,".","+",-0.49536983243537,0.214136507032153,0.941166374878829,0.151180806424959,0.702190300852026,0.985569092888421,-0.517763352014364,0.194973747852163,0.945555950718023,0.590400805598095,0.160344408694842,0.823319492329575
"CM002236.1",181222,181975,".","+",0.0768113252232505,0.859889444573704,0.986470649119907,0.0094735021400365,0.982301143340346,0.993421815135894,-0.0893373519456028,0.837633007573763,0.986038766397124,0.172651785970197,0.7054470875943,0.897430480546468
