"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",0,0,0,0,0
"CM002236.1.1501.1800",1.16312696748843,1.66304457918579,1.27654932015403,1.52508609572576,1.72724551851853
"CM002236.1.1801.2100",1.49376209425531,1.37749473048908,1.11898226397008,1.46268239733412,1.61266203779113
"CM002236.1.2101.2400",0,0,0,0,0
"CM002236.1.2401.2700",0,0,0,0,0
"CM002236.1.3301.3600",0,0,0,1.03991529608054,0
"CM002236.1.3601.3900",0,0,0,0,0
"CM002236.1.3901.4200",1.37736109516306,1.00488859710275,1.03518868031468,1.20638086526234,0
"CM002236.1.4201.4500",0,0,0,0,0
"CM002236.1.4501.4800",0,0,0,0,0
"CM002236.1.4801.5100",0,0,0,0,0
"CM002236.1.5101.5400",0,0,0,0,0
"CM002236.1.5401.5700",0,0,0,0,0
"CM002236.1.5701.6000",0,0,0,0,0
"CM002236.1.6001.6300",0,0,0,0,0
"CM002236.1.16201.16500",0,0,0,0,0
"CM002236.1.17701.18000",0,0,0,0,0
"CM002236.1.18001.18300",0,0,0,0,0
"CM002236.1.18301.18600",1.35248470388594,0,0,0,0
"CM002236.1.18601.18900",1.50408010454245,1.36035024049252,1.37474640850057,0,1.33655711712219
"CM002236.1.18901.19200",1.26821322098393,0,0,0,0
"CM002236.1.19201.19500",0,0,0,0,0
"CM002236.1.35101.35400",0,0,0,0,0
"CM002236.1.35401.35700",0,0,0,0,0
"CM002236.1.35701.36000",0,0,0,0,0
"CM002236.1.36001.36300",0,0,0,0,1.23317030551031
"CM002236.1.36301.36600",0,0,0,0,0
"CM002236.1.36601.36900",0,0,0,0,0
"CM002236.1.36901.37200",0,0,0,0,0
"CM002236.1.37201.37500",0,0,0,0,0
"CM002236.1.37501.37800",0,0,0,0,0
"CM002236.1.37801.38100",0,0,0,0,0
"CM002236.1.38101.38400",0,0,0,0,0
"CM002236.1.38401.38700",0,0,0,0,0
"CM002236.1.38701.39000",0,0,0,0,0
"CM002236.1.41101.41400",0,0,0,0,0
"CM002236.1.41401.41700",0,0,0,0,0
"CM002236.1.41701.42000",0,0,0,1.1468631631286,0
"CM002236.1.42001.42300",0,0,0,0.999225923203298,0
"CM002236.1.42301.42600",0,1.15381741476479,0,1.00889788503746,0
"CM002236.1.43801.44100",0,0,0,1.20749871664642,0
"CM002236.1.44101.44400",0,1.2129322046986,1.35547462621434,1.44663597546546,1.29503954208591
"CM002236.1.45601.45900",0,0,0,0,0
"CM002236.1.45901.46200",0,0,0,0,0
"CM002236.1.46201.46500",0,0,0,1.05048783618612,0
"CM002236.1.46501.46800",0,0,0,1.15021408304801,0
"CM002236.1.46801.47100",0,1.21203004606275,1.10210567231834,1.29546127014233,0
"CM002236.1.47101.47400",0,0,0,0,0
"CM002236.1.47401.47700",0,0,0,1.16549363877632,0
"CM002236.1.47701.48000",0,0,0,0,0
"CM002236.1.59401.59700",0,0,0,0,0
"CM002236.1.59701.60000",0,1.19733526009562,0,0,0
"CM002236.1.60001.60300",0,1.13697782213556,1.16082948916462,0,1.59292291481608
"CM002236.1.60301.60600",1.13526375797777,0,0,1.06309498323913,0
"CM002236.1.60601.60900",0,0,0,0,0
"CM002236.1.91501.91800",0,0,0,0,0
"CM002236.1.91801.92100",0,0,0,0,0
"CM002236.1.92101.92400",0,-1.118998014468,0,0,0
"CM002236.1.181501.181800",0,0,0,0,0
"CM002236.1.182701.183000",0,0,0,0,0
"CM002236.1.183001.183300",0,0,0,0,0
"CM002236.1.183301.183600",0,0,0,0,0
"CM002236.1.183601.183900",0,0,0,0,0
"CM002236.1.183901.184200",0,0,0,0,0
"CM002236.1.184201.184500",0,0,0,0,0
"CM002236.1.184501.184800",0,0,0,0,0
"CM002236.1.186301.186600",0,0,0,0,0
"CM002236.1.186601.186900",0,0,0,0,0
"CM002236.1.186901.187200",0,0,0,0,0
"CM002236.1.187201.187500",0,0,0,0,0
"CM002236.1.187501.187800",0,0,0,0,0
"CM002236.1.187801.188100",0,0,0,0,0
"CM002236.1.188701.189000",0,0,0,0,0
"CM002236.1.189001.189300",0,0,0,0,0
"CM002236.1.190501.190800",0,0,0,0,0
"CM002236.1.190801.191100",0,0,0,0,0
"CM002236.1.193201.193500",0,0,0,0,0
"CM002236.1.193501.193800",0,0,0,0,0
"CM002236.1.195901.196200",0,0,0,0,0
"CM002236.1.208501.208800",0,-1.09870141607419,0,0,0
"CM002236.1.208801.209100",0,0,0,0,0
"CM002236.1.210601.210900",0,0,0,0,0
"CM002236.1.210901.211200",0,0,0,0,0
"CM002236.1.211201.211500",0,0,0,-1.25169476926749,0
"CM002236.1.211501.211800",0,0,0,0,0
"CM002236.1.211801.212100",0,0,0,0,0
"CM002236.1.212101.212400",0,0,0,0,0
"CM002236.1.214801.215100",0,0,0,0,0
