"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",4.3855104533651,1.28750686884311e-46,3.76175919940248e-45,5.12115022356262,7.36475796482544e-54,8.2485289206045e-52,4.81537958372043,5.28375967166029e-51,3.55068649935571e-49,1.09670342414271,1.05866473799843e-06,1.68984015186448e-06,-0.218018896672445,0.366602842658005,0.487835861913226
"CM002236.1",2177,6443,".","+",3.14470583865236,1.56152469586835e-30,2.35279057314693e-30,3.73258098341824,2.73500820983841e-37,1.10718404639242e-36,3.55427378898293,2.51206387760853e-35,7.88835012034081e-35,-0.522308102419201,0.0242483932496585,0.0297352559557855,-0.226666798042404,0.358441043066019,0.481337528675927
"CM002236.1",14929,16647,".","+",2.89398056299928,8.36679277911078e-27,1.10897135060403e-26,3.88252971104112,5.41879326026964e-38,2.44391212812161e-37,3.16221128522202,6.42279349953456e-30,1.3445848073792e-29,-0.734378838932913,0.00330479574905895,0.00441515455937895,-0.356614519997146,0.165231023705781,0.289798890964546
"CM002236.1",16440,19615,".","+",1.9501978604483,9.12252056580591e-16,9.7928655275105e-16,2.39359369657868,4.42719630308783e-21,6.55303065126657e-21,1.4663857350537,3.47507880626093e-10,4.40613765624027e-10,-1.13571656221451,4.30087874187299e-06,6.70577845600614e-06,-0.463598647109039,0.0623636831850884,0.173013932186876
"CM002236.1",33980,39245,".","+",3.22730543235074,1.26765882932576e-30,1.92294973658446e-30,3.34514933560507,6.56078717928721e-32,1.46473388188738e-31,2.67269582769346,5.54125782581555e-24,9.21714173006943e-24,-0.823760814687452,0.000549898570601888,0.000781251246182809,-0.0817618551476679,0.744262244174647,0.813242647293273
"CM002236.1",40949,43632,".","-",3.76911995064955,9.96030929507088e-37,2.27664212458763e-36,2.65634225286689,1.50567071598317e-23,2.34215444708492e-23,2.53754675344885,3.33879780195315e-22,5.32938746535039e-22,-0.862143981996991,0.00052041811917462,0.000740934271367256,0.295028270279698,0.253150786562047,0.373064317038806
"CM002236.1",43708,45551,".","-",3.51711063888021,2.56964189872608e-36,5.57032050304491e-36,3.0256161903206,5.23717558751495e-30,1.04123727657102e-29,2.92680485470552,6.9153599337261e-29,1.37896791556793e-28,-0.292304039393461,0.212283301321433,0.234243642837443,0.174710279023877,0.482108179462744,0.594452654310025
"CM002236.1",45331,49154,".","-",2.30869084884509,6.45884679455525e-21,7.52226177806088e-21,2.08680009578429,5.12137516746096e-18,7.08140763895836e-18,1.68767539563853,3.68251235720847e-13,4.90029367137444e-13,-0.860231687186959,0.000230829152407651,0.000335026329196418,-0.0125257675032887,0.958836527544954,0.973320463006358
"CM002236.1",58145,61150,".","+",1.85916854818136,1.84386615921071e-15,1.97305423405987e-15,2.24271094813703,3.17887139856093e-20,4.61382630633466e-20,2.03690113217466,1.28316259658173e-17,1.80772592222834e-17,-0.514173840328207,0.0261213274462973,0.0319155128071123,0.11121855337589,0.647211051447693,0.72975531141892
"CM002236.1",90323,92593,".","+",3.44785977154372,5.7657557572945e-34,1.01962838655313e-33,3.50590475422274,1.99418655070478e-34,5.58372234197337e-34,3.26416549349028,1.02128505116087e-31,2.34233295010275e-31,-0.324661798263923,0.174882011504058,0.194007063947948,0.512547288481452,0.0459191627953784,0.166255548063859
"CM002236.1",180222,181975,".","+",2.00849801706693,1.37595939091784e-17,1.51333013207331e-17,0.683620145904588,0.00158251299074843,0.00172918492647634,0.812384308072425,0.000184736884143738,0.000215901193294943,0.180696757138961,0.423454609881503,0.450969093249398,0.478361979389385,0.0516478509965262,0.167986002114736
"CM002236.1",182427,186051,".","-",3.32243640101544,1.67512601712763e-31,2.63010440072376e-31,1.83861759193315,7.40895503861808e-14,9.64887167820029e-14,2.35923346791345,5.44454288465491e-20,8.18508460511879e-20,1.13241835771076,1.79449013902249e-06,2.84409757882811e-06,0.402696884186238,0.118306044878351,0.235212018219679
"CM002236.1",185039,188208,".","+",3.49342875409594,3.37754499495675e-35,6.59917261785572e-35,1.76606970214323,8.85844145111063e-14,1.15142604548285e-13,2.28969775011987,3.1640898407579e-20,4.79970287356504e-20,0.832432026518385,0.000265158739779513,0.000384023002439295,0.361082125501228,0.147910742689392,0.269483422350252
"CM002236.1",188530,190595,".","-",4.08835083464988,3.58084677032147e-41,2.02212523500507e-40,1.99400902203958,4.61714694191089e-16,6.20544548992824e-16,2.42657934299518,2.10422931236141e-21,3.29613542635633e-21,1.03512091065564,1.25365015948178e-05,1.93223143846733e-05,0.616012877824654,0.0173477457518448,0.145960728281606
"CM002236.1",189406,191138,".","+",3.97471351714025,9.77618623957683e-41,4.76057764709828e-40,1.98376304809824,2.88632196565679e-16,3.88699070324923e-16,2.3323769267824,1.12962796809021e-20,1.72524998762869e-20,0.835769847851083,0.00034201588831404,0.000491099737066314,0.583850884702522,0.0226482888566403,0.148027980567354
"CM002236.1",193143,195064,".","-",2.22795158191801,4.54458000287066e-20,5.22937972933063e-20,0.734032784106072,0.000782683484631014,0.000867926240382906,0.786780163764995,0.000332027468585848,0.000386694036203969,-0.376246441375027,0.103845935973065,0.118883252085008,0.13967786157589,0.570378188564447,0.664287942314225
"CM002236.1",195020,196335,".","-",3.63741515804835,9.49050385136185e-36,1.94439591101072e-35,1.29602431925498,3.66959780395082e-08,4.38784648443941e-08,1.28680898580517,4.54919855354195e-08,5.59901360435933e-08,-0.243376114604387,0.329264577299088,0.353459737931289,0.571693308512821,0.0304128964066393,0.14874501683499
