"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",0,0,0,0
"CM002236.1.3177.6443",0,0,0,0
"CM002236.1.15929.16647",0,0,0,0
"CM002236.1.17440.19615",0,0,0,0
"CM002236.1.34980.39245",0,0,0,0
"CM002236.1.40949.42632",-1.15603215222077,-1.16026850593862,0,0
"CM002236.1.43708.44551",0,-0.982295364211334,-0.846240990065806,0
"CM002236.1.45331.48154",0,0,0,0
"CM002236.1.59145.61150",0,0,0,0
"CM002236.1.91323.92593",0,0,0,0
"CM002236.1.181222.181975",0,0,0,0
"CM002236.1.182427.185051",0,0,0,0
"CM002236.1.186039.188208",0,0,-0.891533805013897,0
"CM002236.1.188530.189595",0,0,-0.847399746072011,0
"CM002236.1.190406.191138",0,0,-1.65015165809114,0
"CM002236.1.193143.194064",0,0,-1.35608380779548,0
"CM002236.1.195020.195335",0,0,-1.29564011789281,0
"CM002236.1.195780.196290",-1.5841626149541,-1.75758682717993,-2.24050390226955,0
"CM002236.1.198194.198497",0,0,0,0
"CM002236.1.208394.209343",0,0,-1.60627658338468,0
"CM002236.1.210486.212487",-1.05679859875991,-1.17693509846031,-1.94383117348486,0
"CM002236.1.214619.215734",0,0,-1.02705792526152,0
"CM002236.1.216104.216521",0,0,-0.856029586872484,0
"CM002236.1.219395.220979",0,0,-0.818437644021548,0
"CM002236.1.224661.224874",0,0,0,0
"CM002236.1.243323.246248",0,0,0,0
"CM002236.1.246886.247478",0,0,-0.801529130409018,0
"CM002236.1.249096.251944",0,0,0,0
"CM002236.1.254974.255694",0,0,0,0
"CM002236.1.256165.256694",0,0,0,0
"CM002236.1.257492.259361",0,0,0,0
"CM002236.1.262019.263387",0,0,-1.23148825550884,0
"CM002236.1.264035.265388",0,0,0,0
"CM002236.1.291632.292877",0,0,-1.70203864675121,0
"CM002236.1.293166.294573",0,0,-1.36693174092203,0
"CM002236.1.296498.297770",0,0,-1.62606659248623,0
"CM002236.1.302352.303729",0,0,0,0
"CM002236.1.8866489.8867649",0,0,0,0
"CM002236.1.9649954.9651509",0,0,0,0
"CM002236.1.9687687.9688732",0,0,0,0
"CM002236.1.9689584.9690543",0,0,0,0
"CM002236.1.9689977.9690773",0,0,0,0
"CM002236.1.9692169.9693340",0,0,0,0
"CM002236.1.9694631.9697675",0,0,0,0
"CM002236.1.9759596.9762612",0,0,0,0
"CM002236.1.9770840.9772169",0,0,0,0
"CM002237.1.8926.11029",0,0,0,0
"CM002237.1.11641.12594",0,0,0,0
"CM002237.1.12520.13311",0,0,0,0
"CM002237.1.15942.18173",0,0,0,0
"CM002237.1.19041.19908",0,0,0,0
"CM002237.1.34370.35627",0,0,0,0
"CM002237.1.36176.38253",0,0,0,0
"CM002237.1.40798.41401",0,0,0,0
"CM002237.1.51942.53778",0,0,0,0
"CM002237.1.56203.56983",0,0,0,0
"CM002237.1.70444.71887",0,0,0,0
"CM002237.1.73201.74342",0,0,0,0
"CM002237.1.74558.75400",0,0,0,0
"CM002237.1.76424.78257",0,0,-1.03560820092652,0
"CM002237.1.107019.108114",0,0,0,0
"CM002237.1.147606.148334",0,0,0,0
"CM002237.1.562860.563629",0,0,0,0
"CM002237.1.564402.565440",0,0,0,0
"CM002237.1.565861.567505",0,0,0,0
"CM002237.1.568989.570312",0,0,0,0
"CM002237.1.585152.586019",0,0,0,0
"CM002237.1.1677866.1678593",0,0,0,0
"CM002237.1.1680516.1682564",0,0,0,0
"CM002237.1.1683361.1684546",0,0,0,0
"CM002237.1.1685913.1686735",0,0,0,0
"CM002237.1.4044659.4046143",0,0,0,0
"CM002237.1.4164713.4165274",0,0,0,0
"CM002237.1.4298462.4299228",0,0,-1.54254744706593,0
"CM002237.1.4447139.4448862",0,0,-1.00034033010733,0
"CM002237.1.4451074.4452364",0,0,0,0
"CM002237.1.4466317.4468439",0,0,0,0
"CM002237.1.4468612.4470618",0,0,0,0
"CM002238.1.9256.12729",0,0,0,0
"CM002238.1.12870.14169",0,0,0,0
"CM002238.1.29170.30638",0,0,0,0
"CM002238.1.31599.31686",0,0,0,0
"CM002238.1.159464.161404",0,0,-1.11729495701981,0
"CM002238.1.163882.164706",0,0,-1.43942284422011,0
"CM002238.1.165972.167007",0,0,0,0
"CM002238.1.199774.200169",0,0,-1.32483067086177,0
"CM002238.1.219438.219552",0,0,0,0
"CM002238.1.219918.221618",0,0,-0.75392336910352,0
"CM002238.1.224109.224199",0,0,0,0
"CM002238.1.224365.225339",0,0,-1.03470292291307,0
"CM002238.1.225708.227571",0,0,-0.804173865330684,0
"CM002238.1.228015.229458",0,0,-1.25666824150608,0
"CM002238.1.230216.233968",0,0,0,0
"CM002238.1.234920.236971",0,0,0,0
"CM002238.1.237023.238377",0,0,-0.794575241735541,0
"CM002238.1.239407.241233",0,0,-1.04562699466527,0
"CM002238.1.241500.243748",0,0,-1.09225983825745,0
"CM002238.1.245252.247405",0,0,-0.803247193348794,0
"CM002238.1.250618.252198",-1.00263816388064,-1.15401649501081,-1.41178499265371,0
"CM002238.1.263454.264422",0,0,0,0
"CM002238.1.266739.267175",0,0,0,0
"CM002238.1.269061.271142",0,0,0,0
"CM002238.1.272106.273360",0,0,0,0
"CM002238.1.273674.274366",0,0,0,0
"CM002238.1.274858.275686",0,0,0,0
"CM002238.1.276772.277640",0,0,0,0
"CM002238.1.277683.279201",0,0,0,0
"CM002238.1.280999.282805",0,0,0,0
"CM002238.1.282888.285185",0,0,0,0
"CM002238.1.285489.287797",0,0,0,0
"CM002238.1.287850.290825",0,0,0,0
"CM002238.1.292002.295031",0,0,0,0
"CM002238.1.295247.295350",0,0,0,0
"CM002238.1.296326.298561",0,0,0,0
"CM002238.1.299935.301267",0,0,0,0
"CM002238.1.341948.343583",0,0,0,0
"CM002238.1.344837.345608",0,0,0,0
"CM002238.1.382226.382889",0,0,0,0
"CM002238.1.384221.386039",0,0,0,0
"CM002238.1.387020.387656",0,0,0,0
"CM002238.1.388932.390336",0,0,0,0
"CM002238.1.391093.393053",0,0,0,0
"CM002238.1.394403.394979",0,0,0,0
"CM002238.1.396310.397505",0,0,0,0
"CM002238.1.399176.399894",0,0,0,0
"CM002238.1.401170.401661",0,0,0,0
"CM002238.1.402180.403426",0,0,0,0
"CM002238.1.425597.426575",0,0,0,0
"CM002238.1.427249.428547",0,0,0,0
"CM002238.1.429336.430124",0,0,0,0
"CM002238.1.448519.449458",0,0,0,0
"CM002238.1.449716.452595",0,0,0,0
"CM002238.1.453711.454278",0,0,0,0
"CM002238.1.454998.455457",0,0,0,0
"CM002238.1.456204.456978",0,0,0,0
"CM002238.1.458930.459470",0,0,0,0
"CM002238.1.555278.557222",0,0,0,0
"CM002238.1.4573917.4575576",0,0,0,0
"CM002238.1.4606354.4606862",0,0,0,0
"CM002238.1.4626604.4626922",0,0,0,0
"CM002238.1.4631534.4633728",0,0,-0.778087483762738,0
"CM002238.1.4634181.4636013",0,0,-0.867072932178904,0
"CM002238.1.4638294.4639296",0,0,0,0
"CM002238.1.4640145.4641315",0,0,0,0
"CM002238.1.4644660.4645491",0,0,-1.61578266814716,0
"CM002238.1.4646676.4647252",0,0,-0.850153794347616,0
"CM002238.1.4648489.4649239",0,0,0,0
"CM002238.1.4649975.4652197",0,0,0,0
"CM002238.1.4652961.4654746",0,0,0,0
