"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2701.3000",1.044678486514,0.689783824184383,0.900804313341068,1.55635114850007,0.642586905857609
"CM002236.1.3001.3300",0.813315332006958,0.792321944697225,0.892851172360915,1.09372322349407,0.941475674445772
"CM002236.1.15901.16200",-0.299716561984158,-1.01796819590501,-0.0371514118037319,-0.256718887291872,0.796557718627975
"CM002236.1.17101.17400",1.18845685312301,1.07498790137303,1.45799753907565,1.38917939932416,1.71038745826285
"CM002236.1.34501.34800",0.431667668102082,0.401609696339289,0.976649722109441,0.98442761880742,1.37055603908884
"CM002236.1.34801.35100",0.877642006193809,0.404663593219771,1.09779634425309,1.05507669799769,1.55090161922629
"CM002236.1.42601.42900",-0.682187816070925,-0.481480074234573,-0.634758530558873,-1.07356383365304,-0.471613719370082
"CM002236.1.44401.44700",-1.14884049942241,-1.09628906551825,-1.3340713199354,-1.06519379821852,-0.827330270621126
"CM002236.1.44701.45000",-1.59483992855099,-2.29594861101194,-1.48765839279743,-1.76602413026935,-1.13779259668186
"CM002236.1.48001.48300",0.80870542551645,0.76064802435171,1.24270030977834,0.979752684425382,0.194904135635153
"CM002236.1.48301.48600",1.12010324339369,1.56617620371757,0.854565250935982,1.61436698468511,1.25437076480515
"CM002236.1.58801.59100",-0.951450615139496,-0.971283573714715,-0.449227188153838,-0.967252187032581,-0.389858793554412
"CM002236.1.90901.91200",-0.742595356699461,-0.902242339563269,-0.0779556435021489,-0.474938049118694,-0.0374058438082003
"CM002236.1.91201.91500",-0.429638352566883,-1.02365486242151,-0.0203250039454732,-0.993600539275338,-0.0413229325893707
"CM002236.1.180901.181200",-1.05012963155944,-1.69284532819143,-0.718556019067755,-1.39883175890171,-0.888266624704492
"CM002236.1.181201.181500",-0.444099043038879,-1.03882303082102,-0.805661191221655,-0.789185797161693,-0.115629130540214
"CM002236.1.184801.185100",-1.16718165673843,-0.915142045689058,-0.46664193170406,-1.30026541849373,-0.467838787078563
"CM002236.1.185101.185400",-1.02496253797927,-0.571431395591391,-1.5199206845787,-0.807736456035707,-0.470091701066745
"CM002236.1.189601.189900",-0.531839815272136,-0.963195733370799,-0.907756516700113,-0.963491929916484,-1.10055973192436
"CM002236.1.190201.190500",-0.947094953903474,-0.938967382571293,-0.502780030623345,-0.55831654095147,-0.725847514095589
"CM002236.1.193801.194100",-1.01610443537525,-0.22222872291623,-0.430238494744212,-0.294485835410374,-0.188100755355284
"CM002236.1.195301.195600",-1.036444035876,-0.434912004226348,-0.103715498131217,-0.517908666441451,-0.4055657272296
"CM002236.1.198001.198300",-1.27138323405887,-0.618523711542613,-0.639312504567395,-0.410565913509114,-0.81268357404876
"CM002236.1.210001.210300",-0.732058377612247,0.0380787544381673,0.122226041379331,1.20129458924138,0.165011821737763
"CM002236.1.214501.214800",-1.24486618490289,-0.888665302473347,-0.311957913384204,-0.233121001595523,-0.936683837195201
"CM002236.1.216301.216600",-1.88932538621584,-1.58772137229952,-1.27584377955596,-1.69292040422346,-1.72587993608423
"CM002236.1.216601.216900",-1.07902175001646,-1.33602271926973,-1.32734626805915,-1.24352438317999,-0.99022531721126
"CM002236.1.220801.221100",-1.1147590440204,-1.24588130508781,-1.30257904938184,-1.21773279540211,-0.475668654248104
"CM002236.1.221101.221400",-1.17591188840351,-1.14145494374431,-1.51625269945386,-1.24910307799562,-1.39450136527106
"CM002236.1.224401.224700",-0.223271424249637,-1.41081571918765,0.154810178844631,-1.03373609991002,0.082139084092888
"CM002236.1.246001.246300",-1.07028661307105,-1.48064670945696,-0.55681874678872,-1.07332507487405,-0.667172114310141
"CM002236.1.246301.246600",-1.43354358833268,-1.75447133914769,-1.39448990365781,-1.18946982950011,-1.21287106208889
"CM002236.1.247201.247500",-1.0047625343166,-0.515114867587978,-0.309776409262719,-0.18178548837008,-0.247345830794834
"CM002236.1.247501.247800",-1.01584944843806,-0.646926687161579,-0.506775542365931,-0.883687858720939,-0.257030038172875
