# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-37_ChIP_set-7_K27me3_AM_Rep_2
#
# total peaks = 922
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 150
# genome size = 41233532
# Total tags = 434833.5
# Total tags in peaks = 11013.5
# Approximate IP efficiency = 2.53%
# tags per bp = 0.010284
# expected tags per peak = 1.543
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 8.0
# number of putative peaks = 6323
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 17
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-37_ChIP_set-7_K27me3_AM_Rep_2 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-37_ChIP_set-7_K27me3_AM_Rep_2_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-47_ChIP_set-7_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
KI440765.1-170	KI440765.1	99876	100233	+	1483.3	357.000	39.000000	64.5	12.9	4.98	3.54e-24	0.94
CM002241.1-393	CM002241.1	1950833	1952571	+	1356.8	1738.000	8.000000	59.0	13.4	4.41	4.19e-20	0.67
CM002238.1-209	CM002238.1	932883	933878	+	1080.9	995.000	9.000000	47.0	10.4	4.53	8.72e-17	1.06
KI440765.1-175	KI440765.1	98145	98503	+	1046.4	358.000	28.500000	45.5	8.5	5.38	1.17e-18	0.95
CM002236.1-431	CM002236.1	4068097	4068788	+	931.4	691.000	9.000000	40.5	9.6	4.20	2.43e-13	0.98
CM002241.1-483	CM002241.1	4214132	4215003	+	931.4	871.000	8.000000	40.5	7.5	5.39	8.69e-17	0.99
CM002236.1-901	CM002236.1	5263614	5264348	+	862.4	734.000	8.000000	37.5	8.6	4.38	5.87e-13	0.99
KI440766.1-3	KI440766.1	112312	113008	+	862.4	696.000	11.500000	37.5	6.5	5.77	1.55e-16	1.07
CM002242.1-184	CM002242.1	2488767	2489435	+	850.9	668.000	9.500000	37.0	7.0	5.31	1.29e-15	0.97
CM002236.1-390	CM002236.1	2296692	2297249	+	793.4	557.000	9.000000	34.5	5.5	6.31	2.07e-16	0.98
CM002238.1-131	CM002238.1	4579688	4580351	+	793.4	663.000	10.000000	34.5	7.9	4.35	5.92e-12	0.98
CM002239.1-70	CM002239.1	3746256	3746756	+	747.4	500.000	10.500000	32.5	6.0	5.46	7.40e-14	0.97
CM002236.1-183	CM002236.1	6317560	6318123	+	735.9	563.000	10.500000	32.0	7.3	4.39	1.35e-11	0.98
CM002240.1-88	CM002240.1	3914072	3914801	+	701.4	729.000	10.500000	30.5	6.3	4.83	8.61e-12	1.00
CM002236.1-108	CM002236.1	2302942	2303331	+	678.4	389.000	11.000000	29.5	4.4	6.69	7.83e-15	0.97
CM002239.1-1	CM002239.1	2876421	2876571	+	666.9	150.000	24.000000	29.0	0.9	33.84	5.45e-34	1.13
CM002239.1-115	CM002239.1	4267012	4267661	+	666.9	649.000	10.000000	29.0	6.7	4.33	1.61e-10	0.99
CM002241.1-75	CM002241.1	1775670	1776311	+	666.9	641.000	10.500000	29.0	7.1	4.10	5.45e-10	0.80
KI440771.1-2	KI440771.1	7377	8025	+	666.9	648.000	12.000000	29.0	6.9	4.18	3.49e-10	1.00
CM002236.1-122	CM002236.1	4333245	4333753	+	655.4	508.000	11.000000	28.5	6.9	4.15	1.21e-09	0.90
CM002236.1-346	CM002236.1	9302030	9302672	+	643.9	642.000	9.500000	28.0	6.4	4.40	2.25e-10	1.23
CM002238.1-245	CM002238.1	4584680	4585276	+	643.9	596.000	9.000000	28.0	4.9	5.76	5.16e-13	1.12
CM002239.1-261	CM002239.1	4285142	4285770	+	632.4	628.000	9.000000	27.5	6.0	4.57	3.11e-10	0.88
CM002236.1-166	CM002236.1	4051896	4052304	+	620.9	408.000	10.500000	27.0	4.6	5.89	7.86e-13	1.01
CM002239.1-339	CM002239.1	2370253	2370847	+	609.4	594.000	8.500000	26.5	5.8	4.60	5.95e-10	0.88
CM002240.1-214	CM002240.1	598396	599001	+	609.4	605.000	9.000000	26.5	5.1	5.19	4.84e-11	0.90
CM002242.1-466	CM002242.1	2486895	2487394	+	609.4	499.000	8.000000	26.5	4.9	5.43	1.79e-11	0.98
CM002242.1-192	CM002242.1	2926676	2927309	+	609.4	633.000	9.500000	26.5	6.6	4.04	8.00e-09	1.00
CM002236.1-264	CM002236.1	202149	202660	+	597.9	511.000	9.500000	26.0	5.0	5.17	3.50e-11	0.99
CM002236.1-397	CM002236.1	2403457	2404118	+	597.9	661.000	9.000000	26.0	6.3	4.14	3.36e-09	0.99
CM002236.1-92	CM002236.1	9322506	9323105	+	597.9	599.000	11.500000	26.0	6.0	4.37	1.14e-09	0.99
CM002242.1-214	CM002242.1	518133	518587	+	597.9	454.000	9.000000	26.0	3.7	7.07	3.66e-14	1.04
KI440765.1-230	KI440765.1	189137	189683	+	597.9	546.000	9.500000	26.0	5.7	4.55	5.03e-10	0.67
CM002239.1-553	CM002239.1	4256534	4257167	+	574.9	633.000	8.000000	25.0	4.8	5.18	7.92e-11	0.85
KI440769.1-19	KI440769.1	9645	10057	+	574.9	412.000	8.500000	25.0	4.2	5.92	4.90e-12	1.02
CM002236.1-720	CM002236.1	9491775	9492252	+	563.4	477.000	8.500000	24.5	5.5	4.49	4.21e-09	0.99
CM002236.1-1026	CM002236.1	9737386	9737907	+	551.9	521.000	8.000000	24.0	4.5	5.37	9.14e-11	0.91
CM002242.1-123	CM002242.1	1056980	1057360	+	551.9	380.000	10.000000	24.0	5.1	4.71	1.16e-09	0.98
CM002240.1-29	CM002240.1	606025	606303	+	540.4	278.000	12.500000	23.5	2.4	9.73	2.46e-15	0.95
CM002240.1-240	CM002240.1	3435536	3436015	+	540.4	479.000	9.000000	23.5	5.2	4.50	8.54e-09	0.99
CM002242.1-321	CM002242.1	2142676	2143287	+	540.4	611.000	8.500000	23.5	5.0	4.67	4.40e-09	0.99
CM002236.1-223	CM002236.1	4085747	4086105	+	528.9	358.000	10.000000	23.0	4.6	4.99	8.82e-10	0.93
CM002236.1-29	CM002236.1	5935358	5935801	+	528.9	443.000	13.500000	23.0	5.7	4.06	3.75e-08	0.67
CM002238.1-432	CM002238.1	2192329	2192838	+	528.9	509.000	8.000000	23.0	4.2	5.53	1.26e-10	0.98
CM002239.1-340	CM002239.1	2391132	2391649	+	528.9	517.000	8.500000	23.0	4.3	5.31	2.72e-10	0.99
KI440765.1-196	KI440765.1	7407	7911	+	517.4	504.000	10.500000	22.5	5.1	4.42	2.52e-08	0.99
