"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.604204414640747,0.133388328419801,0.299343038025708,0.00652555183491094,0.987052402619894,0.994462705942867,-4.18232722162232,1.72228027726014e-19,2.06366083221706e-18,-3.62178208457079,2.84486289178937e-16,7.51536614327033e-16
"CM002236.1",2677,3477,".","+",0.563966106823711,0.157039624641086,0.337735859404388,-0.0309589911564389,0.937922469516476,0.971295389933305,-4.25938210986047,4.22468383605469e-20,5.90575594581812e-19,-3.35461847514408,1.38868229913037e-14,2.56695818930159e-14
"CM002236.1",15429,16229,".","+",0.922584536575183,0.0225119723687872,0.0744114948741686,-0.0183304945285861,0.96361621158807,0.984672261777474,-3.72504227405883,3.29151756366822e-16,2.06411989273026e-15,-3.54595824333499,1.28400307643887e-15,2.84345235739432e-15
"CM002236.1",16940,17740,".","+",0.614175493043762,0.103618739848139,0.246553810064189,-0.502432399974606,0.18740001112657,0.419151358219762,-2.32462472068992,3.32570373896876e-08,9.14568528216409e-08,-2.22357060900475,4.28599568152375e-08,5.07213951023358e-08
"CM002236.1",34480,35280,".","+",0.821071216041111,0.0348190955266294,0.105241500443101,-0.900041238913445,0.0215319194160487,0.0697967049669985,-3.30306046053635,8.17030122246716e-14,3.97266095672135e-13,-2.9666660026378,2.6023306708837e-12,3.87176026643672e-12
"CM002236.1",42332,43132,".","-",-0.700752234741115,0.0766857053765581,0.194909501165418,-0.720400442513113,0.0677820751631498,0.187167787796187,-4.29948975689893,1.01854601174959e-21,2.01013051142345e-20,-3.87849890947726,1.29616814757647e-18,7.30864560524211e-18
"CM002236.1",44251,45051,".","-",-0.427562238490429,0.27097437961474,0.499515958026073,-0.418340373518486,0.279972268468085,0.560780275051001,-3.80659780833709,5.88505843178684e-18,4.99857494649237e-17,-3.21258124769468,4.66373406452599e-14,8.10716465620968e-14
"CM002236.1",47854,48654,".","-",-0.0470114776388699,0.899394309667761,0.953386385129649,-0.328708489207934,0.380384393580331,0.659780845697724,-2.21623889912443,5.43867657885637e-08,1.47151289694058e-07,-1.45855813909701,0.000222547880643132,0.000231160414723748
"CM002236.1",58645,59445,".","+",-0.0263354600283292,0.945005478613205,0.980870128201429,-0.328715782509472,0.389900276242046,0.670828423995931,-2.97562820900044,2.083152280067e-12,8.42045289111422e-12,-2.44990131335281,3.18065935142174e-09,3.93767975056086e-09
"CM002236.1",90823,91623,".","+",-0.187434907568967,0.638689864794347,0.818687903876894,-0.371918514478559,0.350245300822626,0.631759668956941,-4.21804903496234,4.96868597298137e-20,6.667976575741e-19,-3.27133062951654,8.49320096652813e-14,1.43912571932838e-13
"CM002236.1",180722,181522,".","+",-1.39162982341203,0.000214503937166293,0.00112446985811393,-1.58746368337647,2.69244288806453e-05,0.000148084358843549,-2.05732071490889,2.27809106766259e-07,5.87922733231383e-07,-2.17802409274149,4.20829669381138e-08,4.98898777658557e-08
"CM002236.1",184751,185551,".","-",-1.64981635089858,4.1195471572846e-05,0.000246805012726604,-1.01127401308755,0.0110090444059446,0.0375165370161419,-2.43625667784467,5.84151558204561e-09,1.73436148475779e-08,-3.39570872267889,7.91099622677983e-15,1.52976324731103e-14
"CM002236.1",185539,186339,".","+",-1.57699830069105,4.79750660649912e-05,0.000284584564279292,-1.21673012354602,0.00160886706146752,0.00642589165621851,-2.58123578888344,2.47470673110358e-10,8.17994195354928e-10,-3.22165096331704,1.57524361807125e-14,2.88794663313062e-14
"CM002236.1",189295,190095,".","-",-2.35647167684721,4.31998419181968e-09,4.75198261100165e-08,-1.85523978047195,2.98870252448299e-06,1.98556375636444e-05,-3.24711930510452,1.4237072483632e-14,7.64246050921364e-14,-3.70477855539369,9.88984093508494e-18,4.00303070235293e-17
"CM002236.1",189906,190706,".","+",-2.11966651867447,1.04414920741908e-07,8.93771250639646e-07,-1.83273632691913,3.73868613618283e-06,2.41217153594104e-05,-3.4917405252563,2.70183988042447e-16,1.73349977415498e-15,-3.52656239216242,2.21470577119237e-16,6.01646790473717e-16
"CM002236.1",193764,194564,".","-",-1.42705087162715,0.000125794183633873,0.00068624306681568,-1.43827896489468,0.000122307413666629,0.000594697641813828,-2.24128879407229,1.57158496475105e-08,4.46836233622014e-08,-2.14243228766808,5.42181195088852e-08,6.3825189807828e-08
"CM002236.1",195035,195835,".","-",-2.20866246724937,1.74169902751796e-08,1.71864712862434e-07,-2.12449130206242,6.07403174931095e-08,5.03169790591067e-07,-3.52856383450315,9.3427862152376e-17,6.39694852084126e-16,-3.29479121717773,4.58083597811121e-15,9.25825584732717e-15
"CM002236.1",195990,196790,".","-",-2.32052226860467,4.04043830365449e-09,4.5185568362536e-08,-2.34978414258158,2.79530457886987e-09,2.71833242379954e-08,-3.74396529765058,1.75353945014657e-18,1.74495977849933e-17,-3.70495956015302,2.85396506338281e-18,1.46184012025181e-17
"CM002236.1",197694,198494,".","+",-1.45335656792813,0.000292218648214019,0.00148544479508793,-1.3854715222791,0.000537380952575165,0.00226781521495557,-4.41484100493612,5.21330956066794e-23,1.5209263979166e-21,-3.89679422965539,9.51268406015509e-19,5.91019537441117e-18
"CM002236.1",209043,209843,".","-",-1.21566594668381,0.00213976274738964,0.00944592633880556,-1.21508660460153,0.00215489374257342,0.00829853699158803,-3.85598838629415,1.42530809298259e-18,1.49434645373643e-17,-3.54476485658857,2.90426223660268e-16,7.64219592455059e-16
