"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",4.44075862069896,4.97379983926064,4.96012096728728,1.25593295581545,0.100834856971166
"CM002236.1.1501.1800",5.22050722381352,6.52782492036488,5.31690996218428,1.84863223416142,0.240839726326417
"CM002236.1.1801.2100",5.25814434754716,5.75549625728907,5.33686004712391,0.911188278495172,0.167255371538858
"CM002236.1.2101.2400",4.09896613501853,4.62364329692176,4.44902620321564,-0.59705143172052,-0.0497085301520848
"CM002236.1.2401.2700",4.32092957667713,4.64352782116367,4.3851226735166,-0.36810899389179,-0.226029534636397
"CM002236.1.2701.3000",3.09569800751741,3.46312716976679,3.42385425070202,-0.799182113700066,-0.919552635023945
"CM002236.1.3001.3300",0.2398555075859,1.17374687927593,0.886700168266912,-1.572433851942,-0.393554230433462
"CM002236.1.3301.3600",1.76958203678087,2.78029144312736,1.80083790379311,-1.7287959374663,0.573648314039448
"CM002236.1.3601.3900",1.23358628170756,1.85227997550474,1.83544355065177,-0.542898357869357,0.285143259543497
"CM002236.1.3901.4200",1.92707552183634,2.38689268384851,2.36421193968755,-0.634839737800812,0.706041779879751
"CM002236.1.4201.4500",1.90823636596751,2.23451637630406,2.19956444566334,-0.423445734185772,0.303264674260946
"CM002236.1.4501.4800",1.71180882183851,2.23841889472117,2.52995375987614,-1.28704724075472,-0.354590493583964
"CM002236.1.4801.5100",1.22437731518327,1.9112220235952,2.01382625798703,-1.29038396450614,-0.368098051220854
"CM002236.1.5101.5400",1.98881658373414,2.96640642551207,2.11632467860846,-1.26786851481721,-1.08545105133033
"CM002236.1.5401.5700",2.70777044549127,3.36708490206254,2.87817225351067,-1.70718711126652,-0.316148450992685
"CM002236.1.5701.6000",3.4057503484373,3.15080958537453,3.31934893447308,-1.00312355167577,-0.0611648697570428
"CM002236.1.6001.6300",3.62646515488785,4.15858762339206,4.04001132143552,-0.791579394603697,-0.0272134252146788
