"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2578,3378,".","-",0.128708946423706,0.644397797731698,0.811240004273864,0.157159646309364,0.575916016054934,0.757579123540691,-0.133187332430812,0.635892085207205,0.870779468586697,0.0697964028457254,0.802449643292932,0.88701237771716,-0.178163577344048,0.560875483878965,0.772729511602052
"CM002236.1",2677,3477,".","+",0.133194441151771,0.629242902376156,0.805117338011312,0.165957454214938,0.550474247117376,0.741413308844836,-0.0322793329643158,0.90737286990018,0.985127220310799,0.255026849583048,0.353306344480599,0.552607359315809,-0.134727895894153,0.656617369697092,0.835281612171678
"CM002236.1",15429,16229,".","+",0.569464143435948,0.0401668869141947,0.164341348289175,0.474249019934556,0.0920302714403952,0.244465020766509,0.29170123637971,0.296379942545155,0.573115105036884,0.5883767997968,0.0349320118583613,0.128084043480658,0.573120642831455,0.0628679349773427,0.249965682158175
"CM002236.1",16940,17740,".","+",-0.263430321274252,0.314201074609025,0.557748468419723,-0.375019506495923,0.156669342515621,0.335863031399302,-0.197252843920146,0.450914985684073,0.73260037625669,-0.620757332410774,0.0194531322861049,0.0858753405524763,-0.238665888329842,0.400644736136569,0.663720769318328
"CM002236.1",34480,35280,".","+",-0.441507999907903,0.106611245508253,0.298067273900159,-0.463180558520791,0.0941711605291446,0.24587100667337,-0.5931426664134,0.0312399470936236,0.166365115077948,-0.614109763235921,0.0259379693544981,0.108101723210362,-0.799665490175657,0.00740814881720347,0.0690398313381046
"CM002236.1",42332,43132,".","-",0.212798468905526,0.4378866038605,0.660273957731226,1.14317847509719,3.05180574930503e-05,0.00175562884589686,0.861388662998132,0.00149337711091269,0.0261009890359748,1.0686643775425,7.560831012514e-05,0.00137116692145862,0.92159492581791,0.00251538884885641,0.0322408542859481
"CM002236.1",44251,45051,".","-",-0.497149977858495,0.0717231272922614,0.228086343190083,-0.101352113599584,0.711365998463779,0.847420693913505,0.102610552768574,0.70365401493193,0.895923802693216,0.422073169418005,0.116383619906393,0.295931724108401,0.254256370821054,0.394529079581613,0.658529881590205
"CM002236.1",47854,48654,".","-",-0.597813445994722,0.0213503248242245,0.110584563548359,-0.572892691246496,0.0278897325458209,0.130107973038402,-0.553272485075788,0.0323964545548796,0.168000436515495,-0.642081477402816,0.0131075722501969,0.0636203560705969,-0.482135580751944,0.0845428985540045,0.278079828086946
"CM002236.1",58645,59445,".","+",-0.0845858469890091,0.751819185159217,0.875817141044852,0.219399026996496,0.41180434740112,0.63231285378982,0.24036119586358,0.365427280969947,0.646648270792351,0.0343127502659091,0.897896622774244,0.94286171186466,0.00799149117607689,0.978348464125328,0.995795931827068
"CM002236.1",90823,91623,".","+",-0.267702627545318,0.342311277693891,0.578505549808496,-0.113871234106771,0.687192885363194,0.827839185060508,-0.033002686094576,0.906081458807718,0.985127220310799,0.225175952513569,0.418174899057091,0.609989907102844,0.512177671816734,0.0971574973669439,0.300944962852658
