"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","*",4.01523497448633,2.92386605929461e-37,7.43751480482165e-37,4.66293766038904,4.64752227447995e-47,2.82653854693371e-45,4.32341092441617,6.5883785887352e-42,6.38786271864325e-41,0.341911528965146,0.275131229150289,0.320109204002684,0.0271457945610048,0.935250813884058,0.967052232594181
"CM002236.1",2177,6443,".","*",3.06658932772077,1.91610035795695e-23,2.39602082144523e-23,3.58552612689687,2.20486911476089e-30,5.90022975110015e-30,3.29053517298535,2.2328863671436e-26,4.32985791193932e-26,-1.00471028238259,0.00239594056855755,0.00371898895676335,-0.173236620027258,0.604797604138228,0.85904373071863
"CM002236.1",14929,16647,".","*",2.89055851513131,2.18087158208302e-24,2.80577517002603e-24,3.78396292961266,3.17769595452897e-38,2.2377669406104e-37,3.02672592476563,2.6193611642115e-26,5.0354960311997e-26,-0.592624210367528,0.060397041490416,0.0783054665835044,-0.356383760240455,0.25825332401826,0.835339765806191
"CM002236.1",16440,19615,".","*",2.1957584894494,4.12502371746176e-15,4.49452909931908e-15,2.62433793328158,1.58043097517227e-20,2.47034654764077e-20,1.77604530340383,1.97404030905557e-10,2.51549136525366e-10,-0.839473815681223,0.00676000992335213,0.0100498814193835,-0.304530416387399,0.328026946226766,0.835339765806191
"CM002236.1",33980,39245,".","*",3.30697435066196,3.31541333407719e-27,4.71917344786732e-27,3.27177887678477,1.18004421741504e-26,2.35656591477809e-26,2.75136639176958,6.96866051916972e-20,1.0918112148301e-19,-0.491501023128463,0.11992464700269,0.1472102547611,-0.0810136760861716,0.805853917579679,0.927408941420779
"CM002236.1",40949,43632,".","*",3.88452606918832,9.12006863977109e-39,2.72380621428878e-38,2.84232916497447,1.05803250134976e-22,1.79650696295175e-22,2.92729873923901,5.71501759261281e-24,1.00614388669947e-23,-0.422133544754579,0.17697695272858,0.212945290243561,-0.0992502388347081,0.756893663607797,0.910838501071783
"CM002236.1",43708,45551,".","*",3.4727198136115,9.07038960048253e-35,1.81137034111129e-34,2.9214338169629,1.20233343521905e-25,2.26580582580717e-25,3.02696720925761,2.12805255342413e-27,4.26247652167887e-27,-0.380585948953144,0.21548668455438,0.256057889816839,0.210055812503334,0.496663107193256,0.840735800242825
"CM002236.1",45331,49154,".","*",2.46243684974855,3.1526365031298e-18,3.57476918744717e-18,2.20230356900336,5.7417533109926e-15,7.8713790267501e-15,2.02167738979558,6.46981049754769e-13,8.74404691486748e-13,-0.898392222105946,0.00367812085624247,0.00561795171878131,-0.0143091148498906,0.963535358802503,0.981170100227298
"CM002236.1",58145,61150,".","*",2.23018437751864,2.70552757351586e-16,2.98679529155464e-16,2.41862197568576,1.00723209082064e-18,1.51084813623095e-18,2.10396899217091,1.1121459339348e-14,1.55328941503628e-14,-0.584523784591822,0.050727500670273,0.0668045235204973,0.293237221818051,0.334092106307388,0.835339765806191
"CM002236.1",90323,92593,".","*",3.46099541091455,1.19534732558353e-32,2.12682808727496e-32,3.23591216785497,6.2047044899632e-29,1.46676583172628e-28,3.1905595245775,2.2435694427463e-28,4.73485159999141e-28,-0.418777348482466,0.179841901894353,0.216004007840794,0.434067397342603,0.171305403265535,0.835339765806191
