"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2878,3878,".","-",0.603898790971451,0.0625307768258397,0.152802480098052,0.367609369360688,0.255438344937729,0.457745514128411,-3.36163113059154,6.71515308971328e-21,4.2976979774165e-20,-2.85231025915421,1.05592957066347e-15,1.75206091724901e-15,-1.44047034588913,8.3828673859093e-05,0.000220913211111022
"CM002236.1",2177,3177,".","+",0.616375633871274,0.0839614531684393,0.19126134416675,0.37886442990187,0.285984483926412,0.489791216620922,-3.86832405983533,4.15567479681086e-24,3.53495375121127e-23,-4.65963383492619,4.58018493743665e-32,2.79807661632493e-30,-1.48820719194196,0.000192978972551823,0.000485699885973128
"CM002236.1",14929,15929,".","+",0.88051139102815,0.010490443408669,0.0340559322252444,0.245539363184321,0.473031429952608,0.658695152583331,-4.03128440358333,8.68156425194445e-27,8.97540181124103e-26,-3.49614085730135,9.38474755403613e-21,3.13758724194641e-20,-0.973136841205276,0.0111133466086061,0.0172077624907449
"CM002236.1",16440,17440,".","+",1.03916103347022,0.00109991933524145,0.00434791643107209,-0.0821423513481211,0.797036233359233,0.865280046554773,-2.2747648652503,5.71830948782086e-11,1.6635082146388e-10,-1.81918387792226,1.28559856752301e-07,1.49986499544351e-07,-0.690181372252778,0.053625940113056,0.0691681991477421
"CM002236.1",33980,34980,".","+",1.27187114652496,7.59928053515894e-05,0.000347395681607266,-0.800889170304985,0.0128444652826225,0.0385333958478674,-2.57135352560646,9.67070123514656e-14,3.40246661257513e-13,-2.12101174019906,8.53664044898114e-10,1.07427385425381e-09,-0.201767934420569,0.571963291916852,0.613013288944377
"CM002236.1",42632,43632,".","-",-0.747752667405117,0.0223635077076329,0.0639899165091301,-0.726402302440336,0.0259506189667694,0.0711788405945675,-4.63550750587657,2.15628064209768e-37,8.52365053817435e-36,-3.26531778756773,4.32722890822202e-20,1.26911150425236e-19,-1.00029956545774,0.00605901418449995,0.0102302953064924
"CM002236.1",44551,45551,".","-",-0.448463382096162,0.166780823316703,0.324860038460361,-0.667088233072137,0.0392925860342973,0.10314303834003,-3.53499422362341,8.5218803437706e-24,7.07000443335043e-23,-3.07092690609066,3.62727589973208e-18,7.64115800821303e-18,-0.488027912273907,0.175990349474545,0.206757893088976
"CM002236.1",48154,49154,".","-",0.125007753910357,0.690971601322905,0.811005076979871,-0.569521550399072,0.0720000679517844,0.168000158554164,-2.03501926331048,2.41315403768825e-09,6.28542447025778e-09,-1.38853224077514,4.30907053360319e-05,4.64053749772651e-05,-0.17003834430734,0.628405265075553,0.666069933960208
"CM002236.1",58145,59145,".","+",0.321199722357299,0.315948558839665,0.507244874736276,0.110496066282785,0.729495211384796,0.837984242821509,-2.50400182273997,3.38503243143213e-13,1.14885949187999e-12,-1.91963405136947,3.12572100220306e-08,3.69803611528249e-08,0.000426112055732497,0.998984556192055,0.998984556192055
"CM002236.1",90323,91323,".","+",0.384638570215909,0.242955495135368,0.426282226451612,-0.0851503270591312,0.794974444490432,0.864438230902218,-3.56041975533513,1.91111707288669e-23,1.54731406383115e-22,-2.79991513392761,4.57343753051008e-15,7.30011881354579e-15,-0.759083701402567,0.0381127646985628,0.050491843399374
"CM002236.1",180222,181222,".","+",-1.20968407330288,0.000131850857630156,0.000579109649199115,-1.01161563317006,0.001360300711963,0.00481116883389018,-1.84524498962275,2.08839237115018e-08,5.14065814436968e-08,-1.20294879347361,0.000362669284463725,0.000381398684130866,-0.417760740384394,0.232361736017471,0.268755742863581
"CM002236.1",185051,186051,".","-",-1.29947079298072,6.6407646676877e-05,0.000305657113471653,-0.77215164865255,0.0170502200479718,0.0493868442768839,-2.18660493641083,6.76279490826781e-11,1.95047132118282e-10,-3.11230853647656,1.07655389361907e-18,2.46069461398644e-18,-0.313449493161143,0.384193494372124,0.428155934026646
"CM002236.1",185039,186039,".","+",-1.28519170431838,7.96938553054113e-05,0.000361853180846192,-0.744922386304268,0.0213588975933256,0.0600551430239112,-2.16635745900395,1.00497108366932e-10,2.83756541271339e-10,-3.10442788766442,1.33012006495024e-18,2.96957037756333e-18,-0.302794766177017,0.40051673326576,0.444137367581833
"CM002236.1",189595,190595,".","-",-2.11121203343049,1.41399372608674e-10,1.28405916747336e-09,-1.65351372454441,4.28812425785252e-07,2.52773640462885e-06,-3.1369409981625,6.15061125878792e-20,3.50272098805549e-19,-3.31462065339453,8.98940234682659e-21,3.02043918853373e-20,-0.977623424591614,0.00696374322901664,0.0114978757982781
"CM002236.1",189406,190406,".","+",-2.07505594101172,3.12311310427349e-10,2.69068205906639e-09,-1.58145154727554,1.37598389809476e-06,7.39728943615742e-06,-2.94381562706922,8.80832358869475e-18,4.25841255510998e-17,-3.36243958207137,3.26125524643208e-21,1.21753529200131e-20,-1.00834202971879,0.00547151709445254,0.00937974359049007
