"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7","logFC_ash1","PValue_ash1","FDR_ash1"
"CM002236.1",2578,3378,".","-",-2.07082476619367,5.04222882370169e-09,1.40972314195993e-07,-1.66404872817766,7.85743729162065e-08,1.22612567969243e-06,-1.36334439214248,7.81320293398481e-06,4.19671863544533e-05,-1.7935665459201,1.68119406333822e-08,2.05105675727262e-07,-3.03362605854191,8.92524290570384e-14,4.27774142123377e-12,-1.50179247543221,4.56821215801557e-06,3.52329926210166e-05
"CM002236.1",2677,3477,".","+",-1.89126688725859,3.88887533683979e-08,5.32537826738673e-07,-1.29047686245504,1.59381845072654e-05,7.42675125303824e-05,-1.21685274484695,4.66967191208964e-05,0.000173113251547632,-1.42256557528347,3.20322918638539e-06,1.83706562740564e-05,-2.56223015984614,2.71748202845351e-11,8.02554866498309e-10,-1.5616764005295,1.63936552750102e-06,1.71877229523935e-05
"CM002236.1",15429,16229,".","+",-0.858144156766534,0.00629442451028638,0.00812222855077338,-0.5566258178403,0.0576028205033247,0.0759361346910234,-0.485770045967027,0.0943246983153614,0.123616938612515,-1.06442728305536,0.000491352195234571,0.00138528286975797,-2.3713305664794,4.25425747149681e-10,9.01450304092541e-09,-1.1278332143176,0.000449837033896086,0.000887766616894923
"CM002236.1",16940,17740,".","+",-2.21459690117153,1.63499998063427e-11,2.19416997401119e-09,-2.12611624735289,8.08514252177909e-13,4.75749561389732e-10,-1.88028614976725,1.57734609258466e-10,1.17599914236034e-08,-2.19360832174137,6.38875953663912e-13,3.06204117791775e-11,-3.06607807781347,7.65644160420074e-17,1.02749446328374e-14,-1.69982833338015,2.62453743426884e-08,9.26876114944417e-07
"CM002236.1",34480,35280,".","+",-1.64382004149916,2.77143269904837e-07,1.70608379913895e-06,-2.06373872039696,2.3550300921382e-11,3.16045038364946e-09,-2.2267704771168,1.04660538348931e-12,1.75568053080332e-10,-2.23585000759059,1.84196171145135e-12,6.79419574307037e-11,-3.85557174208797,1.2418655295697e-19,4.24117213497272e-17,-1.3998338132373,6.84607080293341e-06,4.4576830790257e-05
"CM002236.1",42332,43132,".","-",0.888539581318458,0.00160968929062253,0.00227869517723147,-0.0903331070472003,0.749109584402138,0.786623679395672,-0.446419634615262,0.118583577962674,0.151272967325008,-1.02241372257862,0.000559979318027573,0.00155266992725827,0.731224742719047,0.0214296867183164,0.0267934667533609,-1.05935962202547,0.000877094502659728,0.00151901985781963
"CM002236.1",44251,45051,".","-",0.712257761398022,0.00984052047477056,0.0123629025953933,0.121222259054411,0.657959653578781,0.696357929891738,-0.0404143122009044,0.882781455397535,0.894783015969404,0.157760386102681,0.567353071471594,0.626141300916842,0.785122524513105,0.0114701731746494,0.0150321996097457,-1.32290488392163,2.41976087782974e-05,0.000106166384666041
"CM002236.1",47854,48654,".","-",-1.90599809131523,9.77302604713698e-10,4.46686061237058e-08,-1.74445353528745,5.61239966720482e-10,2.66986539781749e-08,-1.93839238457363,1.46328882876522e-11,1.63644467350244e-09,-2.55184712291024,9.00292462738638e-17,2.01365414165875e-14,-2.74900128704907,7.10137209105231e-15,4.7650206730961e-13,-1.45222642611715,8.52229959504593e-07,1.05876879300018e-05
"CM002236.1",58645,59445,".","+",0.502636215210793,0.0676085288796516,0.0770209216948153,0.270255115722237,0.314293386616128,0.355035121918219,0.288663159741714,0.281707091476874,0.33337823347616,0.388597088436642,0.150071146137298,0.196675271597904,0.847163590323499,0.00569986324329403,0.00778942614307596,-0.188382287091929,0.523985525663159,0.538429230811607
"CM002236.1",90823,91623,".","+",1.09422937330481,0.000100970014687169,0.0001801885102529,0.815393994892093,0.00341619535126786,0.00617861746819605,0.772450563374597,0.00528475304420728,0.00909248536580278,-0.0392010426958883,0.891153309432077,0.911530290592872,0.753823523671453,0.0188458521547482,0.0237252660334635,-1.46918568278192,6.42366581393231e-06,4.35381794055412e-05
"CM002236.1",180722,181522,".","+",0.7572176681295,0.00385787434300136,0.00508572433036132,0.40685339897425,0.114452073891253,0.141431568289191,0.230058082342467,0.370368951452621,0.42264169588329,-0.018764330004313,0.942859700690854,0.956986998272166,0.714326327655329,0.0144482837429197,0.0186438430605752,-1.16578078059685,8.1361780481457e-05,0.000250430067445219
"CM002236.1",184751,185551,".","-",0.732348498934998,0.00962381566502154,0.0121383088556945,0.180373038581461,0.520726587090647,0.563560548286813,0.269841477829177,0.332953096417605,0.384529307566631,-0.0284957417047982,0.920393835985387,0.937153663044302,0.852747885595419,0.0078019669362153,0.0104702396284009,-1.40103324087866,1.47791390586241e-05,7.34577948765688e-05
"CM002236.1",185539,186339,".","+",-0.539281079781538,0.0644502787657174,0.0739250206013614,-0.913519473345911,0.00119997196672408,0.00250835261580019,-0.606511173931928,0.0292951570077838,0.0426400224560151,-1.3575011596635,4.29319031778097e-06,2.25057086189924e-05,-0.79417911968604,0.0141898352911753,0.0183456252030417,-1.60153828809894,3.3063802848547e-07,5.28233612175596e-06
"CM002236.1",189295,190095,".","-",0.840103773978208,0.00263435280516197,0.00357824034871191,0.121541444965785,0.660848868208316,0.698314315854772,0.0879540452627661,0.750645237807126,0.776090839088724,-0.323953618930073,0.257248830440158,0.313273984075038,1.14375322194212,0.000273180032441387,0.000460562316000429,-1.18171339331027,0.000181137582492314,0.000450160436490158
"CM002236.1",189906,190706,".","+",0.707151313456759,0.0111503818561998,0.0138810876169018,-0.246570560468223,0.377753046819038,0.418962470108388,-0.266921650508322,0.339759825961589,0.391716225464306,-0.979898769445168,0.0008793586830452,0.00226942183201281,0.775139516656978,0.0132481005653971,0.0172276656577159,-1.2379499890866,8.03781722867702e-05,0.000249338366042141
"CM002236.1",193764,194564,".","-",-1.14964420557243,8.60186719972308e-05,0.000157271195940441,-1.75316288037132,6.50886262074886e-10,2.72965426157655e-08,-1.58533107804995,1.93136071870401e-08,4.18046142661417e-07,-1.77812333826733,1.17972412307098e-09,1.79907928768324e-08,-1.45230369848916,8.91455237410306e-06,2.41196154960611e-05,-1.18408010905763,5.38621184747714e-05,0.000190067493265265
"CM002236.1",195035,195835,".","-",0.313843450524956,0.259655657948114,0.281468411119846,-1.16831261673,4.49979324375548e-05,0.000165898970690106,-1.50593739276528,3.12269989845654e-07,3.61264074459369e-06,-1.54800568779163,2.63569011151246e-07,2.13078080099381e-06,0.021504218799232,0.945470283111004,0.951140269816317,-1.08705668699039,0.000390428528554233,0.000791472938549517
"CM002236.1",195990,196790,".","-",-0.0468886511901779,0.869408786924083,0.875935879919009,-1.56010397522222,1.22544689552352e-07,1.82727748199174e-06,-1.61359791620346,5.93424550364527e-08,1.04786282445947e-06,-1.80004637637575,6.20680476299173e-09,8.16620783523029e-08,-0.484389577640293,0.133254634379939,0.152064387192073,-1.22563604004974,8.06355073489486e-05,0.000249338366042141
"CM002236.1",197694,198494,".","+",-0.204726526382769,0.494953471891781,0.515704626769232,-0.863690196022513,0.00322646560976099,0.00591148947798992,-1.15675194187001,0.000114554486787686,0.000354221477578514,-1.63163120238334,1.80952169007055e-07,1.56864390567419e-06,-0.544362759056723,0.106975580306755,0.123546668478197,-1.07360642250914,0.000819689581794662,0.00144360028709768
