"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1201.1500",5.1163996655158,5.79222635091584,5.50709771548234,2.06443192078968,0.127615338493017,3.80283788896475
"CM002236.1.1501.1800",5.45438877535684,6.78231790095789,5.86238742129207,2.45708278950036,0.52586772840475,3.98748313233889
"CM002236.1.1801.2100",5.41699089105981,6.12810259257855,5.85640346657818,1.86853127089653,-0.037166531524401,4.19064012214558
"CM002236.1.2101.2400",4.5236507791603,5.21989954657906,4.87292210616642,0.815935539937587,0.150453893611095,3.15431941833303
"CM002236.1.2401.2700",4.65455132742192,4.98275942128387,5.0691793879877,0.0527706713901249,-0.596220976177237,3.14349347790241
"CM002236.1.3301.3600",1.31500181307196,2.17193618112325,1.20983039114623,-1.31257077476669,0.301880094037449,0.935294180183251
"CM002236.1.3601.3900",0.675835615956105,1.14528920563527,0.925047338723214,-1.39547808412448,-0.315147206251882,0.538593065042555
"CM002236.1.3901.4200",1.47356668990303,1.60721968325008,1.53771777609159,0.00524064887112375,-0.0158044330193737,0.860385064209163
"CM002236.1.4201.4500",1.45037850379593,1.70867036166653,1.78213878189614,-0.754813858001562,0.672182545067784,0.988050450036472
"CM002236.1.4501.4800",1.48136075076077,1.87735200439761,2.10546422797384,-1.27300088214638,-0.192674046589717,1.21306600413023
"CM002236.1.4801.5100",0.857921433345982,1.85842650539165,1.6870615346756,-0.982032657159931,-0.454481748074885,0.674431132008911
"CM002236.1.5101.5400",1.81726831655374,2.80275120285965,1.96055030864438,-1.18531079009295,-0.708129125308679,1.34656360083955
"CM002236.1.5401.5700",2.48657144677104,3.32862176683644,2.9342890847138,-1.18557491122132,0.204152002327069,1.78596547936289
"CM002236.1.5701.6000",3.37918539617039,3.22537760249153,3.05373629186898,-0.758972947292814,-0.451009992394601,2.53093702776455
"CM002236.1.6001.6300",3.5405287171103,4.22083598287038,4.17429745617582,-0.448188530275626,0.229686695825597,2.81651916011058
"CM002236.1.16201.16500",1.65578150758983,3.13269483663717,1.94255178056633,-0.888357098025745,-0.898319305559193,0.794733336324285
"CM002236.1.17701.18000",2.31718455881657,2.7712703051702,1.69695628138249,-1.13341403264339,-0.0612353192381247,2.83812445506454
