"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1501,1800,".","*",-1.3143894423076,6.55683959189048e-05,7.18673378526001e-05,-0.6266484510069,0.0644606486966606,0.0659071709675534,-0.335629025211047,0.259051196880731,0.264246719952499,2.38598819179634,9.32979803261498e-16,3.00062769078367e-14,3.05794817369086,1.63704613557209e-17,2.0458399419978e-15
"CM002236.1",1801,2100,".","*",-1.25138882892718,0.000507455293578094,0.0005344592954757,-1.26149334258732,0.00079352801924257,0.000848213967782747,-0.861918027181092,0.00985221750767561,0.010404055861558,1.98326128018587,1.3093467963438e-10,5.41824303425525e-10,1.97260892720342,3.0148660240438e-08,1.57739521401526e-07
"CM002236.1",3301,3600,".","*",1.79200738064652,1.2778223644801e-09,4.12182523763715e-09,1.78108564194902,1.18261368789421e-08,2.54406271230867e-08,1.59003113425461,6.83362768658496e-08,1.87048107015786e-07,0.478516054519338,0.102177304359799,0.106817287110364,2.29163122587632,5.62154707619408e-11,7.54252972738433e-10
"CM002236.1",3601,3900,".","*",2.25155848383577,3.46011812210193e-14,9.4976295430062e-13,1.59752250000108,8.33299654570223e-08,1.41109279484714e-07,2.08068258282069,2.3992512399145e-12,5.06972218521064e-11,1.19140682198277,5.30469455448318e-05,6.36214257781997e-05,2.40763282107027,2.31359897776255e-12,4.62085932818876e-11
"CM002236.1",3901,4200,".","*",3.15149988625204,4.62458102431676e-24,9.59759746659829e-21,2.67214501354134,1.56140727448699e-17,3.41479770930305e-15,3.08326748906532,4.75257407051916e-23,4.15755179689016e-20,2.89105931501126,4.3093324736764e-20,8.19522619124372e-18,3.46307124411722,3.78196030834077e-21,2.36318491266893e-18
"CM002236.1",4201,4500,".","*",2.81526887255114,2.42689608024048e-19,7.58231675355133e-17,2.446910393181,7.47774805605332e-15,3.23838316803735e-13,2.54116730993456,1.69576595658982e-16,2.11922294117825e-14,3.28484887197369,7.16309559095007e-24,7.8328450287039e-21,3.91284391739282,3.24529020891409e-23,9.52267541604373e-20
"CM002236.1",4501,4800,".","*",1.38953734203006,1.06379870227024e-06,1.40873615613988e-06,0.657869248185473,0.0248838132185334,0.0256399997686372,0.826294256485834,0.00367549843012325,0.00393938498734602,1.75941966173575,6.32449249984389e-10,2.02301979962583e-09,1.07199550679525,0.000691673067496047,0.000906344516844731
"CM002236.1",15901,16200,".","*",-1.97169414354837,2.50518650858991e-07,3.77590826622063e-07,-1.24953287579119,0.000573893479415889,0.000616607732489585,-0.866541288637271,0.00969276085745745,0.0102381395775221,1.0518983978178,0.000647255228593572,0.000736305427794092,-0.385804398110872,0.279725757231741,0.287400600658487
"CM002236.1",17701,18000,".","*",-1.71491161820143,1.40651377269651e-06,1.82500481808797e-06,-2.49124547955478,5.55001814861811e-10,1.97364060016712e-09,0.311934709980678,0.298308836298627,0.303725058186731,1.49005424938248,4.59074962092382e-07,6.80675892946467e-07,1.18810050298716,0.000303311287317491,0.000428238725218434
"CM002236.1",18001,18300,".","*",-1.37108732594794,4.79890541356412e-05,5.29392491271865e-05,-2.02077976432771,1.67664170424055e-07,2.62477838738303e-07,0.485549581676554,0.104776396394349,0.1079095733056,1.56469080466875,1.52418528368414e-07,2.46006879366584e-07,1.5647062117131,3.54505015523826e-06,8.54327789477253e-06
