"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.790619657918526,0.0335592122961724,0.0951552348650964,0.146757956002288,0.693235506200631,0.864988361831541,-3.46909679642216,1.60020941774831e-16,9.27017869592123e-16,-2.19916988003948,2.84912264393081e-08,3.37673794836244e-08
"CM002236.1",2177,3177,".","+",0.519812917873078,0.200365592025153,0.392552996620707,0.0312733260909219,0.938455355661048,0.979257762428919,-4.47337935497877,4.26151168497914e-23,6.50849057342269e-22,-4.22474650905206,1.46174705092842e-21,1.3835127017238e-20
"CM002236.1",14929,15929,".","+",0.785166097826439,0.0445766172287149,0.12177027145405,0.0650427594236941,0.867399839202476,0.946254370039065,-3.77205575877162,1.83669187982686e-18,1.32715800348779e-17,-3.49423066560158,1.15223718900431e-16,2.65172394181814e-16
"CM002236.1",16440,17440,".","+",1.16679103643053,0.00130961631413851,0.00567782040710374,0.0335999929734396,0.926516573424116,0.975892064797815,-2.25569242395788,1.50004617818045e-08,4.08109729448284e-08,-2.1313021523689,3.57502658906824e-08,4.22217551468165e-08
"CM002236.1",33980,34980,".","+",1.07498136852304,0.00331102188406497,0.0132440875362599,-0.832796578895927,0.0237366951286613,0.0763208570644038,-2.9387724985593,4.88571024011256e-13,1.94272028482582e-12,-2.50586469924263,1.45362099868704e-10,1.91912241869881e-10
"CM002236.1",42632,43632,".","-",-0.660525910212656,0.0763044625532889,0.187826369361942,-0.503893335463685,0.175046909689277,0.394736655406693,-3.80859866948837,5.56645379759318e-21,5.7730063927836e-20,-3.70309398787257,5.99498254769722e-20,3.27530753825409e-19
"CM002236.1",44551,45551,".","-",-0.515390083637075,0.163158903422199,0.337420216522748,-0.515052399430102,0.162570521316911,0.371589763010083,-3.73023211756238,5.71606645590907e-20,5.05420612943539e-19,-3.02509517850337,2.81611366388423e-14,4.75484518123166e-14
"CM002236.1",48154,49154,".","-",0.316874482933362,0.37435796462642,0.590536507579705,-0.344100074277921,0.33876100071715,0.612248712124477,-2.18291152696959,1.745822066734e-08,4.69276971538098e-08,-1.4533134842592,0.000116786383538126,0.000122817605223193
"CM002236.1",58145,59145,".","+",0.0968646537979119,0.789869894523647,0.89483226094095,-0.171511139104727,0.636984720831007,0.839321043918503,-2.78561206925118,2.05782697932224e-12,7.99340884453494e-12,-2.03968204738731,1.40289238348045e-07,1.63104443200495e-07
"CM002236.1",90323,91323,".","+",0.108124692795374,0.772450182918511,0.882800209049727,-0.358949000852704,0.33592577532907,0.612248712124477,-3.68141829896626,4.07012627488863e-19,3.2561010199109e-18,-2.85857591145187,1.03675747936159e-12,1.5621099240605e-12
"CM002236.1",180222,181222,".","+",-1.24734813273745,0.000528419471788162,0.00244895093132169,-1.44549578698281,6.57992088498532e-05,0.000325125502552216,-1.90250918054226,4.46126105350252e-07,1.06310901700486e-06,-1.60671643857044,2.10407127397297e-05,2.26592291043243e-05
"CM002236.1",185051,186051,".","-",-1.57037770475666,2.41254243392972e-05,0.000146056623027096,-1.01643152032718,0.00591003347991734,0.0210134523730394,-2.48024028236438,1.43867465850998e-10,4.67048005081502e-10,-3.26135498332588,2.47735027191008e-16,5.40512786598563e-16
"CM002236.1",185039,186039,".","+",-1.55642648247992,2.84036610933471e-05,0.000167432107497625,-0.979076472126524,0.00799943866457978,0.0282927514873558,-2.45893879557127,2.05670085178849e-10,6.51935364340503e-10,-3.27889921972234,1.81200112194195e-16,4.0320024965066e-16
"CM002236.1",189595,190595,".","-",-2.23140941649109,2.77377421858699e-09,2.86765580752378e-08,-1.80528459715966,1.31791773840685e-06,8.59845359426604e-06,-3.58727916033065,1.64698322139365e-19,1.36638607997103e-18,-3.45869272024121,4.60904376025393e-18,1.36145954518542e-17
"CM002236.1",189406,190406,".","+",-2.2425762210053,2.45820923480028e-09,2.5811196965403e-08,-1.84614547061867,7.95893636200981e-07,5.68979280347935e-06,-3.41729776954193,4.93701476473711e-18,3.31767392190334e-17,-3.52022453510756,1.43532365705852e-18,4.94634614124783e-18
"CM002236.1",194064,195064,".","-",-1.51020334040031,2.05924138871645e-05,0.000128130575297912,-1.35303396755103,0.000144064221958394,0.000663090117507127,-2.33778545242117,4.51984747247501e-10,1.38691210114302e-09,-2.15142816033211,8.16157357076029e-09,9.81140865751505e-09
"CM002236.1",195335,196335,".","-",-2.46661955972132,4.03820364141612e-11,4.93395063096661e-10,-2.31562779767119,5.86384835724764e-10,5.71087840010205e-09,-3.86743796793047,2.4933843499386e-22,3.1614231757712e-21,-3.60646577439544,1.28656584217644e-19,6.13171805633027e-19
"CM002236.1",196290,197290,".","-",-2.03937564687109,2.8955503502215e-08,2.52702576019331e-07,-1.98652300963515,6.61692497044485e-08,5.42265070748652e-07,-3.63121080225165,3.76472261519683e-20,3.4187751316382e-19,-3.34922281100848,1.05798758676352e-17,2.8901124321345e-17
"CM002236.1",197194,198194,".","+",-1.56752066933977,2.80413484814893e-05,0.000166759169730627,-1.44362415969809,0.000109644479022898,0.000522560921300619,-4.04093523494857,1.94000842840225e-23,3.19280321730618e-22,-3.54975328776139,8.93200971795401e-19,3.24449217862978e-18
"CM002236.1",209343,210343,".","-",-1.2829094435667,0.000538485756133169,0.00247850978165404,-1.24770809028635,0.0007709335072596,0.00317832709741381,-3.58918730267008,4.04720419113077e-19,3.2561010199109e-18,-3.56393093211531,5.56616446227483e-19,2.13740715351354e-18
"CM002236.1",209486,210486,".","+",-1.36741484830788,0.000229351387669918,0.00113326568025136,-1.28724529608728,0.000529248520124728,0.00226531850652113,-3.63857249033591,1.39674191539453e-19,1.18811464195585e-18,-3.65066937307204,8.9134273398134e-20,4.53774482754136e-19
"CM002236.1",213619,214619,".","+",-1.57877212683588,2.97358931541422e-05,0.000172263105168824,-1.18985198058455,0.00156846808697761,0.00612796833981949,-2.10993927774263,4.61214674402344e-08,1.2013033379782e-07,-4.03443702538186,1.03349077561547e-22,1.8116757521285e-21
"CM002236.1",216521,217521,".","-",-1.25628688662067,0.00153261329778905,0.00660202651355282,-0.933527632910095,0.017930257067423,0.0580916412718892,-1.25726497101118,0.00160021685261205,0.00288296441006782,-4.04489738964295,6.27305001595099e-21,4.48456341565858e-20
"CM002236.1",220979,221979,".","-",-0.989947300632185,0.00953410742663145,0.0331964776720017,-0.798372535118686,0.035667075602153,0.108946703657486,-0.406915767661971,0.287469584926271,0.348699568719231,-3.18759626863633,7.72949316889352e-15,1.3597433009153e-14
"CM002236.1",223661,224661,".","+",-1.07949841723677,0.00347738670359364,0.0137459050871466,-0.45967612710656,0.211641549664909,0.454386969248621,0.201200990829663,0.586373235505275,0.633521534549553,-2.60574550590588,3.67505501479085e-11,5.08155755131574e-11
"CM002236.1",246248,247248,".","-",-1.95380925429244,2.00788421314907e-07,1.60630737051926e-06,-1.6286429141328,1.36960716550993e-05,7.6698001268556e-05,-0.246685617782968,0.508136535959934,0.568165976980159,-3.44540349507324,1.0208373729905e-17,2.81148653544925e-17
"CM002236.1",247478,248478,".","-",-1.96834294803536,2.64226281040415e-07,2.04092023976045e-06,-1.79287209959507,2.43802118264316e-06,1.54561342899642e-05,-0.307442611657799,0.415982956553756,0.476218989444845,-3.594445989675,1.57232166114432e-18,5.36345256999482e-18
"CM002236.1",251944,252944,".","-",-0.786592445573974,0.028018977843308,0.0825822504855393,-0.762804883550171,0.0336386006029622,0.104171150254335,0.167337423909505,0.642747837268625,0.689978509016798,-1.45438963240878,0.000113909787633485,0.000119980215187621
"CM002236.1",255694,256694,".","-",-0.879935276135001,0.021834334095007,0.0669985046202955,-0.753267562136242,0.0491021994469166,0.14257878066577,0.384459025124122,0.316223001847257,0.376776342626519,-3.53693558038071,1.90388552591332e-17,4.9589576488905e-17
"CM002236.1",255165,256165,".","+",-0.91576948428421,0.013619660132156,0.0455343861134768,-0.719183497587235,0.0524141784725061,0.150522768946684,0.301580841493719,0.417816150892959,0.477504172449096,-2.86615259879488,6.61622591698125e-13,1.01277991257663e-12
"CM002236.1",256492,257492,".","+",-0.834765263641329,0.0371324451463708,0.104405870871804,-0.821757294685224,0.0396535567228463,0.117907920875012,0.254327950535757,0.524695612070803,0.577079298382291,-3.91692283997071,2.6378726326454e-19,1.08751558842804e-18
"CM002236.1",263387,264387,".","-",-0.90556551868821,0.0238171766938994,0.0727506488104564,-0.517882038996161,0.195262296543997,0.43305697451342,-0.474582980594002,0.237423271397624,0.297664996976126,-4.04752535756446,1.6884196137511e-20,1.0805885528007e-19
"CM002236.1",265388,266388,".","-",0.175109381082408,0.638502098043341,0.799019385260941,-0.335331020684954,0.368594310854942,0.641697867602387,-0.120637781913812,0.748201547892726,0.788074357655035,-2.66324272724358,2.59567171562193e-11,3.61886181099156e-11
"CM002236.1",290632,291632,".","+",-0.319896449011651,0.436353377243614,0.64966544602167,-0.189406528459602,0.643790792921509,0.840053228821852,-0.495750209610564,0.228811498506972,0.288482789862449,-4.40551839625129,1.46119324745517e-22,2.33790919592827e-21
"CM002236.1",292166,293166,".","+",-0.568756048141306,0.167233624693816,0.342624987177574,-0.350408570103166,0.392843957200098,0.664965086242988,-0.124090706543512,0.763519959060618,0.799654572483916,-4.40893251986416,1.66465316844451e-22,2.55541839787937e-21
"CM002236.1",297770,298770,".","-",-0.667499263545336,0.103078834173351,0.244766701641315,-0.496011071871941,0.224091783632042,0.470668506495902,-0.166216065512159,0.684809606185215,0.727001667229802,-4.06556088259757,7.19721362884486e-20,3.73866082658608e-19
"CM002236.1",301352,302352,".","+",-0.692675931856435,0.0855398379805257,0.206666519558772,-0.518337941757731,0.196267646037455,0.433854796503847,0.052282332479346,0.896693920891186,0.912997446725571,-3.53586032753185,5.55355669022668e-16,1.13090608964616e-15
"CM002236.1",8867649,8868649,".","-",-2.52647326757532,3.48261107939563e-11,4.50060508721897e-10,-2.59216282036641,1.94557845825025e-11,2.3346941499003e-10,-0.869360000331594,0.0214740589903381,0.032648343080333,-1.13685077642834,0.00285468900398046,0.00288908284740191
"CM002236.1",9651509,9652509,".","-",0.532440894148712,0.503686555111759,0.706633329927145,0.34424165469323,0.664060193969823,0.856522937327679,-2.57401188572539,0.00547026249788896,0.00905422758271275,-1.750710856232,0.0438068807258941,0.0438721666882278
"CM002236.1",9688732,9689732,".","-",0.497127864689738,0.191401467581887,0.380537829038545,0.244617447523518,0.518879035692143,0.768070241851661,-3.95664696055803,9.0744961268418e-19,6.92961522413374e-18,-2.37445548768888,6.29806233776682e-09,7.61204656650954e-09
"CM002236.1",9690543,9691543,".","-",-0.0710500567482564,0.91533689195991,0.967148414146319,-0.337084087105601,0.614271277728141,0.827115183166692,-3.56853963036346,1.6046589743762e-05,3.40167454504987e-05,-2.83089634262055,0.000279019022032327,0.000289353059885376
"CM002236.1",9688977,9689977,".","+",0.409908325512196,0.398171642374515,0.610893478711585,0.176961233156647,0.713924887678599,0.876392023377548,-3.71131260818774,1.57966406486519e-09,4.575578670644e-09,-2.65903530665924,1.8292042435336e-06,2.03177727546212e-06
"CM002236.1",9693340,9694340,".","-",0.557080204384758,0.155213652332392,0.326970452562281,0.408951228334028,0.295775230469084,0.567888442500641,-2.72650036916038,1.47765932203611e-09,4.29864530046868e-09,-1.65009907598479,9.25317098663633e-05,9.76158697491305e-05
"CM002236.1",9693631,9694631,".","+",0.674844008299411,0.0580208414830946,0.151124052235037,0.359166152624696,0.313146410965604,0.592772924419397,-2.55916578208981,9.2631074414832e-11,3.05137656895917e-10,-1.39551104642731,0.000219907458043833,0.000228758222609064
"CM002236.1",9758596,9759596,".","+",1.03380086079724,0.303224567037543,0.523822388301359,0.586807778139144,0.554812548157488,0.788232626557784,-2.91530692705567,0.00880749500491568,0.0142274919310176,-2.64551702567712,0.0156216367349558,0.0157387404586062
"CM002236.1",9772169,9773169,".","-",0.805701864889983,0.257409300646695,0.467510946039403,0.143921643469303,0.837893165696027,0.926858261315474,-4.09634454506401,5.70145987267998e-06,1.24800685160943e-05,-3.28201491991704,8.21313673662681e-05,8.67803126888871e-05
"CM002237.1",11029,12029,".","-",-0.13759773738236,0.737199014241239,0.864029659185547,-0.116758694527172,0.775444390489854,0.911011591624444,-5.1667012057253,1.72684666255434e-29,1.2893788413739e-27,-4.96826691245211,1.12480121276962e-27,3.77933207490592e-25
"CM002237.1",10641,11641,".","+",-0.21233824680346,0.604619178384815,0.7725804185792,-0.128373744456974,0.753785754828803,0.905220660169684,-5.14708309638956,2.07478240549608e-29,1.39425377649337e-27,-5.11620326713977,4.25306699878027e-29,2.85806102318034e-26
"CM002237.1",13311,14311,".","-",1.12751195801848,0.0140951975882409,0.0467693234168417,0.860880633497624,0.0588388927882685,0.164748899807152,-3.01651729629218,4.08322393480328e-09,1.14868569323659e-08,-2.56999738637967,3.17228313909099e-07,3.61931115359787e-07
"CM002237.1",18173,19173,".","-",0.347534443221863,0.358229587498406,0.571805897384628,-0.17847385306823,0.636943206193621,0.839321043918503,-4.62202610565299,1.63955660515835e-26,5.79885283508639e-25,-3.60076107821318,1.71356494219876e-18,5.78651075958576e-18
"CM002237.1",18041,19041,".","+",0.330291067406994,0.379513406488964,0.595871516730337,-0.182918626816467,0.626411068242977,0.834126844645178,-4.64501088921662,6.64672113923377e-27,2.97773107037673e-25,-3.55519942632533,2.64980165275287e-18,8.39937127665062e-18
"CM002237.1",35627,36627,".","-",0.394518115634726,0.299308873413421,0.519730136779893,0.189479933752442,0.616522122690649,0.827115183166692,-3.42244476948046,1.81813349416989e-16,1.04426128895911e-15,-3.19013978491202,6.92329522167784e-15,1.22433010235987e-14
"CM002237.1",38253,39253,".","-",0.933912935334505,0.00939530663380531,0.0330557385231265,0.362311672457622,0.315502023616301,0.593886162101273,-1.59838033221908,3.87388705528835e-05,7.98543589310973e-05,-1.37901128651166,0.00030295286167531,0.000312725534632578
"CM002237.1",41401,42401,".","-",0.594445967601353,0.107007198862629,0.250553441239326,0.267314029842481,0.468628738308831,0.734075785882365,-2.54419380630643,2.4611355845423e-10,7.76470944982359e-10,-1.69469195092131,1.58177508236414e-05,1.71167931618148e-05
"CM002237.1",50942,51942,".","+",0.120448840478066,0.743418646089425,0.864997865004774,0.092958777061449,0.800459567999146,0.911709880839705,-3.08290399773972,1.95026569968388e-14,9.03847275991424e-14,-2.36257153866248,2.04294756821035e-09,2.55178581010661e-09
"CM002237.1",55203,56203,".","+",-0.00290173890005351,0.993654762988052,0.99726056350922,0.187927802059663,0.616643908878739,0.827115183166692,-3.35918118497462,3.54524191981585e-16,1.96892774389773e-15,-2.65219894420541,5.11361702504361e-11,6.99867747623077e-11
"CM002237.1",69444,70444,".","+",-0.0873293869316274,0.808565259744286,0.902584475993621,0.272480018788837,0.448312925618348,0.724905959713673,-3.08125317286748,2.18683427321861e-14,1.00654289835815e-13,-1.594977869374,3.24331736964155e-05,3.47055616624064e-05
"CM002237.1",74342,75342,".","-",0.299140734975163,0.419114580792443,0.632910108522521,0.109997678725765,0.765851309177629,0.905220660169684,-3.83600579863781,3.36763813912731e-20,3.10007236916925e-19,-3.04897875702086,2.84914012628207e-14,4.79855179163295e-14
"CM002237.1",75400,76400,".","-",0.233416536215362,0.523201014961247,0.723438440440243,0.348686972052644,0.339834478604807,0.612248712124477,-3.3922811288517,9.00092109856368e-17,5.498744525668e-16,-1.97325566927064,4.35861281048377e-07,4.94761454163022e-07
"CM002237.1",75424,76424,".","+",0.214489514359848,0.55757675062705,0.745248312647796,0.334758005505973,0.359492565676085,0.632405769985155,-3.37807426813803,1.13025669180943e-16,6.7815401508566e-16,-1.92914877769683,7.81143232184579e-07,8.79276804067064e-07
"CM002237.1",106019,107019,".","+",0.0128724013725318,0.973112670686027,0.99616806636513,0.234470065180549,0.537654854377377,0.776997983100209,-3.50953017349813,3.87757436783941e-17,2.45823582564914e-16,-2.65310080660629,7.94796652648625e-11,1.06607455205564e-10
"CM002237.1",148334,149334,".","-",-0.34425067974681,0.34419122315249,0.554667870404013,-0.345737708472519,0.341389074178236,0.612947942140994,-3.22226001453892,8.62624309600515e-16,4.56443729174446e-15,-2.39458749060129,8.00994592818725e-10,1.02527307880797e-09
"CM002237.1",561860,562860,".","+",-1.4276481776965,0.000130539815995955,0.000669639361444898,-1.80630675150391,1.92359945206934e-06,1.24294118441403e-05,2.04018189791992,3.39937587848423e-08,8.99362437142285e-08,-1.54634661688003,7.12193052007132e-05,7.56072244784823e-05
"CM002237.1",563402,564402,".","+",-1.5170943055407,6.48191205320174e-05,0.000351802699079191,-2.08190351204976,6.86689248574241e-08,5.55970090411915e-07,1.82591280369403,1.26292288916679e-06,2.90645267643864e-06,-2.2568839326763,1.83435285794654e-08,2.18174357617713e-08
"CM002237.1",567505,568505,".","-",-1.57137965140195,4.00336716006398e-05,0.00022798836708161,-1.90200685365107,8.78331659976632e-07,6.08001789162411e-06,1.90772692161648,5.12741767109788e-07,1.2175352208402e-06,-2.35437254199491,5.87117159257703e-09,7.15104387891545e-09
"CM002237.1",570312,571312,".","-",-1.32858526023852,0.000492498512993921,0.00233069718825292,-1.7323716383604,6.99377832552711e-06,4.05156813340881e-05,1.95524889129088,2.67238955933209e-07,6.50668762272161e-07,-1.92780228781344,1.67189334316158e-06,1.86011974603407e-06
"CM002237.1",584152,585152,".","+",-1.03282474470258,0.00597628917402287,0.0221882117400186,-1.23869407915421,0.00124248185507454,0.00494051956574019,2.47558372656538,3.99486165294184e-11,1.39820157852964e-10,-0.942725697159378,0.0160949967622389,0.0161913739883601
"CM002237.1",1678593,1679593,".","-",-2.59548264936788,6.58728112140905e-12,9.41841045444017e-11,-1.42141523101479,0.000125492250344434,0.000585630501607359,-0.15252396755384,0.680284362257288,0.724486674226462,-2.87533843542794,3.68209837835876e-13,5.71448062415032e-13
"CM002237.1",1679516,1680516,".","+",-2.80294702413546,1.98513200807399e-13,3.42053515237364e-12,-1.56775504610455,2.61076539202693e-05,0.000139240820908103,0.320632525725495,0.385902884756562,0.447887285935077,-2.49880218224778,2.17497456003945e-10,2.86024051731215e-10
"CM002237.1",1684546,1685546,".","-",-3.02710847492088,6.20762461063661e-16,1.54500879198067e-14,-2.54171252763683,1.18614354778333e-11,1.44925175292799e-10,-0.268902385857476,0.455892967142799,0.515461525173799,-2.35723423643762,6.67701609556813e-10,8.57926351094031e-10
"CM002237.1",1684913,1685913,".","+",-3.02201382586427,9.51680151966847e-16,2.17793550333673e-14,-2.67498835862981,1.52232300956067e-12,2.13125221338494e-11,-0.308990566970386,0.394377246762492,0.456933637628266,-2.23803354453237,5.59222209090815e-09,6.84512430799686e-09
"CM002237.1",4046143,4047143,".","-",0.156467944064065,0.66855803619301,0.822414214548813,-0.734949275270153,0.0462816881375245,0.135813512787845,0.577263097864957,0.118581094714277,0.159054881532922,-1.68853431867785,1.41258412170288e-05,1.53353235829456e-05
"CM002237.1",4165274,4166274,".","-",0.234810480908733,0.529773836321413,0.731022624246384,0.273668805798695,0.463814702117791,0.730714602994197,1.8555647578379,8.42365874468668e-07,1.95196506083774e-06,-1.33881341696522,0.000756218534008536,0.000774662888496549
"CM002237.1",4297462,4298462,".","+",-1.21508167051875,0.000657206602556925,0.00300437304026023,-1.15390595844213,0.00131094216397497,0.00518207725994812,-2.0314219268643,1.07474851586976e-07,2.71515414535519e-07,-1.27606600729906,0.000664288378003282,0.000683616830043194
"CM002237.1",4448862,4449862,".","-",-0.246698683426082,0.518669501541663,0.721627132579705,-0.216465748500881,0.570368304928482,0.796855511251434,-4.26356063847119,1.01571669967347e-23,1.89600450605715e-22,-3.36030408661519,4.25227994528923e-16,8.87432336408188e-16
"CM002237.1",4452364,4453364,".","-",-0.060248572594252,0.873305854056997,0.940483227445997,0.145205050934908,0.700495584704101,0.865318075222713,-4.33482545960035,3.47721328063046e-24,7.08087068055658e-23,-2.99844741622444,1.75531045508542e-13,2.78200147598444e-13
"CM002237.1",4465317,4466317,".","+",-0.182834401804132,0.627183084576818,0.790744902130622,-0.0782832812849469,0.834972027232721,0.926858261315474,-3.9951431852265,6.90173603153908e-22,7.99649416067976e-21,-3.25978026501287,8.65242844960675e-16,1.68047165264039e-15
"CM002237.1",4467612,4468612,".","+",0.124507035288124,0.74007204770369,0.864918984446748,-0.0948485985178539,0.800358595327563,0.911709880839705,-3.94358159237525,9.80322174028324e-21,9.54748552097151e-20,-2.65015985165413,3.98784838652031e-11,5.50273945737505e-11
"CM002238.1",8256,9256,".","+",1.36820788359252,0.0353786259776553,0.0998925909957327,1.40905603774488,0.0295144121286029,0.0922496974438193,-2.64355726275163,0.000284026414577705,0.000546893268184004,-2.32510720088249,0.00104799147285993,0.00106543157301343
"CM002238.1",11870,12870,".","+",0.482223789332753,0.223189954087869,0.424796438400124,0.205641340815871,0.6025183812707,0.81905242497988,-4.4425071916687,9.50545172857694e-24,1.82504673188677e-22,-3.56808010795057,7.66867021694441e-17,1.80186936565966e-16
"CM002238.1",28170,29170,".","+",-0.257294138569687,0.481003227900038,0.686272121335086,-0.429413209600335,0.23976832966179,0.494246372799764,-3.1291764910078,3.98865524291529e-15,2.00028083823812e-14,-2.4276991640086,4.55030518144568e-10,5.89172462799903e-10
"CM002238.1",30599,31599,".","+",-0.0450395107305844,0.902292929213582,0.959400076632163,-0.0355774374605059,0.922847757741306,0.974957999234269,-3.65720902690669,4.16877522415599e-19,3.29578464780333e-18,-2.75100246128347,2.58858715159514e-12,3.82314410081743e-12
"CM002238.1",161404,162404,".","-",-0.163557233465036,0.656877514408479,0.815107115989056,-0.246641538205257,0.502715880795646,0.762584812403328,-2.93517693416039,2.02578517952997e-13,8.40325704101322e-13,-2.59595548510772,4.98767797183486e-11,6.84024407565923e-11
"CM002238.1",162882,163882,".","+",-0.28870990082575,0.431092049274613,0.648084691526934,-0.309673416089331,0.39835285051728,0.670910064029104,-3.24143871731658,6.297675630998e-16,3.38563041922453e-15,-2.25008278627058,9.60591722972567e-09,1.15271006756708e-08
"CM002238.1",167007,168007,".","-",0.133097537940825,0.718786505800122,0.851844792329687,0.173477838836402,0.638523053606087,0.83970154994773,-2.10525089177489,7.27350341205407e-08,1.85143723215922e-07,-2.29491335343019,6.03092936839058e-09,7.32872429576577e-09
"CM002238.1",200169,201169,".","-",-0.33358691182104,0.354020748188662,0.566433197101859,-0.409502647744863,0.256058573081672,0.512001970770538,-2.68549034795415,4.3985960083607e-12,1.66997543368271e-11,-2.46740867831053,1.50191784328865e-10,1.97899762880387e-10
"CM002238.1",218438,219438,".","+",0.0363675747125032,0.926263574908661,0.972576753654094,0.0316310302217871,0.935679870209421,0.979045701692763,-1.67810180835636,2.95607034354633e-05,6.15009062186729e-05,-3.42033641621443,8.64192816837207e-16,1.68047165264039e-15
"CM002238.1",221618,222618,".","-",-0.239347704793185,0.518503071763256,0.721627132579705,-0.316492238575135,0.391907770112666,0.664965086242988,-2.72607836055391,2.84179430122099e-12,1.09124901166886e-11,-2.94944991472899,1.45744297100404e-13,2.32636977794469e-13
"CM002238.1",223109,224109,".","+",0.0878192732504853,0.811001511997064,0.902879923471105,0.06535004332665,0.858745261353207,0.941397741646583,-2.46645768354255,2.71892063738686e-10,8.53791901085969e-10,-2.56641562083906,6.05241282334867e-11,8.20004318002078e-11
"CM002238.1",223365,224365,".","+",0.308625229056267,0.401993901972646,0.615352852222365,0.148235914398434,0.687366425959672,0.863383622887663,-2.2303094602435,9.82051218061607e-09,2.68267649811951e-08,-2.58049782682766,5.26067804566312e-11,7.1707416768471e-11
"CM002238.1",224708,225708,".","+",-0.347366942627336,0.383352670140398,0.598600750952964,-0.29392047226421,0.460048632094505,0.729133681055442,-2.60417471531516,2.7672564514043e-10,8.64928528066831e-10,-4.55844011903638,2.67356668089101e-25,2.31690107463873e-23
