"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",0.647045488554242,0.0474467941896369,0.119416650544704,0.307563984786449,0.34316695735789,0.600542175376308,-3.67555166181623,7.26246887056499e-22,6.7193944446211e-21,-3.98841671099032,5.1579450701206e-24,1.05034517791547e-22
"CM002236.1",2177,6443,".","+",0.518109013491221,0.124081315676656,0.258150601036262,0.223254447872127,0.506071949346713,0.734514794732162,-4.06575495112452,1.38552323623826e-23,1.98100343564279e-22,-3.24068125757543,7.0483937565215e-17,1.28709799032132e-16
"CM002236.1",14929,16647,".","+",0.891229405771134,0.0103390095191354,0.0338917775456537,0.134999961636087,0.694669575619595,0.862879768606965,-3.4807598597166,1.29087171344357e-17,6.62187627048918e-17,-3.24942641673197,3.78906409166204e-16,6.19438355433454e-16
"CM002236.1",16440,19615,".","+",0.426693067360723,0.210675978330365,0.381601772070095,-0.421012232491853,0.217642120856773,0.451405880295529,-3.0404064405454,6.29637699410113e-15,2.54889478315419e-14,-2.50226795399834,4.03825188025205e-11,4.9161327237851e-11
"CM002236.1",33980,39245,".","+",-0.0357593012573616,0.916449753269648,0.96097973092084,-0.555870951068709,0.104233286092407,0.267346443717929,-3.79991278375439,2.82289814611484e-21,2.32529457279795e-20,-3.38879996544767,1.13320251393675e-17,2.25967979040206e-17
"CM002236.1",40949,43632,".","-",-1.04295979362682,0.00305705255635271,0.0114193239606043,-0.958068976039973,0.00633022955679193,0.0219273931039391,-4.30890486814853,3.95846289586106e-24,7.00022912110167e-23,-3.98449389079476,1.5677734721747e-21,9.4066408330482e-21
"CM002236.1",43708,45551,".","-",-0.552838921219607,0.0956346361291538,0.211402879864445,-0.446327872603849,0.177063177149257,0.385069433800326,-3.85461048092449,7.39933316818395e-22,6.7193944446211e-21,-3.26381989847076,2.6140194880215e-17,5.033298269199e-17
"CM002236.1",45331,49154,".","-",-0.261561146855303,0.430857488916168,0.633558495736684,-0.441807746004397,0.184057476749842,0.396431488384275,-3.35726104536925,3.44476633827812e-18,1.96176523671432e-17,-2.47790555731165,2.11356597398292e-11,2.60608501746151e-11
"CM002236.1",58145,61150,".","+",0.186351201561385,0.5706215327735,0.750366523441366,-0.126654309145845,0.699936931550501,0.867818483398408,-2.812273549139,4.82346520967415e-14,1.80344575955418e-13,-1.93836409880566,6.72565654404962e-08,7.27800514911649e-08
"CM002236.1",90323,92593,".","+",-0.226178199862268,0.507085048138626,0.690982841798811,-0.270916368354987,0.426090227383697,0.669284329880129,-3.87971135928375,2.86559582927045e-21,2.32529457279795e-20,-3.02800282535884,9.2678424006126e-15,1.36578730114291e-14
"CM002236.1",180222,181975,".","+",-1.35827187409683,6.10180962730252e-05,0.000288761695038542,-1.46040302268698,1.81309378846473e-05,8.82897844817608e-05,-1.93354057561813,6.1831248413668e-08,1.47831455740062e-07,-1.93502341791854,8.1440091281383e-08,8.77047136876432e-08
"CM002236.1",182427,186051,".","-",-1.72614366929981,1.87043555659655e-06,1.12226133395793e-05,-1.04487890242365,0.00316503745607496,0.0117508572954827,-2.35383628143119,3.91271419827875e-10,1.07759997591939e-09,-2.99939100674188,4.62569300798061e-14,6.54413831865888e-14
"CM002236.1",185039,188208,".","+",-1.98852871029045,1.92937127757502e-08,1.58114329089075e-07,-1.29784270323883,0.000164000863002096,0.000701965477308333,-2.80287063744529,6.85823742988487e-14,2.50474758308839e-13,-3.34639327284449,1.64443968734687e-17,3.22175938745508e-17
"CM002236.1",188530,190595,".","-",-2.33385077656132,1.24260679568525e-10,1.34682543016207e-09,-1.74352044235984,7.82945399157802e-07,4.73999376787426e-06,-3.35838405567909,8.83395691046592e-18,4.67434570380559e-17,-3.67263075377016,1.03403564629073e-19,3.27769789767629e-19
"CM002236.1",189406,191138,".","+",-2.27898404634355,1.54417775581226e-10,1.64712293953308e-09,-1.82843664324742,1.53209320161633e-07,1.01937290246156e-06,-3.4474102456498,6.64831313185402e-19,3.95368710142115e-18,-3.46843240385178,1.28966942470326e-18,3.12872871263751e-18
"CM002236.1",193143,195064,".","-",-1.54740738493851,5.90646796453578e-06,3.28028634063475e-05,-1.45431730839448,2.01371527735333e-05,9.665833331296e-05,-2.36614704726065,9.33777882188468e-11,2.70473593461487e-10,-2.31522784154931,2.86316937488936e-10,3.32880591682639e-10
"CM002236.1",195020,196335,".","-",-2.3337286327322,2.13001411905374e-10,2.23651482500643e-09,-2.21489278418972,1.43349106741366e-09,1.30176486121889e-08,-3.71706566371954,1.4913932295548e-19,9.73025485690119e-19,-3.39386036640112,4.40593861418037e-17,8.31682794586857e-17
"CM002236.1",195780,197290,".","-",-2.13989174518535,9.38301497957999e-10,9.00769438039679e-09,-2.08682488350502,2.2822896423457e-09,2.04493151954175e-08,-3.67824508205013,1.34548122547725e-20,9.6187593991565e-20,-3.49277868852469,3.93140876453724e-19,1.0739458088492e-18
"CM002236.1",197194,198497,".","+",-1.50724963484333,1.25753989809718e-05,6.50051393477926e-05,-1.33509958120057,9.77501453421468e-05,0.000432158537302123,-3.98563640165336,1.44495635054341e-22,1.54128677391297e-21,-3.54172225474207,4.91270215527518e-19,1.28958431575973e-18
"CM002236.1",208394,210343,".","-",-1.15464819046949,0.000372436155851882,0.00157406979077022,-1.0725902343978,0.000921603533924834,0.003600683574404,-3.38159159504147,1.426680062939e-19,9.39930394406868e-19,-3.31694875366308,8.56540605303645e-19,2.12396784783782e-18
"CM002236.1",209486,212487,".","+",-1.70010842880271,1.2149093448416e-06,7.42199163394144e-06,-1.43774698300203,3.39910256262046e-05,0.000160858938174715,-3.50739587031113,2.73652073914036e-19,1.71863732402086e-18,-3.93491083036889,4.36739294119331e-22,3.62331858824926e-21
"CM002236.1",213619,215734,".","+",-1.53895442690402,1.67912555227958e-05,8.42068933680506e-05,-1.03037343910441,0.00339997823636202,0.0125537657957982,-1.84526216026408,4.10955262917704e-07,8.97395073686528e-07,-3.9491431060182,3.48681719216646e-21,1.81564722235106e-20
"CM002236.1",216104,217521,".","-",-1.28764248615032,0.000310502553268696,0.00132903003692079,-0.850293577109159,0.0157879577100249,0.0515024639861007,-1.20026526558026,0.000795091430104148,0.00139372102422618,-4.05916448966687,1.14736182525601e-21,7.27384100539662e-21
"CM002236.1",219395,221979,".","-",-1.13830458799244,0.00140880273949811,0.00566895473618399,-0.78903008380567,0.0253641245437758,0.0792776357833366,-0.644659822353126,0.0682729410193406,0.0944020912860018,-3.41612442042589,6.00911469845225e-17,1.11859420425482e-16
