"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.925017535964209,0.000343152473333147,0.000779048858377955,0.653811606288924,0.0121640021454308,0.0171008565726559,0.953057601718163,0.000229814688042892,0.000876320292834754,1.17789295193405,4.96445597067723e-06,2.32685007753342e-05,0.993890691140148,0.000607904364126019,0.00244617804007596
"CM002236.1",2177,3177,".","+",0.951079618650426,0.00082364693822113,0.00165374878653441,0.505249302659778,0.0787000753993544,0.0977568404221186,0.921810471558912,0.00120083492268063,0.00330721749197288,1.44582623164355,3.50011790115917e-07,2.80009432092734e-06,0.997690738587801,0.00174348083863551,0.00557913868363364
"CM002236.1",14929,15929,".","+",-0.380519265358936,0.179700289727669,0.208924904320058,-1.2074181097041,3.97951336665285e-05,9.31788495606521e-05,-0.491429914098186,0.0838546786744786,0.118383075775735,-0.477816212643435,0.092834193712153,0.11617239883532,0.508374393151332,0.0969220633234488,0.142519970576275
"CM002236.1",16440,17440,".","+",1.03198976745475,3.56378614542956e-05,0.000111389036731566,0.812128397840561,0.00127772336810792,0.0020790075142095,1.0725280546824,1.85380510502034e-05,0.000129766357351424,1.19685888244729,1.71235039627748e-06,9.83503817349116e-06,1.35612038978274,1.48085823164179e-06,3.26308660438308e-05
"CM002236.1",33980,34980,".","+",0.36007302258667,0.159514896404089,0.187402116055154,0.150463803217382,0.561191094147613,0.596709517827841,0.477790325702496,0.0612318162736555,0.0896465806882276,0.689127236634845,0.0068027790232481,0.0109891045760162,0.954019111583785,0.000788021600049062,0.00294194730684983
"CM002236.1",42632,43632,".","-",-0.546202612928361,0.0467338349479391,0.0597055838118157,-0.521566280360365,0.0553893553388206,0.0713058367580219,-0.310566969274986,0.250449552934899,0.311670554763429,-0.816203309128453,0.00285565367046449,0.00507754729120978,-0.373431101802069,0.209234407265116,0.267923783017541
"CM002236.1",44551,45551,".","-",-1.02081472672123,0.000236620240067281,0.000552113893490323,-1.66116864588818,4.84115134509846e-09,9.03681584418379e-08,-1.01042864921593,0.000239575460549945,0.000899411784857894,-1.47042223810519,1.91461946959342e-07,1.89209453465703e-06,-0.833399166232605,0.00513980460541501,0.0130337686597694
"CM002236.1",48154,49154,".","-",0.789925427038065,0.00131261904770527,0.002436685083033,0.894496866003284,0.000284511477266646,0.000523812911570372,0.621408987217164,0.0116718191814375,0.0216073346829918,1.07930054820554,1.03933432302316e-05,4.08870410166691e-05,0.58678766401646,0.0323646964602618,0.0575372381515765
"CM002236.1",58145,59145,".","+",-0.985225814013244,0.000283813502030692,0.000655404375823454,-1.07279255241012,7.33659680044339e-05,0.000158729535478963,-0.694545964987627,0.00912516817662315,0.0180888289518901,-1.04502946100251,0.000114886769161192,0.000302760426965964,-0.63002326816183,0.0303304697648663,0.0547905260268552
"CM002236.1",90323,91323,".","+",-0.648554472590396,0.0188257812777104,0.0261923913429014,-0.476477942632773,0.0811839716671795,0.100470771566012,-0.208050614684989,0.4399182233208,0.50447960080474,0.15819161702396,0.552215198377396,0.592793311996182,-0.0355440982852323,0.904687098266042,0.916967918604495
"CM002236.1",180222,181222,".","+",-0.428292118056568,0.0967437079594496,0.116927647030126,-0.83781208121402,0.00128963578258971,0.00209332185000069,-0.401005529911229,0.116642286196612,0.159640766444243,-0.807925754761182,0.00184086143309108,0.00348467290996396,-0.20960563993321,0.453907258868992,0.523200133722063
"CM002236.1",185051,186051,".","-",-0.770257265401714,0.00480412691487172,0.00772338106888467,-0.328515930609281,0.217464135762829,0.251092610365328,-0.595666247235698,0.0271597406810056,0.0438734272539321,-0.46386939524277,0.0833264474073878,0.10545267920483,-0.346686122646231,0.237505795793232,0.301139424100098
