"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,3878,".","-",-0.574612925668441,0.0859941097325908,0.792033545951837,0.0508299742169903,0.878509741810384,0.986028292219591,0.175481168043406,0.597638057756301,0.996864175327697,0.187822828060126,0.591041844135265,0.842216932683097
"CM002236.1",2177,6443,".","+",-0.722640468739009,0.0370220536486358,0.610725739682849,0.125272536673187,0.715604585409496,0.986028292219591,0.0374851080602062,0.913179277596911,0.999323275196599,0.255202540349035,0.480162021536894,0.828983405917272
"CM002236.1",14929,16647,".","+",-0.782081571152682,0.0285598703917527,0.519195572413474,-0.193198295881999,0.584719308150233,0.986028292219591,-0.0389517508949187,0.912153679370066,0.999323275196599,0.667281736065615,0.0732327863459002,0.825779017427308
"CM002236.1",16440,19615,".","+",-0.191546510813389,0.57952686738496,0.91122424469133,0.0821984235234253,0.811846874815103,0.986028292219591,-0.0251632353117069,0.941890041568815,0.999323275196599,0.236160196617962,0.514992360450882,0.83333764052306
"CM002236.1",33980,39245,".","+",-0.509685185208695,0.14827628365247,0.864261647468038,0.170198159953236,0.627976035097648,0.986028292219591,-0.0568507197412705,0.871407161769633,0.999323275196599,0.545942987799134,0.14044107119373,0.825779017427308
"CM002236.1",40949,43632,".","-",0.0584827661242572,0.869645476638049,0.978897420939311,0.304230183902318,0.393215044928337,0.986028292219591,-0.276396531083478,0.438517720914328,0.996864175327697,0.249733416589774,0.505629515721295,0.83333764052306
"CM002236.1",43708,45551,".","-",-0.485828704449864,0.158749115611893,0.864426463446635,0.15185292492858,0.657660330306692,0.986028292219591,-0.388528156667462,0.259443576116286,0.9779550472706,0.226279695929176,0.531094886487854,0.83333764052306
"CM002236.1",45331,49154,".","-",-0.122298095127747,0.717054980783076,0.946681624923825,-0.000788367798451138,0.998130296215244,0.998130296215244,0.09076489592628,0.787745095866011,0.996864175327697,0.0709641842584544,0.841223511942437,0.920553282139729
"CM002236.1",58145,61150,".","+",-0.260245276545112,0.439679809175629,0.885976193497968,0.272214149072085,0.418322230675705,0.986028292219591,-0.188938438823164,0.57462946356485,0.996864175327697,0.305556932508996,0.388099673435519,0.825779017427308
"CM002236.1",90323,92593,".","+",-0.236333289796099,0.501455837901393,0.898608861519296,0.248248094624717,0.479083371063749,0.986028292219591,0.127491560703302,0.716107299908593,0.996864175327697,0.584490284532559,0.115255455903602,0.825779017427308
"CM002236.1",180222,181975,".","+",-0.266016699458259,0.430779247922895,0.885976193497968,0.0338077839575635,0.919909658297584,0.986028292219591,-0.332130226938543,0.325422949036382,0.996864175327697,0.206261909777049,0.560751115203689,0.83547848801192
"CM002236.1",182427,186051,".","-",0.0662412873684267,0.852508536245562,0.977457692178025,0.220698357320923,0.535824159373714,0.986028292219591,-0.134845166947488,0.705284945453129,0.996864175327697,0.356603713615502,0.342489985534816,0.825779017427308
"CM002236.1",185039,188208,".","+",0.147002494650486,0.669133731789767,0.940706836323689,0.197683547808963,0.565784771635227,0.986028292219591,0.0730627648855468,0.831818456863185,0.999323275196599,0.502795772986597,0.166299163116961,0.825779017427308
"CM002236.1",188530,190595,".","-",0.0493046516283401,0.888901695047528,0.987342048052792,0.198912359101144,0.573662975806293,0.986028292219591,0.221843286518017,0.53004727234471,0.996864175327697,0.316077636902491,0.39746951269831,0.825779017427308
"CM002236.1",189406,191138,".","+",0.1597476472136,0.647519903571685,0.931763116060327,0.107262063416119,0.759174159696612,0.986028292219591,0.0907085167275065,0.795117854130425,0.996864175327697,0.171177044124804,0.643393883982261,0.846546888015609
"CM002236.1",193143,195064,".","-",0.672633650537932,0.0488187694913803,0.654632773271077,0.290641911743924,0.393414791221369,0.986028292219591,0.800687898124292,0.0191707921162443,0.234232223674839,0.40409168829574,0.260305602600596,0.825779017427308
"CM002236.1",195020,196335,".","-",0.933682135312224,0.00984028946016405,0.287507587705663,0.624226885007643,0.0833812478313914,0.986028292219591,1.04939641960047,0.00377317313070333,0.0845190781277545,0.450997866376754,0.237068284151071,0.825779017427308
"CM002236.1",195780,197290,".","-",0.557818534320662,0.102772535670654,0.836887919274946,0.249400434494159,0.464967886676037,0.986028292219591,0.97323622893649,0.00466607797575399,0.0979876374908337,0.169458708904907,0.638069190975978,0.846546888015609
"CM002236.1",197194,198497,".","+",0.170675797401446,0.626208925481616,0.928945690780676,0.183450776488986,0.601216392089191,0.986028292219591,0.552845984264324,0.114835102538002,0.696707372177851,-0.155021650826864,0.676794797267166,0.856920634297669
"CM002236.1",208394,210343,".","-",0.620801287586205,0.0609124220514198,0.744239047610075,0.576577868774945,0.0820065879405926,0.986028292219591,1.30714578667796,9.97070765811368e-05,0.00446687703083493,0.54464427419395,0.119337481116438,0.825779017427308
"CM002236.1",209486,212487,".","+",0.707994801503449,0.0421607997233622,0.643910395774987,0.624893931612154,0.072756125604966,0.986028292219591,1.31455123168455,0.000193396541021067,0.00764485150389159,0.47400545026926,0.195876226151624,0.825779017427308
"CM002236.1",213619,215734,".","+",0.404625393408145,0.260088114181727,0.870273328450185,0.597472538449413,0.0970211277709254,0.986028292219591,0.877281126367386,0.0150815607018576,0.219010211470926,0.332688474915836,0.380567596111866,0.825779017427308
"CM002236.1",216104,217521,".","-",-0.00741142083831812,0.984141211507861,0.995998334538077,0.293251625772083,0.428614918181057,0.986028292219591,-0.039302433872385,0.915669824236537,0.999323275196599,0.301920980571153,0.441197086400013,0.825779017427308
"CM002236.1",219395,221979,".","-",0.0999280756504116,0.78378990767836,0.960860014677572,0.0918573221777106,0.800927372063175,0.986028292219591,0.0734896774661456,0.83995569676987,0.999323275196599,0.201589858621742,0.600112621199811,0.843672973736973
"CM002236.1",223661,224874,".","+",-0.538126940706307,0.131695860772235,0.836887919274946,0.312920104595971,0.377175317376316,0.986028292219591,-0.157021534613553,0.658561067481497,0.996864175327697,0.223881270422403,0.548547854680044,0.83333764052306
"CM002236.1",243323,247248,".","-",-0.29110522367471,0.407398704243498,0.885976193497968,0.219205274799248,0.53198654129447,0.986028292219591,-0.0599968069327494,0.864248923441806,0.999323275196599,0.500270526574484,0.176726829639102,0.825779017427308
"CM002236.1",246886,248478,".","-",0.160521603443207,0.645061691277989,0.931763116060327,0.361986363306499,0.298376017873717,0.986028292219591,0.280984641900563,0.419357980317769,0.996864175327697,0.455323944374252,0.216147947439878,0.825779017427308
"CM002236.1",249096,252944,".","-",-0.0909937242565697,0.787099394783725,0.960860014677572,0.178823451767974,0.595539075023749,0.986028292219591,-0.12690342340239,0.706473898191618,0.996864175327697,0.338590557243172,0.340175388482486,0.825779017427308
"CM002236.1",254974,256694,".","-",-0.20750855579236,0.566864486845569,0.91122424469133,0.229235670475314,0.526451529975471,0.986028292219591,-0.183902214070066,0.612518250935183,0.996864175327697,0.501033385438775,0.189382472596197,0.825779017427308
"CM002236.1",255165,256694,".","+",-0.148569393814284,0.684085246103656,0.941597195155385,0.319195534493934,0.381645007239524,0.986028292219591,-0.101304527753182,0.781949937115334,0.996864175327697,0.520770607918842,0.17595879298561,0.825779017427308
"CM002236.1",256492,259361,".","+",-0.272331723742955,0.462790473443636,0.885976193497968,0.102833663472463,0.781347384622382,0.986028292219591,-0.100273001360131,0.786678743257176,0.996864175327697,0.218657670126357,0.575226858914531,0.840502395919409
"CM002236.1",262019,264387,".","-",0.0164667419706347,0.965368713434452,0.99217992575831,0.436268199997941,0.252014439038423,0.986028292219591,0.334928375335185,0.378395816543739,0.996864175327697,0.495080742525006,0.217614864405704,0.825779017427308
"CM002236.1",264035,266388,".","-",-0.164460310455239,0.650960461429723,0.932512543920536,0.139717170679702,0.700503372093905,0.986028292219591,0.280907584488463,0.439014533416609,0.996864175327697,0.419676338602124,0.273083494654761,0.825779017427308
"CM002236.1",290632,292877,".","+",-0.187054122514716,0.608834080216193,0.920743528531587,-0.0447219473611568,0.902682538617667,0.986028292219591,0.521983398248303,0.152468193145792,0.790792890681445,0.243465900568139,0.527208522504494,0.83333764052306
"CM002236.1",292166,294573,".","+",-0.0470877980269736,0.89926527383345,0.988733095944029,0.26921180727437,0.469102862795448,0.986028292219591,0.407853070015694,0.272874853867312,0.981329470683594,0.508721599300368,0.195559333449772,0.825779017427308
"CM002236.1",296498,298770,".","-",0.118970623089898,0.74969402960444,0.955994776739485,0.0840020839781457,0.822377676217495,0.986028292219591,0.120537832925068,0.746896272811119,0.996864175327697,0.281312749724051,0.475965352639818,0.828983405917272
"CM002236.1",301352,303729,".","+",-0.26604598072921,0.486226801011239,0.89519016514946,0.0146382952495025,0.969335811031481,0.988457761780205,-0.19356291058326,0.612561222143827,0.996864175327697,0.328065455106345,0.416545554532209,0.825779017427308
"CM002236.1",8866489,8868649,".","-",0.0429534953959549,0.906846197656293,0.988733095944029,0.201854826419879,0.582898811802467,0.986028292219591,0.0143128574749677,0.969052483451575,0.999323275196599,0.302152416858786,0.436814147870503,0.825779017427308
"CM002236.1",9649954,9652509,".","-",-0.378621576742076,0.60625000851894,0.920743528531587,-0.127209150366565,0.862143144760162,0.986028292219591,-0.184028237301202,0.801807176691344,0.998744801843639,-0.0106515404002169,0.988956540697011,0.996370008018577
"CM002236.1",9687687,9689732,".","-",-0.0445974805845204,0.934293922506634,0.988733095944029,0.18484909273761,0.732361495078243,0.986028292219591,0.415627016337817,0.442331084808243,0.996864175327697,0.271987443864555,0.631714397041137,0.846546888015609
"CM002236.1",9689584,9691543,".","-",-0.162255895833701,0.796745968060787,0.960860014677572,0.200331971361989,0.750220445439767,0.986028292219591,-0.129017509022669,0.837930273305078,0.999323275196599,0.470860806959663,0.479252711709967,0.828983405917272
"CM002236.1",9688977,9690773,".","+",-0.00440812812277657,0.993846859120643,0.996943009584388,0.31118390697601,0.585774259664521,0.986028292219591,0.0113641385273934,0.984098118713239,0.999323275196599,0.373728284681793,0.534567301881217,0.83333764052306
"CM002236.1",9692169,9694340,".","-",-0.0606190892110395,0.9178118461766,0.988733095944029,0.214395502327501,0.715024102415543,0.986028292219591,0.337394600904266,0.565756319194331,0.996864175327697,0.154153414245611,0.802723097153998,0.901477412439107
"CM002236.1",9693631,9697675,".","+",-0.092876256031224,0.788212024686386,0.960860014677572,0.235684761379208,0.495416206237236,0.986028292219591,0.221761031099854,0.520822513437315,0.996864175327697,0.307303136164955,0.398036368742102,0.825779017427308
"CM002236.1",9758596,9762612,".","+",-0.602737923263937,0.643577746069639,0.931763116060327,-0.393947621083648,0.768397485567869,0.986028292219591,-1.13683581332168,0.40440934070414,0.996864175327697,-0.721032349666978,0.605705458813757,0.845967979413654
"CM002236.1",9770840,9773169,".","-",-0.357199773940302,0.450477759591727,0.885976193497968,-0.267134076613907,0.571531268792236,0.986028292219591,-0.0178724707525156,0.969733588872461,0.999323275196599,0.227373931931221,0.646522297593983,0.846546888015609
"CM002237.1",8926,12029,".","-",-0.536553774544021,0.109847026189538,0.836887919274946,0.136375897972492,0.682902940549113,0.986028292219591,-0.262243781497509,0.432567227627652,0.996864175327697,0.332965598972256,0.343663461461437,0.825779017427308
"CM002237.1",10641,12594,".","+",-0.381093677460999,0.296247988505041,0.885976193497968,0.216086007969338,0.552278275204562,0.986028292219591,-0.149195248945334,0.681208787904124,0.996864175327697,0.350248608708424,0.360226503534027,0.825779017427308
"CM002237.1",12520,14311,".","-",-0.219599036975247,0.561750658212522,0.91122424469133,-0.0599352091824119,0.874196899345694,0.986028292219591,0.0515380421387189,0.891539922828558,0.999323275196599,0.289573285373171,0.465870081108186,0.827908261201215
"CM002237.1",15942,19173,".","-",-0.291362930176688,0.400777928888718,0.885976193497968,0.146566551496759,0.67198722382861,0.986028292219591,0.282843793191477,0.413784616371592,0.996864175327697,0.432027795471471,0.23602982630167,0.825779017427308
"CM002237.1",18041,19908,".","+",-0.180044029583442,0.599550637001976,0.917763161880018,0.0864052360383544,0.800730214382192,0.986028292219591,0.334081609253619,0.328868752445391,0.996864175327697,0.36743866609084,0.307971206827776,0.825779017427308
"CM002237.1",34370,36627,".","-",-0.362274219198308,0.315848277150872,0.885976193497968,-0.0209782679559332,0.953573960815901,0.98768988199449,-0.237460904321318,0.509935916142182,0.996864175327697,0.141733788948978,0.708043161941335,0.873059057934938
"CM002237.1",36176,39253,".","-",0.114101562746313,0.734362614434396,0.948318055177735,-0.0138548087704241,0.967113009452938,0.98768988199449,0.248117892642365,0.460196818972314,0.996864175327697,0.272507565749112,0.440479220517578,0.825779017427308
"CM002237.1",40798,42401,".","-",-0.917557848110855,0.0105007461890505,0.294020893293415,-0.127108323505879,0.719744781212991,0.986028292219591,-0.678531849987559,0.0573367572545824,0.462248212547249,0.12106314127557,0.745057056479157,0.883491842101165
"CM002237.1",50942,53778,".","+",-0.617458346902843,0.081204743369365,0.768585740059342,0.0947692956320656,0.787719725257206,0.986028292219591,0.176876690975768,0.614865150474252,0.996864175327697,0.223741096739072,0.545910340013078,0.83333764052306
"CM002237.1",55203,56983,".","+",-0.286472862966674,0.413922466325348,0.885976193497968,0.139944564303262,0.689467158133331,0.986028292219591,-0.116407179515549,0.739793581688198,0.996864175327697,0.0862591753519214,0.815269112972622,0.908558613462027
"CM002237.1",69444,71887,".","+",-0.409990426224671,0.229459806433724,0.870273328450185,0.189882919739255,0.576662760350722,0.986028292219591,-0.268654651282844,0.430027640435329,0.996864175327697,0.399900348405789,0.265274755218828,0.825779017427308
