"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2701,3000,".","*",-0.0389253535211838,0.929102408884205,0.994807999073077,-0.28381944764337,0.514815187738351,0.83519925242999,0.134019715730538,0.757321534987521,0.956820269025274,0.0564580889929246,0.899902908947304,0.942633341470918
"CM002236.1",3001,3300,".","*",0.383988696108727,0.407790762542107,0.994807999073077,-0.121935159645476,0.794663017509966,0.943501946516138,0.676125088811746,0.135037672531371,0.610771216500359,-0.639101109576563,0.190066629682546,0.469894616039091
"CM002236.1",15601,15900,".","*",-0.281972968581092,0.521335388564673,0.994807999073077,-0.418513969580276,0.330898408484729,0.759463756114586,-0.123692969950956,0.774933747574506,0.960395419746832,-0.306441467643564,0.494466880558766,0.704647247101187
"CM002236.1",15901,16200,".","*",-0.0268748889841993,0.950928685352098,0.994807999073077,-0.155690189220212,0.719178516689966,0.908812612543475,0.172060175152179,0.689787912105932,0.945213854510432,0.325790965279631,0.472365138039056,0.689936568719325
"CM002236.1",17101,17400,".","*",-0.456381285664378,0.451642489493575,0.994807999073077,-0.131441053013463,0.825661228513606,0.956684857144002,-1.35626137953741,0.0323392866977677,0.387719926387367,-0.32143916598955,0.602272219847735,0.781536774696531
"CM002236.1",17401,17700,".","*",-0.0100052246588855,0.981133077099252,0.994847805597287,0.34070183561992,0.418783030194026,0.793672993649503,0.0446610333420022,0.915472854153907,0.970071402065533,-0.228401927948386,0.602019040796356,0.781536774696531
"CM002236.1",34501,34800,".","*",0.0292403466706539,0.948163931446475,0.994807999073077,-0.451823262106428,0.307961040726039,0.748059643788466,-0.509557833536345,0.248195859053352,0.741897107143217,-0.188747131385233,0.680449697614477,0.836156645215572
"CM002236.1",34801,35100,".","*",0.00722102770642141,0.987015402852685,0.996678468383389,0.221936148655636,0.609857693487657,0.861490438286395,0.217127146337138,0.619052130911558,0.922319719459738,-0.258553472432176,0.572201146991379,0.761225480308661
"CM002236.1",42601,42900,".","*",1.12863606518233,0.0117421032607581,0.717666448719173,0.945171907441834,0.0326036005243313,0.354852297935583,0.943697917618721,0.0312504961235617,0.383570248227916,1.26399089611002,0.00806130069094804,0.230442699731682
"CM002236.1",44401,44700,".","*",0.821902648902427,0.0688836505969586,0.953904736952517,0.333576904402594,0.449002412043946,0.815055092717511,0.748239218323267,0.0911695333031868,0.540479420907618,0.251653446888292,0.591200321601037,0.774749308325403
"CM002236.1",44701,45000,".","*",-0.530076179057374,0.219962851430688,0.994807999073077,0.197272531940101,0.641998985929413,0.872074977192293,0.312553098815428,0.46060785393672,0.880589220366031,0.46737058632469,0.293177388838122,0.565340314490296
