"seqnames","start","end","name","strand","logFC_WT","PValue_WT","FDR_WT","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",1.43407584977319,1.06075187462153e-08,1.15718386322349e-08,1.13147258241989,8.41571907091134e-06,8.87812121766471e-06,1.30718956460299,1.86582695563887e-07,2.22706165930607e-07,0.571044718227518,0.0239969146776466,0.0255967089894897,1.62228767623627,1.27656231863518e-08,3.55954306275039e-08
"CM002236.1",2177,3177,".","+",-1.20095773887382,6.80173318924162e-05,6.97826672239751e-05,-1.39554418038381,5.84644192189929e-06,6.18710074254539e-06,-1.39019686169055,3.89887556222163e-06,4.267173253767e-06,-0.550930500257855,0.0566216622687344,0.0598266620197949,-0.30208373514606,0.333198364836777,0.33721280296734
"CM002236.1",14929,15929,".","+",-2.01860963011109,4.56187908709882e-11,6.72276918098774e-11,-1.47363833762453,8.73192839699901e-07,9.31405695679894e-07,-1.60865106599984,4.01336066720213e-08,5.42651583170993e-08,-0.142095871777648,0.605045630212657,0.609581204652032,-1.09598727685115,0.000356814358460973,0.000397643862165462
"CM002236.1",16440,17440,".","+",-2.61434625205557,2.78781813593001e-19,4.56930192035357e-18,-1.9912284484549,2.17735299786693e-12,4.58677496729335e-12,-1.52954752024281,1.01443502832605e-08,1.59648791343115e-08,-0.300752675484904,0.232454238072123,0.238852061138329,-2.04169765161895,1.80520884338991e-12,1.97978220523789e-11
"CM002236.1",33980,34980,".","+",-2.41295644191539,9.47643940720946e-17,7.96020910205595e-16,-2.18243977300932,8.32754083251608e-14,2.92989918295854e-13,-2.28391391012548,4.95407048562444e-16,1.2330130986443e-14,-0.33264407517194,0.193155057991295,0.199080059770169,-1.02570790635406,0.000288070730042473,0.000323177847393225
"CM002236.1",42632,43632,".","-",-1.94502548047653,2.25704192014958e-11,3.61126707223933e-11,-2.09445151244071,2.78966614176986e-12,5.59598700677417e-12,-1.61933750971229,8.19141351750418e-09,1.30751303652323e-08,-0.257108163997723,0.324586571300697,0.330488145324346,-1.92963394167467,3.31833295359135e-10,1.5846456403194e-09
"CM002236.1",44551,45551,".","-",-2.46419113670344,1.18947682836514e-16,9.30128812010852e-16,-2.45350448613531,4.25267816706977e-16,4.45655513147101e-15,-2.04690314769679,5.25320660728847e-13,4.01153959102028e-12,-1.49170340701867,6.12621811286016e-08,7.52617654815728e-08,-2.0738726481743,1.23134309946777e-11,9.85074479574213e-11
"CM002236.1",48154,49154,".","-",-2.59924702574255,2.85940545830875e-19,4.575048733294e-18,-2.18841745642594,1.08131340430705e-14,5.63288843173903e-14,-2.20768686240469,6.21216022280307e-16,1.41956683824255e-14,-1.71048625574369,1.03430363186234e-10,1.79600010493926e-10,-2.15817774436027,7.51629016571369e-14,1.14794249803627e-12
"CM002236.1",58145,59145,".","+",-1.85238827945851,4.7840985496565e-11,7.00417042564089e-11,-1.86410433524583,5.60360542909949e-11,7.92762704916813e-11,-1.53593953634064,1.57093987204499e-08,2.34593687558719e-08,-1.43136498441302,1.20838831507607e-07,1.46842124363675e-07,-1.05145384762359,0.00026322597607205,0.000295799090167922
"CM002236.1",90323,91323,".","+",-2.21172503965252,1.39895666643498e-13,4.31238018277206e-13,-1.98119383545581,3.74089366778193e-11,5.46495770597708e-11,-1.6065581151202,1.11115652771775e-08,1.72050043001459e-08,-1.73827737525799,9.0240352854692e-10,1.27666351828112e-09,-1.58877654325277,1.84683273481933e-07,3.48615617359154e-07
"CM002236.1",180222,181222,".","+",-1.96735352120324,1.89925255548841e-12,4.05173878504195e-12,-1.58058813407138,7.36674290353048e-09,8.27834654042221e-09,-1.42060960135385,6.55842115599934e-08,8.52467894938405e-08,-1.67632511949659,3.11637789907188e-10,4.82535932759517e-10,-1.28072065380193,6.47915520793889e-06,8.55401237668946e-06
"CM002236.1",185051,186051,".","-",-1.99398653502926,4.7340638427265e-12,8.88628743662628e-12,-2.21268890152304,1.06291173453643e-13,3.51860436260335e-13,-1.97284560507677,3.06878504830675e-12,1.71851962705178e-11,-2.02685894109861,1.03678948694712e-12,3.16692061467484e-12,-1.72991977194146,9.30075893352816e-09,2.75335242437486e-08
