"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",-0.563422572960964,0.314586375022649,2.08294414101866,2.01463546753411
"CM002236.1.1501.1800",0.715417897059105,0.977401633774807,3.7185224174517,4.40788927583424
"CM002236.1.1801.2100",-0.0490858626786282,0.393630511578145,3.25989489024072,3.26739886327617
"CM002236.1.2101.2400",-0.563540975606091,-0.443001274616501,1.5066883674646,1.67978719351194
"CM002236.1.3301.3600",-0.0144329034028286,-0.208050282113527,-1.31117992991777,0.505969862027715
"CM002236.1.3601.3900",-0.657682863302643,-0.184622534344103,-1.06056390906181,0.169649957676584
"CM002236.1.4801.5100",0.0623488423954924,-0.212143502520364,1.5373217016611,0.628875632132743
"CM002236.1.5101.5400",0.843550806345074,0.0415828535385695,1.58458184971031,0.101533021333636
"CM002236.1.5401.5700",0.417438690335677,0.51082724350706,2.4742064123244,0.882349511275173
"CM002236.1.5701.6000",-0.710290334381296,-0.445995085134208,1.83971687537754,0.272110763180537
"CM002236.1.6001.6300",0.393312360677622,0.547996001338149,1.72221242541512,1.21805488707316
"CM002236.1.11101.11400",-0.574671533180554,-0.616308836340434,1.9268240134078,0.987005784110599
"CM002236.1.11401.11700",0.145210306856023,-0.530951186663344,2.23474530708974,1.58973383896084
"CM002236.1.11701.12000",-0.222739963302999,0.100067766335507,2.70823862513543,1.09093733943446
"CM002236.1.12001.12300",0.0871938720520083,0.33209336061895,2.96635830831185,1.5199726997398
"CM002236.1.12301.12600",0.0150430145015467,-0.236386433894891,1.44995150288298,1.2205483565449
"CM002236.1.16201.16500",1.16090344094195,1.4025553729745,2.89117943624459,0.426324439588011
"CM002236.1.17701.18000",-0.829101958063388,2.00080501641083,3.19005686592118,2.8837855464063
"CM002236.1.18001.18300",-0.739769928021699,1.81991418079805,2.91594540819713,2.91365800175311
"CM002236.1.18301.18600",-0.841616235609421,0.828698044175189,2.15608650956853,2.3281956508757
"CM002236.1.18601.18900",-1.00410367058456,1.32707275698309,1.88960994859618,2.38286238676582
"CM002236.1.19201.19500",-1.39046075229867,0.453845007754441,1.35576801254723,0.821790101309257
"CM002236.1.34801.35100",0.19474928423444,0.168990846002573,2.83506243840765,1.90528042386624
"CM002236.1.35101.35400",-0.917432257473238,0.0935473625827637,2.56240127881812,1.79876347564362
"CM002236.1.35401.35700",-0.208459238335833,0.351787902494277,2.06842631573154,1.61567883726806
"CM002236.1.35701.36000",-0.717375743784605,0.498492589026551,1.92409073584713,1.85650727613867
