"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",2878,3878,".","-",0.790057055591376,0.0294619078210555,0.0835375614166638,0.146286259468716,0.686897404769422,0.857935829752002,-3.46751291378539,3.32492101749635e-17,1.95995344189258e-16,-2.1996764056656,1.27932872640969e-08,1.5162414535226e-08
"CM002236.1",2177,3177,".","+",0.519590013198917,0.191367236480185,0.376886032826848,0.0311157283998862,0.937492144006083,0.978252672006347,-4.47286212839907,6.24876104290796e-24,9.54356232007761e-23,-4.22499617140706,2.19840029358413e-22,2.18080536006066e-21
"CM002236.1",14929,15929,".","+",0.784878105743447,0.0407313820777856,0.11126621445639,0.0648359518955433,0.865308818208209,0.943973256227137,-3.77166939346491,4.66037850729531e-19,3.33167484776856e-18,-3.49485626730764,3.06294724890034e-17,7.00102228320077e-17
"CM002236.1",16440,17440,".","+",1.16565993977085,0.00104870827193335,0.00454665779831748,0.0324651312572987,0.927543380014431,0.976973591488555,-2.25747168995402,7.85840087491985e-09,2.12082144094222e-08,-2.13245513577912,1.86172850074914e-08,2.19873735062112e-08
"CM002236.1",33980,34980,".","+",1.0741472143401,0.00275871576478056,0.0110348630591222,-0.833506872585771,0.0210107842062946,0.0675562056776555,-2.94107109455637,1.79756584597315e-13,7.1902633838926e-13,-2.50687328515466,6.27783724361174e-11,8.33736487689148e-11
"CM002236.1",42632,43632,".","-",-0.660875665140053,0.0699650832283638,0.172221743331357,-0.504343952786918,0.165421012709466,0.373029934700541,-3.80873566315473,8.64249611050075e-22,9.21866251786747e-21,-3.70346465731249,9.66719068650024e-21,5.28158710677087e-20
"CM002236.1",44551,45551,".","-",-0.515697999550293,0.154615182782737,0.32152201957445,-0.515144980673423,0.154183557820148,0.354739072778515,-3.72920543857229,1.19762232804821e-20,1.05895026901105e-19,-3.02547376992167,8.72862455842207e-15,1.47377781488935e-14
"CM002236.1",48154,49154,".","-",0.316271356581836,0.368153283098462,0.579388773400858,-0.345135340052788,0.330236798283954,0.594746689419926,-2.18202792140598,1.14196013707308e-08,3.06958884845244e-08,-1.45402307875775,9.18227919788654e-05,9.67161696078331e-05
"CM002236.1",58145,59145,".","+",0.0964241069993002,0.787328053981451,0.890063997434341,-0.171794762100792,0.630694298183413,0.829577814072926,-2.78590501457692,9.3651171297949e-13,3.61687282254148e-12,-2.04018993930958,8.63249128014731e-08,1.00190572370622e-07
"CM002236.1",90323,91323,".","+",0.107852372942246,0.768901530613898,0.878744606415883,-0.359076474488333,0.326793477925317,0.594746689419926,-3.68127627052975,1.01309858720808e-19,7.91630523957943e-19,-2.85897329359053,3.98808304389616e-13,6.00895023654309e-13
"CM002236.1",180222,181222,".","+",-1.24826517582256,0.000436279630697066,0.00200808158786595,-1.44566681229193,5.18857712458154e-05,0.000256376752038146,-1.90387571658057,3.09465834731921e-07,7.34844667631982e-07,-1.60785403859342,1.59243975779748e-05,1.71768782863548e-05
"CM002236.1",185051,186051,".","-",-1.57079131322,1.69335414407697e-05,0.00010344854407452,-1.01656953328348,0.00504409173560939,0.0179345483932778,-2.48166495465318,6.64286549873688e-11,2.15652445176386e-10,-3.26180292960468,7.10752967776425e-17,1.54213153194136e-16
"CM002236.1",185039,186039,".","+",-1.5568459959077,2.00684146925174e-05,0.000119344908613909,-0.979234566123595,0.00689994826629284,0.024404027552362,-2.46039232107577,9.63304895562174e-11,3.06796630245394e-10,-3.27934095557856,5.16355427345475e-17,1.14141726044789e-16
