# HOMER Peaks
# Peak finding parameters:
# tag directory = /scratch/evt82290/Run129/homer/tag/129-41_ChIP_cac-3_K27me3_AbC_Rep_1
#
# total peaks = 448
# peak size = 150
# peaks found using tags on both strands
# minimum distance between peaks = 530
# fragment length = 178
# genome size = 41233650
# Total tags = 4021831.0
# Total tags in peaks = 1197834.0
# Approximate IP efficiency = 29.78%
# tags per bp = 0.097511
# expected tags per peak = 14.627
# maximum tags considered per bp = 9.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# Poisson p-value threshold = 1.000000e-03
# Poisson tag threshold = 29.0
# number of putative peaks = 49442
#
# input tag directory = /scratch/evt82290/Run129/homer/tag/129-46_ChIP_cac-3_input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 101
#
# size of region used for local filtering = 10000
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks /scratch/evt82290/Run129/homer/tag/129-41_ChIP_cac-3_K27me3_AbC_Rep_1 -style histone -region -size 150 -minDist 530 -o /scratch/evt82290/Run129/Peaks/129-41_ChIP_cac-3_K27me3_AbC_Rep_1_peaks.txt -i /scratch/evt82290/Run129/homer/tag/129-46_ChIP_cac-3_input
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
CM002238.1-8164	CM002238.1	4774659	4829239	+	123466.2	54580.000	36.000000	49656.0	3537.5	14.04	0.00e+00	0.83
CM002239.1-8968	CM002239.1	5067415	5101639	+	99917.2	34224.000	39.000000	40185.0	2378.5	16.89	0.00e+00	0.71
CM002240.1-3961	CM002240.1	6022136	6056508	+	87491.2	34372.000	60.000000	35187.5	2391.0	14.72	0.00e+00	1.04
CM002242.1-1733	CM002242.1	908822	936043	+	86730.4	27221.000	82.000000	34881.5	1930.4	18.07	0.00e+00	0.75
CM002239.1-9197	CM002239.1	5122077	5157844	+	76841.9	35767.000	37.500000	30904.5	2758.0	11.21	0.00e+00	0.78
CM002238.1-6852	CM002238.1	380049	405868	+	72595.0	25819.000	52.500000	29196.5	1877.5	15.55	0.00e+00	0.79
CM002240.1-4726	CM002240.1	638474	666809	+	69705.8	28335.000	48.000000	28034.5	2145.9	13.06	0.00e+00	0.90
CM002239.1-8315	CM002239.1	716167	738800	+	57357.0	22633.000	44.000000	23068.0	1620.2	14.24	0.00e+00	0.82
CM002241.1-2747	CM002241.1	444242	472074	+	55468.5	27832.000	67.000000	22308.5	1997.6	11.17	0.00e+00	0.79
CM002237.1-3033	CM002237.1	554326	573016	+	49043.6	18690.000	32.000000	19724.5	1303.9	15.13	0.00e+00	0.74
CM002238.1-6793	CM002238.1	4638258	4662020	+	45376.1	23762.000	53.500000	18249.5	1630.4	11.19	0.00e+00	0.77
CM002236.1-4202	CM002236.1	288142	306444	+	43501.3	18302.000	46.000000	17495.5	1350.8	12.95	0.00e+00	0.75
CM002238.1-6492	CM002238.1	447997	463382	+	42138.8	15385.000	58.500000	16947.5	1096.9	15.45	0.00e+00	0.81
CM002241.1-3172	CM002241.1	3793830	3811577	+	41259.8	17747.000	57.000000	16594.0	1257.1	13.20	0.00e+00	0.93
CM002237.1-1727	CM002237.1	576935	597931	+	41169.1	20996.000	67.000000	16557.5	1579.3	10.48	0.00e+00	0.78
CM002240.1-4601	CM002240.1	553874	579517	+	39831.4	25643.000	49.500000	16019.5	1772.5	9.04	0.00e+00	0.90
CM002241.1-3903	CM002241.1	149846	168455	+	35151.9	18609.000	43.500000	14137.5	1322.7	10.69	0.00e+00	0.82
CM002242.1-3640	CM002242.1	659121	677088	+	35103.4	17967.000	30.500000	14118.0	1273.4	11.09	0.00e+00	0.80
CM002238.1-6152	CM002238.1	4855882	4871888	+	35082.3	16006.000	64.500000	14109.5	1170.3	12.06	0.00e+00	0.80
CM002239.1-7701	CM002239.1	318433	337637	+	32609.5	19204.000	50.500000	13115.0	1387.9	9.45	0.00e+00	0.80
CM002242.1-2681	CM002242.1	881587	891960	+	32163.2	10373.000	44.000000	12935.5	803.1	16.11	0.00e+00	0.67
CM002236.1-3913	CM002236.1	8100805	8111795	+	32130.9	10990.000	50.500000	12922.5	862.7	14.98	0.00e+00	0.66
CM002239.1-7674	CM002239.1	3004053	3020174	+	31922.0	16121.000	51.000000	12838.5	1214.1	10.57	0.00e+00	0.84
CM002239.1-7945	CM002239.1	640173	654350	+	29408.2	14177.000	48.000000	11827.5	1086.8	10.88	0.00e+00	0.80
CM002238.1-5911	CM002238.1	5013931	5032030	+	29152.1	18099.000	68.500000	11724.5	1415.1	8.29	0.00e+00	0.88
CM002241.1-3945	CM002241.1	407448	425259	+	28603.9	17811.000	43.000000	11504.0	1238.3	9.29	0.00e+00	0.91
CM002240.1-4500	CM002240.1	6114356	6126191	+	28378.9	11835.000	51.000000	11413.5	874.0	13.06	0.00e+00	0.76
CM002236.1-4817	CM002236.1	254293	265925	+	28228.4	11632.000	39.000000	11353.0	813.8	13.95	0.00e+00	0.77
CM002239.1-9642	CM002239.1	5347242	5359561	+	27720.0	12319.000	35.000000	11148.5	886.5	12.58	0.00e+00	0.71
CM002238.1-6714	CM002238.1	292173	302132	+	27136.9	9959.000	54.500000	10914.0	740.8	14.73	0.00e+00	0.79
CM002240.1-3802	CM002240.1	6059433	6067917	+	27117.0	8484.000	63.000000	10906.0	629.5	17.32	0.00e+00	0.69
CM002240.1-4365	CM002240.1	6080633	6089940	+	26969.1	9307.000	53.000000	10846.5	718.2	15.10	0.00e+00	0.70
CM002239.1-8012	CM002239.1	197964	210955	+	26962.8	12991.000	47.000000	10844.0	970.9	11.17	0.00e+00	0.96
CM002236.1-4428	CM002236.1	7254550	7270794	+	26716.7	16244.000	43.500000	10745.0	1209.7	8.88	0.00e+00	0.82
CM002240.1-4381	CM002240.1	369468	386540	+	26492.9	17072.000	52.500000	10655.0	1231.7	8.65	0.00e+00	0.89
CM002242.1-2273	CM002242.1	938097	949560	+	26261.7	11463.000	56.500000	10562.0	854.6	12.36	0.00e+00	0.75
CM002238.1-7725	CM002238.1	4728836	4747312	+	25753.2	18476.000	40.000000	10357.5	1290.3	8.03	0.00e+00	0.89
CM002238.1-7463	CM002238.1	551718	562357	+	25571.7	10639.000	43.000000	10284.5	800.9	12.84	0.00e+00	0.75
CM002236.1-3172	CM002236.1	6986218	6995917	+	24686.5	9699.000	65.000000	9928.5	699.5	14.19	0.00e+00	0.80
CM002239.1-8796	CM002239.1	4978587	4996253	+	24357.1	17666.000	40.000000	9796.0	1206.9	8.12	0.00e+00	0.88
CM002239.1-8111	CM002239.1	3021662	3031023	+	23730.5	9361.000	46.000000	9544.0	701.9	13.60	0.00e+00	0.71
CM002239.1-8141	CM002239.1	5291312	5308133	+	23602.4	16821.000	46.000000	9492.5	1233.9	7.69	0.00e+00	0.96
CM002238.1-7233	CM002238.1	4673610	4685055	+	23250.6	11445.000	46.500000	9351.0	765.9	12.21	0.00e+00	0.80
CM002239.1-8805	CM002239.1	5199460	5209803	+	23126.3	10343.000	40.000000	9301.0	741.4	12.55	0.00e+00	0.74
CM002242.1-3520	CM002242.1	693249	707013	+	22735.9	13764.000	31.500000	9144.0	1034.1	8.84	0.00e+00	0.86
CM002238.1-7756	CM002238.1	569813	580413	+	22498.5	10600.000	39.500000	9048.5	838.9	10.79	0.00e+00	0.80
CM002241.1-3931	CM002241.1	3825309	3835504	+	22494.7	10195.000	43.500000	9047.0	721.7	12.54	0.00e+00	0.81
CM002239.1-8142	CM002239.1	5331943	5342749	+	22156.6	10806.000	46.000000	8911.0	756.8	11.77	0.00e+00	0.71
CM002239.1-11092	CM002239.1	3616625	3629400	+	20569.0	12775.000	29.000000	8272.5	1024.2	8.08	0.00e+00	0.86
CM002239.1-8032	CM002239.1	3490792	3504281	+	19433.9	13489.000	47.000000	7816.0	991.6	7.88	0.00e+00	0.85
CM002239.1-7153	CM002239.1	174982	186415	+	18960.3	11433.000	57.500000	7625.5	883.5	8.63	0.00e+00	0.88
CM002236.1-3359	CM002236.1	312002	322799	+	18945.4	10797.000	60.500000	7619.5	717.2	10.62	0.00e+00	0.86
CM002240.1-6086	CM002240.1	75745	89302	+	18428.2	13557.000	35.000000	7411.5	1049.9	7.06	0.00e+00	0.95
CM002239.1-10556	CM002239.1	704824	713525	+	17465.9	8701.000	30.500000	7024.5	651.2	10.79	0.00e+00	0.79
CM002237.1-1475	CM002237.1	4159133	4169402	+	17329.2	10269.000	78.000000	6969.5	783.1	8.90	0.00e+00	0.90
CM002238.1-8239	CM002238.1	5089173	5099608	+	16992.3	10435.000	35.500000	6834.0	788.2	8.67	0.00e+00	0.84
CM002238.1-8048	CM002238.1	4761500	4774149	+	16887.8	12649.000	37.000000	6792.0	850.5	7.99	0.00e+00	0.78
CM002237.1-1617	CM002237.1	1676446	1689612	+	16685.2	13166.000	72.000000	6710.5	951.5	7.05	0.00e+00	0.87
CM002238.1-8099	CM002238.1	4624776	4637549	+	16537.2	12773.000	36.500000	6651.0	808.5	8.23	0.00e+00	0.85
CM002241.1-4118	CM002241.1	3762641	3772759	+	15720.5	10118.000	41.000000	6322.5	738.6	8.56	0.00e+00	0.82
CM002238.1-7703	CM002238.1	422701	430962	+	15658.3	8261.000	40.000000	6297.5	585.9	10.75	0.00e+00	0.90
CM002236.1-4298	CM002236.1	1315403	1324273	+	15524.0	8870.000	45.000000	6243.5	717.0	8.71	0.00e+00	0.90
CM002242.1-1999	CM002242.1	709253	720761	+	15358.7	11508.000	68.000000	6177.0	806.6	7.66	0.00e+00	0.87
CM002237.1-3141	CM002237.1	649073	657220	+	15203.3	8147.000	31.000000	6114.5	684.6	8.93	0.00e+00	0.82
CM002240.1-6069	CM002240.1	6095448	6102959	+	15177.2	7511.000	35.500000	6104.0	572.5	10.66	0.00e+00	0.77
CM002238.1-7407	CM002238.1	224781	238229	+	14653.8	13448.000	43.500000	5893.5	1008.4	5.84	0.00e+00	1.04
CM002236.1-3599	CM002236.1	214080	224938	+	14278.3	10858.000	55.500000	5742.5	754.0	7.62	0.00e+00	0.97
CM002239.1-7140	CM002239.1	5038108	5044338	+	14249.7	6230.000	58.000000	5731.0	454.8	12.60	0.00e+00	0.81
CM002240.1-4538	CM002240.1	5968860	5979433	+	14243.5	10573.000	50.500000	5728.5	699.3	8.19	0.00e+00	0.98
CM002240.1-3590	CM002240.1	680430	688703	+	14027.2	8273.000	67.000000	5641.5	628.5	8.98	0.00e+00	0.79
CM002238.1-6814	CM002238.1	271337	275821	+	13797.2	4484.000	53.000000	5549.0	341.3	16.26	0.00e+00	0.80
CM002238.1-6376	CM002238.1	4747838	4760536	+	13676.6	12698.000	60.500000	5500.5	836.1	6.58	0.00e+00	0.93
CM002239.1-8356	CM002239.1	436	8382	+	13625.6	7946.000	43.500000	5480.0	595.3	9.21	0.00e+00	0.88
CM002236.1-3542	CM002236.1	369673	377217	+	13515.0	7544.000	57.000000	5435.5	605.9	8.97	0.00e+00	0.80
CM002236.1-4929	CM002236.1	8714923	8724353	+	13350.9	9430.000	38.500000	5369.5	705.1	7.61	0.00e+00	0.89
CM002241.1-4080	CM002241.1	3774052	3782010	+	13154.5	7958.000	41.500000	5290.5	564.3	9.38	0.00e+00	0.93
CM002239.1-7589	CM002239.1	5003592	5010645	+	12866.0	7053.000	52.000000	5174.5	532.3	9.72	0.00e+00	0.72
CM002236.1-4015	CM002236.1	8120786	8129479	+	12862.3	8693.000	49.000000	5173.0	604.4	8.56	0.00e+00	0.84
CM002239.1-6134	CM002239.1	5249007	5255386	+	12602.5	6379.000	72.000000	5068.5	449.6	11.27	0.00e+00	0.85
CM002239.1-6435	CM002239.1	5011166	5017679	+	12407.3	6513.000	68.000000	4990.0	438.6	11.38	0.00e+00	0.76
CM002238.1-7748	CM002238.1	285763	291687	+	11385.4	5924.000	39.500000	4579.0	431.7	10.61	0.00e+00	0.80
CM002241.1-3646	CM002241.1	3713298	3720829	+	11064.6	7531.000	47.500000	4450.0	549.8	8.09	0.00e+00	0.86
CM002236.1-3905	CM002236.1	6955946	6963749	+	10707.8	7803.000	50.500000	4306.5	634.9	6.78	0.00e+00	0.93
CM002239.1-8057	CM002239.1	377980	385148	+	10267.7	7168.000	46.500000	4129.5	451.7	9.14	0.00e+00	0.93
CM002236.1-4395	CM002236.1	243533	251922	+	9888.5	8389.000	43.500000	3977.0	506.0	7.86	0.00e+00	0.94
CM002236.1-3434	CM002236.1	8170197	8176405	+	9756.8	6208.000	59.500000	3924.0	480.3	8.17	0.00e+00	0.84
CM002240.1-6294	CM002240.1	6173280	6178762	+	9627.5	5482.000	34.000000	3872.0	437.7	8.85	0.00e+00	0.82
CM002241.1-3453	CM002241.1	189954	194482	+	9311.7	4528.000	50.500000	3745.0	326.3	11.48	0.00e+00	0.87
