"seqnames","start","end","name","strand","logFC_cac1","PValue_cac1","FDR_cac1","logFC_cac2","PValue_cac2","FDR_cac2","logFC_cac3","PValue_cac3","FDR_cac3","logFC_set7","PValue_set7","FDR_set7"
"CM002236.1",1150,2878,".","-",-0.108468523433415,0.660134999198085,0.993841968147439,-0.108084704667848,0.661462668723073,0.801664641856206,-0.0361907545834325,0.883179565695102,0.963843659077044,0.0325564384773432,0.894800855484237,0.943566173289353
"CM002236.1",3177,6443,".","+",-0.138620644718539,0.617827227845625,0.993841968147439,-0.157911429304912,0.57007016706227,0.734197854316282,0.0428439195915094,0.877241345753623,0.963843659077044,-0.125851890625702,0.650308508615224,0.810075053276539
"CM002236.1",15929,16647,".","+",-0.00931302697317599,0.976276508030112,0.996975527682719,0.0825287795854334,0.792268022269837,0.873606485359533,0.0160509626428628,0.959050496168923,0.995915733055345,-0.0969545259125823,0.756686796158289,0.861962545846557
"CM002236.1",17440,19615,".","+",-0.161845683826144,0.588763286404903,0.993841968147439,-0.124060638118564,0.678580222914257,0.814539051118903,-0.321073856057025,0.284653395630915,0.68705909520987,0.245457700341998,0.411878921881181,0.651040700281136
"CM002236.1",34980,39245,".","+",0.162154175966981,0.547474285909785,0.988613429946206,0.0795751917510845,0.767803890405066,0.860094174393655,0.178310568628978,0.508184180684605,0.838966051154424,0.298464739390843,0.268962084096339,0.561881590111408
"CM002236.1",40949,42632,".","-",0.617393798344815,0.0402157320829739,0.58662513538425,0.622451278599287,0.0387787830352248,0.226265768840311,0.930906651885772,0.00226031983902711,0.0473960816245998,0.723404248076956,0.0165507929937855,0.480946254509303
"CM002236.1",43708,44551,".","-",0.814838907384444,0.00585397938663942,0.231060009907944,0.884537590974081,0.0028900803028412,0.0770227794867584,1.24945888977734,3.63606205373851e-05,0.00187676741389118,0.631703302699183,0.031187529994263,0.486088818846515
"CM002236.1",45331,48154,".","-",0.28024737317185,0.332355829010677,0.881717105323857,0.303812172204669,0.293714535946765,0.557049547733324,0.482403974419367,0.0965743275146309,0.420443401353375,0.15652229722232,0.587428567319822,0.785212984240855
"CM002236.1",59145,61150,".","+",0.172728270217839,0.540498573763807,0.988214013611757,0.0222205142026319,0.937258188951386,0.967402626435608,-0.0542679066739635,0.847394024750636,0.963843659077044,0.000634461959789352,0.998204020831251,0.999481704360493
"CM002236.1",91323,92593,".","+",0.154135341642851,0.608716066246955,0.993841968147439,0.285636730405468,0.343672860744052,0.594764948699143,0.382566158206659,0.203909016929948,0.616319596216194,0.349802380219263,0.245037224911624,0.549481765937865
"CM002236.1",181222,181975,".","+",0.621387036101312,0.0511601750147236,0.591724122667281,0.560332020419904,0.0785393140609203,0.31433671267854,0.593745109641026,0.0618569894687002,0.343025123417337,0.0393671890374607,0.900930868755255,0.94711742715459
"CM002236.1",182427,185051,".","-",0.196611854898485,0.508426013505023,0.96918708824395,0.352601112899457,0.236910458407544,0.506264068762618,0.323997420979354,0.276302035747837,0.686524823738227,0.0932231233060919,0.753525263735242,0.861962545846557
"CM002236.1",186039,188208,".","+",0.325770055004228,0.245369041917878,0.871340590591841,0.265892261942394,0.343009280927783,0.594764948699143,-0.0438257582170051,0.875496846216866,0.963843659077044,0.111768927017871,0.689250775331328,0.83247352301064
"CM002236.1",188530,189595,".","-",0.256197285491608,0.396643439438861,0.895622065842305,0.514073742174399,0.0906076071921321,0.343489855513676,0.22171644646947,0.462439086822041,0.810579597796946,0.16962845767663,0.573816596913965,0.779414851273827
"CM002236.1",190406,191138,".","+",0.432748649175579,0.156337600423397,0.822475923658201,0.71015778408557,0.0210057583696641,0.174740098206841,0.22235356317741,0.464706188819051,0.810579597796946,0.373022803134874,0.220389958217516,0.529885885458147
